entry_id,pdf_page_range,section,heading,primary_headword,target_headword,heading_relation_tags,heading_gloss,heading_iew_refs
liv2add-0024,14,*d,*dʰebʰ- → *debʰ-,*dʰebʰ-,*debʰ-,redirect/update,,
liv2add-0039,17,*d,1.*demh₂- oder *dem-?,*demh₂-,,uncertain; alternative,,
liv2add-0057,19-20,*dʰ,*dʰei̯H- → *dʰeH(i)-,*dʰei̯H-,*dʰeH(i)-,redirect/update,,
liv2add-0059,20,*dʰ,*dʰalh₁- → *dʰelh₁-,*dʰalh₁-,*dʰelh₁-,redirect/update,,
liv2add-0066,22,*dʰ,*dʰei̯Hgʷ- → *dʰi̯eHgʷ-,*dʰei̯Hgʷ-,*dʰi̯eHgʷ-,redirect/update,,
liv2add-0076,24-25,*g̑ʰ-,*gʰan- → *g̑ʰeh₂-1,*gʰan-,*g̑ʰeh₂-1,redirect/update,,
liv2add-0077,25,*g̑ʰ-,"*g̑ʰeH- entfällt, s. *g̑ʰeh₁-",*g̑ʰeH-,*g̑ʰeh₁-,removed,,
liv2add-0079,25,*g̑ʰ-,*g̑ʰeh₁(i̯)- → *g̑ʰeh₂(i̯)-1,*g̑ʰeh₁(i̯)-,*g̑ʰeh₂(i̯)-1,redirect/update,,
liv2add-0081,25,*g̑ʰ-,1.*g̑ʰer- → *gʰer-,*g̑ʰer-,*gʰer-,redirect/update,,
liv2add-0083,26,*g-,*g(w)erdʰ- → *gʷerdʰ-,*g(w)erdʰ-,*gʷerdʰ-,redirect/update,,
liv2add-0101,30,*H-,"*Hi̯ag̑- → *h₁i̯ag̑-¹ ‚opfern, verehren‘¹a",*Hi̯ag̑-,*h₁i̯ag̑-¹,redirect/update,"opfern, verehren",
liv2add-0104,31,*H-,1.*mei̯- → *Hmei̯-,*mei̯-,*Hmei̯-,redirect/update,,
liv2add-0110,32,*h₁-,"*h₁eh₁s- zu streichen, s. *h₁es-",*h₁eh₁s-,*h₁es-,delete,,
liv2add-0120,34-35,*h₁-,"*u̯enh₁- → *h₁u̯en- ‘hinschütten, ausstreuen’1",*u̯enh₁-,*h₁u̯en-,redirect/update,"hinschütten, ausstreuen",
liv2add-0122,35,*h₁-,*h₂u̯ers- → *h₁u̯ers-,*h₂u̯ers-,*h₁u̯ers-,redirect/update,,
liv2add-0138,37-38,*h₂-,"(*redʰ- →) *h₂redʰ- ‘hervorkommen, herauskommen’1",*redʰ-,*h₂redʰ-,redirect/update,"hervorkommen, herauskommen",
liv2add-0143,38-39,*h₂-,*u̯ebʰ- → *h₂u̯ebʰh₁- ‘werfen (?); weben’1,*u̯ebʰ-,*h₂u̯ebʰh₁-,redirect/update,werfen (?); weben,
liv2add-0157,42-43,*h₃-,"*i̯ebʰ- → *h₃i̯ebʰ-0 ‘eingehen, eindringen; begatten’¹",*i̯ebʰ-,*h₃i̯ebʰ-0,redirect/update,"eingehen, eindringen; begatten",
liv2add-0158,43,*h₃-,*lemH- → *h₃lemH- ‚sich mühen; brechen‘1,*lemH-,*h₃lemH-,redirect/update,sich mühen; brechen,
liv2add-0160,43,*h₃-,*h₃peu̯s- siehe *peu̯s-,*h₃peu̯s-,*peu̯s-,see,,
liv2add-0162,43,*i̯-,*i̯ebʰ- siehe *h₃i̯ebʰ-,*i̯ebʰ-,*h₃i̯ebʰ-,see,,
