entry_id,pdf_page_range,markdown_start_line,section,heading,is_new,is_uncertain,ordinal_marker,primary_headword,all_star_forms_in_heading,target_headword,heading_gloss,heading_iew_refs,heading_relation_tags,body_markdown,body_char_flags
liv2add-0001,10-11,1009,*bʰ-,*bʰag-,False,False,,*bʰag-,*bʰag-,,,,,"Für einen Ansatz *bʰeh₂g- spricht nach CHEUNG, EDIV 2 ap. -bigna- in PN wie Bagābigna-, wenn als *bʰh₂g-no- hierher; dies kann jedoch nicht gesichert werden, s. MAYRHOFER, Die altiranischen Namen, Wien 1979, II/15-6.


Aorist oder Präsens wohl auch fortgesetzt in hluw. pa- ‘zuteilen’, hluw. u-pai ‘weiht, stiftet’: Ebenso kluw. ú-pa- (zu trennen von u-up-pa- ‘bringen’); *bʰag- > *baɣ- > luw. (-)ba- mit regulärem Schwund des einfachen *g, Übergang zur hi-Flexion unklar. Bedeu- tungsbestimmung und Analyse nach MELCHERT, FS MORPURGO 370-9; zu pa- auch Iterativ pa-za-.

Dagegen beim Präsens zu streichen: jav. bažat̰, besser < Passiv *bajyat mit ž < *ǰy, s. MARTÍNEZ, IF 104, 1999, 128-30; KÜMMEL, IIJ 50/3, 2007, 276.",contains-combining-marks; contains-subscript-numerals
liv2add-0002,11,1019,*bʰ-,*bʰeh₁g̑-,False,False,,*bʰeh₁g̑-,*bʰeh₁g̑-,,,,,"Hierher nach BOMHARD, JIES 42, 2014, 291-3 auch als Neubildung heth. paknu- ‘beschimpfen, verleumden’.",contains-combining-marks; contains-subscript-numerals
liv2add-0003,11,1024,*bʰ-,1.*bʰeh₂-,False,False,1.,*bʰeh₂-,*bʰeh₂-,,,,,"Präsens
?*bʰi-bʰéh₂-/bʰh₂-
spätkhot. vīv(a)- ‘scheinen’
vīv- < *wi-bibā- (EMMERICK 124); aus *bibā- wohl erweitert *bibā-sa- > *β(ə)βās- > fās- in sogd.
b. prβ’s-, c. prf’(s)- ‘die Farbe wechseln’, s. CHEUNG, EDIV 1 mit Lit.; vielleicht auch chwar. bβ’s-
‘bleich werden’ (SAMADI 13) mit Synkope aus *apa-bibā-sa- oder unredupliziert *apa-bāsa-?",contains-greek; contains-subscript-numerals
liv2add-0004,11,1034,*bʰ-,*bʰei̯d-,False,False,,*bʰei̯d-,*bʰei̯d-,,,,,"Zu trennen khot. bitte ‘durchbohrt’ (s. *h₂u̯i̯edʰ-); hierher aber wohl khot. bītti ‘is exhausted’3

Anm. 3 < *baidati, vgl. BAILEY 282b.",contains-combining-marks; contains-subscript-numerals
liv2add-0005,11,1041,*bʰ-,*bʰend-,False,False,,*bʰend-,*bʰend-,,,,,"Möglich wäre auch ein Ansatz ohne Nasal, wenn der nur vedisch belegte Nasal auf einem Nasalpräsens und Neo-Vollstufe beruht; dann könnte germ. bat- etc. verbunden werden, und die Wurzel wäre als *bʰed- anzusetzen.",
liv2add-0006,11,1046,*bʰ-,*bʰer-,False,False,,*bʰer-,*bʰer-,,,,,"Zum Präsens *bʰer-e- gehören noch

messap. Opt. berain ‘sollen bringen’ alb. bjerr ‘verliert, büßt ein’9c mkymr. (+) beryt ‘fließt, ergießt sich’8a

Zum Iterativ vielleicht auch alb. bart ‘tragen’ (ageg. Präs. bān), allerdings mit unklarer Umbildung, SCHUMACHER/MATZINGER 965; zu streichen hingegen alb. mban ‘halten’, s. ibid. 982.

Anm. 9c Daneben auch djerr aus aalb. bdier/vdierr/dvierr/zbier, alle aus *dzb° aus *di/es-bʱer- e/o- mit sekundärem rr, s. SCHUMACHER/MATZINGER 966-7.

Anm. 8a SCHUMACHER, KPV 218-23",
liv2add-0007,11-12,1059,*bʰ-,*bʰerg̑-,False,False,,*bʰerg̑-,*bʰerg̑-,,,,,"Präsens
?*bʰr̥(g̑)-sg̑ó-
ved. bhr̥jjáti ‘röstet’2

Anm. 2 Nach KEWA II 520 volkstümlich für *bhr̥jyá-; nach IEW 137 altes sk-Präs., wofür jetzt wieder MILIZIA, Sound of IE 371f. [Wäre dann aber nicht als Wurzelauslaut vielleicht auch *-gʰ möglich, da alle ved. Formen auf bhr̥jj- beruhen könnten, wo regulär deaspiriert wäre (vgl. majján- < *mozgʰén-)? M. K.]",contains-combining-marks
liv2add-0008,12,1069,*bʰ-,*bʰergʰ-,False,False,,*bʰergʰ-,*bʰergʰ-,,,,,"Präsens
?*bʰḗrgʰ-/bʰérgʰ-
[germ. *berga-: got. (+) bairgan ‘bergen, verwahren’
[aksl. (+) ne-brěgǫ, (-brěšti) ‘vernachlässigen’
[toch.B perkenträ ‘schauen, spähen’3a

Anm. 3a Dazu noch Impf. perśīyanträ, was auf thematisches *perk-’ə/ë- hinweist, vgl. PINAULT, Koll. Berlin 114-7; dieser Stamm könnte aus *bʰērgʰ- thematisiert sei (PINAULT bevorzugt allerdings eine Rückführung auf *bʰórgʰ-).",
liv2add-0009,12,1080,*bʰ-,*bʰerH-,False,False,,*bʰerH-,*bʰerH-,,,,,"Zum Nasalpräsens wohl noch mp. np. (+) burr- ‘schneiden’ < *bər-n°, wenn nicht völlig sekundär zu *brī- (vgl. CHEUNG, EDIV 22) Als Neubildung dazu j-Präsens in spätkhot. bīriṃda ‘werden gebrochen’, EMMERICK 100?",
liv2add-0010,12,1085,*bʰ-,Neu: ?1.*bʰers- ‘eilen?’,True,True,?1.,*bʰers-,*bʰers-,,eilen?,,new; uncertain,"Verbal nur anatol. vgl. aber *bʰersti-/bʰr̥sti- in lat. festīnāre, kymr. brys, vgl. KLOEKHORST 640f. mit Lit.

Präsens *bʰérs-/bʰr̥s-
heth. paraszi ‘flieht’",contains-combining-marks
