statement_id,entry_id,pdf_page_range,section,primary_headword,entry_heading,statement_type,statement_markdown,reconstructed_forms_in_statement,glosses_in_statement,char_flags
liv2add-0001-s01,liv2add-0001,10-11,*bʰ-,*bʰag-,*bʰag-,Aorist,"Aorist oder Präsens wohl auch fortgesetzt in hluw. pa- ‘zuteilen’, hluw. u-pai ‘weiht, stiftet’: Ebenso kluw. ú-pa- (zu trennen von u-up-pa- ‘bringen’); *bʰag- > *baɣ- > luw. (-)ba- mit regulärem Schwund des einfachen *g, Übergang zur hi-Flexion unklar. Bedeu- tungsbestimmung und Analyse nach MELCHERT, FS MORPURGO 370-9; zu pa- auch Iterativ pa-za-.",*bʰag-; *baɣ-; *g,"zuteilen; weiht, stiftet; bringen",
liv2add-0003-s01,liv2add-0003,11,*bʰ-,*bʰeh₂-,1.*bʰeh₂-,Präsens,"Präsens
?*bʰi-bʰéh₂-/bʰh₂-
spätkhot. vīv(a)- ‘scheinen’
vīv- < *wi-bibā- (EMMERICK 124); aus *bibā- wohl erweitert *bibā-sa- > *β(ə)βās- > fās- in sogd.
b. prβ’s-, c. prf’(s)- ‘die Farbe wechseln’, s. CHEUNG, EDIV 1 mit Lit.; vielleicht auch chwar. bβ’s-
‘bleich werden’ (SAMADI 13) mit Synkope aus *apa-bibā-sa- oder unredupliziert *apa-bāsa-?",*bʰi-bʰéh₂-/bʰh₂-; *wi-bibā-; *bibā-; *bibā-sa-; *β(ə)βās-; *apa-bibā-sa-; *apa-bāsa-?,scheinen; die Farbe wechseln; bleich werden,contains-greek; contains-subscript-numerals
liv2add-0006-s01,liv2add-0006,11,*bʰ-,*bʰer-,*bʰer-,Zum Präsens,"Zum Präsens *bʰer-e- gehören noch

messap. Opt. berain ‘sollen bringen’ alb. bjerr ‘verliert, büßt ein’9c mkymr. (+) beryt ‘fließt, ergießt sich’8a",*bʰer-e-,"sollen bringen; verliert, büßt ein; fließt, ergießt sich",
liv2add-0006-s02,liv2add-0006,11,*bʰ-,*bʰer-,*bʰer-,Zum Iterativ,"Zum Iterativ vielleicht auch alb. bart ‘tragen’ (ageg. Präs. bān), allerdings mit unklarer Umbildung, SCHUMACHER/MATZINGER 965; zu streichen hingegen alb. mban ‘halten’, s. ibid. 982.",,tragen; halten,
liv2add-0007-s01,liv2add-0007,11-12,*bʰ-,*bʰerg̑-,*bʰerg̑-,Präsens,"Präsens
?*bʰr̥(g̑)-sg̑ó-
ved. bhr̥jjáti ‘röstet’2",*bʰr̥(g̑)-sg̑ó-,röstet,contains-combining-marks
liv2add-0008-s01,liv2add-0008,12,*bʰ-,*bʰergʰ-,*bʰergʰ-,Präsens,"Präsens
?*bʰḗrgʰ-/bʰérgʰ-
[germ. *berga-: got. (+) bairgan ‘bergen, verwahren’
[aksl. (+) ne-brěgǫ, (-brěšti) ‘vernachlässigen’
[toch.B perkenträ ‘schauen, spähen’3a",*bʰḗrgʰ-/bʰérgʰ-; *berga-,"bergen, verwahren; vernachlässigen; schauen, spähen",
liv2add-0009-s01,liv2add-0009,12,*bʰ-,*bʰerH-,*bʰerH-,Zum Nasalpräsens,"Zum Nasalpräsens wohl noch mp. np. (+) burr- ‘schneiden’ < *bər-n°, wenn nicht völlig sekundär zu *brī- (vgl. CHEUNG, EDIV 22) Als Neubildung dazu j-Präsens in spätkhot. bīriṃda ‘werden gebrochen’, EMMERICK 100?",*bər-n°; *brī-,schneiden; werden gebrochen,
liv2add-0010-s01,liv2add-0010,12,*bʰ-,*bʰers-,Neu: ?1.*bʰers- ‘eilen?’,Präsens,"Präsens *bʰérs-/bʰr̥s-
heth. paraszi ‘flieht’",*bʰérs-/bʰr̥s-,flieht,contains-combining-marks
liv2add-0011-s01,liv2add-0011,12,*bʰ-,*bʱers-1,"Neu: 2.*bʱers-1 ‘hervorbrechen, bersten’2",Aorist,"Aorist
*bʱérs-/bʱr̥s-
heth. 1s Med. parsha(ri) ‘breche’2",*bʱérs-/bʱr̥s-,breche,contains-combining-marks
liv2add-0011-s02,liv2add-0011,12,*bʰ-,*bʱers-1,"Neu: 2.*bʱers-1 ‘hervorbrechen, bersten’2",Präsens,"Präsens
?*bʱr̥s-i̯é- heth. 3s Med. parsija ‘bricht’2",*bʱr̥s-i̯é-,bricht,contains-combining-marks
liv2add-0012-s01,liv2add-0012,12,*bʰ-,*bʰeru̯-,*bʰeru̯-,Präsens,"Präsens auch in iran. *barwa- > *warba- > shughni (+) wārv- ‘sieden, wallen’, MORGENSTIERNE, EVS 92a mit Lit.; CHEUNG, EDIV 12. Hierher nach Kölligan, Vortrag Ljubljana 2019, auch lat. fur- durch Paradigmenspaltung von *ferw- ~ fur-, dann primär athem.",*barwa-; *warba-; *ferw-,"sieden, wallen",
liv2add-0013-s01,liv2add-0013,12,*bʰ-,*bʰes-,*bʰes-,Präsens,"Präsens auch thematisiert in chwar. wz-βh- ‘überdrüssig werden’ < *uz-baha- ‘sich überessen’, SAMADI 228, dazu Kausativ wz-β’hȳ- ‘verdrießen’ < *uz-bāhaya-, ibid. (< ?*bʰos-éi̯e-).",*uz-baha-; *uz-bāhaya-; *bʰos-éi̯e-,überdrüssig werden; sich überessen; verdrießen,contains-greek; contains-combining-marks
liv2add-0014-s01,liv2add-0014,12-13,*bʰ-,*bʰeu̯g-,2.*bʰeu̯g-,Nasalpräsens,"Nasalpräsens auch in mkymr. diwung ‘greift an’ ← ‘bricht hervor’ < *dī-bunge-, SCHUMACHER, KPV 239-40 mit Lit.",*dī-bunge-,greift an; bricht hervor,
liv2add-0017-s01,liv2add-0017,13,*bʰ-,*bʰleh₂-,"Neu: *bʰleh₂- ‘rufen, anrufen’1",Aorist/Präsens,"Aorist/Präsens
?*bʰlóh₂-/bʰleh₂-
heth. palāhta ‘rief (an)’2",*bʰlóh₂-/bʰleh₂-,rief (an),contains-subscript-numerals
liv2add-0019-s01,liv2add-0019,13,*bʰ-,*bʰreHg-,"Neu: *bʰreHg- ‘stinken, furzen’",Präsens,Präsens ?*bʰr̥Hg̑-i̯ó- [air. braigim ‘furze’,*bʰr̥Hg̑-i̯ó-,furze,contains-combining-marks
liv2add-0019-s02,liv2add-0019,13,*bʰ-,*bʰreHg-,"Neu: *bʰreHg- ‘stinken, furzen’",Perfekt,"Perfekt ?*bʰe-bʰróHg̑/bʰr̥Hg̑-
mir. ro-bebraig ‘hat gefurzt’",*bʰe-bʰróHg̑/bʰr̥Hg̑-,hat gefurzt,contains-combining-marks
liv2add-0020-s01,liv2add-0020,13-14,*bʰ-,*bʰrei̯g-,"Neu: *bʰrei̯g- ‘braten, rösten’1 IEW 137",Präsens,"Präsens
?*bʰri-né/n-g- [iran. *brinǰ- in mp. (> parth.) brynz- ‘rösten, braten’2",*bʰri-né/n-g-; *brinǰ-,"rösten, braten",
liv2add-0020-s02,liv2add-0020,13-14,*bʰ-,*bʰrei̯g-,"Neu: *bʰrei̯g- ‘braten, rösten’1 IEW 137",Aorist,"Aorist ?*bʰrḗi̯g-/bʰréi̯g-s-
lat. frīxī ‘röstete, briet’4",*bʰrḗi̯g-/bʰréi̯g-s-,"röstete, briet",contains-combining-marks
liv2add-0021-s01,liv2add-0021,14,*bʰ-,*breiH-,*breiH-,Präsens,"Präsens
*bʰréi̯H-e-
[alb. bren, ageg. /brê/ ‘(zer)nagt, zerfrisst’3a",*bʰréi̯H-e-,"(zer)nagt, zerfrisst",contains-combining-marks
