page,line,headword,gloss,class,heading
28,1078,*abalnā,apple-tree,Noun,*abalnā 'apple-tree' [Noun]
28,1089,*abalo-,apple,Noun,*abalo- 'apple' [Noun]
28,1109,*abanko-,beaver,Noun,*abanko- 'beaver' [Noun]
28,1113,*abon-,river,Noun,*abon- 'river' [Noun]
29,1140,*abrant-,eyelid,Noun,*abrant- 'eyelid' [Noun]
29,1144,*ad,to,Prep,*ad 'to' [Prep]
29,1159,*ada,hawthorn,Noun,*ada 'hawthorn' [Noun]
30,1172,*ad-ber-tā,"offering, victim",Noun,"*ad-ber-tā 'offering, victim' [Noun]"
30,1180,*ad-dam-yo-,"allow, permit",Vb,"*ad-dam-yo- 'allow, permit' [Vb]"
30,1188,*adestu-,merit,Noun,*adestu- 'merit' [Noun]
30,1192,*ad-kʷis-o-,see,Vb,*ad-kʷis-o- 'see' [Vb]
30,1201,*ad-kubro-,wish,Noun,*ad-kubro- 'wish' [Noun]
30,1217,*ad-ret-o-,"reach, grasp",Vb,"*ad-ret-o- 'reach, grasp' [Vb]"
31,1227,*ad-sad-yo-,very easy,Adverb,*ad-sad-yo- 'very easy' [Adverb]
31,1231,*ad-tekʷ-o-,"run to, approach",Vb,"*ad-tekʷ-o- 'run to, approach' [Vb]"
31,1240,*ad(u)-,law,Noun,*ad(u)- 'law' [Noun]
31,1255,*āg-V-,fear,Vb,*āg-V- 'fear' [Vb]
31,1269,*aglo-,"brood, litter",Noun,"*aglo- 'brood, litter' [Noun]"
32,1281,*aglo-,"wound, affliction",Noun,"*aglo- 'wound, affliction' [Noun]"
32,1294,*ag-o-,drive,Vb,*ag-o- 'drive' [Vb]
32,1309,*agos-,cow,Noun,*agos- 'cow' [Noun]
33,1339,*agro-,"carnage, battle",Noun,"*agro- 'carnage, battle' [Noun]"
33,1354,*akro-,high,Adj,*akro- 'high' [Adj]
33,1370,*alal(i)yo-,"another, other",Pron,"*alal(i)yo- 'another, other' [Pron]"
34,1385,*alamo-,"herd, flock, movable proprety",Noun,"*alamo- 'herd, flock, movable proprety' [Noun]"
34,1395,*albiyo-,world,Noun,*albiyo- 'world' [Noun]
34,1408,*alnostu-,"sweat, perspiration",Noun,"*alnostu- 'sweat, perspiration' [Noun]"
35,1425,*al-o-,"feed, raise",Vb,"*al-o- 'feed, raise' [Vb]"
35,1439,*alten-,razor,Noun,*alten- 'razor' [Noun]
35,1453,*altiyo-,"fosterling, client",Noun,"*altiyo- 'fosterling, client' [Noun]"
35,1461,*alto-,"height, cliff",Noun,"*alto- 'height, cliff' [Noun]"
36,1475,*altr-awon-,foster-uncle,Noun,*altr-awon- 'foster-uncle' [Noun]
36,1488,*alyo-,other,Pron,*alyo- 'other' [Pron]
36,1505,*am-o-,wash,Vb,*am-o- 'wash' [Vb]
37,1525,*amaro-,"wailing, crying",Noun,"*amaro- 'wailing, crying' [Noun]"
37,1531,*ambaxto-,servant,Noun,*ambaxto- 'servant' [Noun]
37,1542,*amben-,butter,Noun,*amben- 'butter' [Noun]
37,1565,*ambi-,around,Prep,*ambi- 'around' [Prep]
37,1577,*ambi-gʷan-o-,fight (each other),,*ambi-gʷan-o- 'fight (each other)'
38,1587,*ambi-gab-,meet,Vb,*ambi-gab- 'meet' [Vb]
38,1595,*ambi-rād-ī-,think,Vb,*ambi-rād-ī- 'think' [Vb]
38,1602,*ambliyon-,navel,Noun,*ambliyon- 'navel' [Noun]
38,1612,*amo-,time,Noun,*amo- 'time' [Noun]
38,1622,*amsterā,"time, moment",Noun,"*amsterā 'time, moment' [Noun]"
39,1643,*ana-,remain,Vb,*ana- 'remain' [Vb]
39,1663,*anami,"blemish, fault",Noun,"*anami 'blemish, fault' [Noun]"
39,1679,*anamon-,soul,Noun,*anamon- 'soul' [Noun]
40,1694,*anatla,breath,Noun,*anatla 'breath' [Noun]
40,1709,*andera,young woman,Noun,*andera 'young woman' [Noun]
40,1725,*andom,"inside, there",Adverb,"*andom 'inside, there' [Adverb]"
41,1743,*aneg-tlo-,"refuge, protection",Noun,"*aneg-tlo- 'refuge, protection' [Noun]"
41,1754,*angʷina,nail,Noun,*angʷina 'nail' [Noun]
41,1769,*angu-,narrow,Adj,*angu- 'narrow' [Adj]
42,1800,*ankoto-,"hook, paw",Noun,"*ankoto- 'hook, paw' [Noun]"
42,1815,*anku-,death,Noun,*anku- 'death' [Noun]
43,1837,*anman,name,Noun,*anman 'name' [Noun]
43,1859,*an-men-V-,"patience, forbearance",Noun,"*an-men-V- 'patience, forbearance' [Noun]"
43,1874,*anniyo-,ring,Noun,*anniyo- 'ring' [Noun]
44,1889,*ansyo-,reins,Noun,*ansyo- 'reins' [Noun]
44,1898,*anto-,"border, limit",Noun,"*anto- 'border, limit' [Noun]"
44,1909,*antono-,forehead,Noun,*antono- 'forehead' [Noun]
44,1921,*anuxto-,"what is unpronounced, mistake in versification",,"*anuxto- 'what is unpronounced, mistake in versification'"
44,1927,*anxtu-,slaughter,Noun,*anxtu- 'slaughter' [Noun]
44,1931,*aramo-,quiet,Adj,*aramo- 'quiet' [Adj]
45,1949,*aratro-,plow,Noun,*aratro- 'plow' [Noun]
45,1961,*arawar,"grain, cereal",Noun,"*arawar / *arawen- 'grain, cereal' [Noun]"
45,1978,*ardi-,"point, extremity, direction",Noun,"*ardi- 'point, extremity, direction' [Noun]"
45,1986,*ardwo-,high,Adj,*ardwo- 'high' [Adj]
46,2009,*arganto-,silver,Noun,*arganto- 'silver' [Noun]
46,2038,*argyo-,white,Noun,"*argyo- 'white' [Adj], 'snow' [Noun]"
47,2056,*aro-,"ploughing, ploughed land",Noun,"*aro- 'ploughing, ploughed land' [Noun]"
47,2066,*aron-,kidney,Noun,*aron- 'kidney' [Noun]
47,2085,*arto-,bear,Noun,*arto- 'bear' [Noun]
48,2110,*arto-,stone,Noun,*arto- 'stone' [Noun]
48,2119,*aryo-,free man,Noun,*aryo- 'free man' [Noun]
48,2134,*ar-yo-,to plough,Vb,*ar-yo- 'to plough' [Vb]
49,2151,*ās-,mouth,Noun,*ās- 'mouth' [Noun]
49,2169,*asseli-,"joint, part",Noun,"*asseli- 'joint, part' [Noun]"
49,2178,*assowyo-,left,Adj,*assowyo- 'left' [Adj]
49,2190,*astn(iy)o-,rib,Noun,*astn(iy)o- 'rib' [Noun]
50,2210,*ati-,"furnace, oven",Noun,"*ati- 'furnace, oven' [Noun]"
50,2222,*ati-daw-ino-,firebrand,,*ati-daw-ino- 'firebrand'
50,2228,*ati-gʷan-o-,strike again,Vb,*ati-gʷan-o- 'strike again' [Vb]
