item,reconstruction_or_headword,gloss,attestations,notes,external_comparanda,discussion
1,*bʰa-bʰ/k̂-,‘bean’,Lat. faba; OHG bōna; OPrus. babo; OCS bobŭ; Alb. bathë; Gr. φακός,Formal inconsistencies and limited distribution suggest a regionalism.,Old-European: Unattested,"This item shows all the hallmark traits of a regional borrowing, quite possibly a loan from an agricultural substrate, to which, e.g., *gʰaid- ‘goat’ (item 21) may be compared, cf. Kroonen (2013: xviii,55)."
2,*bʰar-(s-),‘barley’,"Lat. fār; (?)OIr. bairgen ‘bread, loaf’; Goth. bariz-eins ‘of b.’; OCS brašĭno ‘food’, Rus. bor ‘millet’; Alb. bar ‘grass’; (?)Gr. Περσεφόνη ‘Persephone (? = the grain-slayer)’ (PN)","It is noteworthy that a bare stem may also exist in Celtic and Slavic (Russian bor ‘millet’) next to the somewhat more prolific extensions. The inclusion of the Greek deity is highly dubious (cf. Chantraine 1968: 889), and, even if accepted, would not introduce significant new evidence to the picture already painted by the more secure attestations. Lehmann proposes that the lexeme be internally derived from a verbal root (1986: 62), but the a-vocalism and the external comparanda treated immediately below demand that the possibility of foreign influence, at least, be entertained (cf. de Vaan 2008: 201f.).","NE Caucasian: *bVrc ̣̌inV-NW Caucasian: possibly Adyghe cā ‘grain’, Abkhaz cə ‘id.’ Semitic: *barr-/burr- ‘cereal, wheat’","Some objections have been raised to the Semitic loan hypothesis, e.g. by Mallory & Adams who consider a borrowing ‘unlikely’ based on the morphology (1997: 51), while Diakonoff’s rejection of the claim, based on its putative isolation in Semitic (1985: 126f.), has become mute in light of the fact that Orel & Stolbova (1995: 56) connect it to an almost ubiquitous Afro-Asiatic root, *bar-/bur- ‘grain, cereal’, which certainly advocates for Semitic (or related) origins. Gamkrelidze & Ivanov insist that the IE branches representing the item were in direct contact with speakers of a Semitic proto-language (1995: 770), but, as several other instances suggest (e.g. *gʰaid- ‘goat’, item 21), the proposition of an agricultural substrate, possibly even related to Semitic (§ 2.5), blunts the urgency of the claim. Note, too, that the semantic shift from ‘wheat’ or ‘cereal’ speaks against direct contacts. Dolgopolsky introduces the Caucasian comparanda, and questions a Semitic provenance on the basis of its simpler stem that lacks the *-s (1989: 15f.), but, as shown above, a similar IE variant could represent the original state only secondarily derived. The North Caucasian comparanda seems to reflect a higher complexity than either of PIE and Semitic, possibly hinting at greater antiquity, but, more likely, a window to PIE phonetics may be encountered here, seeing that there is a decent argument in the proposition that the desinence *-inV in North East Caucasian reflects the PIE derivational suffix *-in-o-, cf. Slavic *boršĭno- ‘flour’, Latin farīna ‘id.’, and probably also Goth. barizeins ‘of barley’ (ibid., cf. also S. Starostin 2009: 91 and further Matasović 2012: 291). This comparison is also favorable due to identical semantics. A tentative history of the term can thus be schematized as Afro-Asiatic > Semitic & Old European substrate → middle or late PIE → North (East) Caucasian."
3,*bʰei-,‘bee’,Lat. fūcus ‘drone’; OIr. bech; ON bý; Lith. bìtė; OCS bičela.,"The distribution is limited to the European branches of IE that represent several different formations. Mallory & Adams suggest that the word is internally derived from the verbal root *bʰei(H)- ‘to strike, attack’ (1997: 57).",Egyptian: bj.t,"According to Gamkrelidze & Ivanov (1995: 773) this item is significant in the placement of the PIE homeland in the Near East (or at least close to Ancient Egypt), yet the distribution of the term within IE coupled with the apparent internal derivation makes a foreign intrusion unlikely (cf. Diakonoff 1985: 127). The possibility of folk etymological re-analysis is, of course, always present, but further circumstantial evidence need be provided before a more favorable scenario for their relation can be envisaged, tentatively through the proposed Neolithic substrate (§ 2.5)."
4,*bʰerĝh-,"‘strong, high’","Hit. park- ‘to raise, elevate’, CLuw. parraia-; Toch. B pärk- ‘to arise’; Lat. fortis < Old Lat. forctis; ON bjarg ‘mountain’; Gr. φράσσω, φράγνυμι ‘barricade, enclose’; Arm. barjr; Ved. barh- ‘make strong’, br̥hánt-.",Strong PIE etymology with cognates in all decisive branches.,"Kartvelian: *brj1- > Mingrelian burǰ-aph-i ‘battle’, Svan li-burǰ-iel ‘to ram with horns, fight (of bulls)’ HU: Urartian burgana (Dolgopolsky 1987: 22)","Smitherman proposes a connection with the Kartvelian gloss ‘high; strong; old’ (2012: 514, cf. also Diakonoff 1990: 61), but the meaning seems overly inspired by PIE, and Klimov’s reconstruction ‘to wrestle’ is more faithful to the attestations (1998: 18). The Urartian form is similarly inhibited by mistranslation (actually ‘pillar, column’, cf. Diakonoff & Starostin 1986: 99) and consequently of no immediate relevance to PIE."
5,*bʰerH-,‘to drill’,"Lat. forō; ON bora; (?)OLith. barti ‘to scold’; (?)OCS brati ‘fight’; (?)Ved. bhr̥ṇāti ‘to threaten, scold’","The Germanic and Italic forms are likely denominatives (Kroonen 2013: 85), although an iterative formation may similarly explain the o-grade (de Vaan 2008: 235f.). The rest of the set is disputed as from the same root (LIV2: 80), and none of the ancient branchings is attested.","Semitic *brʔ ‘to work with a sharp instrument’ (Bomhard 1981: 403) Uralic: *pura- ‘(to) drill’> e.g. Fin. pura ‘drill’, Proto-Samoyed *pȇrȇ- ‘id.’ Sumerian: bur(u(d)x) ‘breach, depth, hole; to perforate’","As a ubiquitous verb not otherwise expected to be borrowed, an innovative technique could have helped spread the item. There is a semantic link in Uralic with the verb *pure- ‘to bite’ (UEW 405f.) which may be compared to the situation in IE, making an ancient connection more attractive. Further connections may also be found in the Turkic languages, cf. Turkish bur- ‘to drill’, as suggested by Rédei, who proposes onomatopoetic, and consequently chance, resemblance (UEW 405). Not included by Orel & Stolbova (1995), Semitic is seemingly isolated in Afro-Asiatic, although Bomhard suggests two Cushitic forms, both meaning ‘broken piece’ (2008-II: 64). Sahala actually prefers a Semitic origin for the Sumerian comparandum, explicitly Akkadian būrum ‘pit, well, cistern’ (2009: 5), but the semantic side is better matched by the general term. The meaning ‘well’ is secured for Semitic (cf. Tyloch 1975: 56f.)."
6,"*bʰon- ‘wound’, see item 81 *kʷen- ‘kill’",,,,,
7,*də2p-,‘sacrifice’,(?)Hit. tappala- ‘person responsible for court cooking’; (?)Toch. A tāpā- ‘to eat’; Lat. daps; ON tafn; (?)Gr. δαπάνη ‘cost’; Arm. tawn ‘feast’.,"While there is no consensus on an IE reconstruction for Hittite (cf. Tischler 1991: 114f., although probably formally possible, cf. Kimball 1999: 387f.), and the Tocharian connection is denied on phonological grounds (cf. LIV2: 104 fn.11), Kroonen suggests a derivation to the verbal root *də2p- ‘to slaughter’ for the Latin, Armenian, and Germanic forms, cf. Greek δάπτω (2013: 504). Note that there is no imperative other than convention preventing the reconstruction of a central vowel *-a-, especially if the item cannot be traced to ancient PIE.","Semitic: *δabḥ- (Dolgopolsky 1987: 15, 1989: 5)","Orel & Stolbova connect the Semitic form to East Chadic and Lowland East Cushitic forms to produce the Afro-Asiatic reconstruction *ǯabaḥ- (1995:549). As a cultural term this item may well have travelled, and, despite voiced criticism (e.g. Diakonoff 1985: 124f.), IE scholars like Kroonen (2003: 504) consider the similarity. The fact that a PIE verbal root has been deduced need not deter a loan from Semitic as is indicated by the various IE derivations that surely points to a native or nativized basic root, which may, indeed, have entered the language at an early stratum. More conspicuous does the unvoiced rendition of the Semitic sequence *-bʰ̣- in (P)IE appear, possibly attributable to intermediate languages. The lack of clear Anatolian and Tocharian cognates make a truly old transfer difficult to substantiate, yet the current indecisive nature of the Hittite form may turn to provide either evidence for a very old connection or a complete rejection hereof."
8,*deh₃-,‘to give’,"Hit. dāi- ‘to take’, CLuw. lā- ‘id.’; Lat. dō; MWelsh rho-ddaf; OLith. duoti; OCS damĭ; Alb. dhae; Gr. δίδωμι; Arm. tam; Ved. dádāti, Av. daδāiti.","This item is widespread, but appears to have been lost in Tocharian. The seemingly odd semantic opposition between Anatolian and the Core IE cognates for this particular verb (‘to take’ and ‘to give’, respectively) may be explained rather straightforwardly by the reconstructed PIE verbal system according to the stative-eventive hypothesis (cf. Søborg 2015): if it departs in PIE in the concept of reciprocal gift giving, Core IE represents the eventive act of ‘giving’ gifts with the active endings (-mi), whereas Anatolian relate to said concept from the stative (or “self-centred”) act of ‘receiving’ → ‘taking’, appropriately fitted with the stative endings (-ḫi). The o-grade of the root of the stative is equally suitable for what is probably ultimately a nominal derivation. This verb may, then, very well represent a true Indo-Hittite isogloss, along with the Core IE splitting of the eventive verbs and the similar semantic differentiation of *mer- ‘to disappear’ (it retains this meaning in Hittite and possibly Hieroglyphic Luwian) > Core IE ‘to die’ (cf. Kloekhorst 2008a: 578).","Uralic: *toγe ‘bring, give’ > e.g. Fin. tuo-, Samoyedic *tə̑-Yukaghir: tadi (UEW 529)","Comparable in both shape and content to another verb, ‘to put, place’ *dʰeh₁- (item 11), external connections for basic items such as this are difficult to substantiate given their very nature. The comparison of this item is, however, very much alive, cf. Kortlandt (1989: 82f.) and Collinder (1965: 121) for common heritage and Rédei’s suggestion of a loan from early Indo-Iranian (1983: 17f.) that nonetheless requires formal substantiation, and, heeding the very concrete laryngeal reflex in Uralic, a borrowing from PIE proper would be preferable. The fact that Uralic betrays o-vocalism suggests a loan that postdates the phenomenon of laryngeal coloring, while some unexpected internal vowel variation similarly may suggest the presence of a foreign element (Koivulehto 1991: 63ff.). If a cognate in Yukaghir, agreeing with some of the Samoyedic languages in the reduplication of the root, can be established, it similarly demands ancient relations, whether contact induced or ancestral. Rédei suggests an Iranian source for the Yukaghir form (1983: 17f.), but Nikolaeva’s proto-Yukaghir reconstruction *tant- (2006: 426) removes the comparandum further into uncertainty."
9,*dek̂m̥ ‘ten’ (see § 5.10),,,,,
10,*dʰeĝh-om,‘earth’,"Hit. tēkan, HLuw. takam- (dat.-loc.sg.); Toch. A tkaṃ, Toch. B (t)keṃ; Lat. humus; OIr. dú; Goth. guma ‘man’; Lith. žẽmė; OCS zemlja; Alb. dhe; Gr. χθών; Ved. kṣa ́s, Av. zam-.","This item harks back to the oldest layers of PIE with representation in most branches, including the decisive ancient Anatolian and Tocharian that further help establish the original sequence of the obstruents (D-G) that underwent metathesis sometime in late middle PIE (to G-D). This item has been mentioned as an argument in favor of Tocharian as the second branch to leave the PIE dialect continuum (cf. Kretschmer 1931).","Kartvelian: *diɣwam- 'fertile soil' > Georgian diɣvam- 'black earth, sufficiency' and Svan diɣwam 'damp low place with f.'. Kartvelian (alternative): *diqa- ‘clay’ > e.g. Georgian tixa, (?)Svan gim","Klimov proposes the connection with ‘fertile soil’ (1998: 41), which semantically seems a viable loan item due to its specialized meaning and formal triconsonantal quasi-identity (D-G-M), although the vocalism seems somewhat discontinuous; the labial treatment of the IE velar similarly needs to be explained. These considerations would establish PIE as the provider of the term. Alternatively, Gamkrelidze & Ivanov suggest that the meaning ‘clay’ in Kartvelian may be related to PIE ‘earth’, and that the Svan form represent a simplified stem *ĝhem- < *dʰĝhem- (1995: 774) to illuminate internal PIE development as well, but note that Klimov does not include Svan in this cognate set (1998: 72), reducing the reconstruction to Georgian-Zan, while Fähnrich treats it along with Mingrelian gim-e ‘below’ (2007: 107). This Svan form is, moreover, not an exact semantic parallelism, but the connotations in PIE with inherent association with ‘human’, e.g., at least some European languages, Goth. guma and Latin homō (cf. Mallory & Adams 1997: 366), could mend the comparison somewhat. The sequence of the obstruents in either Kartvelian comparandum would surely establish the loan to an early stratum of PIE, i.e. before the metathesis sometime after the presumed split of Tocharian. Kaiser & Shevoroshkin reject the hypothesis on formal grounds (1986: 368), but, all things considered, the connection with ‘black soil’ appears most attractive if the similarity is not merely due to chance resemblance."
