id	authors	year	title	container_or_publication	raw_entry
de-goede-2014-bib-001	Ambrazas, Saulius	1992	Baltų ir slavų kalbų vardažodžių daryba (senosios bendrybės ir skirtybės).	Baltistica 27 (1) (15-34).	Ambrazas, Saulius (1992). “Baltų ir slavų kalbų vardažodžių daryba (senosios bendrybės ir skirtybės).” Baltistica 27 (1) (15-34).
de-goede-2014-bib-002	Balles, Irene	1999	Zu den britannischen yo-Stämmen und ihren indogermanischen Quellen	 Zimmer, Stefan et al. (eds.). Akten des zweiten deutschen Keltologen-Symposiums. Tübingen: Niemeyer (4-22).	Balles, Irene (1999). Zu den britannischen yo-Stämmen und ihren indogermanischen Quellen. In: Zimmer, Stefan et al. (eds.). Akten des zweiten deutschen Keltologen-Symposiums. Tübingen: Niemeyer (4-22).
de-goede-2014-bib-003	Balles, Irene	2003	Die lateinischen idus-Adjektive und das Calandsystem	 Tichy, Eva et al. (eds.) (2003). Indogermanisches Nomen: Derivation, Flexion und Ablaut: Akten der Arbeitstagung der Indogermanischen Gesellschaft, Freiburg, 19. bis 22. September 2001. Bremen: Hempen (9-29).	Balles, Irene (2003). Die lateinischen idus-Adjektive und das Calandsystem. In: Tichy, Eva et al. (eds.) (2003). Indogermanisches Nomen: Derivation, Flexion und Ablaut: Akten der Arbeitstagung der Indogermanischen Gesellschaft, Freiburg, 19. bis 22. September 2001. Bremen: Hempen (9-29).
de-goede-2014-bib-004	Bammesberger, Alfred	1990	Die Morphologie des urgermanischen Nomens	 Winter.	Bammesberger, Alfred (1990). Die Morphologie des urgermanischen Nomens. Heidelberg: Winter.
de-goede-2014-bib-005	Bednarczuk, Leszek	1988	The Italo-Celtic hypothesis from the Indo-European point of view	 MacLennan, G. W. (ed.). Proceedings of the First North American Congress of Celtic Studies held at Ottawa from 26th-30th March, 1986. Ottawa: University of Ottawa (175-189).	Bednarczuk, Leszek (1988). The Italo-Celtic hypothesis from the Indo-European point of view. In: MacLennan, G. W. (ed.). Proceedings of the First North American Congress of Celtic Studies held at Ottawa from 26th-30th March, 1986. Ottawa: University of Ottawa (175-189).
de-goede-2014-bib-006	Beekes, Robert S.P.	1985	The origins of the Indo-European nominal inflection	 Institut für Sprachwissenschaft der Universität Innsbruck.	Beekes, Robert S.P. (1985). The origins of the Indo-European nominal inflection. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck.
de-goede-2014-bib-007	Beekes, Robert S.P.	2011	Comparative Indo-European Linguistics: An Introduction	[etc.]: Benjamins.	Beekes, Robert S.P. (2011). Comparative Indo-European Linguistics: An Introduction. Amsterdam [etc.]: Benjamins.
de-goede-2014-bib-008	Benveniste, Émile	1935	Origines de la formation des noms en indo-européen	 Adrien- Maisonneuve.	Benveniste, Émile (1935). Origines de la formation des noms en indo-européen. Paris: Adrien- Maisonneuve.
de-goede-2014-bib-009	Bernardo Stempel, Patrizia de	1999	Nominale Wortbildung des älteren Irischen: Stammbildung und Derivation. Tübingen: Niemeyer.		Bernardo Stempel, Patrizia de (1999). Nominale Wortbildung des älteren Irischen: Stammbildung und Derivation. Tübingen: Niemeyer.
de-goede-2014-bib-010	Bernardo Stempel, Patrizia de	2003	Der Beitrag des Keltischen zur Rekonstruktion des indogermanischen Nomens	 Tichy, Eva et al. (eds.) (2003). Indogermanisches Nomen: Derivation, Flexion und Ablaut: Akten der Arbeitstagung der Indogermanischen Gesellschaft, Freiburg, 19. bis 22. September 2001. Bremen: Hempen (31-50).	Bernardo Stempel, Patrizia de (2003). Der Beitrag des Keltischen zur Rekonstruktion des indogermanischen Nomens. In: Tichy, Eva et al. (eds.) (2003). Indogermanisches Nomen: Derivation, Flexion und Ablaut: Akten der Arbeitstagung der Indogermanischen Gesellschaft, Freiburg, 19. bis 22. September 2001. Bremen: Hempen (31-50).
