id	page	section_number	section_title	class	suffix_headword	label	footnote_marker	description	references
de-goede-2014-suffix-001	12	2.1.1	(*)-i̯-	A. Reconstructable to PIE	*-(i)i̯o-		8	"In PIE: verbal adjectives (including future passive participles and gerundives),
and desubstantival adjectives of appurtenance. Neuter and feminine
nominalizations are often abstracts.
OI -a(e) (< PC *-(i)i̯o-/-(i)i̯ā); W -ydd, -edd (< PC *-ii̯o- and *-ii̯ā).
Deverbal adjectives (often of appurtenance), agent nouns, verbal nouns,
nomina actionis and concrete nouns in Old Irish and Welsh. Feminine
desubstantival collectives and deadjectival collectives are well attested in Old
Irish (< *-(i)i̯ā). Clear meaning and function, largely comparable to PIE.
Productive in all Celtic languages, exceptionally productive in Old Irish (often
also in compound suffixes), less so in Welsh. Many nominalizations. In Celtic
only *-ii̯o- was productive, although it in fact cannot be determined on the
basis of Old Irish whether -(a)e is derived from Proto-Celtic and PIE *-i̯o- or

*-ii̯o-. The same applies to Latin (see below). The case is different for
Brittonic.9
L -ius: deverbal and desubstantival adjectives, deadjectival abstracts
(mainly feminines), some deverbal and desubstantival abstracts, nomina
actionis, collectives, nomina qualitatis, names of countries, patronyms and
adjectives from prepositional governing compounds. Attested in many
compound suffixes. Very productive and frequently nominalized. It cannot be
determined from Latin alone whether -ius is derived from PIE *-i̯o- or *-ii̯o-
(or both), but it is quite certain that most of its uses must go back to PIE *-ii̯o-.
(BG 115-26; GOU 185-6; HCGL 274-6; LG 288-90; NWI 201-11; NWIG 1-3,
27-8, 62-4, 67, 96, 116-7, 119-20, 140; SWW 576; VGKS II 16-7)"	"BG 115-26; GOU 185-6; HCGL 274-6; LG 288-90; NWI 201-11; NWIG 1-3,
27-8, 62-4, 67, 96, 116-7, 119-20, 140; SWW 576; VGKS II 16-7"
de-goede-2014-suffix-002	12	2.1.1	(*)-i̯-	A. Reconstructable to PIE	*-ei̯o-			"L -eus: desubstantival adjectives of material and some colour adjectives,
which are both inherited PIE functions. (GOU 186; HCGL 273-4; LG 286-7;
NWIG 133)"	"GOU 186; HCGL 273-4; LG 286-7;
NWIG 133"
de-goede-2014-suffix-003	13	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	-aige	(OI)	10	"Mostly derives agent nouns. Origins: PC *-sag-i̯o-s (< PC *sag- ‘to look for’)
and *-i̯o- to ach-/ech-derivatives (mostly nominals of appurtenance). Cf. W -
ai. (NWI 345-7, 370-4; SWW 287-90)"	NWI 345-7, 370-4; SWW 287-90
de-goede-2014-suffix-004	13	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-ai̯i̯o-	(PIt.)	11	"L -eius derives agent nouns (rare) and gentilics. Any further connections are
unclear. Rare variant: -uleius. (GOU 186; LG 289, 309; NWIG 20, 68)"	GOU 186; LG 289, 309; NWIG 20, 68
de-goede-2014-suffix-005	13	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-āsii̯o-	(PIt.)		"L -ārius derives deadjectival adjectives (without semantic distinction),
desubstantival adjectives of appurtenance and agent nouns (the latter only
masculine). PIt. *-āsii̯o- is not a PIE formation. It may consist of *-ii̯o- to the
GEN.SG of ā-stems. Often nominalized. Nominalized -ārium (N) derives
desubstantival toponyms. Nominalized -āria derives desubstantival agent
nouns and toponyms. L -ārius borrowed as -(a)ire in Old Irish mainly for
nomina actoris (M) and some agent nouns. Borrowing in Old Irish reinforced
by Old Irish compounds in -aire ‘freeman’. The variant -m-aire may originate
from nomina actoris that are derived from verbal nouns in -nm. The Old Irish
suffixes -óir and -(a)tóir (masculine agent nouns) have been abstracted from
younger Latin borrowings in -ārius and -ātōrem (ACC.SG of -ātōr). (GOU 186;
HCGL 276-7; LG 297-300; NWI 347-50, 380-2; NWIG 40, 44-5, 53, 96-7,
120-1)"	"GOU 186;
HCGL 276-7; LG 297-300; NWI 347-50, 380-2; NWIG 40, 44-5, 53, 96-7,
120-1"
de-goede-2014-suffix-006	13	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-X-ei̯o-	(pre-L)		"L -āneus forms deverbal and deadverbial adjectives. Possibly originally a
conglomerate of *-no- and *-ei̯o- to stems in -ā. It has been somewhat
productive. Does not share the basic sense of -eus, unlike -(i)neus and -āceus.
L -āceus derives desubstantival adjectives of material. It consists of -eus to
stems in *-āk- or *-āko-. Infrequent. L -(i)neus (an extension of -(i)nus with -
eus) derives desubstantival adjectives of material. (HCGL 274; LG 287-8;
NWIG  93-4, 107, 134-5, 140)"	"HCGL 274; LG 287-8;
NWIG  93-4, 107, 134-5, 140"
de-goede-2014-suffix-007	13	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-el-ii̯o-	(pre-L)		"L -ilius derives desubstantival gentilics. Variants: -īlius, -iolus. It could be
compared to OI -le/-la (masculine/feminine); W -lydd, both rather rare *ii̯o-
extensions of *- lo- without any clear function. (NWI 227-8; NWIG 69)"	NWI 227-8; NWIG 69
de-goede-2014-suffix-008	13	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-idh-ii̯o-	(PIt.)		"L -idius derives desubstantival gentilics. Variants: -edius, -īdius, -iedius.
(GOU 190; NWIG 68)"	GOU 190; NWIG 68
de-goede-2014-suffix-009	13	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-i-gn-i̯o-	(pre-OI)		"OI -éne and -íne are *i̯o-extensions of diminutives -én and -ín, with
comparable properties – see section 2.7. (NWI 351-2)"	NWI 351-2
de-goede-2014-suffix-010	14	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-ik-ii̯o-	(PIt.)		"L -icius derives desubstantival adjectives (of appurtenance). Should be
separated from -īcius. Probably an *ii̯o-derivative of nominalized -iko-
derivatives. Late productivity. (GOU 188; HCGL 278; LG 301; NWIG 124-5)"	GOU 188; HCGL 278; LG 301; NWIG 124-5
de-goede-2014-suffix-011	14	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-īk-ii̯o-	(PIt.)		"L -īcius forms deadjectival and desubstantival adjectives (with a minor or no
semantic difference from its base). Might have spread from novīcius < PIE
*nou̯īk-ii̯o-. (GOU 188; HCGL 277-8; LG 301, 256; NWIG 99, 134-5)"	GOU 188; HCGL 277-8; LG 301, 256; NWIG 99, 134-5
de-goede-2014-suffix-012	14	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-ī̆n-i̯o-	(PC)		"OI -(i)ne (mostly feminine); W -yn/-en (masculine/feminine). Averagely
productive suffix for diminutives (especially singulatives) in Old Irish.
Desubstantival diminutives are most frequent and oldest. Variant: -sine
(various sources). The Welsh suffix is the common diminutive suffix in that
language. (NWI 361-70; SWW 274, 277)"	NWI 361-70; SWW 274, 277
de-goede-2014-suffix-013	14	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-isiā̆	(PC)		"(< PIE *-es-i̯ā?). Attested in at least Gaulish. May also have been a source for
Goidelic *-i̯ā > OI -ae. (NWI 457, 564; VGKS II 18)"	NWI 457, 564; VGKS II 18
de-goede-2014-suffix-014	14	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-it-iā	(PIt.)		"L -ia extended with -it- with nouns derived from monosyllabic adjectival
stems. Productive. Extension -itium not productive. (HCGL 301; LG 296;
NWIG 28, 66)"	"HCGL 301; LG 296;
NWIG 28, 66"
de-goede-2014-suffix-015	14	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-mō(n)-ii̯ā	(pre-L)		"L -mōnia/-mōnium forms abstracts (from all bases). It contains the rare PIE
suffix *-mō(n) extended with *-ii̯ā. Only in old formations. (HCGL 277, 314;
LG 297; NWIG 33-4)"	"HCGL 277, 314;
LG 297; NWIG 33-4"
de-goede-2014-suffix-016	14	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-nt-ii̯o-	(pre-L)		L -ntius consists of -ii̯o- added to -nt of the active participle. (HCGL 278)	HCGL 278
de-goede-2014-suffix-017	14	2.1.1	(*)-i̯-	B. Not (directly) reconstructable to PIE	*-od(i)i̯o-	(PC)		"OI -(i)d(a)e; W -aidd (MW -eid). Derives desubstantival and deadjectival
quality adjectives in both languages. This old suffix has been very productive
in the history of Irish. It possibly consists of the adjectival do-morpheme with
*i̯o-extension. (NWI 297, 357-60; SWW 467-84)"	NWI 297, 357-60; SWW 467-84
