entry,section,pdf_page,line_start,line_end
abejoti,Lithuanian,57,687,692
abu,Lithuanian,57,693,710
adata,Lithuanian,57,711,718
adyti,Lithuanian,57,719,726
aguona,Lithuanian,57,727,743
aigyti,Lithuanian,58,744,749
aikštė,Lithuanian,58,750,757
aikštis l,Lithuanian,59,758,763
aikštis 11,Lithuanian,59,764,769
ailis,Lithuanian,59,770,777
aistra,Lithuanian,59,778,783
aiškus,Lithuanian,59,784,799
aiža,Lithuanian,60,800,817
aižyti,Lithuanian,60,818,823
aka,Lithuanian,60,824,833
akėčios,Lithuanian,60,834,857
akėti,Lithuanian,61,858,865
akis,Lithuanian,61,866,885
akmuo,Lithuanian,61,886,907
akstinas,Lithuanian,62,908,921
aks tis,Lithuanian,62,922,935
akuotas,Lithuanian,62,936,953
alga,Lithuanian,63,954,964
alkanas,Lithuanian,63,965,975
alkas,Lithuanian,63,976,988
alksna,Lithuanian,64,989,1000
alksnis,Lithuanian,64,1001,1019
alkti,Lithuanian,65,1020,1031
alkūnė,Lithuanian,65,1032,1049
almė,Lithuanian,66,1050,1058
almėti,Lithuanian,66,1059,1064
almuo,Lithuanian,66,1065,1070
alpti,Lithuanian,66,1071,1080
alsas,Lithuanian,67,1081,1086
alsuoti,Lithuanian,67,1087,1095
alus,Lithuanian,67,1096,1109
alvas,Lithuanian,67,1110,1124
amalas,Lithuanian,68,1125,1134
anas,Lithuanian,68,1135,1144
anga,Lithuanian,68,1145,1152
angis,Lithuanian,69,1153,1170
anglis,Lithuanian,69,1171,1188
angus,Lithuanian,69,1189,1194
anyta,Lithuanian,69,1195,1208
anka,Lithuanian,70,1209,1219
anksti,Lithuanian,70,1220,1225
ankštas,Lithuanian,70,1226,1235
ankštiras,Lithuanian,70,1236,1245
ankštis,Lithuanian,70,1246,1253
ant,Lithuanian,71,1254,1262
antis l,Lithuanian,71,1263,1272
antis 11,Lithuanian,71,1273,1279
antras,Lithuanian,71,1280,1291
anūkas,Lithuanian,72,1292,1296
apačia,Lithuanian,72,1297,1305
apyaušris,Lithuanian,72,1306,1310
apie,Lithuanian,72,1311,1321
apyūšris,Lithuanian,72,1322,1327
apvalus,Lithuanian,72,1328,1336
apvaras,Lithuanian,73,1337,1345
ar,Lithuanian,73,1346,1354
ardamas,Lithuanian,73,1355,1360
ardas,Lithuanian,73,1361,1373
ardyti,Lithuanian,74,1374,1386
arklas,Lithuanian,74,1387,1391
arklys,Lithuanian,74,1392,1399
aršus,Lithuanian,75,1400,1405
arti l,Lithuanian,75,1406,1423
arti 11,Lithuanian,75,1424,1437
artimas,Lithuanian,76,1438,1443
artojas,Lithuanian,76,1444,1452
aržus,Lithuanian,76,1453,1460
ąsa,Lithuanian,76,1461,1470
asilas,Lithuanian,76,1471,1482
ąsotas,Lithuanian,77,1483,1488
aš,Lithuanian,77,1489,1501
ašara,Lithuanian,77,1502,1510
ašis,Lithuanian,77,1511,1525
ašmas,Lithuanian,77,1526,1539
ašmenys,Lithuanian,78,1540,1544
aštrus,Lithuanian,78,1545,1559
aštuntas,Lithuanian,78,1560,1566
aštuoni,Lithuanian,78,1567,1585
ašutas,Lithuanian,79,1586,1596
ašva,Lithuanian,79,1597,1609
ašvienis,Lithuanian,79,1610,1615
at,Lithuanian,79,1616,1631
atkarus,Lithuanian,80,1632,1637
atkusti,Lithuanian,80,1638,1644
atlaikas,Lithuanian,80,1645,1653
atolas,Lithuanian,80,1654,1663
atsailė,Lithuanian,81,1664,1668
atsala,Lithuanian,81,1669,1673
atšankė,Lithuanian,81,1674,1676
atverti,Lithuanian,81,1677,1683
au-,Lithuanian,82,1684,1699
audra,Lithuanian,82,1700,1705
auginti,Lithuanian,82,1706,1713
augmuo,Lithuanian,82,1714,1721
augti,Lithuanian,82,1722,1734
auka,Lithuanian,83,1735,1740
auklė,Lithuanian,83,1741,1747
aukoti,Lithuanian,83,1748,1753
auksas,Lithuanian,83,1754,1767
auksinas,Lithuanian,84,1768,1773
aukštas,Lithuanian,84,1774,1782
aulas,Lithuanian,84,1783,1792
aulys,Lithuanian,84,1793,1804
aumuo,Lithuanian,85,1805,1813
aure,Lithuanian,85,1814,1819
ausčioti,Lithuanian,85,1820,1830
ausis,Lithuanian,85,1831,1840
austi,Lithuanian,85,1841,1849
aušra,Lithuanian,86,1850,1865
aušti,Lithuanian,86,1866,1872
autas,Lithuanian,86,1873,1881
auti,Lithuanian,87,1882,1894
avėti,Lithuanian,87,1895,1900
avikiena,Lithuanian,87,1901,1909
avinas,Lithuanian,87,1910,1916
a vynas,Lithuanian,88,1917,1929
avis,Lithuanian,88,1930,1944
aviža,Lithuanian,88,1945,1961
ąžuolas,Lithuanian,89,1962,1973
ba,Lithuanian,89,1974,1985
badas,Lithuanian,89,1986,1990
badyti,Lithuanian,89,1991,2002
baidyti,Lithuanian,90,2003,2012
baigti,Lithuanian,90,2013,2018
bailė,Lithuanian,90,2019,2025
bailus,Lithuanian,90,2026,2032
baimė,Lithuanian,90,2033,2039
baisa,Lithuanian,90,2040,2047
baisinti,Lithuanian,91,2048,2052
baisioti,Lithuanian,91,2053,2058
baisus,Lithuanian,91,2059,2069
bajus,Lithuanian,91,2070,2075
bala,Lithuanian,91,2076,2083
balanda,Lithuanian,91,2084,2093
balandis,Lithuanian,92,2094,2102
balas,Lithuanian,92,2103,2116
baldyti,Lithuanian,93,2117,2127
balnas l,Lithuanian,93,2128,2137
balnas 11,Lithuanian,93,2138,2150
balnis,Lithuanian,93,2151,2162
balsas,Lithuanian,94,2163,2169
baltas,Lithuanian,94,2170,2181
balžienas,Lithuanian,94,2182,2198
banga,Lithuanian,95,2199,2205
barnis,Lithuanian,95,2206,2215
barti,Lithuanian,95,2216,2231
barzda,Lithuanian,96,2232,2247
barzdotas,Lithuanian,96,2248,2259
basas,Lithuanian,97,2260,2265
bandyti,Lithuanian,97,2266,2272
bauginti,Lithuanian,97,2273,2277
baugštus,Lithuanian,97,2278,2282
baugus,Lithuanian,97,2283,2293
baukti,Lithuanian,98,2294,2299
bausti,Lithuanian,98,2300,2305
baužas l,Lithuanian,98,2306,2316
be,Lithuanian,98,2317,2327
bebras,Lithuanian,98,2328,2346
bėda,Lithuanian,99,2347,2361
bėgti,Lithuanian,99,2362,2374
beigti,Lithuanian,100,2375,2381
belsti,Lithuanian,100,2382,2388
bengti,Lithuanian,100,2389,2398
bėras,Lithuanian,101,2399,2409
bergždė,Lithuanian,101,2410,2415
bergždžias,Lithuanian,101,2416,2431
bernas,Lithuanian,102,2432,2440
berti,Lithuanian,102,2441,2454
