entry,section,pdf_page,field,content,line_start,extracted_star_forms,flags
abejoti,Lithuanian,57,LITH,"abejoti [a, a] 'doubt', 3 pres. abejoja, 3 pret. abejojo",689,,
abu,Lithuanian,57,LITH,"abu 'both', f. abi",695,,
abu,Lithuanian,57,LATV,"abi 'both', f. abas",697,,
abu,Lithuanian,57,OPR,"abbai 'both', Apl. abbans",699,,
abu,Lithuanian,57,BSL,*obo?,701,*obo?,
abu,Lithuanian,57,PSL,*oba prn. 'both',703,*oba prn. 'both',
abu,Lithuanian,57,SL,"OCS oba, f. obe, n. obė; Ru. oba, f. obe, n. oba; Cz. oba, f. obė, n. obė; Pl. oba, f. obie, n. oba; SCr. oba, f. obje, n. oba; Sln. oba, f. obę, n. obę",705,,contains_non_ascii
abu,Lithuanian,57,IE,Skt. ubha- 'both'; Gk. aµ<j>w 'both'; Go. bai 'both',707,,contains_non_ascii;mojibake_candidate;unusual_symbol_for_manual_check
adata,Lithuanian,57,LITH,adata l [1/3b] 'needle',713,,
adata,Lithuanian,57,LATV,adata 'needle',715,,
adyti,Lithuanian,57,LITH,"adyti 'darn', 3 pres. ado, 3 pret. adė",721,,contains_non_ascii
adyti,Lithuanian,57,LATV,"adit 'darn', 1sg. pres. adu, 1sg. pret. adiju",723,,
aguona,Lithuanian,57,LITH,aguona 2 'poppy'; VAR maguonė 1; maguona; magūna,729,,contains_non_ascii
aguona,Lithuanian,57,LATV,"maguone 'poppy'; VAR magitona2 [uo, uo2]; magana; magane; magūne",731,,contains_non_ascii
aguona,Lithuanian,57,OPR,make (EV) 'poppy',733,,
aguona,Lithuanian,58,PSL,*mako m. o (a) 'poppy',737,*mako m. o (a,
aguona,Lithuanian,58,SL,"CS mako; Ru. mak, Gsg. maka; Cz. mak; Slk. mak; Pl. mak; SCr. mak, Gsg. maka, Gsg. maka; Sln. mak, Gsg. maka; Bulg. mak",738,,
aguona,Lithuanian,58,IE,"Gk. µKwv f.; Dor. µ&Kwv f.; OHG maho m. (following Kroonen (2011a: 311-314), I have abandoned the macron on the root vowel of this form, as written by Pokorny (IEW: 698) and others); mago m.; OS magosiimo m. 'poppyseed'; OSw. valmoghe m. (the first element means 'sleep', cf. Nw. vale ( dial.) 'deep sleep', Sw. valbjorn ( dial.) 'Schlafdorn') (Est. magun and Liv. maggon are borrowings from Baltic, probably Latvian)",740,,contains_non_ascii;control_or_replacement_char;mojibake_candidate
aigyti,Lithuanian,58,LITH,"aigyti (NE dial.) 'prick, sting, incite, beat', 3 pres. aigo, 3 pret. aigė; VAR aigyti, 3 pres. aigija, 3 pret. aigijo",746,,contains_non_ascii
aikštė,Lithuanian,58,LITH,"aikštl 3 [1/3/ 4] 'dearing, square, ground'",752,,contains_non_ascii
aikštis l,Lithuanian,59,LITH,"aikštis f.(i) 1 [1/3/4] 'whim, (Zem.) desire, passion, rage'; VAR aikšte (Zem.) 3 [1/3] 'rage'",760,,contains_non_ascii
aikštis 11,Lithuanian,59,LITH,"aikštis f. (DP, Smn.) 4 'fine weather, drought, heat'",766,,contains_non_ascii
ailis,Lithuanian,59,LITH,"ailis l 'club, stiek, spindle for spreading fishing-nets, stiek to whieh a net is attaehed'; VAR ailė",772,,contains_non_ascii
ailis,Lithuanian,59,LATV,"ailis [ai, ai2] 'part of a fish-weir to whieh fishing-baskets are attaehed, handle of a net, a pole that is used for moving heavy objeets'; VAR aile2 [ai2, ai2]",774,,
aistra,Lithuanian,59,LITH,"aistra 2 'passion, (Zem.) rabies'",780,,
aiškus,Lithuanian,59,LITH,aiškus 3 [1/3] 'clear'; VAR eiškus l,786,,contains_non_ascii
aiškus,Lithuanian,59,BSL,*ai(Ƿk-( n)-,788,*ai(Ƿk-( n,contains_non_ascii
aiškus,Lithuanian,59,PSL,*Jsn'b adj. o (a) 'clear',790,*Jsn'b adj. o (a,
aiškus,Lithuanian,59,SL,OCS jasn'b; Ru. jasny; Cz. jasny; Slk. jasny; Pl. jasny; SCr. jasan; Sln. jas;m; Bulg.jasen,792,,
aiža,Lithuanian,60,LITH,"aiža ( dial.) l [l/ 4] 'crack, chink, splinter'",802,,contains_non_ascii
aiža,Lithuanian,60,LATV,"aiza [ai, ai, ai, ai2] 'crack, chink'",804,,
aiža,Lithuanian,60,OPR,eyswo (EV) 'wound',806,,
aiža,Lithuanian,60,BSL,*oi?žwa?,808,*oi?žwa?,contains_non_ascii
aiža,Lithuanian,60,PSL,*Jzva f. a (a) 'wound',810,*Jzva f. a (a,
aiža,Lithuanian,60,SL,"OCS jazva 'wound'; Ru. jazva 'ulcer, sore, (dial.) damage, injury'; Cz. jizva 'scar, scratch'; OCz. jiezva 'scar, scratch'; Slk. jazva 'scar, scratch'; Bulg. jazva 'ulcer'",812,,
aižyti,Lithuanian,60,LITH,"aižyti [ai, ai] 'pod, shell', 3 pres. aižo, 3 pret. aižė",820,,contains_non_ascii
aka,Lithuanian,60,LITH,"aka ( dial.) 4 'ice-hole'; VAR iikas 'ice-hole (Ness.), hole ( dial.)'",826,,
aka,Lithuanian,60,LATV,aka 'well',828,,
aka,Lithuanian,60,OPR,"accodis (EV) 'rochloch, hole in the wall for the elimination of smoke'",830,,
akėčios,Lithuanian,60,LITH,aki!čios Npl. l [1/3] 'harrow'; VAR eki!čios Npl. 1/3,836,,contains_non_ascii
akėčios,Lithuanian,60,LATV,"ecešas Npl. (e, e2] 'harrow'; VAR ecekšas Npl. [e, e2]",838,,contains_non_ascii
akėčios,Lithuanian,60,OPR,aketes (EV) 'harrow',840,,
akėčios,Lithuanian,60,BSL,*es-et-i-,842,*es-et-i-,
akėčios,Lithuanian,60,PSL,*esetb f. i 'rack for drying grain',844,*esetb f. i 'rack,
