example_id,pdf_page,split_file,heading,text
8.1,110,03-chapter-2-history-of-balkan-linguistics.md,2.2.3 F. Miklosich and H. Schuchardt,"(8.1) doubled object pronouns: Bulgarian, Romanian, Modern Greek, Albanian\n[§7.5.1]"
8.2,111,03-chapter-2-history-of-balkan-linguistics.md,2.2.3 F. Miklosich and H. Schuchardt,"(8.2) formation of teens with ‘ten’ and the digits with an intervening preposition:\nBulgarian, Romanian, Albanian [§4.3.2.2]"
3.1,163,04-chapter-3-concepts-theories-methods.md,3.2.1.7 Borrowing,(3.1)        a. Où    ce-qu’ elle vient   de\nwhere that she comes from\n‘Where does she come from?’\nb. Quoi ce-qu’ ils parlent about\nwhat that they talk\n‘What are they talking about?’
3.2,186,04-chapter-3-concepts-theories-methods.md,3.2.2.10 Dialects and Diffusion,(3.2)       a. ἄρχασ-αν ... καὶ λέγ-ειν (l. 5261 (Ms. H))\nbegan-3pl       and say-inf\n‘they began (even) to say’\nb. ἄρχισ-αν ... να     λέγ-ουν (l. 5261 (Ms. P))\nbegan-3pl      sbjv say-3pl\n‘they began to say’
4.1,221,05-chapter-4-lexicon-and-semantics.md,4.1 On the Nature of Balkan Lexical Evidence and Lexical Evidence in General,"(4.1)        a. φύγει δεν φύγει ‘whether one leaves or not’                                           (Grk)\nb. peniš se ne peniš se, šte te jam ‘whether you foam or not,                            (Blg)\nI’ll eat you’\nc. spune nu spune ‘whether he says (so) or not’                                          (Rmn)\nd. vjen s’vjen aq më bën ‘whether he comes or not, I don’t care’                         (Alb)\ne. ladž na ladž o Roma vakerena peske (Jusuf 1974) ‘Shameful or not,                     (Rmi, Arli)\npeople are talking’"
4.2,227,05-chapter-4-lexicon-and-semantics.md,4.2.1.1 Non-Greek Paleo-Balkan Vocabulary,"(4.2)       Alb balgë/bajgë/bagël ‘animal manure,’ BCMS balaga/balega ‘excrement,’ BRο\nbaligă/balegă ‘droppings’, Mac (dial) balega ‘manure’"
4.3,228,05-chapter-4-lexicon-and-semantics.md,4.2.1.1 Non-Greek Paleo-Balkan Vocabulary,"(4.3)             Romanian                 Albanian\nbucurie ‘joy’            bukuri ‘beauty’\nbuză ‘lip’               buzë ‘lip’\nceafă ‘neck’             qafë ‘neck’\nciump ‘end, snag’        thumb ‘tack, stinger’\ncoacăză ‘currant’        kokë(z[ë]) ‘(little) head [blackhead, a poultry disease]’\nmal ‘riverbank’          mal ‘mountain’\nmoş ‘old (man)’          moshë ‘age’\nmugur ‘bud’              mugull ‘bud’\nțap ‘billy goat’         c[j]ap ‘ billy goat’17"
4.4,230,05-chapter-4-lexicon-and-semantics.md,4.2.1.2 Latinity (The Roman Era),"(4.4)       Lat acetum ‘vinegar’: BSl ocet (OCS ocьtъ), Alb uthull (cf. oftull in Pulevski 1875:\n93) Rmn oțet (< BSl)"
4.5,231,05-chapter-4-lexicon-and-semantics.md,4.2.1.3 Greek in the Balkans,"(4.5)). The emergence of Eastern Orthodox Christianity in the first millennium\nCE, with Greek as its liturgical language, together with the Christianization of\nthe South Slavs in the ninth century and the subsequent spread of Orthodox"
4.5,232,05-chapter-4-lexicon-and-semantics.md,4.2.1.3 Greek in the Balkans,"(4.5)       Grk ἁγίασμα ‘sanctification’: ChSl agiazma, Blg agiazma/ajazma, Mac ajazma\n‘holy water’ Alb ajazmë, Rmn aghiazmă, Aro (a)yeasmó ‘holy water’"
