level,heading,pdf_page,split_file
1,Front Matter,,00-front-matter.md
1,Contents,9,00-front-matter.md
2,1.0 Introduction                                                                                    11,9,00-front-matter.md
2,1.1 Geography                                                                                       11,9,00-front-matter.md
2,1.2 Languages                                                                                       16,9,00-front-matter.md
3,1.2.1 Dead Languages of the Balkans                                                             17,9,00-front-matter.md
3,1.2.2 Modern Languages of the Balkans                                                           27,9,00-front-matter.md
3,1.2.3 Modern Balkan Languages – Their Ancestors and Dialects                                    31,9,00-front-matter.md
2,1.3 On Maps and Toponyms                                                                            56,9,00-front-matter.md
2,1.4 Writing Systems: Albanian; Greek; Balkan Romance; Balkan Slavic;,9,00-front-matter.md
2,2.0 Introduction                                                                                    65,9,00-front-matter.md
2,2.1 Pre-History                                                                                     65,9,00-front-matter.md
2,2.2 Beginnings – J. Kopitar; A. Schleicher; F. Miklosich and H. Schuchardt                          67,9,00-front-matter.md
2,2.3 Theory and Discipline – N. Trubetzkoy and R. Jakobson; A. Seliščev,9,00-front-matter.md
2,2.4 The Modern Period                                                                               83,9,00-front-matter.md
2,"2.5 Post-Modern Balkan Linguistics: Roms, Jews, and Turks                                           86",9,00-front-matter.md
2,3.0 Introduction: Preliminaries on Language Contact                                                 97,9,00-front-matter.md
2,3.1 Languages versus Speakers                                                                       98,9,00-front-matter.md
2,3.2 Basics on Methodology                                                                          102,9,00-front-matter.md
3,3.2.1 Mechanisms Relevant in Contact-Induced Change: Bilingualism;,9,00-front-matter.md
3,3.2.2 Assessment Methods for Contact-Induced Change: Genetic/,10,00-front-matter.md
2,3.3 Methodological Consequences of the “Speaker-Plus-Dialect” Approach 151,10,00-front-matter.md
2,3.4 Sprachbunds Beyond the Balkans                                           156,10,00-front-matter.md
3,3.4.1 “External” History of the Sprachbund                               156,10,00-front-matter.md
3,3.4.2 Does Size Really Matter? On Members and Membership                 166,10,00-front-matter.md
2,3.5 Conclusion – Defining “Balkanism”                                         173,10,00-front-matter.md
2,4.0 Introduction                                                                                  179,10,00-front-matter.md
2,4.1 On the Nature of Balkan Lexical Evidence and Lexical Evidence,10,00-front-matter.md
2,4.2 Overview of Commonly Discussed Material                                                       184,10,00-front-matter.md
3,4.2.1 Borrowing of Content Words – Historically Identifiable Layers of Vocabulary: Non-Greek Paleo-Balkan Vocabulary; Latinity,10,00-front-matter.md
3,4.2.2 Entry of Foreign Affixes: Latin; Greek; Slavic; Turkish;,10,00-front-matter.md
2,4.3 Adding to the Typology of Loanwords: ERIC Loans                                               214,10,00-front-matter.md
3,"4.3.1 Kinship Terms – General Concerns, Exemplified with",10,00-front-matter.md
3,"4.3.2 Numerals: Romani and Greek; Turkish Numerals in Balkan Slavic, Romani, Albanian, Aromanian; Teens as",10,00-front-matter.md
3,4.3.3 Loans with Grammatical Value: Pronouns; Adpositions;,10,00-front-matter.md
3,4.3.4 Discourse Elements: Modifiers; Expressives; Interjections;,10,00-front-matter.md
3,4.3.5 Lexical Vocatives and Related Elements                                                  288,10,00-front-matter.md
3,4.3.6 Onomatopoeia and Related Words                                                          292,10,00-front-matter.md
3,4.3.7 Reduplication: Whole-Word Reduplication; Turkish-Origin,10,00-front-matter.md
3,"4.3.8 Diminutives, Hypocoristics, and Endearing Terms of Address                              305",10,00-front-matter.md
3,"4.3.9 Taboo Expressions, Insults, and Other Terms of Abuse: Body",11,00-front-matter.md
3,4.3.10 Isosemy: Phraseological Isosemy; Prepositional Calques                                   323,11,00-front-matter.md
3,4.3.11 Ethnographic Vocabulary                                                                  345,11,00-front-matter.md
2,4.4 Register and Style: The Position of Turkish; The Position of Romani;,11,00-front-matter.md
2,5.0 Introduction                                                            359,11,00-front-matter.md
2,5.1 Some Background and Prospects                                           359,11,00-front-matter.md
2,5.2 Localized Phonological Convergence and Bilingualism: The Mechanism of Phonological Borrowing                                               361,11,00-front-matter.md
2,5.3 Localized Phonological Convergence and Bilingualism: Some Case,11,00-front-matter.md
2,5.4 Proposed Phonological Balkanisms: A Survey                              376,11,00-front-matter.md
3,5.4.1 (Nearly) Pan-Balkan Features: Vowels                              377,11,00-front-matter.md
3,5.4.2 (Nearly) Pan-Balkan Features: Consonants                          392,11,00-front-matter.md
3,5.4.3 Regional Features: Vowels (au > av/af; Ø > a /#__C; Unstressed Initial,11,00-front-matter.md
3,5.4.4 Regional Features: Consonants (NT > ND; Elimination/Creation of Dental or Palatal Affricates; Presence/Absence of ð θ γ; mj,11,00-front-matter.md
3,5.4.5 Other Possible Phonological Balkanisms: Vowel Denasalization and Schwa; Word-Final Devoicing                                   452,11,00-front-matter.md
3,5.4.6 Some Final Thoughts on Segments and the Balkans                   458,11,00-front-matter.md
2,"5.5 Prosody: Loss; Realization, Mobility, and Adjustments in Domain",11,00-front-matter.md
2,5.6 Morphophonemic Alternations                                             479,11,00-front-matter.md
2,5.7 Expressive Phonology                                                    487,11,00-front-matter.md
2,5.8 Conclusion                                                              494,11,00-front-matter.md
2,6.0 Introduction: The Question of Morphosyntactic Balkanisms                                       495,11,00-front-matter.md
2,6.1 Nominal Morphology and Morphosyntax                                                            497,11,00-front-matter.md
3,"6.1.1 Case, an Overview: Loss, Maintenance, and Analytism:",12,00-front-matter.md
3,6.1.2 Referentiality: Deixis; Definiteness (Postposed Article; Preposed,12,00-front-matter.md
3,"6.1.3 Gender: Gender Distinctions; Borrowing, Calquing, and Other",12,00-front-matter.md
3,6.1.4 Number: Spread of Turkish Plurals; Other Plural Inflections;,12,00-front-matter.md
3,6.1.5 Adjectives – Gradation                                             625,12,00-front-matter.md
3,6.1.6 Nominal Analytism – The Matter of Causation                        632,12,00-front-matter.md
2,6.2 Verbal Morphology and Morphosyntax                                       633,12,00-front-matter.md
3,6.2.1 Tense: Borrowing of Tense Morphology; Absolute/Relative,12,00-front-matter.md
3,"6.2.2 Aspect: Aktionsart, Superordinate, Subordinate                     646",12,00-front-matter.md
3,6.2.3 Taxis and Resultativity: Pluperfect and Perfect                    665,12,00-front-matter.md
3,6.2.4 Mood: Futures; Conditionals (Attenuated Conditionals and Modal Aorists); Volitionals (Synthetic Optatives; Perfects as,12,00-front-matter.md
