table_id,title,pdf_page,split_file,heading,status
A,gives those orthographic conventions that are not uniform across the,35,00-front-matter.md,"word boundary (thus, word-initial or word-final)",raw
A,Non-uniform orthographic conventions across Balkan orthographies (except Greek),36,00-front-matter.md,"word boundary (thus, word-initial or word-final)",normalized-wide-space
A,(cont.),37,00-front-matter.md,"word boundary (thus, word-initial or word-final)",normalized-wide-space
B,gives a guide to pronunciation in Ancient Greek and in Modern Greek;,37,00-front-matter.md,"word boundary (thus, word-initial or word-final)",raw
B,Greek alphabet/pronunciation key,38,00-front-matter.md,"word boundary (thus, word-initial or word-final)",normalized-wide-space
B,(cont.),39,00-front-matter.md,"word boundary (thus, word-initial or word-final)",normalized-wide-space
3.1,Mechanisms/processes for contact-induced change – some comparisons,147,04-chapter-3-concepts-theories-methods.md,3.2.1.2 Agentivity in Language Contact Situations and Bilingualism:,normalized-wide-space
4.1,Topic distribution in Balkan handbooks 1975–2012,220,05-chapter-4-lexicon-and-semantics.md,4.1 On the Nature of Balkan Lexical Evidence and Lexical Evidence in General,normalized-wide-space
4.2,Latin loans into Greek by semantic domain,230,05-chapter-4-lexicon-and-semantics.md,4.2.1.2 Latinity (The Roman Era),normalized-wide-space
4.3,Turkish -CI,246,05-chapter-4-lexicon-and-semantics.md,4.2.2.4 Turkish By far the most important source language for derivational material in the early,raw
4.4,ERIC loanword categories,262,05-chapter-4-lexicon-and-semantics.md,4.3 Adding to the Typology of Loanwords: ERIC Loans,raw
4.4,". We start with the closed class items, both lexical and grammatical, and",264,05-chapter-4-lexicon-and-semantics.md,4.3 Adding to the Typology of Loanwords: ERIC Loans,raw
4.5,"‘11’ and ‘16’ in Alb, BRo, BSl",284,05-chapter-4-lexicon-and-semantics.md,4.3.2.2 Teens as ‘X-on-TEN’,raw
4.6,‘11’ and ‘16’ in selected non-Balkan Slavic languages,285,05-chapter-4-lexicon-and-semantics.md,4.3.2.2 Teens as ‘X-on-TEN’,raw
4.7,‘11’ and ‘16’ in selected,286,05-chapter-4-lexicon-and-semantics.md,4.3.2.2 Teens as ‘X-on-TEN’,raw
4.7,", which are simply ‘one-ten,’ ‘six-ten,’ ‘one-ten,’ and ‘ten-six’ respectively,",286,05-chapter-4-lexicon-and-semantics.md,4.3.2.2 Teens as ‘X-on-TEN’,raw
4.8,Gendered numerals in Balkan languages,287,05-chapter-4-lexicon-and-semantics.md,4.3.2.2 Teens as ‘X-on-TEN’,normalized-wide-space
4.9,Compound numerals with ‘ten’ in Balkan languages,288,05-chapter-4-lexicon-and-semantics.md,4.3.2.2 Teens as ‘X-on-TEN’,raw
4.10,‘but’ in the Balkans,307,05-chapter-4-lexicon-and-semantics.md,4.3.4.1 Connective Discourse Elements,raw
4.11,Borrowing of adversatives in the Balkans,308,05-chapter-4-lexicon-and-semantics.md,4.3.4.1 Connective Discourse Elements,raw
4.12,Selected borrowed Balkan modifiers,316,05-chapter-4-lexicon-and-semantics.md,4.3.4.2.1 Modifiers,normalized-wide-space
4.12,(cont.),317,05-chapter-4-lexicon-and-semantics.md,4.3.4.2.1 Modifiers,normalized-wide-space
