ancestral_corpus,atu,tale_title,secure_ge_70
Proto-Indo-European,328,The Boy Steals Ogre’s Treasure,false
Proto-Indo-European,330,The Smith and the Devil,true
Proto-Indo-European,402,The Animal Bride,false
Proto-Indo-European,554,The Grateful Animals,false
Proto-Western-IE,311,Rescue by Sister,false
Proto-Western-IE,328,The Boy Steals Ogre’s Treasure,false
Proto-Western-IE,330,The Smith and the Devil,true
Proto-Western-IE,332,Godfather Death,false
Proto-Western-IE,402,The Animal Bride,false
Proto-Western-IE,425C,Beauty and the Beast,false
Proto-Western-IE,470,Friends in Life and Death,false
Proto-Western-IE,500,Supernatural Helper,false
Proto-Western-IE,505,The Grateful Dead,false
Proto-Western-IE,531,The Clever Horse,false
Proto-Western-IE,554,The Grateful Animals,true
Proto-Western-IE,592,The Dance Among Thorns,false
Proto-Western-IE,650A,Strong John,false
Proto-Western-IE,675,The Lazy Boy,false
Proto-Germ-Italo-Celtic,311,Rescue by Sister,false
Proto-Germ-Italo-Celtic,328,The Boy Steals Ogre’s Treasure,true
Proto-Germ-Italo-Celtic,330,The Smith and the Devil,true
Proto-Germ-Italo-Celtic,332,Godfather Death,false
Proto-Germ-Italo-Celtic,365,The Dead Bridegroom,false
Proto-Germ-Italo-Celtic,402,The Animal Bride,true
Proto-Germ-Italo-Celtic,425C,Beauty and the Beast,false
Proto-Germ-Italo-Celtic,470,Friends in Life and Death,false
Proto-Germ-Italo-Celtic,471A,The Monk and the Bird,false
Proto-Germ-Italo-Celtic,500,Supernatural Helper,false
Proto-Germ-Italo-Celtic,501,The Three Old Spinning Women,false
Proto-Germ-Italo-Celtic,505,The Grateful Dead,false
Proto-Germ-Italo-Celtic,531,The Clever Horse,false
Proto-Germ-Italo-Celtic,554,The Grateful Animals,true
Proto-Germ-Italo-Celtic,570,The Rabbit-Herd,false
Proto-Germ-Italo-Celtic,592,The Dance Among Thorns,false
Proto-Germ-Italo-Celtic,650A,Strong John,false
Proto-Germ-Italo-Celtic,675,The Lazy Boy,false
Proto-Indo-Iranian,311,Rescue by Sister,false
Proto-Indo-Iranian,328,The Boy Steals Ogre’s Treasure,false
Proto-Indo-Iranian,402,The Animal Bride,false
Proto-Indo-Iranian,460B,The Journey,false
Proto-Indo-Iranian,531,The Clever Horse,false
Proto-Indo-Iranian,554,The Grateful Animals,false
Proto-Italo-Celtic,311,Rescue by Sister,false
Proto-Italo-Celtic,315,The Faithless Sister,false
Proto-Italo-Celtic,328,The Boy Steals Ogre’s Treasure,true
Proto-Italo-Celtic,330,The Smith and the Devil,true
Proto-Italo-Celtic,332,Godfather Death,false
Proto-Italo-Celtic,365,The Dead Bridegroom,false
Proto-Italo-Celtic,402,The Animal Bride,true
