row_id,innovation,feature_occurrence_label,source_book_page_innovation,source_book_page_feature_times,GO,ON,OE,OF,OS,OHG,VAND,BURG,Mean,SD,Lower-89CI,Higher-89CI,HDI range
1,∗ē > ∗ā/ [+stress],∗ē > ∗ā/ [+stress],221,242,0,1,1,1,1,1,0,0,1.9,0.56,0.87,2.57,1.7
2,∗-ī > ∗-i / _#,∗-ī > ∗-i / _#,221,242,0,1,1,1,1,1,?,?,1.9,0.59,0.8,2.62,1.82
3,∗-ō > ∗-u/ [-stress] _#,∗-ō > ∗-u/ [-stress] _#,221,242,0,1,1,1,1,1,0,0,1.86,0.56,0.93,2.62,1.69
4,∗-wū > ∗-u,∗-wū > ∗-u,221,242,0,1,1,1,1,1,0,0,1.82,0.66,0.96,2.79,1.83
5,∗a > ∗u/ _∗m,∗a > ∗u/ _∗m,221,242,1,1,1,1,1,1,?,?,2.08,0.57,1.25,2.8,1.55
6,∗a > ∗i / [-stress] _ n,∗a > ∗i / [-stress] _ n,221,242,1,1,1,1,1,1,?,?,2.22,0.4,1.79,2.78,0.99
7,∗ai > ∗ē,∗ai > ∗ē,221,242,1,1,1,1,1,1,1,0,2.48,0.28,2.2,2.8,0.6
8,∗u > ∗[o]/ ]σ [-high],∗u > ∗[o]/ ]σ [-high],221,242,0,1,1,1,1,1,0,0,1.99,0.55,1.16,2.78,1.62
9,∗ō > ∗ū / _ [σ,∗ō > ∗ū / _ [σ,221,242,0,1,0,1,1,1,1,0,1.87,0.67,0.8,2.69,1.89
10,∗V12 > ∗V̄ 3,∗V1V2 > ∗V̄ 3,221,242,0,1,1,1,1,1,0,0,1.92,0.61,0.9,2.66,1.76
11,∗kw > ∗kw,∗kw > ∗kw,221,242,0,1,1,1,1,1,?,?,2.01,0.56,0.97,2.69,1.72
12,∗kw > ∗kkw,∗kw > ∗kkw,221,242,0,1,1,1,1,1,?,?,2.05,0.56,1.1,2.8,1.7
13,dual > ∅,dual > ∅,221,242,0,1,1,1,1,1,?,?,2.09,0.58,1.08,2.8,1.72
14,3 imp. > ∅,3 imp. > ∅,221,242,0,1,1,1,1,1,?,?,2.02,0.49,1.32,2.8,1.48
15,pres. pass. > ∅,pres. pass. > ∅,221,242,0,1,1,1,1,1,?,?,2.04,0.59,1.1,2.8,1.7
16,"∗-miz, ∗-maz > ∗-maz","∗-miz, ∗-maz > ∗-maz",221,242,0,1,1,1,1,1,?,?,1.96,0.63,0.93,2.74,1.81
17,∗-aiz- > ∗-ez-,∗-aiz- > ∗-ez-,221,242,0,1,1,1,1,1,?,?,1.87,0.55,0.96,2.72,1.76
18,"∗-ded-, ∗-d- > ∗-d-","∗-ded-, ∗-d- > ∗-d-",221,242,1,1,1,1,1,1,?,?,2.28,0.49,1.72,2.8,1.08
19,voc. > ∅,voc. > ∅,221,242,0,1,1,1,1,1,?,?,2.23,0.46,1.48,2.8,1.32
20,∗-um(m)ē > ∗-um,∗-um(m)ē > ∗-um,221,242,0,1,1,1,1,1,?,?,2.05,0.57,0.81,2.69,1.88
21,∗-ēm > ∗-um,∗-ēm > ∗-um,221,242,0,1,1,1,1,1,?,?,1.82,0.69,0.93,2.75,1.82
22,∗-ū-,∗-ū-,221,242,1,1,1,1,1,1,0,?,2.33,0.46,1.62,2.8,1.18
23,-u(-) (appearance),-u(-) (appearance),221,242,0,1,1,1,1,1,?,?,1.85,0.5,1.21,2.8,1.59
24,-u(-) (spread),-u(-) (spread),222,243,0,1,1,1,1,1,?,?,1.96,0.63,0.96,2.72,1.76
25,"∗þrij- > ∗þrijō, ∗þrijˉo¸","∗þrij- > ∗þrijō, ∗þrijˉo¸",222,243,0,1,1,1,1,1,?,?,1.96,0.6,0.8,2.61,1.81
26,∗tigiwiz,∗tigiwiz,222,243,0,1,1,1,1,1,?,?,1.78,0.58,0.8,2.46,1.66
27,∗hwī,∗hwī,222,243,0,1,1,1,1,1,?,?,2.04,0.48,1.38,2.79,1.41
28,∗hir > ∗hēr (lengthening),∗hir > ∗hēr (lengthening),222,243,1,1,1,1,1,1,?,?,2.43,0.31,2.04,2.8,0.76
29,∗hir > ∗hēr (lowering),∗hir > ∗hēr (lowering),222,243,1,1,0,0,1,1,?,?,1.96,0.6,0.91,2.78,1.87
