row_id	source_book_page	source_pdf_page	table	feature	Mean	SD	Lower-89CI	Higher-89CI	HDI range
1	242	261	A.22	∗ē > ∗ā/ [+stress]	1.9	0.56	0.87	2.57	1.7
2	242	261	A.22	∗-ī > ∗-i / _#	1.9	0.59	0.8	2.62	1.82
3	242	261	A.22	∗-ō > ∗-u/ [-stress] _#	1.86	0.56	0.93	2.62	1.69
4	242	261	A.22	∗-wū > ∗-u	1.82	0.66	0.96	2.79	1.83
5	242	261	A.22	∗a > ∗u/ _∗m	2.08	0.57	1.25	2.8	1.55
6	242	261	A.22	∗a > ∗i / [-stress] _ n	2.22	0.4	1.79	2.78	0.99
7	242	261	A.22	∗ai > ∗ē	2.48	0.28	2.2	2.8	0.6
8	242	261	A.22	∗u > ∗[o]/ ]σ [-high]	1.99	0.55	1.16	2.78	1.62
9	242	261	A.22	∗ō > ∗ū / _ [σ	1.87	0.67	0.8	2.69	1.89
10	242	261	A.22	∗V1V2 > ∗V̄ 3	1.92	0.61	0.9	2.66	1.76
11	242	261	A.22	∗kw > ∗kw	2.01	0.56	0.97	2.69	1.72
12	242	261	A.22	∗kw > ∗kkw	2.05	0.56	1.1	2.8	1.7
13	242	261	A.22	dual > ∅	2.09	0.58	1.08	2.8	1.72
14	242	261	A.22	3 imp. > ∅	2.02	0.49	1.32	2.8	1.48
15	242	261	A.22	pres. pass. > ∅	2.04	0.59	1.1	2.8	1.7
16	242	261	A.22	∗-miz, ∗-maz > ∗-maz	1.96	0.63	0.93	2.74	1.81
17	242	261	A.22	∗-aiz- > ∗-ez-	1.87	0.55	0.96	2.72	1.76
18	242	261	A.22	∗-ded-, ∗-d- > ∗-d-	2.28	0.49	1.72	2.8	1.08
19	242	261	A.22	voc. > ∅	2.23	0.46	1.48	2.8	1.32
20	242	261	A.22	∗-um(m)ē > ∗-um	2.05	0.57	0.81	2.69	1.88
21	242	261	A.22	∗-ēm > ∗-um	1.82	0.69	0.93	2.75	1.82
22	242	261	A.22	∗-ū-	2.33	0.46	1.62	2.8	1.18
23	242	261	A.22	-u(-) (appearance)	1.85	0.5	1.21	2.8	1.59
24	243	262	A.23	-u(-) (spread)	1.96	0.63	0.96	2.72	1.76
25	243	262	A.23	∗þrij- > ∗þrijō, ∗þrijˉo¸	1.96	0.6	0.8	2.61	1.81
26	243	262	A.23	∗tigiwiz	1.78	0.58	0.8	2.46	1.66
27	243	262	A.23	∗hwī	2.04	0.48	1.38	2.79	1.41
28	243	262	A.23	∗hir > ∗hēr (lengthening)	2.43	0.31	2.04	2.8	0.76
29	243	262	A.23	∗hir > ∗hēr (lowering)	1.96	0.6	0.91	2.78	1.87
30	243	262	A.23	∗jūz, ∗jūt > ∗jīz, ∗jīt	2.17	0.42	1.72	2.8	1.08
31	243	262	A.23	∗uban-	2.1	0.61	1.14	2.8	1.66
32	243	262	A.23	Null subject	2.2	0.47	1.47	2.8	1.33
33	243	262	A.23	∗hwaþeraz	1.98	0.65	0.8	2.67	1.87
34	243	262	A.23	∗-(i)ji- > ∗-ī-	1.64	0.64	0.8	2.53	1.73
35	243	262	A.23	∗d (/ð/) > /d/ / r _	2.41	0.35	2	2.8	0.8
36	243	262	A.23	-a	1.65	0.66	0.8	2.5	1.7
37	243	262	A.23	∗-ā-	1.64	0.6	0.8	2.6	1.8
38	243	262	A.23	∗-z- ~ ∗-s-; ∗-d- ~ ∗-þ-	1.55	0.59	0.8	2.52	1.72
39	243	262	A.23	∗u > ∗u, ∗o	2.17	0.64	0.88	2.8	1.92
40	243	262	A.23	∗a, ∗ą > ∅/ _ (∗-z)#	2.13	0.55	1.18	2.8	1.62
41	243	262	A.23	∗-u > ∅/ CC _#	1.71	0.51	0.8	2.36	1.56
42	243	262	A.23	∗zw, ∗dw > ∗ww	1.87	0.55	1.16	2.75	1.59
43	243	262	A.23	∗V[ð]V > ∗V[d]V	1.65	0.64	0.8	2.57	1.77
44	243	262	A.23	∗Vwu- > ∗Vu	1.78	0.51	0.82	2.41	1.59
45	244	263	A.24	∗-z > ∅	1.88	0.55	1.1	2.74	1.64
46	244	263	A.24	∗Cj > ∗ʋjʋj	1.83	0.6	0.95	2.67	1.72
47	244	263	A.24	∗C(l/r) > ∗CC(l/r)	1.83	0.49	0.83	2.46	1.63
48	244	263	A.24	∗Ṽ# > ∗V	2.04	0.58	1.18	2.8	1.62
49	244	263	A.24	∗-i, ∗-u > ∅	1.65	0.64	0.8	2.55	1.75
50	244	263	A.24	∗-ō(r) > ∗-ā(r)#	2.07	0.56	1.16	2.8	1.64
51	244	263	A.24	∗-V̄ r# > ∗-Vr	1.78	0.66	0.8	2.62	1.82
52	244	263	A.24	∗ō > ∗ū / _n#	1.77	0.61	0.96	2.78	1.82
53	244	263	A.24	∗C(C)V > ∗C(C)V	2	0.54	1.19	2.79	1.6
54	244	263	A.24	∗-jj-, ∗-ww- > ∗-ij-, ∗-uw-	1.84	0.6	0.81	2.62	1.81
55	244	263	A.24	∗-ī- ~ ∗-ija- > ∗-i- ~ ∗-ija-	1.91	0.56	1.22	2.78	1.56
56	244	263	A.24	∗-i- > ∅/ -t/d- _ -d-	1.73	0.6	0.8	2.55	1.75
57	244	263	A.24	∗walid- > ∗waldē	1.86	0.64	0.96	2.78	1.82
58	244	263	A.24	∗/x/ > ∗[h] / #_	1.76	0.68	0.8	2.67	1.87
59	244	263	A.24	∗z, ∗r > ∗r	2.09	0.58	1.05	2.8	1.75
60	244	263	A.24	∗-izd- > ∗-īd-	1.8	0.62	0.98	2.74	1.76
61	244	263	A.24	∗-īn > ∗-ī	1.85	0.53	0.97	2.66	1.69
62	244	263	A.24	dat., inst. > dat.	2.1	0.53	1.4	2.8	1.4
