row_id,source_book_page,source_pdf_page,table,innovation,GO,ON,OE,OF,OS,OHG,VAND,BURG
1,221,240,A.1,∗ē > ∗ā/ [+stress],0,1,1,1,1,1,0,0
2,221,240,A.1,∗-ī > ∗-i / _#,0,1,1,1,1,1,?,?
3,221,240,A.1,∗-ō > ∗-u/ [-stress] _#,0,1,1,1,1,1,0,0
4,221,240,A.1,∗-wū > ∗-u,0,1,1,1,1,1,0,0
5,221,240,A.1,∗a > ∗u/ _∗m,1,1,1,1,1,1,?,?
6,221,240,A.1,∗a > ∗i / [-stress] _ n,1,1,1,1,1,1,?,?
7,221,240,A.1,∗ai > ∗ē,1,1,1,1,1,1,1,0
8,221,240,A.1,∗u > ∗[o]/ ]σ [-high],0,1,1,1,1,1,0,0
9,221,240,A.1,∗ō > ∗ū / _ [σ,0,1,0,1,1,1,1,0
10,221,240,A.1,∗V12 > ∗V̄ 3,0,1,1,1,1,1,0,0
11,221,240,A.1,∗kw > ∗kw,0,1,1,1,1,1,?,?
12,221,240,A.1,∗kw > ∗kkw,0,1,1,1,1,1,?,?
13,221,240,A.1,dual > ∅,0,1,1,1,1,1,?,?
14,221,240,A.1,3 imp. > ∅,0,1,1,1,1,1,?,?
15,221,240,A.1,pres. pass. > ∅,0,1,1,1,1,1,?,?
16,221,240,A.1,"∗-miz, ∗-maz > ∗-maz",0,1,1,1,1,1,?,?
17,221,240,A.1,∗-aiz- > ∗-ez-,0,1,1,1,1,1,?,?
18,221,240,A.1,"∗-ded-, ∗-d- > ∗-d-",1,1,1,1,1,1,?,?
19,221,240,A.1,voc. > ∅,0,1,1,1,1,1,?,?
20,221,240,A.1,∗-um(m)ē > ∗-um,0,1,1,1,1,1,?,?
21,221,240,A.1,∗-ēm > ∗-um,0,1,1,1,1,1,?,?
22,221,240,A.1,∗-ū-,1,1,1,1,1,1,0,?
23,221,240,A.1,-u(-) (appearance),0,1,1,1,1,1,?,?
24,222,241,A.2,-u(-) (spread),0,1,1,1,1,1,?,?
25,222,241,A.2,"∗þrij- > ∗þrijō, ∗þrijˉo¸",0,1,1,1,1,1,?,?
26,222,241,A.2,∗tigiwiz,0,1,1,1,1,1,?,?
27,222,241,A.2,∗hwī,0,1,1,1,1,1,?,?
28,222,241,A.2,∗hir > ∗hēr (lengthening),1,1,1,1,1,1,?,?
29,222,241,A.2,∗hir > ∗hēr (lowering),1,1,0,0,1,1,?,?
30,222,241,A.2,"∗jūz, ∗jūt > ∗jīz, ∗jīt",0,1,1,1,1,1,?,?
31,222,241,A.2,∗uban-,0,1,1,1,1,1,?,?
32,222,241,A.2,Null subject,0,1,1,1,1,1,?,?
33,222,241,A.2,∗hwaþeraz,0,1,1,1,1,1,?,?
34,222,241,A.2,∗-(i)ji- > ∗-ī-,1,1,0,0,0,0,?,?
35,222,241,A.2,∗d (/ð/) > /d/ / r _,1,1,1,1,1,1,?,?
36,222,241,A.2,-a,1,1,0,0,0,0,?,?
37,222,241,A.2,∗-ā-,1,1,0,0,0,0,?,?
38,222,241,A.2,∗-z- ~ ∗-s-; ∗-d- ~ ∗-þ-,1,1,0,0,0,0,?,?
39,222,241,A.2,"∗u > ∗u, ∗o",0,0,1,1,1,1,0,1
40,222,241,A.2,"∗a, ∗ą > ∅/ _ (∗-z)#",0,0,1,1,1,1,1,0
41,222,241,A.2,∗-u > ∅/ CC _#,0,0,1,1,1,1,0,0
42,222,241,A.2,"∗zw, ∗dw > ∗ww",0,0,1,1,1,1,?,?
43,222,241,A.2,∗V[ð]V > ∗V[d]V,0,0,1,1,1,1,0,0
44,222,241,A.2,∗Vwu- > ∗Vu,0,0,1,1,1,1,0,0
45,222,241,A.2,∗-z > ∅,0,0,1,1,1,1,0,0
46,222,241,A.2,∗Cj > ∗ʋjʋj,0,0,1,1,1,1,0,0
47,223,242,A.3,∗C(l/r) > ∗CC(l/r),0,0,1,1,1,1,?,?
48,223,242,A.3,∗Ṽ# > ∗V,0,0,1,1,1,1,?,?
49,223,242,A.3,"∗-i, ∗-u > ∅",0,0,1,1,1,1,?,?
50,223,242,A.3,∗-ō(r) > ∗-ā(r)#,0,0,1,1,1,1,?,?
51,223,242,A.3,∗-V̄ r# > ∗-Vr,0,0,1,1,1,1,?,?
52,223,242,A.3,∗ō > ∗ū / _n#,0,0,1,1,1,1,?,?
53,223,242,A.3,∗C(C)V > ∗C(C)V,0,1,1,1,1,1,?,?
54,223,242,A.3,"∗-jj-, ∗-ww- > ∗-ij-, ∗-uw-",0,0,1,1,1,1,1,?
