type	key_or_author	entry
abbreviation	AE	AE = L’Année épigraphique, Revue des publications épigraphiques relatives à l’Antiquité romaine. Paris.
abbreviation	ALEW	ALEW = Hock, W., with E.-J. Bukevičiūtė, C. Schiller, R. Fecht, A. H. Feulner, E. Hill, & D. S. Wodtko 2015 Altlitauisches etymologisches Wörterbuch, 2 vols. Hamburg, Baar-Verlag.
abbreviation	B3	B3 = the long Celtiberian inscription from Botorrita, forms cited from Beltrán, F., J. de Hoz, J. Untermann 1996 El tercer bronce de Botorrita (Contrebia Belaisca), Colección Arqueología 19. Aragon.
abbreviation	CIIC	CIIC = Macalister, R. A. S. 1996 Corpus Inscriptionum Insularum Celticarum. Blackrock, Co. Dublin, Four Courts Press. First published Dublin, Stationery Office, 1945, 1949.
abbreviation	CIL II	CIL II = Hüber, E. 1869–92 Corpus Inscriptionum Latinarum II. Inscriptiones Hispaniae Latinae. Berlin. Inscriptionum Latinarum Supplementum. Berlin.
abbreviation	CIL VI	CIL VI = Henzen, G., I. B. De Rossi, E. Borman, C. Huelsen, M. Bang 1876–1989 Corpus Inscriptionum Latinarum VI. Inscriptiones Urbis Romae Latinae. Partes I–VII. Berlin.
abbreviation	CIL XII	CIL XII = Corpus inscriptionum Latinarum XII. Inscriptiones Galliae Narbonenis Latinae, ed. O. Hirschfeld 1888. Berlin.
abbreviation	CIL XIII	CIL XIII = Corpus inscriptionum Latinarum XIII. Inscriptiones trium Galliarum et Germaniarum Latinae, ed. O. Hirschfeld, C. Zangemeister 1899– 1943. Berlin.
abbreviation	CIL XVI	CIL XVI = Corpus inscriptionum Latinarum XVU. Diplomata militaria. Post Th. Mommsen, ed. H. Nesselhauf. 1936. Berlin.
abbreviation	CIL II 2/5	CIL II 2/5 = Stylow, A. U., R. Atencia, J. González, C. González, M. Pastor, P. Rodríguez 1998 Corpus Inscriptionum Latinarum II. Inscriptiones Hispaniae Latinae. Editio Altera. Pars V. Conventus Astigitanus.
abbreviation	CIL II 2/7	CIL II 2/7 = Stylow, A. U. (ed.) 1995 Corpus inscriptionum Latinarum. Vol. II editio altera, Inscriptiones Hispaniae Latinae. CIL II / 2. Pars VII. Conventus Cordubensis. Berlin / New York.
abbreviation	CIL 2/14	CIL 2/14 = Alföldy, G., M. Clauss, M. Mayer 1995 Corpus Inscriptionum Latinarum II. Inscriptiones Hispaniae Latinae. Editio Altera. Pars XIV, fasiculis I. Pars meridionalis conventus Tarraconenis. Berlin / New York.
abbreviation	CILA Huelva	CILA Huelva = González, J. 1989 Corpus de inscripciones latinas de Andalucía. Vol. I Huelva. Sevilla.
abbreviation	CILCC I	CILCC I = Esteban Ortega, J. 2007 Corpus de inscripciones latinas de Cáceres. Vol. I. Norba, Universidad de Extremadura, Cáceres.
abbreviation	CIRG II	CIRG II = Baños, G. 1994 Corpus de inscricións romanas de Galicia ( = CIRG) II: Provincia de Pontevedra. Santiago de Compostela.
abbreviation	CIRPZ	CIRPZ = Alonso Ávila, A., & S. Crespo Ortiz de Zárate 2000 Corpus de inscripciones romanas de la provincia de Zamora. Valladolid.
abbreviation	CPILC	CPILC = Hurtado de San Antonio, R. 1977 Corpus provincial de inscripciones latinas (Cáceres). Cáceres, Diputación Provincial de Cáceres.
abbreviation	DAG	DAG = Whatmough, J. 1970 The Dialects of Ancient Gaul: Prolegomena and Records of the Dialects. New ed. Cambridge, Mass., Harvard University Press.
abbreviation	ECMW	ECMW = Nash-Williams, V. E. 1950 The Early Christian Monuments of Wales. Cardiff, University of Wales Press.
abbreviation	eDIL	eDIL = Electronic Dictionary of the Irish Language. http://www.dil.ie/
abbreviation	EE	EE = Ephemeris epigraphica.
abbreviation	ERAsturias	ERAsturias = Diego Santos, F. 1985 Epigrafía romana de Asturias. Oviedo.
abbreviation	ERAv	ERAv = Hernando Sobrino, M. R. 2005 Epigrafía romana de Ávila, Petrae Hispaniarum 4. Burdeos.
abbreviation	ERCan	ERCan = Iglesias, J. M., & A. Ruiz 1998 Epigrafía romana de Cantabria. Bordeaux / Santander.
abbreviation	ERCon	ERCon = Étienne, R., G. Fabre, M. Lévêque & P. Lévêque 1976 Fouilles de Conimbriga II. Épigraphie et sculpture, Paris.
abbreviation	ERPL	ERPL = Rabanal Alonso, M. A., & S. M.ª García Martínez 2001 Epigrafía romana de la provincia de León: revisión y actualizaciones. León. ERRBragança = Redentor, A. 2002 Epigrafia romana da região de Bragança, Trabalhos de Arqueologia 24. Lisboa.
abbreviation	ERSg	ERSg = Santos Yanguas, J., Á. L. Hoces de la Guardia Bermejo & J. del Hoyo 2005 Epigrafía romana de Segovia y su provincial. Segovia, Caja Segovia/ Diputación Provincial de Segovia.
abbreviation	ERZamora	ERZamora = Bragado Toranzo, J. M.a 1991 Fuentes literarias y epigráficas de la provincial de Zamora y su relación con las vías romanas de la Cuenca del Duero. Universidad de León.
abbreviation	FE	FE = Ficheiro Epigráfico. Suplemento de Conimbriga. Coimbra.
abbreviation	GOI	GOI = Thurneysen, R. 1975 A Grammar of Old Irish, trans. D. A. Binchy & O. Bergin. Rev. and enlarged edn. Dublin, Dublin Institute for Advanced Studies. First published, 1946.
abbreviation	GPC	GPC = Geiriadur Prifysgol Cymru, A Dictionary of the Welsh Language. Caerdydd, Gwasg Prifysgol Cymru, 1950–2002. http://welsh-dictionary.ac.uk/gpc/gpc.html
abbreviation	GPN	GPN = Evans, D. E. 1967 Gaulish Personal Names: A Study of Some Continental Celtic Formations. Oxford, Clarendon.
abbreviation	HAE	HAE = Hispania Antiqua Epigraphica, Supplemento annual de Archivo Español de Arqueología. Madrid, Consejo Superior de Investigaciones Científicas.
abbreviation	HEp	HEp = Hispania Epigraphica, Archivo Epigráfico de Hispania. Madrid, Universidad Complutense.
abbreviation	HB	HB = Historia Brittonum, ed. & trans. J. Morris 1980 British history and the Welsh annals, History from the Sources 8. London & Chichester, Phillimore.
abbreviation	Holder, AcS	Holder, AcS = Holder, A. 1896–1913 Alt-celtischer Sprachschatz. 3 vols. Leipzig, Teubner.
abbreviation	IdgEW	IdgEW = Pokorny, J. 2002 Indogermanisches etymologisches Wörterbuch. 4th ed. 2 vols. Tübingen: A. Francke.
abbreviation	ILER	ILER = Vives, J. 1971–2 Inscripciones latinas de la España romana I–II. Barcelona.
abbreviation	IRG IV	IRG IV = Lorenzo, J., Á. d´Ors & F. Bouza 1968 Inscripciones romanas de Galicia, Vol IV. Provincia de Orense. Santiago de Compostela.
abbreviation	IRLugo	IRLugo = Arias, F., P. Le Roux & A. Tranoy 1979 Inscriptions romaines de la province de Lugo. Paris, Diffusion de Boccard.
abbreviation	IRPL	IRPL = Diego Santos, F. 1986 Inscripciones romanas de la provincia de León. León, Diputación Provincial de León.
abbreviation	LEIA	LEIA = Vendryès, J. 1959– Lexique étymologique de l’irlandais ancien. Dublin, Dublin Institute for Advanced Studies.
abbreviation	LHEB	LHEB = Jackson, K. H. Language and History in Early Britain: A Chronological Survey of the Brittonic Languages from the 1st to the 12th c. AD. 2nd rev. ed. Dublin, Four Courts Press 1994; First published, Edinburgh, Edinburgh University Press, 1953.
abbreviation	LIV	LIV = Rix, H. 2001 Lexikon der indogermanischen Verben. Wiesbaden, Ludwig Reichert.
abbreviation	MLH IV	MLH IV = Untermann, J. (mit D. S. Wodtko) 1997 Monumenta Linguarum Hispanicarum. Band IV. Die tartessischen, keltiberischen und lusitanischen Inschriften. Wiesbaden, Ludwig Reichert.
abbreviation	MLH V.1	MLH V.1 = Wodtko, D. S. 2000 Monumenta Linguarum Hispanicarum 5.1, Wörterbuch der keltiberischen Inschriften, ed. J. Untermann. Wiesbaden, Ludwig Reichert.
abbreviation	OED	OED = OED Online. Oxford University Press, March 2020. https://www.oed.com/
abbreviation	Ptolemy	Ptolemy = Müller, K. (ed.) 1883–1901 Claudii Ptolemaei Geographia. 2 vols. Paris, Firmin Didot.
abbreviation	RIB 1	RIB 1 = R. G. Collingwood & R. P. Wright 1965 The Roman Inscriptions of Britain I, Inscriptions on Stone. Oxford, Oxford University Press.
abbreviation	RIG	RIG = Duval, P.-M. (ed.) 1985– Recueil des inscriptions gauloises, sous la direction de P.-M. Duval. Paris, Centre national de la recherche scientifique. vol. 1 Testes gallo-grecs, M. Lejeune, 1985. vol. 2–1 Textes gallo-étrusques. Textes gallo-latins sur pierre, M. Lejeune, 1998.
abbreviation	VKG	VKG = H. Pedersen, 1909–13 Vergleichende Grammatik der keltischen Sprachen. Göttingen, Vandenhoeck and Ruprecht.
