category,before,after,count,confidence,verification,reason
control-character,,~,1,high,page-image p.596,Replace residual U+0010 control glyph in *þwerha- entry with visible alternation marker.
unclear-resolution,"at.t[unclear]w, 21","ἄλεξω, 21",1,medium-high,page-image p.804,Resolved remaining [unclear] marker on index page 804.
unclear-resolution,"au[unclear]w, 566","αὔξω, 566",1,medium-high,page-image p.804,Resolved remaining [unclear] marker on index page 804.
unclear-resolution,"a[unclear]lVTJ, 19","ἀξίνη, 19",1,medium-high,page-image p.804,Resolved remaining [unclear] marker on index page 804.
unclear-resolution,"a[unclear]wv, 6","ἄξων, 6",1,medium-high,page-image p.804,Resolved remaining [unclear] marker on index page 804.
unclear-resolution,"at[unclear]w, 566","αὔξω, 566",1,medium-high,page-image p.804,Resolved remaining [unclear] marker on index page 804.
unclear-resolution,"[unclear]Ka, 491","ἧκα, 491",1,medium-high,page-image p.805,Resolved remaining [unclear] marker on index page 805.
unclear-resolution,"[unclear]pl, 12","ἦρι, 12",1,medium-high,page-image p.805,Resolved remaining [unclear] marker on index page 805.
unclear-resolution,"[unclear]TOp, 120","ἦτορ, 120",1,medium-high,page-image p.805,Resolved remaining [unclear] marker on index page 805.
unclear-resolution,"cpapuy[unclear], S3","φάρυγξ, 53",1,medium-high,page-image p.808,Resolved remaining [unclear] marker on index page 808.
unclear-resolution,"TETpa[unclear], 535","τέτραξ, 535",1,medium-high,page-image p.808,Resolved remaining [unclear] marker on index page 808.
residual-fJ-slash-artifact,ON pfugr adj.,ON ǫfugr adj.,1,high,page-image p.40,Corrected visible residual artifact in the *abuha- entry.
residual-fJ-slash-artifact,"Far. fJVigur, /i1vugur adj.","Far. øvigur, øvugur adj.",1,high,page-image p.40,Corrected visible residual artifact in the *abuha- entry.
residual-fJ-slash-artifact,\*h₂ep6 ,\*h₂epó ,1,high,page-image p.40,Corrected visible residual artifact in the *abuha- entry.
residual-thorn-angle-artifact,Go. alpeis adj.,Go. alþeis adj.,1,high,page-image p.58,Corrected the *alda- opening and related forms.
residual-thorn-angle-artifact,\*alpja-,\*alþja-,1,high,page-image p.58,Corrected the *alda- opening and related forms.
residual-thorn-angle-artifact,\*h₂el-t6-,\*h₂el-tó-,2,high,page-image p.58,Corrected the *alda- opening and related forms.
residual-thorn-angle-artifact,\*h₂e/-to-,\*h₂el-to-,1,high,page-image p.58,Corrected the *alda- opening and related forms.
residual-thorn-angle-artifact,W al/t f.,W allt f.,1,high,page-image p.58,Corrected the *alda- opening and related forms.
residual-thorn-angle-artifact,\*a/pin-,\*alþīn-,1,high,page-image p.58,Corrected the *alda- opening and related forms.
residual-slash-angle-artifact,Gr. WJ.o<; adj.,Gr. ἄλλος adj.,1,high,page-image p.61,Corrected *alja-/*aljan- entry artifacts.
residual-slash-angle-artifact,Lat. a/ius,Lat. alius,1,high,page-image p.61,Corrected *alja-/*aljan- entry artifacts.
residual-slash-angle-artifact,"Oir. ai/e, W ei/ pron.","OIr. aile, W eil pron.",1,high,page-image p.61,Corrected *alja-/*aljan- entry artifacts.
residual-slash-angle-artifact,•a/Jan- w.v.,"
\*aljan- w.v.",1,high,page-image p.61,Corrected *alja-/*aljan- entry artifacts.
