token,count
\*l<uit-n6-,2
\*l<ueit-n6-,2
\*l<uit-no-,2
\*l<uoit-o-,2
6p<pav6c,2
bl<ith,2
t<i,2
\*l<nk-enti,2
\*l<el-e-,2
\*l<i-,2
c<ax,2
kj<i,2
l<igr,2
l<igur,2
m<il,2
\*-J<o-,2
r<ifr,2
\*smol<ru-,2
t<ikti,2
l<ita,2
\*l<p2n-on-,1
\*l<p3-ro-,1
\*l<oh₃-r6-,1
sth<lvira-,1
\*h₂ef<w-ieh₂-,1
\*h₂ef<w-eh₂-,1
eru<J,1
"an:-E<ppUO""EV",1
\*h₃e'J<w-,1
aTJ<AoL,1
j<igoda,1
16dj<i,1
\*h₂elg<hl-os-,1
amb<itt,1
an<ikti,1
anj<inti,1
v<iyati,1
l<ize,1
\*bhoru-J<o-,1
\*h₂rt-J<o-,1
potenti<l.l,1
bl<ir,1
bl<iur,1
bl<i,1
b<izu-,1
br<iwa,1
b<ildyti,1
b<JTCJti-,1
d<il,1
\*so'f<wH-i6-,1
d<ini,1
dhi.r<iyati,1
'9E<nϗ,1
\*suel<uro(Szemerenyi,1
TU<pOL,1
h<ir-doora,1
d<idra,1
TUYX<lvw,1
dadh<ir!ja,1
\*p6i<k'lo-,1
\*poirJ<l-o-,1
\*p6iJ<o-,1
\*po(f<l-neh₂-,1
p<ifo-,1
parfr<i-,1
\*perJc<wl-n-ieh₂-,1
\*perJ<w-o-,1
\*perJ<w-u-,1
p<irut,1
ji<l!tur,1
\*penJ<w-tHo-,1
\*pnJ<w-tH6-,1
pl<ikanas,1
pl<iukas,1
r<l!v,1
g<ia,1
g<i(a)-leysur,1
hal'!ls<i-,1
gr<ina,1
harmy<i-,1
\*f<en>,1
of\*f<en,1
\*l<eid-e-(?,1
\*l<elh₂-m,1
\*l<lh₂-m-6s,1
\*l<bz-mr-h₂-,1
\*l<onh₂-m6n,1
\*l<onh₂-mn-6s,1
\*!J<lont-u-,1
\*l<onk-(t)o,1
\*l<onk-ei,1
\*l<onk-is-to-,1
\*l<onk-u-,1
\*J<nt-o-,1
kr<itak,1
•rJ<lh₃-,1
kil<i,1
\*\*k<ill,1
hv<ill,1
\*J<opH-o-,1
\*l<h₁s-ie-,1
\*l<eh₁s-,1
\*l<h₁s-,1
\*l<eh₁s-ti,1
\*l<el-mn-,1
\*l<lp-neh₂-,1
\*CJ<Jerdh-io-,1
\*l<ermH-ie-(?,1
\*l<rmH-ie-,1
\*l<erh₂-s-on-,1
\*J<r-h₂-es-n-,1
\*l<er-h₂-s-,1
\*J<erh₂-s-ro-,1
\*l<erh₂-s-on,1
\*l<rh₂-s-n-,1
\*l<i,1
\*l<i-uet-es,1
\*J<e,1
\*l<i-oh₁,1
\*J<i-or,1
\*l<i-or,1
\*J<i-r,1
sfghr<i-,1
\*l<i-Kelhi-,1
\*l<loi-uo(IE,1
\*l<lei-,1
\*l<lus-ti-,1
\*l<lus-,1
\*J<lus-6-,1
\*l<lous-o-,1
KVll<flll,1
c<ak',1
\*J<ok-,1
\*J<ok-h₂-,1
\*J<ok-on-,1
\*J<oh₂k-,1
\*J<erm-,1
\*J<rom-,1
\*J<rem-,1
\*J<rm-us-6s,1
\*J<r-ent-es(IE,1
\*l<roH-s-6-,1
\*J<uk-ie-,1
limp<iti,1
\*l<uH-16-,1
l<Aaooc,1
\*dl<m-t6-,1
\*l<u-on,1
\*l<u-n-6s,1
\*l<uent-6-,1
\*l<u-ont,1
\*l<u-nt-6s,1
\*J<u-ent-m,1
\*l<unt-slo-,1
\*l<uent-o-,1
\*l<uent-,1
\*l<uendh-ro-,1
\*l<uendh·r-,1
\*l<undh-r-?,1
\*l<uon-,1
J<Ul<Aoc,1
hv<eJJ,1
\*l<u{e)it-n6-,1
\*l<uit-ro-,1
\*l<ueit-or,1
\*l<uit-n-6s,1
\*h₂iu-Hn-l<o-,1
gl<iva,1
g<iir,1
j<irate,1
yEVE<JLC,1
gl<im,1
yA.u<pw,1
J<Uμƴoc,1
J<Uμƴri,1
l<i.g,1
ruj<iti,1
l<isyj,1
mosn<i,1
m<es(t)ling,1
m<eslen(n,1
μey<XAri,1
ml<itci-,1
μui<wv,1
mist<e,1
μul<X,1
n<iT)ha,1
n<ibhasn,1
n<ipat-,1
\*l<s-ie-,1
rj<ifur,1
r<ijas-,1
r<imr,1
r<ijat',1
r<imate,1
riim<iyati,1
r<idati,1
\*Hrug<hl-m-,1
\*Hrog<h₃_eie-?,1
\*T<s-no-,1
\*l<s-no-,1
s<id,1
s<ihas-,1
s<ihate,1
\*ueJ<s,1
se<ith,1
sk<ilkur,1
\*l<euH-,1
st<ef,1
stjiil<i,1
sv<ipna-,1
\*suel<ur6-,1
\*suel<uro-,1
