page,line,headword,label_gloss,gloss,opening
40,944,abuha-,adj. 'turned the wrong way',turned the wrong way,"\*abuha- adj. 'turned the wrong way' - ON ǫfugr adj. 'wrong, turned backwards', Far. øvigur, øvugur adj. 'backwards', Elfd. avun adv. 'id.', OS abuh adj. 'inverted, wicked', OHG abuh adj. 'wrong, bad, wicked', MHG ebich adj. 'wrong, evil' ⇒ \*h₂epo-h₃kʷ-o- (IE) - Skt ciptific- adj. 'located backwards, located behind, western' (with secondary nasalization), OCS opaky 'the other way around, behind one's back', Ru. dial. 6pak(o) 'back, backwards', SCr. opak adj./ adv. 'the other way around'. Like the Sanskrit and Slavic forms, the Germanic form probably continues an old compound consisting of PIE \*h₂epó 'away from' (see \*aba) and \*h₃ekw- 'eye' (see \*augon-), which in PIE could be used as an allative suffix (cf. De Vries 1962: 685). This \*h₂epo-h₃kw-o- was remodeled into \*abuga- on the basis of other adjectives in \*-uga-."
40,946,adesan-,m. 'adze',adze,"\*adesan- m. 'adze' - OE adesa, eadesa m., adese f. 'id.', E adze ⇒ \*Hodh-es-on- (IE) - Hitt. ates(fo)- n./c. 'adze, axe, hatchet'. An ancient Indo-European word for 'adze' or 'axe' (Cop 1955: 406-7). There are no formal irregularities that could point to a (pre-historic) Wanderwort (thus Puhvel 1984: 227-8; Liberman 2008: 1-3)."
40,948,a/era-,"prep., adv. 'behind, later'","behind, later","\*a/era- prep., adv. 'behind, later' - Go. afar prep. 'after, according to', OHG avar, afar adv., conj. 'but', MHG aver, aber adv., conj. 'then again, but', G aber conj. 'but' ⇒ \*h₂ep-ero- (IE) - Skt. cipara-, Av. apara-, OP apara- adj. 'posterior, later' < \*h₂ep-ero-; Skt. aparcim, Av. aparam adv. 'later, in future' < \*h₂ep-er6m. The comparative of the original adverb \*h₂ep6, for which see \*aba. The accentual distinction between Skt. cipara- and aparcim is possibly mirrored by the opposition of Go. afar adj. < \*afera- vs. G aber conj. < \*aberan."
40,950,afla-,"1 n. 'strength, power'","strength, power","\*afla- 1 n. 'strength, power' - ON aft n. 'id.', Far. alv n. 'id.', OE afol n. 'id.' ⇒ \*h₃ep-/o- (IE) - Hitt. bappar- n. 'business, trade; compensation, payment, price' < \*h₂ep-r-; Skt. apas- n. 'work, action', Lat. opus, -eris n. 'work' < \*h₃ep-es-. Also cf. ON afla w.v. 'to gain, procure, accomplish' (whence afli m. 'gain; power; troops, forces'), OHG avalon w.v. 'to labor' < \*aflojan- and ON efla w.v. 'to perform; to strengthen' < \*afljan-. Related to \*abra- and \*objan-. See also \*abnjan-."
41,954,afla-,2 m. 'hearth',hearth,"\*afla- 2 m. 'hearth' - ON aft m. 'id.', Far. alvur, a/vi m. 'fireplace; forge' (IE?) -Hitt. gen. bappenas, loc. bappeni 'baking kiln, fire-pit, broiler (oven)'. The Germanic and Hittite words are formally and semantically close, which makes it attractive to reconstruct an old l/n-stem \*h₂ep-[o}l, gen. \*h₂p-n-6s. The Hittite word can alternatively be compared to \*ufna- 'oven', which may be an old Wanderwort."
41,956,after[i),"prep., adv. 'behind'",behind,"\*after[i) prep., adv. 'behind' - ON eftir prep., adv. 'id.', Far. eftir prep., adv. 'id.', OE refter prep. 'id.', E after, OFri. efter prep., adv. 'id.', Du. achter prep. 'id.', OHG aftar prep. 'id.', MHG after prep. 'id.' ⇒ \*h₂ep-tero- (IE) - Skt apataram adv. 'farther off, OP apataram adv. 'farther off, outside (of)' < \*h₂epo-tero-. An adverbial formation to \*aba (q.v.), created with the contrastive suffix \*-tero-."
41,958,agalaitja-,adj. 'licentious',licentious,"\*agalaitja- adj. 'licentious' - OS agaleto adv. 'eagerly, diligently', OHG agaleizi adj. 'importunate' (GM). A haplologized compound of the elements \*agla- 'shameful' and \*/aitja( continued as G Rhnl. leizig adj. 'annoying; excited'). The word has formerly been analyzed as \*agla- + \*ait-, but the second element is neither a word nor a suffix, which leaves the analysis unsatisfactory (cf. Lehmann 1986: 10). Also cf. Go. aglaiti n. 'debauchery, licentiousness, dissipation', QHG agaleizi n. 'eagerness, industry, importunity' < \*agla-laitja-. The sometimes adduced OE aglrec n. 'oppression, distress', apparently from \*aga-laikja-, could theoretic.ally be a folk-etymological distortion of \*aglaitja-, but is more likely to have been derived from the verb \*agan- 'to fear' (q.v.) with the suffix \*-laiklj)a-, cf. ON -leikr."
41,960,agan-,pret-pres. 'to fear',to fear,"\*agan- pret-pres. 'to fear' - Go. ogan, 3sg. og pret.-pres. 'id.' (IE) - Gr. li)coμm 'to grieve, lament' < \*h₂egh-e-; Olr. -agadar 'to fear' < \*h₂e-h₂09h·e-. The Gothic verb is conjugated as a preterite-present of the reduplicating class, PGm. 3sg. \*oge, 3pl. \*iigun < \*h₂e-h₂ogh-e, \*h₂e-h₂ogh-nt, which is formally close to Olr. -agadar < \*h₂e-h₂ogh- (Matasovic 2009: 26). The full-grade root \*iig- served as the basis for the Gothic infinitive form ogan sis, while the original zero grade survived in the petrified ptc. un-agands adj. 'fearless'. Also cf. \*agiz-, Go. agei, OHG agf, egf f. 'fear' < \*agfn-, \*ogjan- 'to scare' and OE oga m. 'terror' < \*iigan-."
41,962,agana-,n. 'bait',bait,"\*agana- n. 'bait' - ON agn n. 'id.', Far. agn n. 'id.' ⇒ \*h₂el{H-ono- (IE) - Identical to Skt. afona- n. 'food'. A NGm. formation closely related to Skt. <iSana-, a derivation from Skt. asncfo 'to eat'. See also \*aiwjan-."
42,966,agipo-,f. 'harrow',harrow,"\*agipo- f. 'harrow' - OE egede f. 'id.', OFri. eide f. 'id.', OS egitha f. 'id.', MDu. egede, eegde, eg f. 'id.', OHG egida f. 'id.', MHG egede, egde f. 'id.' ⇒ \*ok-et(EUR) - OPru. aketes, Lith. akJCios f.pl. 'harrow' (with -J- after akJti 'to harrow'); Lat occa f. 'harrow' ( < \*otek-eh₂-), W aged 'id.'. A European word. The form \*agiflo- may be a remodeling of \*agefli-, the equivalent of \*oteki- as found in the other languages; synchronically it looks like a derivation from \*agjan-, cf. OS gi-eggian, OHG ecken 'to harrow', with the same suffix as in OHG erida 'plough' < \*ariflo- and ON sigo 'scythe' < \*segiflo- (EWAhd: II, 958). However, the verb is attested later than the noun and could be a back-formation. No further etymology. Oss. adreg 'harrow', apparently metathesized from \*agred, clearly belongs here too, but may have been borrowed from a European language. Gr. 64tva f. 'harrow(?)' is unrelated, as it seems to be derived from 64uc; adj. 'sharp, pointed'."
