headword,homonym,grammatical_label,gloss,pdf_page,distribution_label,proto_or_comparison_field,first_attestations,verification_status,flags
aba,,"prep., adv.","(away) from, off",39,IE,\*h₂ep-ó (IE),"Go. *af* prep. 'id.', ON *af* prep., adv. 'id.', Far. *av* prep., adv. 'id.', Elfd. *av* prep., adv. 'id.', OE *of* prep., adv. 'id.', E *of*, OFri. *of*, *af* prep., adv. 'id.', OS *af* prep. 'id.', Du. *af* adv. 'id.', OHG *aba*, *ab* prep., adv. 'id.', G *ab* prep., adv. 'id.'",pdf-text-headword-found,
aban-,,m.,"man, husband",39,GM,,"Go. *aba* m. 'husband, man', ON *afi* m. 'grandfather; man', Far. *abbi* m. 'grandfather' (GM).",pdf-text-headword-found,
abnjan-,,w.v.,to execute,39,DRV,,"ON *efna* w.v. 'to perform, fulfil', Far. *evna* w.v. 'to fulfil', OE *efnan* w.v. 'to perform, execute, labor' (DRV).",pdf-text-headword-found,
abra-,,adj.,fierce,39,IE,\*h₃ep-ró- (IE).,"Go. *abrs* adj. 'great, severe'",pdf-text-headword-found,
abuha-,,adj.,turned the wrong way,40,IE,\*h₂epo-h₃kʷ-o- (IE),"ON pfugr adj. 'wrong, turned backwards', Far. fJVigur, /i1vugur adj. 'backwards', Elfd. avun adv. 'id.', OS abuh adj. 'inverted, wicked', OHG abuh adj. 'wrong, bad, wicked', MHG ebich adj. 'wrong, evil'",pdf-text-headword-found,
adesan-,,m.,adze,40,IE,\*Hodh-es-on- (IE),"OE adesa, eadesa m., adese f. 'id.', E adze",pdf-text-headword-found,
a/era-,,"prep., adv.","behind, later",40,IE,\*h₂ep-ero- (IE),"Go. afar prep. 'after, according to', OHG avar, afar adv., conj. 'but', MHG aver, aber adv., conj. 'then again, but', G aber conj. 'but'",pdf-text-headword-found,suspicious-headword-characters
afla-,1,n.,"strength, power",40,IE,\*h₃ep-/o- (IE),"ON aft n. 'id.', Far. alv n. 'id.', OE afol n. 'id.'",pdf-text-headword-found,
afla-,2,m.,hearth,41,IE?,,"ON aft m. 'id.', Far. alvur, a/vi m. 'fireplace; forge' (IE?) -Hitt. gen. bappenas, loc. bappeni 'baking kiln, fire-pit, broiler (oven)'. The Germanic and Hittite words are formally and semantically close, which makes it attractive to reconstruct an old l/n-stem \*h₂ep-[o}l, gen. \*h₂p-n-6s. The Hittite word can alternatively be compared to \*ufna- 'oven', which may be an old Wanderwort.",pdf-text-headword-found,
after[i),,"prep., adv.",behind,41,IE,\*h₂ep-tero- (IE),"ON eftir prep., adv. 'id.', Far. eftir prep., adv. 'id.', OE refter prep. 'id.', E after, OFri. efter prep., adv. 'id.', Du. achter prep. 'id.', OHG aftar prep. 'id.', MHG after prep. 'id.'",pdf-text-headword-found,suspicious-headword-characters
agalaitja-,,adj.,licentious,41,GM,,"OS agaleto adv. 'eagerly, diligently', OHG agaleizi adj. 'importunate' (GM). A haplologized compound of the elements \*agla- 'shameful' and \*/aitja( continued as G Rhnl. leizig adj. 'annoying; excited'). The word has formerly been analyzed as \*agla- + \*ait-, but the second element is neither a word nor a suffix, which leaves the analysis unsatisfactory (cf. Lehmann 1986: 10). Also cf. Go. aglaiti n. 'debauchery, licentiousness, dissipation', QHG agaleizi n. 'eagerness, industry, importunity' < \*agla-laitja-. The sometimes adduced OE aglrec n. 'oppression, distress', apparently from \*aga-laikja-, could theoretic.ally be a folk-etymological distortion of \*aglaitja-, but is more likely to…",pdf-text-headword-found,
