category,description,before,after,count
literal,thorn glyph artifact in thorn section,{J,þ,2
literal,thorn glyph artifact in thorn section,j:J,þ,21
literal,thorn glyph artifact in thorn section,J:>,þ,2
literal,thorn glyph artifact in thorn section,/J,þ,35
literal,thorn glyph artifact in thorn section,fJ,þ,5
literal,thorn glyph artifact in thorn section,jJ,þ,4
regex,starred thorn-section forms beginning p/P,\\\*[pP](?=[A-Za-zāēīōūǣǭøæœáéíóúýǿȳǽǫ]),\\*þ,354
literal,page-image-informed thorn headword/crossref normalization,\*þa-,\*þa-,1
literal,page-image-informed thorn headword/crossref normalization,\*þeka-,\*þēka-,3
literal,page-image-informed thorn headword/crossref normalization,\*þeudo-,\*þeudō-,3
literal,page-image-informed thorn headword/crossref normalization,\*þeutan- - \*þritan-,\*þeutan- - \*þūtan-,1
literal,page-image-informed thorn headword/crossref normalization,\*þina-,\*þīna-,1
literal,page-image-informed thorn headword/crossref normalization,\*þuka/on-,\*þuka/ōn-,1
literal,page-image-informed thorn headword/crossref normalization,\*þuk(k)on-,\*þuk(k)ōn-,1
literal,page-image-informed thorn headword/crossref normalization,\*þufton-,\*þuftōn-,1
literal,page-image-informed thorn headword/crossref normalization,\*þunkon-,\*þunkōn-,1
literal,page-image-informed thorn headword/crossref normalization,\*þinna- - \*þunno-,\*þinna- - \*þunnō-,2
literal,page-image-informed thorn headword/crossref normalization,\*þrawo-,\*þrawō-,2
literal,page-image-informed thorn headword/crossref normalization,\*þrean-,\*þrēan-,2
literal,page-image-informed thorn headword/crossref normalization,\*þredu-,\*þrēdu-,2
literal,page-image-informed thorn headword/crossref normalization,\*þri-,\*þrī-,2
literal,page-image-informed thorn headword/crossref normalization,\*þrodjan-,\*þrōdjan-,1
literal,page-image-informed thorn headword/crossref normalization,\*þroen-,\*þrōen-,3
literal,page-image-informed thorn headword/crossref normalization,\*þruban-,\*þrūban-,3
literal,page-image-informed thorn headword/crossref normalization,\*þrupi-,\*þrūþi-,2
literal,page-image-informed thorn headword/crossref normalization,\*þruwen-,\*þrūwen-,2
literal,page-image-informed thorn headword/crossref normalization,\*þii ,\*þū ,3
literal,page-image-informed thorn headword/crossref normalization,\*þiitan,\*þūtan,2
