pdf_page,line,headword_segment,entry_opening
570,8020,"\*þa- pron. 'that, those'","\*þa- pron. 'that, those' - Go. sa, acc. þana, f. so, acc. þō, n. þata pron. 'id.', ON sa, acc. þann, f. su, acc. þā, n. þat pron. 'id.', Far. tann, n. tao pron. 'id.', OE se, acc. þone, f. seo, sio, acc. þā, n. þæt pron. 'id.', E that, OS se, the, thie, acc. then a, thana, f. thiu, thia, acc. thia, thea, n. that pron. 'id.', Du. die, n. dat pron. 'id.', OHG der, acc. den, f. diu, acc. dea, dia, n. daz pron. 'id.', G der, acc. den, f. die, n. das pron. 'id.' ⇒ \*to- (IE). A pronominal element continuing PIE \*so, f. \*seh₂, n. \*tod, acc. \*tom, \*teh₂m, \*tod. See also \*þar 'there'."
571,8026,\*þagen- w.v. 'to be silent',"\*þagen- w.v. 'to be silent' - Go. þahan w.v. 'id.', ON þegja w.v. 'id.', Far. tiga w.v. 'id.', Elfd. taja w.v. 'id.', OS thagian, thagon w.v. 'id.', OHG dagen w.v. 'id.', MHG dagen w.v. 'id.' ⇒ \*tHk-ehi- (WEUR) - Lat. tacio, -ere 'to be silent' < \*tHk-ehi-. An old stative formation identical to Lat. tacere. In Go. þahan the effects of Verner's law have been removed, but it is unclear on the basis of what form that could have happened; duratives always had zero grade of the root and a stressed -ehi- suffix. Fact is, however, that Gothic has a strong tendency to remove the voicing products ofVerner's law. See also \*þaggon-."
571,8028,\*þaggon- w.v. 'to silence',"\*þaggon- w.v. 'to silence' - ON þagga w.v. 'id.', Nw. tagga w.v. 'id.' ⇒ \*tHk-neh₂- (WEUR). An interesting formation. Formally, the verb looks like the iterative (3sg. \*þakkopi, 3pl. \*þagunanpi < \*tHk-neh₂-ti, \*tHk-nhi-entl) to \*þagen-, but semantically it functions as a causative-factitive ('to put to silence'). As such, it is comparable to nasal presents such as Skt. ri1;ufri 'to make flow', the causative to rfyate 'to flow'. Also compare the inchoative ON þagna, Nw. tagna, Elfd. taungen w.v. 'to become silent' < \*þagnan-, which started out as the media-passive of the same neh₂-present."
571,8030,\*þahsu- m. 'badger',"\*þahsu- m. 'badger' - MDu. das m. 'id.', Du. das c. 'id.', MHG dahs m. 'id.', G Dachs m. 'id.' ⇒ \*ta ks- (WEUR/NIE). Most WGm. forms can straightforwardly be derived from \*dahsa-, but dial. Nw. toks implies ON \*þǭx < \*þahsu-. This u-stem may have split off from a dat.pl. of an n-stem \*þahsan- (cf. \*uhsan- 'ox') that can be postulated on the basis of the late Latin loanword taxo (beside taxus ), the source of Fr. dial. taisson, It. tasso, Sp. tej6n 'badger' (EWAhd: II, 498-501) and possibly also Basque dial. azkoin 'id.' (with loss of initial t, cf. Trask 2008: 122). Outside Germanic, one compares Mir. Tadg, the name of a king whose totem was a badger. The underlying proto-form \*tazgo"
571,8032,\*þaismjan- m. 'sourdough',"\*þaismjan- m. 'sourdough' - OE þæsma m. 'id.', MLG desem m. 'id.', MDu. desem m. 'id.', Du. zuur-desem c. 'id.', OHG deismo m. 'id.', MHG deisme m. 'id.' ⇒ \*teh₂is-mon- (EUR) - Ru. testo, SCr. ti'jesto n. 'dough'; Olr. mis, W toes m. 'id.' < \*teh₂is-to-; CS tiskati, Ru. tiskat', SCr. ti'skati 'to press, squeeze' < \*tih₂s-sk-eh₂-."
571,8034,\*þaka- n. 'roof,"\*þaka- n. 'roof - ON þak n. 'id.', Far. tak n. 'id.', Elfd. tak n. 'id.', OE þæc n. 'id.', Du. dak n. 'id.', OHG dach n. 'id.', G Dach n. 'id.' ⇒ \*tog-o- (IE) - Gr."
572,8040,\*þakjan- w.v. 'to burn',"\*þakjan- w.v. 'to burn' - OE þeccan w.v. 'to burn' ⇒ \*thl1jl-ie- (EUR?). Also cf. OHG dahhazen w.v. 'to blaze, flare' < \*þakatjan-. No further etymology, but possibly related to Gr. TI'Jyavov n. 'frying pan'; since Greek had a suffix -avov for tools, the variant niyr1vov is likely to have come about by metathesis."
572,8042,"\*þakkja- / \*þekka- adj. 'mild(?), sweet(?)'","\*þakkja- / \*þekka- adj. 'mild(?), sweet(?)' - ON þekkr adj. 'pleasant', OHG decki adj. 'dear' ⇒ \*tok-nf- / \*tek-nō- (WEUR) - Olr. etig adj. 'unnatural, un.seemly', W annheg adj. 'unfair, unelegant' < \*IJ·tek-i-. The etymon has been reconstructed as \*þakkja- on the basis of the reconstruction of the OHG adj. as decki\* (EWAhd: II, 555). The adjective is attested only once as the superlative dechisto, and can alternatively also be traced back to \*dee. With ON þekkr, this form could then be derived from PGm. \*þekka-. Both \*þakkja- and \*þekka- can be reconciled with PCel. \*-tek-i- by assuming n-gemination (cf. Luhr 1988: 232)."
572,8044,\*þak(k)on- w.v. 'to touch',"\*þak(k)on- w.v. 'to touch' - OE þaccian w.v. 'to þat, clap, strike gently', MDu. tacken w.v. 'to touch' ⇒ \*th₂g-neh₂- (IE) - Lat. tango, -ere 'to touch' < \*th₂g-neh₂-. An old PIE iterative formation to the strong verb \*takan- - \*tekan-. The dental fricative of OE þaccian is regular: MDu. tacken has its t from the strong verb, where it arose as the result of restored reduplication."
572,8046,\*þambo- f. 'string',"\*þambo- f. 'string' - ON ppmb f. 'guts, womb; bow-string' ⇒ \*tomp-eh₂- (NEVR) - Lith. tempti ( tempiu) 'to stretch' < \*temp-ie-; Lith. timpa f. 'sinew, string' < \*tmp-eh₂-. Cf. Nw. dial. temba f. 'bloatedness' < \*þambjon- and OFri. thempene, thampene f. 'doggedness' < \*þampfn- (with \*þamp- < \*tomp-n-l For the shift of meaning from 'stretch' to 'swell', see \*þinsan-."
572,8048,\*þanga- n. 'seaweed',"\*þanga- n. 'seaweed' - ON pang n. 'id.', MLG dank 'id.' (GM). ON pang is formally reconcilable with OE flung, a word used for several poisonous plants, e.g. aconite, hellebore and LG woden-dung 'hemlock' < \*þunga- (cf. Pokorny JEW: 1068; Magnusson 1989: 1171), but the semantic"
573,8054,\*þanhōn- f. 'clay',"\*þanhōn- f. 'clay' - Go. þahō f. 'clay', OE þōhe, þāhe, þō f. 'id.', OHG diiha f. 'id.', MHG diihe, tiihe f. 'id.', G Ton f. 'id.' ⇒ \*tonk-eh₂- (IE). A formation derived from the PIE root \*tenk- 'to thicken'. Cf. \*þinhla- and \*þinhtu-."
573,8056,\*þanhtu- m. 'thread',"\*þanhtu- m. 'thread' - ON þáttr m. 'strand, thread; section, part; story', Far. t<ittur m. 'strand of a rope; part; song', Elfd. tqt m. 'id.', OHG tiiht m./n. 'wick', G Docht m. 'id.' ⇒ \*tonk-tu- (IE) - Wkh. tan3- / tan3d-, tanz- / tanzd'to fortify the warp (of textiles); to draw a web (of spiders)'. A tu-stem usually reconstructed as \*þehta-. Elfd. tqt m. 'id.', however, proves that the original form must have been \*þanhtu-."
