record_number,flags,record
37,uncertain-character,"Brink, S. 2005 [Brink 2005] Verba Volant, Scripta Manent? Aspects of the Oral Society in Scandinavia. In: P. Hermann (ed.), Literacy in medieval and Early Modern Scandinavian culture, 59-117. Odense."
90,possible-ocr-alnum-mix,"Gcisiorowski, P. 2007 [Gcisiorowski 2007] The meaning of life: PIE *9wih3y-. Indogermanische Forschungen 112, 39-46."
107,possible-ocr-alnum-mix,"Hammershaimb, V.U. 1891 [Hammershaimb 1891] famsk antho/ogi. Udarbejdede af Jakob Jakobsen. K0benhavn. Hamp, E.P. 1973a (Hamp 1973a] Another lesson from 'frost'. The journal of Indo-European Studies l, 2 15-223. Hamp, E.P. 1973b [Hamp 1973b] Fish. The journal of Indo-European Studies l/ 4, 507-511."
111,possible-ocr-alnum-mix,"Har5arson, ).A. 1989 (Har5arson 1989] Die 6n-Feminina des Germanischen und der Gen. Plur. anord. kvinna/kvenna. Acta Linguistica Hafniensia 21, 79-93."
128,uncertain-character,"Hofmann, D. 1969 [Hofmann 1969] Urgermanisch *wesar ,Fruhling'? Kopenhagener germanistische Studien 1, 9-21."
147,uncertain-character,"Jasanoff, J.H. 2008 [Jasanoff 2008] *gwes-, *(z)g""es- or *(s)gYeshz-? The PIE root for 'extinguish/go out'. In: H. J. Koch, C. Bowern, B. Evans and L. Miceli (eds.), Morphology and language history: in honour of Harold Koch, 155-166. Philadelphia."
151,very-short-record-or-split,"Kalkar, 0. 1976"
188,uncertain-character,"Kortlandt, F.H.H. 2011 [Kortlandt 2011) Where have all the aorists gone? Amsterdamer Beiträge zur älteren Germanistik 67, 143-148."
191,uncertain-character,"Kroonen, G. 2006 (Kroonen 2006) Gemination and allomorphy in the Proto-Germanic mn -stems: bottom and rime. Amsterdamer Beiträge zur a/teren Germanistik 61/1, 17-25. Kroonen, G. 2010a [Kroonen 2010a] Proto-Germanic *krepja- and Proto-Slavic *krepo 'strong'. The journal of Indo-European Studies 38/3&4, 402-8. Kroonen, G. 2010b [Kroonen 2010b] False exceptions to Winter's law: on the effects of Kluge's Jaw on the Proto-Germanic consonantism. In: T. Pronk & R. Derksen (eds.), Accent matters: papers on Ba/to-Slavic accentology (Studies in Slavic and General Linguistics 37), 251-261. Amsterdam/New York. Kroonen, G. 2010c [Kroonen 2010c) On Gothic iup and the Germanic directionals. North-Western European Language Evolution 58/59, 367-380. · Kroonen, G. 201 1a (Kroonen 2011a] The Proto-Germanic n-stems: a study in diachronic morphophonology. Amsterdam. Kroonen, G. 2011b [Kroonen 201lb] Neuniederlandisch zeug ,Sau' und spugen ,speien': zwei Beispiele der westgermanischen Velarisierung? Amsterdamer Beitrage zur alteren Germanistik 67, 149-161."
196,uncertain-character,"Kiimmel, M. 2004 [Kiimmel 2004] Ungeklartes *u neben Liquida in germanischen Nomina. In: A. Hyllested, A.R. Jl?lrgensen, J.H. Larsson & Th. Olander (eds.), Per Aspera ad Asteriscos. Studia lndogermanica in honorem fens Elmegard Rasmussen sexagenarii ldibus Martiis anno MMMIV, 291-303. Innsbruck."
215,possible-ocr-alnum-mix,"Lockwood, W.B. 1989-1990 [Lockwood 1989-1990] Etymological notes on roysni etc., smC£ra and C£labogi. Fr6oskaparrit 38-39, 115-120."
234,possible-ocr-alnum-mix,"Magnusson, A.Bl. 1985 [Magnusson 1985] Gregg, grogg og grogg; peimur; d6si og d6sa. fs/enskt ma/ og almenn ma/fr<Eoi 7, 165-167."
235,possible-ocr-alnum-mix,"Magnusson, A.BL 1989 [Magnusson 1989] fs/ensk orosifjab6k. 3. prentun: mars 2008. Reykjavik."
261,possible-ocr-alnum-mix,"Melchert, H.C. 2008 [Melchert 2008] Greek m6lubdos as a loanword from Lydian. In: Billie Jean Collins, Mary R. Bachvarova & Ian C. Rutherford (eds.), Anatolian interfaces, Hittites, Greeks and their neighbours, 135-141. Oxford."
277,possible-ocr-alnum-mix,"Neri, S. 2007 [Neri 2007] Cadere e abbattere in indoeuropeo. Sul/'etimo/ogia di tedesco fallen, /atino aboleo e greco c'.m6MuµL Innsbruck."
324,possible-ocr-alnum-mix,"Poulsen, J.H.W. 1998 [Poulsen 1998] Føroysk orðabók. T6rshavn."
326,very-short-record-or-split,"Cambridge, July 2005."
