line,pdf_page,category,matches,context
27,,suspicious_greek_ocr,q,"  - ""Fifth pass did not silently resolve doubtful Greek, thorn/eth, vowel quantity, or OCR-confused forms; those remain in companion audit files."""
32,001,suspicious_greek_ocr,1;,<!-- pdf-page: 001; section: front -->
38,002,suspicious_greek_ocr,2;,<!-- pdf-page: 002; section: front -->
44,003,suspicious_greek_ocr,3;,<!-- pdf-page: 003; section: front -->
48,003,suspicious_greek_ocr,Q,"This publication has been made possible by the financial support of the Netherlands Organization for Scientific Research (NWO). ISSN 1574-3586 ISBN 978-90-04-18340-7 (hardback) Copyright 2013 by Koninklijke Brill NV, Leiden, The Netherlands. Koninklijke Brill NV incorporates the imprints Brill, Global Oriental, Hotei Publishing, IDC Publishers and Martinus Nijhoff Publishers. All rights reserved. No part of this publication may be reproduced, translated, stored in a retrieval system, or transmit"
50,004,suspicious_greek_ocr,4;,<!-- pdf-page: 004; section: contents -->
56,005,suspicious_greek_ocr,5;,<!-- pdf-page: 005; section: preface -->
62,006,suspicious_greek_ocr,6;,<!-- pdf-page: 006; section: preface -->
64,006,suspicious_greek_ocr,q,"Elfdalian and Dutch, but there was not enough time to add modern Frisian and the remaining Scandinavian standard languages, something that I hope to be able to make up for in the future. Not least, the fight for time caused me to seriously consider the kind of contribution that I wished to make to my field. Certainly unable to surpass the accumulation of scholarship found in for instance Anatoly Liberman's infinitely erudite Analytical Dictionary of English Etymology (2008) or the truly encyclop"
66,007,suspicious_greek_ocr,7;,<!-- pdf-page: 007; section: abbrev -->
88,007,suspicious_greek_ocr,q; q,| Basq. | Basque | Gm. | Germanic |
111,008,suspicious_greek_ocr,8;,<!-- pdf-page: 008; section: abbrev -->
159,009,suspicious_greek_ocr,9;,<!-- pdf-page: 009; section: abbrev -->
194,009,suspicious_greek_ocr,q,| coll. | collective; colloquial | n. | neuter |
197,009,suspicious_greek_ocr,q,| dat. | dative | obl. | oblique |
209,010,suspicious_greek_ocr,0;,<!-- pdf-page: 010; section: abbrev -->
232,011,suspicious_greek_ocr,1;,<!-- pdf-page: 011; section: entry-note -->
242,012,suspicious_greek_ocr,2;,<!-- pdf-page: 012; section: intro -->
267,013,suspicious_greek_ocr,3;,<!-- pdf-page: 013; section: intro -->
273,013,suspicious_greek_ocr,q; q,"Proto-Germanic phonology differs significantly from Proto-Indo-European. It acquired a number of new vowels, both short and long, and the stress was retracted to the vowel of the first root syllable of a word. Due to a shift of the Indo-European stops, Proto-Germanic also acquired a large amount of new fricatives, both voiced and voiceless. The phonemes reconstructed as \*b, \*d, \*g in this dictionary also at least partly appear as \*b, \*d, \*g in the"
277,013,suspicious_greek_ocr,q,"dialects. For instance, most languages have plosives word-initially, but \*g emerges as a fricative in this position in both Saxon and Franconian. Since the distribution surfacing in the individual languages is divergent, this alternation is likely to have been subphonemic in Proto-Germanic. Another important innovation is the rise of phonemic consonant length. Due to a range of phonetically regular sound changes, Proto-Germanic acquired a geminated variant of practically any existing consonant,"
279,014,suspicious_greek_ocr,4;,<!-- pdf-page: 014; section: intro -->
285,014,suspicious_greek_ocr,q,"I will here discuss the most important sources of the Proto-Germanic vowels. As mentioned above, one of the striking innovations is that Proto-Germanic acquired a lot of new vowels, both short and long, that did not yet exist in Proto-Indo-European. These vowels developed from a number of dissimilar sources, mostly combinations of vowels plus laryngeals (HV, VH), vocalized laryngeals (Ḥ) and vocalized resonants (Ṛ)."
307,014,suspicious_greek_ocr,1;,"An important issue concerns roots with \*a < \*Ḥ that start with a resonant. It is widely assumed that the resonant rather than the laryngeal is vocalized in such roots (cf. Schaffner 2001; Müller 2007), but this is in disagreement with the facts (cf. Beekes 1988):"
315,015,suspicious_greek_ocr,5;,<!-- pdf-page: 015; section: intro -->
317,015,suspicious_greek_ocr,6c;,"• \*magra- adj. 'slim': ON magr, OE m<Eger, OHG mager adj. 'id.' < \*mP21<-r6-, cf. Gr. μaKp6c; adj. 'long'"
321,015,suspicious_greek_ocr,q,"• \*natja- n. 'net': Go. nati, O.N, OE net, OS netti, OHG nezzi < \*nljd-io-, cf. Lat. nodus m. 'node' < \*noHd-o-; Olr. nascaid 'to bind' < \*nHd-ske- There are additional cases that seem to indicate that the vocalization of the laryngeals as \*a does not change when the following obstruent is a consonantal resonant A difficulty with the given examples is that their probative force is nullified by Dybo's law, i.e. the regular shortening of pretonic long vowels before resonants. As a consequence"
323,015,suspicious_greek_ocr,6c;,"• \*hanan- m. 'rooster': ON hani, OE hana, OHG hano m. 'id.' < \*l<p2n-on-, cf. Gr. dL-Kav6c; 'id.' (<""morning singer"")"
331,015,suspicious_greek_ocr,q,"• \*wana- adj. 'lacking': Go. wans, ON vanr adj. 'id.' < \*h₁uP2-n6-, cf. Skt iina- 'id.' (vs. Lat. viinus adj. 'empty, void' < \*h₁ueh₂-no-) PGm. \*a in a small number of words continues what looks like PIE \*a, but many of these words have a limited European distribution, and it therefore seems unwarranted to project them back into the parent language (Lubotsky 1989). In reality, they are likely to continue Wanderwörter or were borrowed from now extinct European languages by the individual dia"
335,016,suspicious_greek_ocr,6;,<!-- pdf-page: 016; section: intro -->
351,016,suspicious_greek_ocr,£,"• \*etan- s.v. 'to eat': Go. itan, ON eta, OE, OS etan, OHG ezzan < \*hied-, cf. Hitt. ez(za)zi, Gr. £8w, Lat. edo, esse 'id.'"
365,017,suspicious_greek_ocr,7;,<!-- pdf-page: 017; section: intro -->
375,017,suspicious_greek_ocr,q; q,"• \*kwumj;i- 'arrival, coming': Go. ga-qum(f)j;s, ON -kund, OHG qhumft, chumft, chunft 'id.' < \*gwrft-ti-, cf. Lat. con-ventio 'convention'"
379,017,suspicious_greek_ocr,q,"• \*uns pron. 'us': Go. uns, ON oss, OE us, OHG uns 'id'.' < \*IJS, cf. Lat. nos< \*nos It is important to realize that resonants were also vocalized before a laryngeal that was later lost. It is consequently incorrect to state that laryngeals are irrelevant for the reconstruction of Proto-Germanic:"
399,018,suspicious_greek_ocr,8;,<!-- pdf-page: 018; section: intro -->
423,018,suspicious_greek_ocr,q; q,"• \*kweni- f. 'wife, woman': Go. qens < \*gwen-i-, cf. Gr. yuviJ f. 'id.' < \*gw(o]n-eh₂- The question whether OE ci! and OFri. e (the latter with raising) reflects PGm. \*ci! directly or developed secondarily out of Proto-North-West Germanic \*a is difficult to answer. Latin loanwords such as OE strci!t 'street' < strata are in support of the latter scenario. It has been argued that a was substituted by :i! in these cases because Anglo-Frisian did not have an a at the time of borrowing, but the"
425,019,suspicious_greek_ocr,9;,<!-- pdf-page: 019; section: intro -->
435,019,suspicious_greek_ocr,2;,"PGm. \*o is the result of a merger of Pre-Gmc. \*o and \*ii. from PIE \*o, \*eh₃, \*oh₁;2;3 and \*eh₂. Compare the following examples:"
457,019,suspicious_greek_ocr,q,"Unlike PGm \*f, which partly developed out of \*e + \*i, the only regular precursor of PGm. \*ii is PIE \*uH, as the sequence \*eu remains PGm. \*eu."
463,020,suspicious_greek_ocr,0;,<!-- pdf-page: 020; section: intro -->
489,020,suspicious_greek_ocr,q,"What is here reconstructed as \*ia is traditionally referred to as so-called \*ē₂. As opposed to \*ē₁ (< PIE \*e, \*eh₁), this second \*ē has close reflexes throughout the Germanic dialects, viz. Go. e, ON ē, OE ǣ, OHG e, ie, ia, and is therefore generally assumed to have been a close-mid vowel [ē] in Proto-Germanic. It is especially frequent in Vulgar Latin loanwords:"
503,020,suspicious_greek_ocr,9;,"It has been claimed that \*ē₂ developed out of a PIE long diphthong \*ēi such as, for instance, in \*hē₂r 'here' < \*k̑ēir (Streitberg 1896: §79; Prokosch 1939: 104). This development is not entirely inconceivable, although in view of the parallel change of PGm. \*ōu to \*ō (see §2.1.5) I would rather expect \*ē₁ to be the outcome. In any case, a lengthened grade would be unexpected in the word 'here', since it is not attested anywhere else in the Indo-European"
505,021,suspicious_greek_ocr,1;,<!-- pdf-page: 021; section: intro -->
521,021,suspicious_greek_ocr,£; 8;,"Unlike the Indo-Iranian languages, the European branches of the Indo-European family, including Greek, Italo-Celtic, Balto-Slavic and Germanic, did not have primary long diphthongs, i.e. \*e or \*o followed by a sonorant. In order to explain this difference, it has been claimed that every long vowel that stood before a sonorant followed by another consonant was shortened in Proto-Greek (Osthoff 1884: 84-5). With the help of this vowel shortening, which later became known as Osthoff's law, the di"
523,022,suspicious_greek_ocr,2;,<!-- pdf-page: 022; section: intro -->
527,022,suspicious_greek_ocr,Qi,"• \*fersno- f. 'heel': Go. fairzna, OHG fersana, cf. Gr. mtpvri. Skt. pdr$Qi- < \*tpers-n-"
537,022,suspicious_greek_ocr,4;; 3;,"• \*ahtau num. 'eight': Go. ahtau, ON atta, OE eahta, OFri. achta, OS, OHG ahto < \*h₃elit-eh₃u, cf. Skt. a$t&, a$t<iu, Gr. 6KTw, Lat. oct6 'id.' In open syllables, the diphthong was not shortened at all, but rather lost its labial glide (cf. Mahlow 1879: 29-34; Schmidt 1983; Streitberg 1892: 29-37). The material thus demonstrates that the intervocalic loss of laryngeals was coupled with compensatory lengthening at least before u. There is a large corpus of evidence for this change, of which I h"
539,022,suspicious_greek_ocr,q>,"• \*b6an- s.v. 'to live, dwell': Go. bauan s./w.v. 'id.' < \*bheh₂u-, cf. Skt. bh<ivati 'to become, happen, come about', Gr. q>uoμm 'to grow, arise, spring up, become' < \*bheuh₂-e-, Lith. buti, OCS byti 'to be' < \*bhuh₂- (with laryngeal metathesis)"
545,023,suspicious_greek_ocr,3;,<!-- pdf-page: 023; section: intro -->
549,023,suspicious_greek_ocr,3;,"• \*stora- adj. 'big': ON st6rr, OE, OFri. stor < \*steh₂u-ro-, cf. Skt sthiiraadj. 'big, strong, thick, massy' < \*sth₂u-r6-, Skt sth<lvira- adj. 'broad, thick' < \*steuh₂-ro- (with laryngeal metathesis) The sound law also seems to have been at work in the Gothic ldu. verbal ending -os (cf. Schmidt 1883: 11-13; Streitberg 1896: 322), whose derivation is often considered to be problematic (cf. Boutkan 1995: 319-20). In view of the Skt. thematic ending -iivas, attempts have been made to derive th"
553,023,suspicious_greek_ocr,q,"The Germanic consonant system differs considerably from its Indo-European counterpart. One of the earliest changes in the Proto-Germanic consonant inventory was its centumization, i.e. the depalatalization of the Proto-Indo-European palatovelars \*/(, \*g, \*gh and the subsequent merger of \*ky, \*gy, \*ghy with the labiovelars \*kw, \*gw, \*gwh. This development also occurred in other branches of the Indo-European family, e.g. Italo-Celtic and Tocharian. The most important, exclusively Germanic"
555,024,suspicious_greek_ocr,4;,<!-- pdf-page: 024; section: intro -->
575,024,suspicious_greek_ocr,Q,"• \*banda- n. 'band, bond': ON band, OE beand, OFri. bend, OS band < \*bhondh-o-, cf. YAv. liaQda- m. 'bond, fetter'"
579,025,suspicious_greek_ocr,5;,<!-- pdf-page: 025; section: intro -->
599,025,suspicious_greek_ocr,6c;,"• \*warma- adj. 'warm': ON varmr, OE wearm, OFri., OS, OHG warm < \*gwhor-mo-, cf. Gr. l'lEpμ6c; adj. 'id.' < \*gwher-mo- There is a small number of potentially convincing examples with PGm. \*b as the outcome of Pre-Gm. \*gwh (Seebold 1980). The examples are too few to establish a phonetic conditioning, however, and since all instances with \*b except \*bedjan- have alternative etymologies, whereas the ones with \*w have not, it seems best to suspend the implementation of this change until furt"
601,025,suspicious_greek_ocr,q,"• \*banjo- f. 'wound': Go. banja, ON ben, OE benu, cf. OAv. bqnaiian 3pl.inj. 'to make ill, afflict' < \*bhon-eie- or Hitt. kyenzi - kunanzi 'to kill, slay, ruin' < 3sg. \*gwhen-ti, 3pl. \*gwhn-enti."
605,026,suspicious_greek_ocr,6;,<!-- pdf-page: 026; section: intro -->
625,026,suspicious_greek_ocr,£,"• \*bi prep., adv. 'by': Go. bi, OE, OFri., OHG bf < \*h₁pi, cf. Gr. £m, Skt. 6.pi adv. 'on, at, by' < \*h₁epi Verner's law more often operated regardless of morpheme boundaries. Compare, for instance, the two following doublets consisting of an archaic Verner variant beside a restored form without it:"
631,026,suspicious_greek_ocr,8a;; 8b;,"zation of the PIE plain stops, which after the voicing process remained distinct from the old voiced consonants because the latter were glottalized (Kortlandt 1988a; 1988b; 1991)."
633,027,suspicious_greek_ocr,7;,<!-- pdf-page: 027; section: intro -->
635,027,suspicious_greek_ocr,q,"• \*ga{esjo- .._ \*ga-besjo- f. 'chaff: OHG ga-vissa - ga-bissa, cf. OHGfesa f. 'fiber' < \*feso- With the help of Verner's law, the original position of the accent can sometimes be determined quite accurately in longer words with several consonants in different syllables. This is especially evident in some archaic comparatives, which, as opposed to their end-stressed positive counterparts, must have had the accent on the root syllable or - more accurately - on the antepenultimate."
