entry_headword_and_label	entry_text
*aba prep.	Goth af ‘from, away from’, ON af id., OE æf, of id., OFris af, of id., OS af id., OHG aba id. (with secondary -a). Identical with Skt ápa ‘away, off’, Av ap¡ id., Gk ἀπό, ἄπο ‘from’, Alb pa ‘without’, Lat ab ‘from’. Bartholomae 72; Torp-Falk 15; Holthausen AEEW 9; Walde-Hofmann I 1; Feist 3; Mayrhofer I 37; Pokorny I 53; Vries ANEW 2; Frisk I 122; Onions 624; Lehmann GED 2; Lloyd-Springer I 5–8; Kluge-Seebold 2–3; Orel AED 307; Boutkan OFED s.v.
*abisjanan wk.vb.	ON efsa ‘to cut off’, OE efesian ‘to cut, to round, to shear’. Probably derived from *aba. Vries ANEW 94.
*abjōn sb.f.	ON efja ‘mud, ooze’, OE ebba ‘ebb’ (masc.), OFris ebba id., MDu ebbe id. Closely related to Gk ἄπιος ‘far away’. Derived from *aba. Torp-Falk 15; Holthausen AEEW 87; Pokorny I 54; Vries ANEW 94; Frisk I 121–122; Onions 299; Kluge-Seebold 203.
*abnjan sb.n.	ON efni ‘material, stuff’, OE and-efn ‘equality, proportion, measure, amount’. Related to Skt ápna- ‘possession, work’, Gk ἄφνος ‘riches, wealth’ (with irregular -f-). Torp-Falk 15–16; Holthausen AEEW 88; Mayrhofer I 40; Vries ANEW 94.
*abnjanan ~ *abnjōjanan wk.vb.	ON efna ‘to perform, to prepare, to make arrangements’, OE efnan ‘to perform, to execute, to labor’, OHG ebanōn id. Derived from *abnjan. Torp-Falk 15– 16; Holthausen AEEW 88; Vries ANEW 94.
*abōn sb.m.	Goth aba ‘husband, man’, ON afi‘grandfather, man’, OHG prop. Abo. Probably, a Lallwort (Uhlenbeck PBB XXII 188, XXVII 113–114: nursery word for ‘father’). Torp-Falk 15; Bezzenberger BB XXI 296 (to *abraz and Lith úošvis ‘father-in-law’); Lidén Studien 73–74 (to IE *op- ‘to be able, to bring about’); Förstemann AND I 11; Zimmermann BB XXIX 272 (to Etr apa ‘father, husband’); Schulze KZ LII 311 (same as Bezzenberger); Meringer IF XVII 129, XVIII 208–209 (follows Lidén); Zachrisson Festschr. Kock 405 (to OE Aba, Abba, Afa); Feist 1; Pokorny I 2; Vries ANEW 2 (to *afalan; separates ON afi ‘man’ from afi‘grandfather’, the latter to Goth awo ‘grandmother’); Zalizniak I 152; Jucquois LBd LX 199–203; Benveniste IEL 181; Lehmann GED 1 (against comparison of Goth with ON).
*abraz adj.	Goth abrs ‘great, severe, extreme’, ON afr-endr at afli ‘very strong, valiant’. Related to MIr abor- ‘very’, W afr- id. (Loth RC XLII 64), Thrac prop. Ἀβρο-ζελμις. Meyer Goth. 64 (to Skt ábhva- ‘monstrous’); Kluge KZ XXV (to Skt āprá- ‘active, eager (?)’); Johansson IF III 239–241 (to Skt ámbha- ‘power’, Lat omnis ‘all’); Bezzenberger BB XXI 296 (to *abōn); Fick KZ XLV 56–57 (same as Johansson); Uhlenbeck Btrg. Gesch. XXX 253; Meillet Etudes 183 (to Slav *obrъ ‘Avar’); Torp-Falk 16; Feist 1–2; Stender-Petersen Slav.-germ. 184–185 (Slav *obrъ from Gothic); Mezger KZ LXV 122–123 (follows Bezzenberger); Vaillant RESl XXIX 122 (against Stender-Petersen); Jucquois LBd LX 199–203; Wagner KZ LXXV 58–75 (to Sum áb 2 ‘to procreate’, Akk abāru ‘to be strong’); Jóhannesson IEW 86; Pokorny I 2; Vries ANEW 2–3; Vendryes A6–7; Lehmann GED 1; Bammesberger Nom. 248; Heidermanns 93 (to Skt ápas- ‘work, action’, Lat opus ‘work’).
*abu prep.	ON au-viräi ‘worthless wretch, damage’, MHG abe ‘from’. A variant of *aba. Cf. Gk Arc-Cypr ἀπύ for ἀπό. Pokorny I 55; Frisk I 122.
*abuzaz ~ *abuxaz adj.	ON ǫfugr ‘bent back, inverted’, OS abuh ‘evil’, OHG abuh ‘bad, wrong’. Derived from *aba. Cf. similar but not identical derivatives in Skt ápāka- ‘aside, back’, Slav *opakъ ‘back, back to front’. Schmidt Plur. 392; Kretschmer KZ XXXI 389; Torp-Falk 15; Weisweiler IF XLI 345–350; Holthausen AEEW 2; Pokorny I54; Vries ANEW 685; Vasmer-Trubachev III 142; Lloyd-Springer I 33–35; Kluge- Seebold 6; Heidermanns 93–94.
*ađelaz ~ *ađelōn sb.m.	OSwed ko-adel ‘cow’s urine’, OE adela ‘filth’, MLG adel(e) ‘unpleasant dampness’. Of unknown origin. Torp-Falk 10 (to Gk ὄνθος ‘dung’); Holthausen AEEW 2; Onions 12.
*afalan sb.n.	ON afl‘strength’, OE afol ‘power’, OS abal id. The same root is preserved in Gk ἀν-απελάσας: ἀναρρωσθείς, Hes., Ion εὐπελής ‘strong’, Hom ὀλιγηπελίη ‘weakness’, Ion ἀνηπελίη: ἀσθένεια (Hes.). Torp-Falk 16; Holthausen AEEW 2; Porzig Gliederung 130; Pokorny I 52; Vries ANEW 2 (OE < ON); Lehmann 1 (to *abōn).
*afalōjanan wk.vb.	ON afla ‘to acquire, to cause, to contrive’, OHG part. avalōnti ‘farmer’. Derived from *afalan. Torp- Falk 16; Vries ANEW 2, 94.
*afarē adv.	Goth afar ‘after’, ON afar- ‘very’ (in compounds), OHG avur ‘again’. Related to Skt ápara- ‘posterior, later’, Av aparō id. Cf. *aba. Bartholomae 76–77; Torp-Falk 15; Feist 3–4; Mayrhofer I 38; Pokorny I 54; Chemodanov SGGJa I 107; Vries ANEW 2; Lehmann GED 2–3.
*afarōn sb.m.	Goth afara ‘descendant’, OE eafora ‘heir, offspring, successor, son’, OS avaro ‘descendant’. Derived from *afarē (Feist 4). Torp-Falk 15; Holthausen AEEW 83; Thyagaraju JEGP XLVII 180 (to *abōn); Vries ANEW 2 (to ON afr ‘buttermilk’); Schmidt Studien 164; Lehmann GED 3.
*aftanē adv.	Goth aftana ‘from behind’, ON aptan ‘afterwards, again’, OE æftan ‘behind’, OFris efta id., OS aftan ‘eventually’, OHG aftan ‘behind, from behind’. Derived from *aftē. Holthausen AEEW 9; Feist 11; Pokorny I 54; Vries ANEW 11; Onions 18; Lehmann GED 7; Boutkan OFED s.v.
*aftanþaz ~ *ēbanđaz sb.m.	ON aptann, eptann ‘evening’, OE æfen id., OFris ēvend, iound id., OS āband id., OHG āband id. Derived from *aftanē (Johanisson MASO V 50–75) with taboo transformations. Brugmann IF V 376 (to IE *epi ~ *opi); Wiedemann BB XXVIII 73 (same as Brugmann); Holthausen AEEW 9; Pokorny I 324; Onions 331; Vries ANEW 11; Lloyd-Springer I 9–13; Beekes KZ CIX 231–232 (non-Indo- European); Kluge-Seebold 3–4.
*aft(e)raz adj.	Goth aftaro ‘in back of, from behind’ (with analogical -o), ON eptir ‘after’, OE æfter id., OFris efter id., OS aftar id., OHG after id. Modification of a comparative degree of *aba influenced by *afta. Close to Skt apataram ‘farther off’, OPers apataram ‘away from, far away’, Gk ἀπωτέρω ‘farther’ (Brugmann Grundriß II/1 324–326). Torp- Falk 15; Feist 11–12; Schulze KZ XL 414; Pokorny I 53; Schmidt Studien 262 (to IE *opi); Mayrhofer I 37; Vries ANEW 11; Onions 18; Peeters SL XXIX, 59–60; Lehmann GED 8; Kluge- Seebold 18; Boutkan OFED s.v.
