output_file	source_xhtml	page	source_image	output_image	classes	status	context
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116842.jpg	peterson-2015-art-language-invention-img-0003-116842.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116840.jpg	peterson-2015-art-language-invention-img-0004-116840.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116838.jpg	peterson-2015-art-language-invention-img-0005-116838.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116836.jpg	peterson-2015-art-language-invention-img-0006-116836.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116834.jpg	peterson-2015-art-language-invention-img-0007-116834.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116832.jpg	peterson-2015-art-language-invention-img-0008-116832.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116830.jpg	peterson-2015-art-language-invention-img-0009-116830.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116828.jpg	peterson-2015-art-language-invention-img-0010-116828.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116826.jpg	peterson-2015-art-language-invention-img-0011-116826.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116824.jpg	peterson-2015-art-language-invention-img-0012-116824.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116821.jpg	peterson-2015-art-language-invention-img-0013-116821.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116819.jpg	peterson-2015-art-language-invention-img-0014-116819.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116817.jpg	peterson-2015-art-language-invention-img-0015-116817.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116814.jpg	peterson-2015-art-language-invention-img-0016-116814.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116812.jpg	peterson-2015-art-language-invention-img-0017-116812.jpg	h1em	unresolved-inline-image-glyph	Phonetics Oral Physiology Consonants Vowels Phonology Sound Systems Phonotactics Allophony Intonation Pragmatic Intonation Stress Tone Contour Tone Languages Register Tone Language
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116810.jpg	peterson-2015-art-language-invention-img-0018-116810.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116808.jpg	peterson-2015-art-language-invention-img-0019-116808.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116806.jpg	peterson-2015-art-language-invention-img-0020-116806.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116804.jpg	peterson-2015-art-language-invention-img-0021-116804.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116802.jpg	peterson-2015-art-language-invention-img-0022-116802.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116800.jpg	peterson-2015-art-language-invention-img-0023-116800.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116798.jpg	peterson-2015-art-language-invention-img-0024-116798.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116796.jpg	peterson-2015-art-language-invention-img-0025-116796.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116794.jpg	peterson-2015-art-language-invention-img-0026-116794.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116792.jpg	peterson-2015-art-language-invention-img-0027-116792.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116790.jpg	peterson-2015-art-language-invention-img-0028-116790.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116787.jpg	peterson-2015-art-language-invention-img-0029-116787.jpg	h1em	unresolved-inline-image-glyph	Key Concepts Allomorphy Nominal Inflection Nominal Number Grammatical Gender Noun Case Nominal Inflection Exponence Verbal Inflection Agreement Tense, Modality, Aspect Valency Word
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116785.jpg	peterson-2015-art-language-invention-img-0030-116785.jpg	h1em	unresolved-inline-image-glyph	Phonological Evolution Lexical Evolution Grammatical Evolution
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116783.jpg	peterson-2015-art-language-invention-img-0031-116783.jpg	h1em	unresolved-inline-image-glyph	Phonological Evolution Lexical Evolution Grammatical Evolution
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116781.jpg	peterson-2015-art-language-invention-img-0032-116781.jpg	h1em	unresolved-inline-image-glyph	Orthography Types of Orthographies Alphabet Abjad Abugida Syllabary Complex Systems Using a System Drafting a Proto-System Evolving a Modern System Typography
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116779.jpg	peterson-2015-art-language-invention-img-0033-116779.jpg	h1em	unresolved-inline-image-glyph	Orthography Types of Orthographies Alphabet Abjad Abugida Syllabary Complex Systems Using a System Drafting a Proto-System Evolving a Modern System Typography
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116777.jpg	peterson-2015-art-language-invention-img-0034-116777.jpg	h1em	unresolved-inline-image-glyph	Orthography Types of Orthographies Alphabet Abjad Abugida Syllabary Complex Systems Using a System Drafting a Proto-System Evolving a Modern System Typography
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116775.jpg	peterson-2015-art-language-invention-img-0035-116775.jpg	h1em	unresolved-inline-image-glyph	Orthography Types of Orthographies Alphabet Abjad Abugida Syllabary Complex Systems Using a System Drafting a Proto-System Evolving a Modern System Typography
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116773.jpg	peterson-2015-art-language-invention-img-0036-116773.jpg	h1em	unresolved-inline-image-glyph	Orthography Types of Orthographies Alphabet Abjad Abugida Syllabary Complex Systems Using a System Drafting a Proto-System Evolving a Modern System Typography
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116771.jpg	peterson-2015-art-language-invention-img-0037-116771.jpg	h1em	unresolved-inline-image-glyph	Orthography Types of Orthographies Alphabet Abjad Abugida Syllabary Complex Systems Using a System Drafting a Proto-System Evolving a Modern System Typography
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116768.jpg	peterson-2015-art-language-invention-img-0038-116768.jpg	h1em	unresolved-inline-image-glyph	Orthography Types of Orthographies Alphabet Abjad Abugida Syllabary Complex Systems Using a System Drafting a Proto-System Evolving a Modern System Typography
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116765.jpg	peterson-2015-art-language-invention-img-0039-116765.jpg	h1em	unresolved-inline-image-glyph	Orthography Types of Orthographies Alphabet Abjad Abugida Syllabary Complex Systems Using a System Drafting a Proto-System Evolving a Modern System Typography
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116763.jpg	peterson-2015-art-language-invention-img-0040-116763.jpg	h1em	unresolved-inline-image-glyph	Orthography Types of Orthographies Alphabet Abjad Abugida Syllabary Complex Systems Using a System Drafting a Proto-System Evolving a Modern System Typography
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116761.jpg	peterson-2015-art-language-invention-img-0041-116761.jpg	h1em	unresolved-inline-image-glyph	Orthography Types of Orthographies Alphabet Abjad Abugida Syllabary Complex Systems Using a System Drafting a Proto-System Evolving a Modern System Typography
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116759.jpg	peterson-2015-art-language-invention-img-0042-116759.jpg	h1em	unresolved-inline-image-glyph	Dothraki High Valyrian Shiväisith Castithan Irathient Indojisnen Kamakawi Væyne Zaanics
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116757.jpg	peterson-2015-art-language-invention-img-0043-116757.jpg	h1em	unresolved-inline-image-glyph	Dothraki High Valyrian Shiväisith Castithan Irathient Indojisnen Kamakawi Væyne Zaanics
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116755.jpg	peterson-2015-art-language-invention-img-0044-116755.jpg	h1em	unresolved-inline-image-glyph	Dothraki High Valyrian Shiväisith Castithan Irathient Indojisnen Kamakawi Væyne Zaanics
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116753.jpg	peterson-2015-art-language-invention-img-0045-116753.jpg	h1em	unresolved-inline-image-glyph	Dothraki High Valyrian Shiväisith Castithan Irathient Indojisnen Kamakawi Væyne Zaanics
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116751.jpg	peterson-2015-art-language-invention-img-0046-116751.jpg	h1em	unresolved-inline-image-glyph	Dothraki High Valyrian Shiväisith Castithan Irathient Indojisnen Kamakawi Væyne Zaanics
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116749.jpg	peterson-2015-art-language-invention-img-0047-116749.jpg	h1em	unresolved-inline-image-glyph	Dothraki High Valyrian Shiväisith Castithan Irathient Indojisnen Kamakawi Væyne Zaanics
peterson-2015-art-language-invention-front-matter.md	OEBPS/9780698155671_EPUB-5.xhtml		OEBPS/image/116747.jpg	peterson-2015-art-language-invention-img-0048-116747.jpg	h1em	unresolved-inline-image-glyph	Dothraki High Valyrian Shiväisith Castithan Irathient Indojisnen Kamakawi Væyne Zaanics
peterson-2015-art-language-invention-introduction.md	OEBPS/9780698155671_EPUB-6.xhtml	22	OEBPS/image/115295.jpg	peterson-2015-art-language-invention-img-0051-115295.jpg	h1em	unresolved-inline-image-glyph	
peterson-2015-art-language-invention-ch1-sounds.md	OEBPS/9780698155671_EPUB-7.xhtml	27	OEBPS/image/115299.jpg	peterson-2015-art-language-invention-img-0053-115299.jpg	h1em	unresolved-inline-image-glyph	
peterson-2015-art-language-invention-ch1-sounds.md	OEBPS/9780698155671_EPUB-7.xhtml	27	OEBPS/image/121677.jpg	peterson-2015-art-language-invention-img-0054-121677.jpg	h1em	unresolved-inline-image-glyph	In English, we use a number of sounds to convey meaning. Sometimes, though, the same sound will be pronounced differently, even if we’re completely unaware of it. Try this test out
peterson-2015-art-language-invention-ch1-sounds.md	OEBPS/9780698155671_EPUB-7.xhtml	28	OEBPS/image/hindi_teak.jpg	peterson-2015-art-language-invention-img-0055-hindi-teak.jpg	h1em	unresolved-inline-image-glyph	
peterson-2015-art-language-invention-ch1-sounds.md	OEBPS/9780698155671_EPUB-7.xhtml	28	OEBPS/image/115301.jpg	peterson-2015-art-language-invention-img-0056-115301.jpg	h1em	unresolved-inline-image-glyph	
peterson-2015-art-language-invention-ch1-sounds.md	OEBPS/9780698155671_EPUB-7.xhtml	28	OEBPS/image/hindi_okay.jpg	peterson-2015-art-language-invention-img-0057-hindi-okay.jpg	h1em	unresolved-inline-image-glyph	
peterson-2015-art-language-invention-ch1-sounds.md	OEBPS/9780698155671_EPUB-7.xhtml	28	OEBPS/image/115304.jpg	peterson-2015-art-language-invention-img-0058-115304.jpg	h1em	unresolved-inline-image-glyph	
