form	count
CIL	30
/φ/	20
/ku̯/	19
/u̯/	17
<QV>	14
LIV	11
u̯	11
-u.i̯V-	10
<CI>	10
ROQVETIO	10
MEDOCIO	9
*kupi-	8
<TI>	8
V(OTVM	8
<uv>	7
BRACIACAE	7
PIE	7
RIB-1	7
S(OLVIT	7
*kup-	6
*ku̯V-	6
-t(i)i̯-	6
-u.u̯V-	6
DEO	6
L(IBENS	6
M(ERITO	6
SINQVATI	6
*mn̥	5
-ii̯o-	5
-i̯V-	5
-u.φV-	5
<CV>	5
<u>	5
<V>	5
ARNOMECIE	5
*kup-ró-	4
-k(i)i̯-	4
-o.u̯V-	4
C.N.R.S	4
COBRANDIAE	4
cupiō	4
EQVOS	4
ERL	4
ILLPRON	4
MARTI	4
S/N	4
uu̯	4
Κυπαρα	4
*bou̯e	3
*kup-eh1-	3
*kup-ro-	3
*med-	3
*med-ūt-s	3
*m̥	3
-i̯o-	3
-u̯-	3
/uu̯/	3
<Q>	3
BVETI(D	3
CAG	3
CENTONDI	3
DLG	3
G.-J	3
GPN	3
MEDVTONI	3
MLH-4	3
OHG	3
u̯V-	3
VCVETE	3
Vijūnas	3
Κυπυρα	3
*be-	2
*bhuH-lo-	2
*bi̯V-	2
*buu̯e-	2
*buu̯eti	2
*buβe	2
*bV-	2
*Cuu̯V-	2
*dou̯V-	2
*dubu-	2
*dubu̯V-	2
*duu̯o	2
*du̯V-	2
*du̯ōu̯	2
*kaφro-	2
*kou̯no-	2
*kou̯pó-	2
*kou̯ro-	2
*koβro-	2
*ku.u̯V-	2
*kup-eh1	2
*kup-i̯o/e-	2
*kuφro-	2
*luh1-é-ti	2
*sego-u̯et-	2
*suh1-é-ti	2
*uφer-kou̯φ-(i)i̯o-	2
-bi̯V-	2
-bu̯-	2
-Cu.u̯V-	2
-ou̯V-	2
-ti̯-	2
-uu̯V-	2
-uφV-	2
-Vbi̯V-	2
-Vi̯V-	2
-Vu̯.u̯V-	2
-Vu̯V-	2
-β-	2
/i̯/	2
/kuu̯ari̯ates/	2
/ui̯/	2
<<	2
<B>	2
<C>	2
<hv>	2
<I>	2
<M>	2
<uva>	2
<v>	2
<vh>	2
AND	2
ANDOTI	2
ARCIACONI	2
ATECVA	2
BOCOVRIQ(VM	2
BRIGINDONI	2
COH(ORTIS	2
COROTIACO	2
COVIOMARVS	2
COVOS	2
cupīvī	2
DOVAGNI	2
DOVAIDONA	2
DOVATUCI	2
EDBIL	2
EDLIL	2
EDPC	2
ERPS	2
ERS	2
Gotō	2
Helvetiī	2
hēof	2
ii̯	2
ILN	2
i̯	2
K.14.1	2
KGP	2
ku-pí-eš-ke-ez-zi	2
LRP	2
M(ONVMENTVM	2
MEDVTTIQ(VM	2
MLH-1	2
MLH-5	2
NEZVTVS	2
OCS	2
OUP	2
P.-Y	2
RIB-3	2
RIG-3	2
TA]SCOVAN(I	2
u.u̯a	2
u̯.u̯V-	2
u̯ro-	2
VCVETIN	2
VERCOVIO[NIS	2
WOU	2
βρατου	2
φu	2
*(-)kupV-	1
*(-)kuφV-	1
*(-)pV-	1
*(H)i̯uHn̥	1
*(H)upm̥(H)o	1
*-(o/e)t-	1
*-bo-	1
*-bu̯o-	1
*-tu-h1	1
*-upV-	1
*-ēd-	1
*-βo-	1
*/kubi(ya)-/	1
*/kubi-/	1
*/p/	1
*/φ/	1
*ad-sth2-u-	1
*amd-ot-os	1
*ando-	1
*andot-	1
*andot-o-	1
*Arti̯āko-	1
*bhe-bhuH-e	1
*bhebhuH-e	1
*bhei̯e	1
*bhi-bhuH-se-ti	1
*bhiH-ó-	1
*bhr̥ǵh-n̥t-	1
*bhu-bhuH-e	1
*bhu-bhuH-mé	1
*bhu.HV-	1
*bhuH-e-ti	1
*bhuH-ent	1
*bhuH-o-	1
*bhuH-t	1
*bhuHl̥-i̯o-	1
*bhuHV-	1
*bhu̯o-	1
*bi-	1
*bi-bāso/e-	1
*bib-	1
*bibu̯āse/o-	1
*bibu̯āseti	1
*bibūseti	1
*biu̯āset(i	1
*boi̯e	1
*bou̯eti	1
*brat-(o)-	1
*brati̯āko-	1
*brāt(i)-	1
*brāt(i)-(i)i̯o-	1
*brāti̯-ākā	1
*brāto-	1
*brātu-	1
*bu-b-e	1
*bu.i̯V-	1
*bu.V-	1
*bubuu̯e	1
