form	count
CIL	26
*fēked	16
*fefăked	15
*făk-	11
*făked	10
LIV	8
<e>	7
*num-	6
>>	6
fεfικεδ	6
*dheh1-	5
*fe-făk-	5
*făk-i̯e/o-	5
*nemh	5
<<	5
WOU	5
*nom-	4
*Număs(i)i̯o-	4
<i>	4
<vh>	4
faciō	4
pepigī	4
pēgī	4
αναfακετ	4
*dhe-dheh1-k-e	3
*fefăke(d	3
*făk-ond	3
*fēk-/	3
*fēk-ed	3
*nem-	3
*nemăs(i)i̯o-	3
*nomh1-eh2	3
*număs(i)i̯o-	3
*þeðăke	3
<a>	3
A.-L	3
araθia	3
FECED	3
VOL	3
θεῷ	3
μαμερττοι	3
νυμψδοι	3
τέθηκε	3
τῷ	3
*dhei̯gh-	2
*dhh	2
*fe-fak-	2
*fe-fēk-/	2
*fefăke	2
*fefēk-	2
*fefēked	2
*făke(d	2
*făkond	2
*fēkond	2
*h2enh	2
*nemh1-es-	2
*nemăso-	2
*nm	2
*nomh1-	2
*nomā	2
*nomăs(i)i̯o-	2
-oi̯	2
-ō	2
/fēk/-	2
<vhe>	2
<vheked>	2
<κ>	2
akśke	2
AUT	2
BC.1	2
compēgī	2
con-dō	2
EDLIL	2
ferō	2
fingō	2
Fολαισυμος	2
Fολος	2
ILN	2
mlaχ	2
mēd	2
panxī	2
THE	2
velaveśnaś	2
zamaθi	2
āreō	2
δεδαξεδ	2
μ’)ἐποίησε	2
Νιυμσδιηις	2
*(C)ema-	1
*(h1)med	1
*(ἔ)θη	1
*-.(C)e.ros	1
*-.C(R)i.i̯os	1
*-ai̯	1
*-ei̯	1
*-en	1
*-ffaked	1
*-i(i̯)o-	1
*-i.i̯om	1
*-i.i̯os	1
*-ii̯o-	1
*-is-m	1
*-is-tero-	1
*-izVmo-	1
*-mVr.t(i)i̯o-	1
*-mVrt.t(i)i̯o-	1
*-nh	1
*-si̯-	1
*-tu-m	1
*-tudestā-	1
*-ōs	1
*ad-nāmā-	1
*ad-to-m	1
*anau̯o-	1
*arsom	1
*assom	1
*atstom	1
*Ce-CC-	1
*d(e)h3-	1
*da-	1
*deh2i-tōr	1
*deh2it-o-	1
*deh3-	1
*dh	1
*dhe-dhh1-e	1
*dhe-dhh1k-e	1
*dhe-dhoh1-e	1
*dhe-dhoi̯gh-	1
*dhe-dhugh-	1
*dheh1-k-	1
*dheH1-k-	1
*dheh1-k-t	1
*dheh1k-t	1
*dheu̯gh-	1
*dhi-dh(e)h1-	1
*dhi-dhigh-e-t/-o-nt	1
*dhigh-	1
*dhǵhemai̯	1
*dik-	1
*domă-i̯e/o-	1
*domă-u̯ai̯	1
*domăno-	1
*dāmā-	1
*dăk-i̯e/o-	1
*dēket	1
*dū-reχ-tā	1
*dū-rē/eχ-s-t	1
*fak-	1
*faked	1
*faki-tōd	1
*falsī	1
*fe-făk-.1	1
*fe-făk-e-	1
*fe-făked	1
*fe-fēk-	1
*fe-fēk-e	1
*fe-fēk-e(d	1
*fe-fēk-e-d	1
*fe-fēk-us-s	1
*fe/i-fi	1
*fe/i-fik-e-	1
*fe/i-fēk-us-t	1
*fedicit	1
*fefak-	1
*fefed	1
*feficī	1
*fefked	1
*fefukus	1
*fefăkus	1
*fefăkust	1
*fefēke	1
*fefēked.2	1
*fei̯	1
*fei̯k-	1
*feðe-d	1
*feðăked	1
*fidō	1
*fV-b-	1
*fă-	1
*făk-/	1
*făk-and	1
*făk-i(e/o)-	1
*făked.4	1
*fē-	1
*fē-fē-	1
*fē-k-	1
*fēk-	1
*h1i̯eh1-	1
*h2ed-	1
*h2eh1s-	1
*h3rē/eĝ-	1
*h3rē/eĝén	1
*h3rē/eĝōn	1
*homo-	1
*komno-	1
*lelaked	1
*lăk-	1
*lăk-i̯e/o-	1
*med	1
*medesto-).4	1
*minu.scello-	1
*mé	1
*mé.ō	1
*mē.ō	1
*mēd	1
