form	count
CIL	71
PNN	24
MARINETTI	23
III	21
PROSDOCIMI	19
XIII	13
B.C	12
RIG	12
*bheu̯g-	11
PIE	11
LEJEUNE	10
LIV	10
SOLINAS	10
ou̯	9
<ś>	8
UNTERMANN	8
-u̯-	7
FRIVI	7
<ST>	6
EICHNER	6
eu̯	6
NUSSBAUM	6
PELLEGRINI	6
POLTOS	6
VRCLESONI	6
*φare-	5
<h>	5
BICHLMEIER	5
BVGANSONIS	5
CRESCI	5
DLG	5
d̥	5
KGP	5
MARRONE	5
NERI	5
PATER	5
WEISS	5
<s>	4
BENVENISTE	4
b̥	4
DELAMARRE	4
ENOCLIAE	4
FALILEYEV	4
FVGANTIVS	4
g̊	4
II-2	4
ku̯	4
MANCINI	4
MCCONE	4
OSTINOBOS	4
RIX	4
UHLICH	4
*bhug-s-ó-	3
*eku̯o-sto-	3
*φare-bug-s-o-	3
-tōr-	3
<ss>	3
B.G	3
BRUNO	3
BVCTOR	3
DEAE	3
DEO	3
EDPC	3
ESKA	3
FNN	3
FVGENIA	3
LOXINA	3
MASSARELLI	3
MILES	3
MLM	3
OCS	3
OLIVOTTO	3
plēbēs	3
RADMAN-LIVAJA	3
RAVPATNIS	3
REIDAVIVS	3
RNN	3
SASSATELLI	3
SIMON	3
TIBILETTI	3
TIRELLI	3
TOORIANS	3
u̯	3
VES	3
VESCLEVESI	3
VETTER	3
VINE	3
WALLACE	3
WIDMER	3
z̞	3
*-i	2
*fugi/	2
*fugi/o-genes	2
*fugu̯orsso-	2
*h₁u̯esu-	2
*kreu̯h₂i-no-	2
*lai̯vnā	2
*leu̯k-os-	2
*leu̯k-s-o-	2
*pei̯tu-	2
*pitu-	2
*plo/eth₂-u-	2
*plēdus	2
*prei̯-mo-	2
*ret-	2
*sre/ou̯-to-	2
*sru-tu-	2
*verku	2
*φare-bou̯n(i)-iko-	2
-(i)i̯o-	2
-ei̯	2
-genēs	2
-ii̯o-	2
-i̯o-	2
-ku̯-	2
-ēi	2
-ō	2
<OV>/<ou>	2
<S>	2
ADBVGIOVNA	2
ADBVGIOVNI	2
ALFARO	2
ANREITER	2
ARBVGIONIS	2
ARBVI	2
ARSTO	2
Baga-buxša-	2
BARATTA	2
BASSIGNANO	2
BIANCHI	2
BREYER	2
BRIGDINAI	2
buxša-	2
BVGAN	2
BVGIO	2
CALZAVARA	2
CAPUIS	2
CERCOLA	2
CHIECO	2
CLEVIO	2
crumīna	2
CRVMELONIA	2
DOSUNA	2
ENONI	2
EUSAL	2
fugiō	2
FVCTIENAE	2
FVCTORIVS	2
FVXSIAE	2
GABLER	2
GUNKEL	2
HILD	2
JUSTESON	2
KOCH	2
KPNP	2
ku̯-	2
ku̯et-(i)i̯o-	2
L(VCI	2
LAEVICVS	2
LAMBERT	2
LIPP	2
MARTINI	2
MLH	2
MORALES	2
na.i.śo.i	2
NIL	2
o.u̯	2
OENOCLIONI	2
OPERSTEIN	2
OPFERMANN	2
PALACIOS	2
RAU	2
SACAZE	2
SCARLATA	2
SONIS	2
STEINBAUER	2
STEPHENS	2
STIFTER	2
TIR	2
TVRSTIACA	2
UDOLPH	2
uśedika	2
VER-	2
VERCOBRETOS	2
VOLT	2
WARNER	2
WATKINS	2
XII	2
εὐρυκλῆς	2
πληθύς	2
τυρρηνός	2
*(-)varia-	1
*(H)upo-sth₂ó-	1
*(φ)lisso-	1
*-(o/e)t-’	1
*-bhero-	1
*-es-ei	1
*-es-ei̯	1
*-es-os	1
*-etó-	1
*-gene	1
*-genes-(i)i̯o-.⁵	1
*-genēi̯	1
*-i(i̯)o-	1
*-iH-no-	1
*-isto-	1
*-i’	1
*-kle(u̯)e	1
*-klēi̯	1
*-komu̯V-	1
*-kou̯u̯V-	1
*-kou̯V-	1
*-kuu̯V-	1
*-ku̯et-s-	1
*-ku̯V-	1
*-laku̯-i	1
*-laku̯-ā	1
*-o.u̯V-	1
*-si̯-	1
*-sth₂o-	1
*-u̯ano-	1
*-ēs	1
*-ō(n	1
*ad-bhug(h)-(i)i̯o-mno-	1
*ad-bogiona	1
*ad-bugio-	1
*ande-φare-u̯iss-(i)i̯o-	1
*ando-	1
*Arelape	1
*ari̯o-	1
*aspasta-	1
*aspastāna-	1
*ati-s(e)ku̯o-	1
*aśva-	1
*bai̯dro-	1
*bero-	1
*bet(u)o-	1
*bet(u)o-’	1
*bh(e)h₂g-s-o-	1
*bhag-s-	1
*bhag-s-o-	1
*bheh₂-	1
*bheh₂g-s-	1
*bheu̯g-os-	1
*bheu̯g-tor-	1
*bhiH-ó-	1
*bhr-	1
*bhrem-	1
*bhriH-u̯o-	1
*bhr̥-tó-	1
*bhug-	1
*bhug-s-o-	1
*bhuh₂-	1
*brixto-	1
*bug-ant-	1
*cruma	1
*deh₃-no-	1
*dek-	1
*dhh̥₁s-	1
*dhr-	1
*dhr̥h₃-i̯e/o-	1
*dus-sth₂ó-	1
*du̯i-	1
*du̯i-sth₂ó-	1
*dī-bu-n-ge/o-	1
*dū-	1
*dū-listo-	1
*dū-rexto-	1
*e/ēnō	1
*eni	1
*feu̯go/e-	1
*flata-	1
*flatja-	1
*folgont-	1
*folgu̯-o-	1
*fraθa	1
*friu̯o-	1
*frutiko-	1
*frīu̯os	1
*frōt-ā	1
*frōt-āi̯	1
*fug-tōr-	1
*fugi-genēs	1
*fugi/o-	1
*fugi/o-u̯ort-i-/-to-	1
*fugV-genes	1
*fung-tōr-	1
*funxtōr-	1
*fuxto-	1
*ghasteh₂	1
*gu̯heh₂id-ro-	1
*gu̯heh₂id-u-	1
*gu̯honó-	1
*gu̯hr-	1
*hrawa-	1
*h₁es-no-	1
*h₁leu̯dhero-	1
*h₁lou̯dho-	1
*h₁n̥do-	1
