form	count
CIL	13
LIV	10
*mói̯-to-	6
*-is-m̥Ho-	5
WOU	5
*mai̯þmaz	4
-īmo-	4
Fολαισυμος	4
mūtuus	4
PIE	4
Repanšek	4
*-isamo-	3
*kluss-isamo-	3
*mei̯th2-	3
*méi̯-to-	3
*méi̯t-mo-	3
<i>	3
>>	3
AND	3
mūtāre	3
NIL	3
Osismī	3
šankùs	3
Šašel-Kos	3
*-is-tHo-	2
*-sm-	2
*-ú-isto-	2
*du̯en-isamo-	2
*h1ups-eh1-	2
*meh2-	2
*mei̯-	2
*mei̯H-is-tero-	2
*mei̯t-i-mo-	2
*mei̯timo-	2
*mei̯tīmo-	2
*mei̯þa-	2
*mái̯sVmo-	2
*mói̯-ni-	2
*prīs-mo-	2
*seh1-is-tero-	2
*sāssamo-	2
*uxsello-	2
*u̯elH-	2
*u̯olH-ó-	2
*φelu-isamo-	2
-ism̥mo-	2
<ei>	2
<en	2
CNRS	2
DLG	2
EDLIL	2
EDPC	2
I.-J	2
maiþms	2
mittō	2
OCS	2
OHG	2
P.-Y	2
RIG	2
S/N	2
sēlest	2
sēlra	2
sōlistimus	2
UCLA	2
Οὐξισάμη	2
*(H)ups-eh1-	1
*(h2)mei̯-.3	1
*(s)ku̯ās	1
*(s)līu̯o-	1
*-[unclear-glyph-U	1
*-CuiC-	1
*-diu̯ou̯	1
*-is-amo-	1
*-ismo-	1
*-ism̥mo-	1
*-mHo-	1
*-m̥Ho-	1
*-sis-	1
*-u-ko-	1
*-u-samo-	1
*-V́s-isamo-	1
*-V́sis-	1
*-V́ss-	1
*-V̄́C-	1
*-zm-	1
*-ú-iko-	1
*-ú-isamo-	1
*-ō	1
*artī(d	1
*ate-u̯olo-	1
*ate-u̯Vlo-	1
*bel-isamo-	1
*berg-is-amo-	1
*berg-isamo-	1
*bergú-is-to-	1
*bhr̥ǵh-éu̯-	1
*bhudhtu-	1
*bhérǵh-is-	1
*bhérǵh-u-	1
*bou̯no/i-	1
*brogi̯o-	1
*bussu-	1
*dag-isamo-	1
*de	1
*dei̯ketām	1
*drau(g)-ma-	1
*dugateres	1
*du̯-	1
*du̯eno-	1
*eφer-isamā	1
*flau-ma-	1
*folgu̯o-	1
*fou̯go-	1
*h1e/ou̯ps-	1
*h1eu̯ps-os	1
*h1s-i̯eh1-s	1
*h2mei̯-t-	1
*h2o	1
*hai-ma-	1
*hang-istaz	1
*Jocidus	1
*k/	1
*kankú-isto-	1
*kap-	1
*karisto-	1
*kintu-isamo-	1
*kintu-mo-	1
*kintu̯-ísamo-	1
*kintú-is-to-	1
*kintúsamo-	1
*kintúsamos	1
*klus-tó-	1
*klussamo-	1
*klusso-	1
*klussīmo-	1
*klust-	1
*kluts-isamo-	1
*kolHi-dhh1o-	1
*kuprē(d	1
*kíntui̯samo-	1
*lag-isamo-	1
*lag-i̯os-	1
*lagu-	1
*leu̯k-isamo-	1
*ma-i-mo-	1
*mag-imo-	1
*magismo-	1
*magistero-	1
*magisVmo-	1
*mai-mo-	1
*mai̯-imo-	1
*mai̯ismo-	1
*mai̯stero-	1
*mai̯þaz	1
*makr-isVmo-	1
*malú-isto-	1
*matu-	1
*meg’	1
*meh1-	1
*meh1i-ti-	1
*meh2-i-	1
*meh2-i-(V)nt-	1
*meh2-i-mo-	1
*meh2-is-m̥Ho-	1
*meh2-is-tero-	1
*meiH-	1
*meitmos	1
*meitī/imo-	1
*mei̯(-t)-	1
*mei̯-to-	1
*mei̯H-i̯os-h̥2	1
*mei̯H-ti-	1
*mei̯istero-	1
*mei̯t(i)-isVmo-	1
*mei̯t(i)-isVmā	1
*mei̯t-(i/ī)mo-	1
*mei̯t-e/o-	1
*mei̯ti/īmo-	1
*mei̯tims	1
*mei̯tmọm	1
*mei̯to-/-i-	1
*melh2-ōu̯-	1
*melāu̯o-	1
*mess-isamo-	1
*messamo-	1
*meu̯	1
*mh1i-ti-	1
*mi-	1
*mi-tó-	1
*miH-ti-	1
*mit-eh2(i̯e/o)-	1
*mith2-ei̯e/o-	1
*mi̯uh1-teh2-i̯o/e-	1
*ml̥h2-u-	1
*mo/	1
*mo/ei̯-ni-	1
*mo/ei̯-no-	1
*moi̯-ni-ko-	1
*moi̯-ni-tlo-	1
*moi̯-to-	1
*moi̯t-	1
*moi̯t-i̯ai̯o-	1
*moi̯th2-ei̯o/e-	1
*moi̯tmo-	1
*mái̯samo-	1
*mái̯zmo-	1
*máīmo-	1
*méi̯-no-	1
*méi̯ti/īmo-	1
*mói̯-n-es-	1
*mói̯-no-	1
*mói̯-no/i-	1
*mói̯t-	1
*mā-	1
*mātrei̯	1
*ne-	1
*ne-sd-tamo-	1
*ned-tamo-	1
*neds-isVmo-	1
*nesd-ism̥mo-	1
*ness-	1
*ness-isVmo-	1
*ness-izmo-	1
*nessimo-	1
*nessīmo-	1
*netssm̥mo-	1
*neu̯i̯o-	1
*nezd-isamo-	1
*nezd-isVmo-	1
*n̥-u̯ideh1-lo-	1
*ollo/u-	1
*olu-	1
*olúsamo-	1
*ossismo-	1
*ou̯xsamo-	1
*ou̯xsel(l)o-	1
*ou̯xsV-	1
*patrei̯	1
*pelh1u-	1
*pelHu-	1
*pi-b-e-	1
*pleth2-is-mHo-	1
*pleth2-mHo-	1
*pl̥th2u-	1
*po/elh1-u-	1
*polh1-u-	1
*polh1u-	1
*posti	1
*pri-is-	1
*pro-mo-	1
*prīs-	1
*pr̥h2i-	1
*quan.i̯ou̯	1
*quan.ni̯ou̯	1
*quandi̯ou̯	1
*regini-	1
*regini̯amo-	1
*rēg-isamo-	1
*s(e)nh1-u-tér	1
*seg-isamo-	1
*seg-istero-	1
*seh1-	1
*seh1-i-	1
*seh1-is	1
*seh1-is-m̥Ho-	1
*seh1-ro-	1
*seh1i̯-is-	1
*seh2t-t-	1
*senh1-u-	1
*senistero-	1
*sm̥-moi̯ni-	1
*sn̥h1-eu̯-	1
*sn̥h1-ēu̯	1
*sāg-isamo-	1
*sāl-is-	1
