form	count
DIE	50
SPRACHE	50
PIE	37
CIL	31
BLANCA	26
>>	15
quārtus	15
*ku̯	14
*ku̯enku̯to-	12
quaternī	11
PINTAMVS	10
*seχtamo-	9
-u̯-	9
K.1.3	9
trīnī	9
*(ku̯)truto-	8
*ku̯eturto-	8
*ku̯etu̯r̥-tó-	8
*penku̯tó-	8
PETVRTIVS	8
*ku̯enku̯e-to-	7
*ku̯etur-	7
*ku̯etu̯ero-	7
*truto-	7
*ku̯etu̯	6
*ku̯etu̯ores	6
*ku̯etu̯ōr	6
*ku̯tu̯r̥-tó-	6
/ku̯/	6
III	6
PE-	6
quīntus	6
ternī	6
*ku̯etru-	5
*ku̯etu̯er-no-	5
*petōr	5
PEIDVRT(I)A	5
Petrō	5
PIXTE	5
WOU	5
*dekanto-	4
*feðurþan-	4
*ku̯enku̯-to-	4
*ku̯enku̯eto-	4
*ku̯etrus-no-	4
*ku̯etur-tó-	4
*ku̯etu̯r̥-	4
*penku̯e-ro-	4
*seχtanto-	4
*su̯eχs-eto-	4
*trei̯o-	4
COMPEDIA	4
COMPEDIONI	4
OCS	4
PAETRVTE	4
PENTIVS	4
PENTOVIVS	4
PERVRDA	4
PETORVS	4
Pompō	4
quadrīnī	4
quīnque	4
*dekamo-	3
*ku̯enku̯er-i̯ā	3
*ku̯enku̯eri̯o-	3
*ku̯etruto-	3
*ku̯etu̯or-es	3
*ku̯tu̯r̥tó-	3
*nou̯ano-	3
*nou̯anto-	3
*oχtū-nto-	3
*pe-	3
*petora	3
*seχtam-eto-	3
*seχtunto-	3
*tri-ro-	3
*tris-no-	3
-edi̯o-	3
-tu̯-	3
-u̯r̥-	3
Blažek	3
CONCERIO	3
F(ILIVS	3
IBS	3
M(ARCVS	3
MLH	3
N-L	3
OHG	3
PEIDVRTA	3
PETRECVS	3
PETVERNVS	3
PETVREI[VS	3
PINTOVIVS	3
QVORTA	3
r̥-tó-	3
SEITVNDO	3
SEXTANTIVS	3
SVANMANV	3
T(ITVS	3
TRVTMO	3
TRVTTEDIVS	3
TRVTVM	3
VATRVT(A)E	3
XII	3
XIII	3
τέταρτος	3
Τύρταμος	3
*(ku̯e)truto-	2
*dekam-eto-	2
*ku̯aterno-	2
*ku̯aturs	2
*ku̯enku̯edi̯o-	2
*ku̯enku̯er-i̯o-	2
*ku̯enku̯t-	2
*ku̯et-	2
*ku̯etero-	2
*ku̯etur	2
*ku̯eturtó-	2
*ku̯etu̯r̥tó-	2
*ku̯onku̯e	2
*ku̯turi̯ó-n-	2
*ku̯turs	2
*ku̯ǝtur-	2
*nou̯am	2
*nou̯am-eto-	2
*oktōu̯ó-	2
*oχtāu̯o-	2
*oχtū-m-eto-	2
*oχtū-meto-	2
*oχtū-n-to-	2
*penku̯	2
*penku̯e	2
*penku̯e-	2
*penku̯ero-	2
*petruto-	2
*peturo-	2
*peturto-	2
*petūr	2
*pętĭ	2
*septm̥-t(H)ó-	2
*seχtam	2
*seχtan-to-	2
*su̯	2
*su̯eχs-	2
*su̯eχsto-	2
*trei̯-no-	2
*tri-	2
*tri-lo-	2
*tris	2
*trutamo-	2
*trutuntā	2
*trutū-n-to-	2
-ei̯çt-	2
