form	count
III	10
CIL	6
IEW	6
INDI	6
OILAM	6
REVE	6
*im-dhi	4
*palantaÅ	4
COMAIAM	4
ICCONA	4
TIR	4
*-dhe	3
*EkwonaÅ	3
*laipo-	3
*palantikaÅ	3
*palantyaÅ	3
*porkos	3
IFADEM	3
IOVEAI	3
LABBO	3
OCS	3
TAVROM	3
THE	3
VSSEAM	3
*-aÅi	2
*-ei	2
*-oÅi	2
*arunis	2
*eÂnthe	2
*H2nËti	2
*i-m	2
*im-dhe	2
*indi	2
*lei-	2
*loimos	2
*muceaico-	2
*nËti	2
*palantikaÅnaÅ	2
*pel-	2
*RE	2
*up-s-	2
*uts-	2
CAEILOBRIGOI	2
DCE	2
IBS	2
LAEBO	2
LAEPO	2
OHG	2
PORCOM	2
PORGOM	2
RADOM	2
TREBARVNE	2
TREBOPALA	2
VII	2
*-a/owyo-	1
*-aiwiaÅ	1
*-aroÅnei	1
*-awi-yaÅ	1
*-awiaÅ	1
*-aÅd	1
*-dh(e/o)i	1
*-dh-	1
*-dh-oi	1
*-dhe/-dhi	1
*-dheÅ	1
*-ment-/	1
*-mnËt-	1
*-n-	1
*-un-	1
*-wen(t)-	1
*-went-	1
*-yo-	1
*ab-	1
*agwen-los	1
*agwnaÅ	1
*agwno-los	1
*agwnË-los	1
*Al-mantyaÅ	1
*Ar-	1
*AravancËa	1
*arawantyaÅ	1
*aroÅ(n	1
*aroÅnaÅ	1
*Arunis	1
*arwaz	1
*Au-mantyaÅ	1
*AwerAwno-	1
*AwrAwno-	1
*bnËd-	1
*boweÂlius	1
*com-	1
*daÅ	1
*e-m	1
*eibh-	1
*ekko-	1
*ekkwo-	1
*ekwo-	1
*em-dhe	1
*en-	1
*endhe	1
*endi	1
*enti	1
*eÂkwonaÅ	1
*gem-	1
*gom-yaÅ	1
*gomyaÅns	1
*H1er-	1
*H1oru-	1
*H1oru-H1n-(i)-	1
*H1orun-i-	1
*H1reu-ei	1
*H1runi-	1
*H2er-	1
*H2nËdhi	1
*H2yu-H1(e)n-i-	1
*H3er-	1
*Hreu-	1
*i-dhei/-dhi	1
*i-m-de	1
*i-m-dhe	1
*ikko-	1
*indhi	1
*inti	1
*kom-awyaÅ	1
*kom-owõÅnaÅ	1
*Koryono-	1
*kwo-m-dhe	1
*kwom-dhi	1
*kwu-dhe	1
*kwu-dhei/-dhi	1
*L(e)ib-awaÅ	1
*lab-	1
*labboÅ	1
*LabbuÅ	1
*laeboÅ	1
*lap(h)-	1
*lei-p-	1
*leuks-men-aÅ	1
*leÏpq	1
*LibyaÅ	1
*loibaÅ	1
*loibo-	1
*loipo-	1
*loipos	1
*lonkaÅ	1
*makwonos	1
*MaÂtronaÅ	1
*MaÅtroÂnaÅ	1
*meuk-	1
*moi-l-yo-	1
*muca-	1
*Mukana	1
*mukino-	1
*naÅwaÅ	1
*nËdhi	1
*owi-laÅ	1
*owilaÅm	1
*owis	1
*oÂr-wos	1
*pal-ant-ik-anaÅ	1
*pala-ment-yaÅ	1
*palant-	1
*PalantaÅ	1
*palantikanaÅ	1
*palantis	1
*palentiko-	1
*paÅ-	1
*pelentiana	1
*PelentyaÅ	1
*penkw-to-	1
*plab-	1
*plentyaÅ	1
*poti-daÅoÅn	1
*poÅ-	1
*raÅ-to-	1
*re	1
*rew-ei	1
*rH-to-	1
*runis	1
*RõÅgantonaÅ	1
*suÅs	1
*teuto-	1
*toir-aiko-	1
*toir-aio-	1
*tongo-	1
*tor-lo-	1
*torkos	1
*Toudo-palandaÅ	1
*treb-	1
*trebaikos	1
*TrebaroÅnaÅ	1
*trebo-	1
*up-	1
*up-amaÅ	1
*upsa-	1
*upsyaÅ-	1
*uts-yo-	1
*Vindupalem	1
*weÂtos	1
*wik-	1
*wind-upalis	1
*yebh-	1
A(NIMO	1
A-K	1
A.63	1
A.D	1
ACQVA	1
AECVS	1
AMEAICVS	1
AMMAIA	1
AMMIA	1
AMMICA	1
AMMIVS	1
AND	1
ARAIVS	1
BASSU/S	1
BOELIVS	1
BOUTI	1
BOVIA	1
BOVIVS	1
BRGK	1
CALAETVS	1
CALL-	1
CALONTENSIVM	1
CALVRI	1
CARIO	1
CLOVTAIVS	1
CLOVTIVS	1
CLVTIVS	1
COERENSIVM	1
COLLOVESEI	1
COSSVE/COSO	1
COVTIVS	1
CSIC	1
DAS	1
DEBARO/NI	1
DGICYT	1
DOIDENA	1
DOVAIVS	1
DOVILVS	1
E-37001	1
ELAVIVS	1
EQVOTVLLAICENSI	1
F(ILIVS	1
FEITU	1
FIRMU[S	1
FISIU	1
FVSCI	1
FVSCINVS	1
GALAETVS	1
GALLAECVS	1
GLOVTIVS	1
GOMAIAM	1
GOVTIVS	1
GRAVIDAS	1
GUAS	1
HIERA	1
I-II	1
I-III	1
I-VI	1
IBERIAN	1
II-III	1
IIII	1
IKUVINA	1
INNA	1
INSCRIPTION	1
ISCH	1
IUVIE	1
K-30	1
KALA	1
KUMIAF	1
L(IBENS	1
LAEPO23	1
LAIIPO	1
LOIM	1
LOIMINA	1
LOIMINNA	1
LUSITANIAN	1
LVI	1
MVCE/AICAECO	1
N]A	1
ON[E	1
OX4	1
P.-Y	1
PALANTENSES	1
PB93	1
PENINSULA1	1
POPULATIONS	1
PORCOM/PORGOM	1
PRE-	1
PUSVERES	1
REVISITED	1
S(OLVIT	1
SABINAE	1
SALAIVS	1
SALAMANCA	1
SIF	1
SUES	1
SVNT	1
SVO	1
T[R]/EBAR-	1
TALAIVS	1
TANGINV/S	1
TOIRAECO	1
TRE	1
TREBARO[N]/	1
TREBARO[N]/[N]A	1
TREBARON/NE	1
TREBARUNE	1
TREBE	1
TREF	1
TREPLANES	1
TRES	1
TUTAPER	1
TVERAEO	1
TVRAIVS	1
TVRIVS	1
UKRIPER	1
USSEAM	1
