form	count
artuaś	24
*-ons	15
CIL	15
LOCAVIT	13
*ku̯	11
BCE	11
STATVIT	11
*-ās	9
PIE	9
*-ans	8
siteś	8
*-n̥	7
*-om	7
*-ūs	7
H-eh1	7
RIG-II/1	7
SOS	7
*-ns	6
*-ōm	6
*kr̥	6
>>	6
dʰh1-	6
*-ōns	5
*sons	5
ODAS	5
RIG-I	5
RIG-II/2	5
*-uns	4
*-āns	4
*-ōs	4
*-ūns	4
*dʰeh1-	4
*kl̥	4
-i̯	4
-n̥	4
-ā	4
MLH-IV	4
m̥	4
PVBLICVS	4
SEPVLCRVM	4
*-u̯	3
*kel(H)-	3
*proi̯	3
*sīdēns	3
*u̯	3
-ou̯	3
-ī	3
-ūs	3
EIVS	3
ETIC	3
FRATER	3
KARNITU	3
MINIMVS	3
roi̯	3
sēdēs	3
XIII	3
*(s)ker-	2
*-ants	2
*-dʰo-	2
*-e	2
*-ei̯	2
*-nts	2
*-ont-s	2
*-um	2
*gʰer-	2
*isto-	2
*karno-	2
*sindons	2
*sēd-ei̯	2
*sūs	2
-cellō	2
-uu̯	2
-ās	2
-ē-	2
-εις	2
/ku̯	2
ALTICON	2
DELL	2
DRVTI	2
dʰeh1-	2
F(ILIAE	2
F(ILIVS	2
II/1	2
K.1.1	2
ku̯	2
L-100	2
LOCAVERVNT	2
LOCVM	2
LVGVEI	2
MATEREM	2
MLH-I	2
n̥	2
PRINAS	2
rubĕ-faciō	2
S(PVRI	2
S(PVRIVS	2
STATVENDOS	2
UCLA	2
VRNVM	2
VXEDIA	2
áśñ	2
*(H)reh1-ei̯	1
*(H)reh1-ēi̯	1
*-(n)ts	1
*-(t)u-s	1
*-a	1
*-a/ont-s	1
*-a/onts	1
*-ant-s	1
*-ant-si	1
*-Cu-ns	1
*-Cu̯	1
*-e(i̯	1
*-e/oh1om	1
*-eh1-	1
*-enns	1
*-ents	1
*-et-s	1
*-eu̯	1
*-i-ns	1
*-ih2-	1
*-isamo-	1
*-iz	1
*-i̯	1
*-m̥	1
*-n(C)s	1
*-o-bʰos	1
*-oh3om	1
*-oi̯	1
*-on/-om	1
*-s	1
*-t(i	1
*-t-e	1
*-t-i	1
*-t-s	1
*-tai̯	1
*-u-ns	1
*-u-s	1
*-uH	1
*-uH-n̥	1
*-ui̯	1
*-un	1
*-Vnt-s	1
*-Vnts	1
*-Vu̯	1
*-úm	1
*-únn	1
*-úns	1
*-ā-ns	1
*-ēns.22	1
*-ō	1
*-ō(C	1
*-ōd	1
*-ōi̯	1
*-ōn	1
*-ōn-s.9	1
*-ōnz	1
*-ū(C	1
*-ūh	1
*-ūi̯	1
*-ūm	1
*-ūn	1
*-ūs.7	1
*ad-s	1
*ande-koi̯	1
*ar-	1
*ar-tu-	1
*ar-tu-ā	1
*arto-	1
*artos	1
*artuu̯	1
*artu̯	1
*ati	1
*brīu̯	1
*bʰelgʰo-	1
*bʰr̥	1
*bʰuh2-	1
*C.CC	1
*cara	1
*CeC-e	1
*CeC-e-t(i	1
*CeC-e/o	1
*CH.CC	1
*d(i)i̯	1
*de-	1
*dei̯	1
*dhh1-	1
*dʰe-dʰh1-e	1
*dʰh1-	1
*dʰh1-ó-	1
*dʰh1o-	1
*dʰēs	1
*esti	1
*esti-kwe	1
*fiskōdes	1
*fiskōđa-đē1s	1
*gʰerdʰ-	1
*gʷōm	1
*g̑	1
*h2ei̯	1
*h2er-tu-	1
*h2nr	1
*h2r̥	1
*h3bʰruH-	1
*is-tó-	1
*Jocidus	1
*kalē-d-	1
*kalī	1
*kalī-d-	1
*karn-i̯	1
*karnī-	1
*karē-d-	1
*karī	1
*karī-d-.28	1
*kel(H)dʰ-	1
*kel(H)dʰh1-e/o-	1
*kel-	1
*kelH-	1
*ker(H)-dʰh1-ó-	1
*ker(H)dʰ-	1
*kerd-e/o-	1
*kerH-	1
*ko(m	1
*ko(m).3	1
*ko/elH-i-	1
*koi̯	1
*kol(H)(i)-dʰh1o-	1
*kol(i)-θo-	1
*kol(i)-θē-	1
*kúlam	1
*kĺ̥	1
*kūl	1
*logʰ-ā	1
*longā	1
*lugu(u̯	1
*ma-tu-	1
*nou̯	1
*piskāto-	1
*pr̥	1
*rēi̯	1
*rēns	1
*rēs	1
*salƀōđeđo/ōm	1
*se-zdí-	1
*sindās	1
*solpā	1
*solpā-i̯	1
*sos	1
*ste-stoh2-e	1
*su̯	1
*sēd-	1
*sēd-n̥	1
*sēd-ēd	1
*sēd-īd	1
*sēdeans	1
*sēdā	1
*sīdans	1
*sīdants	1
*sīden	1
*sīdents	1
*sīdets	1
-(i)i̯	1
-(n)d̥	1
-(n)s̪	1
-bā-	1
-ei̯	1
-i/ī-	1
-ns/-eu̯	1
-oi̯	1
-u̯	1
-ð	1
-ð-	1
-ān	1
-ēns	1
-īmo-	1
-ōs	1
-ū	1
-ū-	1
-ūi	1
-ūn	1
-ουι	1
-υας	1
/biu̯	1
/koi̯mitro/	1
/oi̯/	1
/u̯	1
a..i.su.ś	1
A.77	1
ADGARIONTAS	1
AE-	1
AGRVM/AREAM	1
aisuś	1
ALEONEI	1
ALTICA	1
ALTICON(A	1
ALTICON/A	1
AN-	1
ANQVEM(A)E	1
anteśilu	1
ARCEA	1
ARGANTOCOMATERECVS	1
artuaś/lokan	1
ATECINGI	1
ATEGNATEI	1
ATEGNATI	1
ATTA	1
AVDINTVM	1
AVTRODIV(S	1
b(u̯	1
BELGONI	1
BELVICON	1
BIONTAE	1
birauiχeś	1
BLANCA	1
BRIGINDONE	1
C(AI	1
C]OISIS	1
CABVECO	1
CANTIPISONTAS	1
CATILVS	1
CERTVS	1
CINTVGNATVS	1
COEMA	1
COEMEAE	1
COESIVS	1
COI]SIS	1
collocāre	1
colō	1
CONIVNX	1
CVRAVIT	1
De(v)ō	1
DECRETO	1
DECVRIONV]M	1
DEO	1
dhā-	1
DICVLAS	1
DIV-	1
doh3-e	1
DRV	1
DRVTEI	1
dʰedʰōm	1
E-1	1
E-2	1
E-5	1
EDLIL	1
EDPC	1
EDPG	1
eh1-	1
ei̯	1
elh1-	1
EORVM	1
EQVE	1
eśelsít	1
eθθi-c	1
FACIENDVM	1
FILIVS	1
fēda	1
F̣[ILIVS	1
G-151	1
G-159	1
G-271	1
G-28	1
grād	1
grēdus	1
gúhā	1
g̑	1
H-dʰh1o-	1
h1-eh2	1
h2-	1
h2-eh2	1
h2-no-	1
h2-o-	1
h2-ó-	1
h2-óm	1
h2is-tó-	1
i(i̯	1
i)i̯	1
i-bhu(h2)-	1
I.529	1
ibu̯	1
II/2	1
ISOC	1
ISON	1
IVLIVS	1
iśos	1
iṣ́os	1
K.1.3	1
K.3.3	1
K.6.1	1
kalī	1
karī	1
koiśa	1
koi̯	1
kr̥	1
kū́la-	1
L(IBENS	1
L(VCI	1
L-29	1
L-93	1
LEONEI	1
LIBENS	1
LINCOM	1
LIV	1
LIV2	1
LOCAV	1
LOCAVIT/STATVIT	1
locāre	1
LOKAN	1
lokan/artuaś	1
LVGOVES	1
l̥	1
M(ERITO	1
MATRVBOS	1
NAMAN	1
ne-i̯	1
NVANE	1
OCS	1
olh1-eh2	1
pasuuō	1
paśvás	1
paśú	1
paśū́n	1
PEC]VNIA	1
pedēs	1
POSVIT	1
QVEMIAE	1
QVOD	1
r(e/o)i̯	1
R(ETVS	1
RACECTIV(S	1
re/oi̯	1
REFICIVNDAS	1
rei̯	1
RIB-II	1
RIB-II-8	1
RIG-	1
rubeō	1
rubē-bā-	1
rubēbam	1
rubēbō	1
rubĕ-fiō	1
rubĕ-fēcī	1
rēs	1
r̥	1
S(OLVIT	1
SECOVI	1
SEPV[L]CRVM	1
SEPVLCRO	1
SEPVLCRVM/VRNVM	1
SOV	1
ST]ATVITQVI	1
STATVENDVM	1
STATVITQVE	1
suēscō	1
sēdis	1
sēdium	1
sēdum	1
sēdāre	1
T]VRNVM	1
TEDITIV(S	1
TEI	1
tevoχtonion	1
TONC-	1
tustōns	1
tu̯	1
tūš	1
tʰents	1
u̯	1
V(I)ROCATAE	1
V(IBIVS	1
V(OTVM	1
VEDODIV(S	1
VIBEBOS	1
VIII	1
VIRIAE	1
VIROCANTI	1
VVROVIO	1
VX(AMENSI	1
XII	1
