form	count
CIL	72
Repanšek	28
FEVA	11
FEVCONTIS	10
*ne	9
EDCS	9
LASCIOANTIAE	8
PIE	7
BVQVORSA	6
DEVONTIAE	6
ENNAE	6
OCS	6
PLETOR	6
TATSORIAE	6
ADNOMATVS	5
BVIO	5
OHG	5
VOLTARO	5
VOLTOGNAS	5
*h2e	4
<O>	4
AIJ	4
BVCTOR	4
EBONICI	4
ENIGNVS	4
ENINNAE	4
IBS	4
Katiþiü	4
LASCONTIAE	4
LIV	4
VOLTARONTI	4
Šašel-Kos	4
*bh	3
*bug	3
*ka	3
*kag-	3
*te	3
<A>	3
<C>	3
<GN>	3
<I>	3
Arheološki	3
BEATVLONIS	3
BIETVMARA	3
DECOMONIS	3
EDLIL	3
EDPC	3
EDR	3
F(ILIAE	3
KPNP	3
LASSONIAE	3
MOIOTA	3
NEVNTII	3
PLATOR	3
POPTEIVS	3
QIEMONI	3
RVTI	3
RVTIVS	3
SVBLOANI	3
TALSI	3
Veraniþ	3
VOLTVPARIS	3
WHAT	3
*-Ʒ	2
*bhe	2
*bho	2
*bo	2
*botto-	2
*da	2
*de	2
*dipró-	2
*dé	2
*dƝ̙	2
*fugi/o-	2
*h1re	2
*h2	2
*kap-	2
*le	2
*po	2
*voltar	2
*Ʒe	2
<...>	2
<a>	2
<b>	2
<E>	2
<EA>	2
<f>	2
<n>	2
<OA>	2
<TI>	2
AD]IETVMARA	2
ADIETVMARVS	2
AECONIS	2
AN(NORVM	2
BBIII	2
BVCTORIS	2
BVGIA	2
BVTTONI	2
BVTTONIS	2
BVTTVS	2
CNRS	2
CONIVGI	2
CUP	2
DLG	2
EIVS	2
ENIGNVS/ENINNAE	2
ERAV(ISCAE	2
FIL(IAE	2
FIRMO	2
FOVONICVS	2
IANTVMARVS	2
IONTIAE	2
IOTVRIX	2
KGP	2
LA]ST	2
LAEPIVS	2
LASTORIVS	2
MATERNIA	2
MHG	2
MLG	2
MLH	2
MLM	2
MOLOTAE	2
MOSSONIS	2
NEVNTIVS	2
OPPALONIS	2
P(VBLI	2
POSVIT	2
POTEI	2
PROVIO	2
REVSO	2
RIG-1	2
RIG-4	2
S/N	2
TEIVS	2
THE	2
TVROIVS	2
TVRROS	2
VOLTAE	2
VOLTANI	2
VOLTANIS	2
VOLTREX	2
VXOR(I	2
WOU	2
ǌp(p)aštai-	2
*(H)ne	1
*(h1	1
*-k	1
*-namƗto-	1
*-nƗmƗto-	1
*-r	1
*ad-nƗmant-	1
*ad-nƗmƗto-	1
*Aikkon-	1
*amamno-	1
*amƗmno-	1
*amƗto-	1
*ando-kom-bog(i	1
*antsto-	1
*antstǀr-	1
*arti-fak-s	1
*artǀr-(i	1
*banssu-	1
*bhudh-tu-/-tó-	1
*bhug-	1
*bi	1
*bitu-	1
*blƗt-(i	1
*bog-	1
*bozdo-	1
*bu	1
*bug(i	1
*bug-	1
*buzdo-	1
*Cl-	1
*d(h	1
*dap-	1
*dap-no-	1
*dapino-	1
*darujƭ	1
*deh2-	1
*deh2-i-	1
*deh2-p-	1
*deh2ip-o-	1
*deh2p-	1
*dekɌmo-	1
*dep-	1
*dh	1
*dh2i-p-ró-	1
*dh2ipnó-	1
*dh2p-s-tó-	1
*dih2pnó-	1
*dih2pró-	1
*dƯpno-	1
*En-innƗ	1
*Enn-inƗ	1
*ens	1
*fo	1
*folg	1
*folg-	1
*frawan-	1
*frǀwǀn	1
*fug	1
*fuktǀr-	1
*gabi-	1
*gh	1
*gn-	1
*h1e	1
*h1i-ter-i	1
*h1i-tn-és	1
*h1rudh-s-ó-	1
*h2er-	1
*h2o	1
*h2re	1
*h2ru-ti-	1
*h2rut	1
*h2rute	1
*h2ruti-dhh1-o-	1
*h2ruti-lo-	1
*hurdi-	1
*hurdi-la-	1
*kabi-	1
*kadro-	1
*kap-i-	1
*kapi-lo-	1
*kle	1
*kn-	1
*konke	1
*kwasta-	1
*la	1
*lad-tó-	1
*lag(u)-(i	1
*las-ko-	1
*lask-	1
*mad-to-	1
*magh-	1
*mak	1
*meƷ-	1
*mlƗtu-	1
*mog	1
*mrogi-	1
*mǀlǀ-to-	1
*mƗno-	1
*mƗt(i	1
*mƗter(i	1
*mƝnƗli-bhos	1
*nƗ	1
*Od	1
*oxto	1
*oxtǌ	1
*oxtƗ	1
*pe	1
*pe-porh3-	1
*penk	1
*per-da	1
*plƝ-	1
*plƝ-no-	1
*plƝ-to-	1
*poti-	1
*prismo-kap-s	1
*pro/ǀ-	1
*prǀ	1
*prǀ-	1
*pƗri-	1
*rextƗ	1
*rut	1
*Rut(i	1
*Ruti-	1
*Rutius	1
*Ruto-	1
*sh2(n)k/	1
*sre/	1
*stadhl-Ɨli-	1
*tabarƗs	1
*tals-alo-	1
*talti-	1
*taltso-	1
*tanssǀr-(i	1
*tend-tor-	1
*tend-tr-Ư	1
*tl-	1
*tlƗt(i	1
*to	1
*tond-	1
*tond-to-	1
*trit-Ɨ	1
*tritó-	1
*tritƗ	1
*trƗns-	1
*tubi-kan	1
*turo	1
*tƯłra-	1
*voltr-iko-	1
*ĳrinƗti	1
*ǻȦȝ	1
*ȕu	1
-<A>	1
-<AE>	1
-<CN>-	1
-<kn>-	1
-<O>	1
-<OI>	1
-<OS>	1
-<V>	1
-<VI>	1
<B>	1
<B>.54	1
<BVQVO>-	1
<CI>	1
<DD>	1
<e>	1
<E>.14	1
<EVO>	1
<F>	1
<G>	1
<GI>	1
<gn>	1
<gn>-	1
<GN>/<ȖȞ>	1
<h>	1
<IEN>	1
<l>	1
<NGN>	1
<NN>	1
<NTI>	1
<o>	1
<OA	1
<PT>	1
<S	1
<SS>	1
<TS>	1
<V>	1
<VV>	1
<ț>	1
A.82	1
A]DIETVMARA	1
ABBREVIATIONS	1
ABRESTVBOGIV	1
ADBOGIVS	1
ADGARIONTAS	1
ADGINNOS	1
ADIATVLLVS	1
ADIATVMAR[AE	1
ADIATVRIX	1
ADNAMATVS	1
AECANDVS	1
AEGANDVS	1
AEGANTVS	1
AELI(VS	1
AELIO	1
AELIVS	1
AICONI	1
AMAONICVM	1
AMATV	1
AMATVNI	1
AMMAIONAE	1
AND	1
ANNAMATVS	1
ANNIOS	1
APONI(VS	1
ARNEMETIE	1
ARNOMECIE	1
ARNOMECTE	1
AVGARIONI	1
AVITVS	1
BETVCA	1
BETVLICI	1
BETVLO	1
BETVLONIVS	1
BETVNVS	1
BETVTIVS	1
BIATVCCO	1
BIETVM(A)RA	1
BLOTVRIGI	1
BOLERIANI	1
BOLERIANI/BOLERIAVS	1
BOLERIANVS	1
BOLERIAV/NVS	1
BOLERIAVS	1
BOTTA	1
