form	count
SECIAS	9
sancītō	8
ai̯	5
*moi̯	3
*opeto-	3
CIL	3
LIV	3
MLH	3
noi̯	3
optāre	3
PACA	3
RIVOIS	3
*-oi̯	2
*-ās	2
*Hop-éi̯	2
*ku̯	2
*ope-tōr	2
*opetā-	2
*teu̯	2
*téu̯	2
-<O>	2
CARLAE	2
e-tōd	2
exoptāre	2
Harðarson	2
Harðarson’s	2
III	2
LRP	2
WEISS	2
WOU	2
*-bhos	1
*-dhi̯	1
*-ei̯	1
*-is	1
*-m̥	1
*-tt-	1
*-tōd	1
*-ōi̯	1
*-ōi̯s	1
*abno-	1
*agu̯	1
*Brigant-	1
*en(i)-opet-ā-i̯	1
*en(i)-opetā-n-(i)i̯	1
*erbād	1
*h1op-e-	1
*h1op-i-	1
*h1op-éi̯	1
*h2er-	1
*h3ep-	1
*h3n̥	1
*h3op-éi̯	1
*Hr̥	1
*i̯	1
*karlā	1
*op-ē-	1
*opei̯	1
*opiō	1
*optā-	1
*optāre.12	1
*owigno-	1
*penku̯	1
*pitāmno-	1
*pomp(i)i̯	1
*preh2i	1
*preh2i-	1
*sank-i̯	1
*seka-i̯	1
*sekh1-	1
*sentamo-	1
*sHnk-i̯	1
*sHnk-tó-	1
*sn̥	1
*sæ	1
*sæŋkii̯	1
*sæŋxto-	1
*t(e)rH-	1
*tar-ang-	1
*tou̯	1
*upetā-tūtād	1
*ūterier	1
-<AS>	1
-<bO>	1
-<S>	1
-<TOD>	1
-e-i̯	1
-ei̯	1
-ii̯	1
-optāre	1
-tāre	1
-tā́	1
-tō	1
-zii̯	1
-ā-	1
-ā-class	1
-āneus	1
-īs	1
-δi̯	1
/eu̯	1
/opetoi̯s	1
<<	1
<ASTEDnOISI>	1
<EIE>	1
<OITESIAI>	1
<OPET>	1
<OPETOISESIAI>	1
<OPETOITESIAI>	1
<S>	1
<T>	1
>>	1
adoptāre	1
agitō	1
amātō	1
AVA	1
BADER	1
CAR-	1
CLAVE	1
consentiō	1
consentāneus	1
D.C	1
D.H	1
dhh1-tó-	1
ECO	1
EDCP	1
EKROTH	1
esi/i̯ái̯	1
esi̯ai̯/	1
g-i̯	1
h1s-ont-	1
HARðARSOn	1
IO-	1
i̯	1
Iοουιγνκορειξ	1
kā	1
LAE	1
LAEPO	1
LAR(I	1
LICETOD	1
MASDEU	1
mūtuus	1
OCS	1
od-ku̯	1
OITESIAI	1
oi̯	1
oi̯tezii̯	1
OPET	1
OPETOI(S	1
Opitōr	1
Opitōrius	1
opiō	1
opēt	1
oŋku̯	1
PEDRERO	1
praeligāneum	1
praeoptāre	1
prōsiciae	1
PVPPID	1
PVPPID.11	1
pācā́	1
pākā	1
RVRSE[.]CO1	1
RVRSEAICO	1
RVRSEIICO	1
rīu̯	1
rĭu̯ói̯s	1
SALOR	1
sanciō	1
SCHRIJVER	1
SCRIPSI	1
secāre	1
sentamōm	1
SILES	1
si̯	1
SOV	1
supervacāneus	1
SVO	1
TESIAI	1
TITA(S	1
ti̯	1
TOCO	1
transportāneus	1
tēd	1
uu̯	1
VHE[CED	1
VIII	1
VILLAR	1
VITI	1
VPETER	1
X.VI	1
XIII	1
XIX	1
ó(p)petói̯t	1
īrma-	1
ŋgii̯	1
ūtor	1
μοίτον	1
ἀμνός	1
Ὀπίτωρ	1
Ὀπιτώριος	1
