form	count
CIL	8
*deh2	6
MLH	5
*dap	4
JIES	4
LIV	4
LRP	4
THE	4
*dh	3
*kreu	3
*lab	3
<f>	3
DATIVE	3
eh2	3
ENDINGS	3
āi	3
*agu	2
*da	2
*ghosti	2
*h2ou	2
*Lacissabris	2
*lap	2
*lās	2
*ou	2
<h>	2
AND	2
Blažek	2
EUROPEAN	2
INDO	2
L.3.1	2
LUSITANIAN	2
ōi	2
*(s)lembh	1
*abno	1
*au	1
*deh2ip	1
*dh2i	1
*dh2ipnó	1
*di	1
*dih2pnó	1
*dom	1
*déi	1
*emmi	1
*en(i	1
*ezmi	1
*ghos(ti	1
*hara/āk	1
*immi	1
*kHp-	1
*kruk	1
*la	1
*Labbos	1
*labh	1
*Lacissabricī	1
*lakis-	1
*Lakissabri	1
*lap(h	1
*lābbo	1
*lāhbo	1
*lāmā	1
*lāres	1
*lāse	1
*lăres	1
*makar(i)L	1
*peh3i	1
*peth2	1
*pod	1
*poh2i	1
*poi	1
*pūmōn	1
*s(u	1
*Solidos	1
*Solis	1
*taru	1
*te/ou	1
*trebo	1
*tīΰra	1
<<	1
<ae>	1
<b>	1
<d>	1
<g>	1
<p>	1
>>	1
ADJECTIVES	1
avilā	1
BIBLIOGRAPHY	1
BSL	1
CASES	1
dapsālis	1
dapsīlis	1
dapƱnō	1
DAS	1
DIALECT	1
DIVINITY	1
FORM	1
GUARDA	1
h1	1
h2)pno	1
III	1
Ježić	1
K.23	1
LABBO	1
LIGHT	1
Llā	1
LOCATIVE	1
lāma	1
MSS	1
NEW	1
OBLIQUE	1
OHG	1
P.-Y	1
PLURAL	1
PORTUGAL	1
POSSESSIVE	1
POSSIBLE	1
POUSAFOLES	1
pōmum	1
Pōmōna	1
pūrus/sācer	1
REVISITED	1
sancītō	1
SINGULAR	1
teh2	1
TPS	1
tīber	1
tīvor	1
UCM	1
VII	1
WESTERN	1
ā)t	1
ād	1
āre	1
ō(d	1
ōpiliō	1
πĮȞįȚȞĮ	1
πȡİȖȖİȣĲĮȓ	1
