form	count
Māvors	15
*u̯	12
CIL	6
LIV	6
r̥	6
*h2r̥	4
*mart-	4
*mr̥	4
*móu̯	4
lH.u̯	4
*h1u̯	3
*martiko-	3
CŔ̥	3
Mārt-	3
*(H	2
*(s)pr̥	2
*CR̥	2
*ge.n	2
*marso-	2
*martii̯o-	2
*pr̥	2
-u̯	2
calamitās	2
EDLIL	2
H.C-	2
h2-ti-	2
HC-	2
Marsī	2
Mārcus	2
Mārs	2
Rīr	2
γᾶ	2
μᾶ	2
παλάμη	2
’Áρες	2
*(d)i̯ou̯s	1
*(s)per-	1
*(s)por-ghh1u̯	1
*-r̥	1
*-t(i)i̯-	1
*-tlom	1
*an.ti	1
*bhl̥g.u̯	1
*bhl̥gu-	1
*CaR(C).C-	1
*CaR.C-	1
*CaRa.C-	1
*Cl̥.Hu̯	1
*dl̥h1-ghh1o-	1
*folgu-	1
*gan-ti-	1
*gheh1-	1
*gnāt-és	1
*gánH.ti-	1
*gǽnti-	1
*h1u̯h̥2-sth2-o-	1
*h2ent-i	1
*h2erh̥	1
*i̯apod-iko-	1
*i̯apod-isko-	1
*kalamo-	1
*kaleto-	1
*kelh2-	1
*kelhh̥	1
*kl̥H-ei̯e/o-	1
*kl̥h1.u̯	1
*kl̥h2-mó-	1
*ma-u̯	1
*mallo-	1
*maltro-	1
*mamart-	1
*mamartiko-	1
*mamert-	1
*mar(a)lo-	1
*mar-s	1
*mar.klo-	1
*maraklo-	1
*marH.tlo-	1
*markso-	1
*mart(i)-	1
*mart-i(i̯)o-	1
*marti-	1
*martlo-	1
*martso-	1
*maruss	1
*meh2-	1
*mi̯eu̯	1
*ml̥H-tó-	1
*mo-	1
*molH-tlo-	1
*molklo-	1
*moltlo-	1
*molto-	1
*moltró-	1
*mori	1
*morklo-	1
*márut-s	1
*máu̯	1
*mólH-to-s	1
*mārt-ko-4	1
*or.tko-	1
*pelh1-es-	1
*pl̥H-tó-	1
*pl̥h1-s-o-	1
*pl̥h2-meh2	1
*pro-ghh1-o-	1
*sanx.to-	1
*sH̥	1
*sl̥g2-eu̯	1
*spr̥	1
*sr̥	1
*tursiko-	1
*tursko-	1
*u̯elh̥	1
*ĝn̥	1
*φlāmā	1
-(i)i̯o-	1
-<k:as>	1
-<kias>	1
-CRāC-	1
-ghh1u̯	1
-ghh1V-	1
-Hu̯	1
-lH.u̯	1
-rH.u̯	1
-īno-	1
-łu̯	1
-γ/g-	1
/u̯	1
3-u̯	1
<ts>	1
<tś>	1
<z>	1
>>	1
A.M	1
AND	1
BIBLIOGRAFICI	1
BLANCA	1
C-6	1
C.C-	1
Calamitās	1
Calāre	1
CaRuu̯	1
Cl̥HC-	1
CRC.C-	1
Diviāna	1
Diāna	1
diēs	1
diū	1
diūs	1
DN2	1
e)l-u̯	1
eh2-	1
elh1-	1
eǵhe-tlo-	1
farciō	1
H-i̯e/o-	1
H-u̯	1
h1-	1
h1-ti-	1
h2-(e)lo->	1
h2-tlo-	1
h3-eu̯	1
h3-u̯	1
HRHC-	1
Hu̯	1
HV-	1
h̥2-dhh1-o-	1
h̥2-ghh1-o-	1
iiuva.n.tśa.i	1
ioviālis	1
latuk(i)i̯ā	1
l̥H-ghh1o-	1
l̥H-tó-	1
l̥h1-eto-	1
MARS	1
martiālis	1
metśo	1
mānus	1
Mārs’	1
Māvort-	1
nātiō	1
nātus	1
nū	1
palahšā-	1
palleō	1
PALMA	1
pariō	1
parra/pārus	1
parāre	1
PIE	1
PN/EN	1
pra-hā	1
R.H	1
RH.C-	1
rH.u̯	1
RIFERIMENTI	1
RULE	1
salūs	1
sarciō	1
THE	1
u̯	1
VENETICUS	1
volvō	1
Vrt.t(i)i̯o-	1
vīverra	1
w̥	1
ā/_rC)3	1
īrma-	1
́lH.maH	1
καλέω	1
μααρκος	1
μαμερτοι	1
μαμερττοι	1
νόστος	1
σπαράσιον	1
σποργίλος	1
ἀπόλλυμι	1
†falvus	1
†galer	1
†ganiti-	1
†mariculum	1
†martālis	1
†mulcrum	1
†saluus	1
