form	count
*ku̯	25
CIL	23
*u̯	16
PAVGENDA	9
*me-	8
MEBDIVS	7
*me	6
-i̯o-	6
CASTELLO	6
e[nqeoς	6
III	6
TRITES	6
APOLTAE	5
EDPC	5
TVRENDI	5
Coporī	4
H(IC	4
IEW	4
K.1.3	4
XIII	4
*me-bdi	3
*me-tḤ2	3
*me-ĝhsr-i	3
*mebd(i)i̯o-	3
*mogo-	3
*tūro-	3
-<ES>	3
AN(NORVM	3
COROBVLTI	3
EMVRIA	3
F(ACIENDVM	3
F(ILIVS	3
IFADEM	3
ku̯	3
LRP	3
ḷ-to-	3
MEBDI	3
mevς	3
RIG	3
S(ITVS	3
TAVROCVTIVS	3
TVRCAVDI	3
UNTERMANN	3
*i̯em-no-	2
*i̯em-ro-	2
*koku̯	2
*koro-	2
*lai̯u̯	2
*me-dhi	2
*me-s(e)ĝhu̯	2
*me-t-i	2
*me-t-u	2
*medhi̯o-	2
*māro-mog-i̯o-	2
*pau̯	2
*ped-s	2
*peku̯	2
*penku̯	2
*poku̯	2
*pér-uti	2
*taru̯	2
*tri-ro-	2
*trilo-	2
*tritii̯o-	2
*tu̯	2
*tūro-mogo-	2
-<BVLTI>	2
-ii̯o-	2
<A>-	2
<EI>	2
<s>	2
AND	2
C(VRAVIT	2
CAENICI	2
CELTIC	2
CLODAMEO	2
COPORI	2
CORO-	2
COROCAVDI	2
COROCAVDIVS	2
COROCVTA	2
COROGENNATES	2
COROMARAE	2
CORONERI	2
COROPOTI	2
COROTVRETIS	2
CPILC	2
CVLVA	2
DELAMARRE	2
DEO	2
DLG	2
E(ST	2
EDLIL	2
erku̯	2
F(ILIA	2
F(ILIAE	2
HISPANIA	2
IEMV/RIAE	2
IEMVRIA	2
IFATE	2
II-2	2
kovroς	2
LAMBERT	2
LIV	2
ḷ-ti-	2
MLH	2
oku̯	2
P.-Y	2
PIE	2
REDENTOR	2
SCHMIDT	2
SILVA	2
TAV[--	2
TAVROM	2
THE	2
TVRAESAMVS	2
u̯	2
VILLAR	2
WHC	2
XII	2
*(d)u̯	1
*(e)-me-ne	1
*(g)iluro-bedo-	1
*(ku̯	1
*(φ)ar(e)-i̯alo-dūno-	1
*(φ)er(i)-kori̯o-	1
*-eH1-	1
*-ḷH-	1
*-u-H2	1
*abl-(i̯	1
*ad-	1
*ad-(φ)lăto-/-(φ)lāto-	1
*am-pel-n-ă-tōd	1
*am-ro-	1
*amb(i)-ku̯	1
*an-	1
*arganto-	1
*bou̯	1
*copVr-	1
*corro-	1
*de-H1	1
*dē	1
*dūro-bedo-	1
*eburo-sū-	1
*emno-	1
*en(i)-fat-i̯o-	1
*H1/2ep-	1
*H1/2et-	1
*H1egh-	1
*H1en-	1
*H1en-g(e)uH-	1
*H1eu̯	1
*H1m-	1
*H1ṇ-dom	1
*H2ent-	1
*H2ṃbhi-ku̯	1
*H2ner-	1
*Honer-i	1
*Honeri̯-o-	1
*i̯-	1
*i̯e-	1
*i̯em-	1
*kadaro-nāu̯	1
*kai̯no-	1
*keH2u-d-	1
*keH2u-dh-5	1
*kle/outam-i̯o-	1
*kḷHu̯	1
*ko(m)-(φ)ro-geno-	1
*koporo-	1
*koro-bri(γ)-iko-	1
*ktur-o-	1
*kār(i̯	1
*kūto-	1
*magalo-dik-	1
*maghu-	1
*maku̯	1
*malg-	1
*me-bd-	1
*me-bd-i	1
*me-sĝhu-	1
*me-sĝhu̯	1
*me-ti	1
*me-tu	1
*Mebd(i)i̯os	1
*mebd-	1
*mebdi	1
*Mebdos	1
*mebdua	1
*mebduainus/	1
*mebduenus	1
*medhi̯-o-	1
*medu-geno-	1
*mes-ku̯	1
*mespodi	1
*met(a	1
*meti̯	1
*meĝH2-	1
*mḷdu-	1
*mog-	1
*mog-et-	1
*mog-o-	1
*mog-ont-	1
*moget-	1
*mogeti	1
*mogi̯otā	1
*mé	1
*ṃ-	1
*om-ro-	1
*p-	1
*pe/od-	1
*pe/oku̯	1
*ped-	1
*ped-ós	1
*pedi-	1
*pedi̯os	1
*peH2u-ko-	1
*pelH2-	1
*per	1
*per(H)-	1
*perku̯	1
*peu̯	1
*plāto-	1
*pḷH2-to-	1
*pokki	1
*poppo-	1
*pot-i-	1
*poti<ki	1
*poχto-	1
*prabda-	1
*pró(s)-ĝn(e)u-	1
*pér-uti̯-o-	1
*pēd	1
*pēd-	1
*pēd-su	1
*pōd(s	1
*samo-geno-	1
*se/oĝhu-	1
*seĝh-	1
*seĝh-ōu̯	1
*seγāu̯	1
*si-sĝhú-	1
*si-sĝhū-	1
*so/to	1
*sĝhu-	1
*sĝhu̯	1
*tau̯	1
*tḷH2mno-	1
*tri-gdoni̯o-	1
*tri-ro-m	1
*tri-tó-	1
*triro-	1
*trit-ii̯o-	1
*tritū	1
*tṛ-tó-/	1
*tuH-ro-	1
*tur-kā	1
*turi-	1
*tūro-gal-(i̯	1
*tūro-galā	1
*tūro-kau̯	1
*ĝ(e)lH3-eH2	1
*ĝenHo-	1
*ĝhel-u̯	1
*ĝḷH3-(i̯	1
-<E>	1
-<IES>	1
-<IM>	1
-<IS>	1
-Cṛ/ḷC-	1
-CṛHC-	1
-CṛHV-	1
-i-i̯os	1
-i̯e/o-	1
-i̯om	1
-i̯os	1
-i̯V-	1
-ḷ-	1
-ḷC-	1
-r.ri̯-	1
-Ṛ-	1
-ṚH-	1
-uri̯o-	1
-ēto-	1
-ẹ̄	1
-ū-stem	1
-α	1
<-nqein>	1
<-sein>	1
<-sqein>	1
<AM>-	1
<BD>	1
<BOD>-	1
<E>	1
<EM>	1
<EO>	1
<F>	1
<IO>	1
<P>	1
<PAVG>-	1
<POT>	1
<VOLT>-	1
<z>	1
<ś>	1
A.45	1
ABLECA	1
ABLECAENI	1
ABLEGANGA	1
ADAMS	1
AGOSTINIANI	1
ajmfivpoloς	1
ALBERTOS	1
albeō	1
ALONSO	1
amārus	1
AN/NI<S>	1
ANN[ORVM	1
ANNA/E	1
ANNI<S>	1
anti̯o-	1
APLONDVS	1
APLONVS	1
ARGANTICAENI	1
au̯	1
azsuieς	1
BEEKES	1
BERNARDO	1
BLANCA	1
BOVIDO	1
BRACAR]AVG/VS[TA	1
BRACARVS	1
BSL	1
BSOAS	1
C(VRAVERVNT	1
CADARNAVAEGIVM	1
CAENECAENI	1
CAENO/NIS	1
CAESARDIA	1
CAESARRIA	1
CARACA	1
CASTELLVM	1
Caupō	1
CINQVE	1
CMCS	1
CO[H(ORTIS	1
COELI(AE	1
COLMENERO	1
COLVAV	1
COMPOSITION	1
CONGENNICO	1
CONGENNICVS	1
CONTV(BERNALIS	1
COPIRVS	1
COPORICI	1
COPORINO	1
CORO	1
COROBEEICOBO	1
COROC/AVDIVS	1
COROGENI	1
COROGENVS	1
COROLAMVS	1
CORVAE	1
CORVIN[VS	1
cqovnioς	1
CṛC-	1
CV(R)C-	1
CV-	1
CVTAECVS	1
cīrna-	1
cūdō	1
D(IS	1
d-(i̯	1
DEMIRAJ	1
DESSVAEONA	1
DGCYT	1
DRESSLER	1
DVRBEDE	1
DVRBEDI(A)E	1
DVRBEDICO	1
EICHNER	1
eku̯	1
EM/VRIA	1
EMVRIA/E	1
enku̯	1
ENVPETANIM	1
EPIGRAPHICA	1
EQVOTVLLAICENSI	1
ERCORIOBRI	1
EST	1
etu̯	1
eu̯	1
EVIDENCE	1
F(ILII	1
F(ILIO	1
F[ELI]X	1
FFI2008-	1
FI(-	1
FI(DVENEARVM	1
FIDVENEARVM	1
FILIAE	1
FIRMAT	1
fjorð	1
FL/AVI	1
FLAVIAE	1
FRATER	1
G-163	1
galavthς	1
GENIO	1
GIL	1
HAMP	1
HE[R]ES	1
HEIDERMANNS	1
HIC	1
HISPANVS	1
HOZ	1
Ḥ2	1
I-II	1
IEMVRIA/E	1
IGLESIAS	1
ijscuvς	1
ILVRBEDAE	1
INTERPRETATIONS	1
IRSLINGER	1
i̯o-	1
JIES	1
k-ē-(i̯o)-nt-	1
K.0.7	1
K.1.4.2	1
K.23.2	1
katacqovnioς	1
keltovς	1
Khrpathς	1
kišri	1
KRAHE	1
kāra-	1
L(IBERTVS	1
L(VCII	1
L(VCIVS	1
L-93	1
laiovς	1
LAN/ASVS	1
LARIBVS	1
LEJEUNE	1
LIGHT	1
LVCI	1
LXX	1
ḷ(H)t-	1
ḷ(H)t-isamo-	1
ḷ(H)t-i̯o-	1
ḷ(H)tV-	1
ḷH-ti-	1
ḷH-to-	1
M(ANIBVS	1
M/EBDII	1
MA/TER	1
MACALDICI	1
MAILGENVS	1
