form	count
*[unclear-glyph-U	133
EDLIL	16
HC-	12
*ml	11
IEW	10
*bhl	8
*k[unclear-glyph-U	8
0010]elh1-	8
DLG	7
*-[unclear-glyph-U	6
LIV	6
*2[unclear-glyph-U	5
*kl	5
*pl	5
CIL	5
EDCP	5
*molto-	4
*sl	4
*-l	3
*bhleh3-[unclear-glyph-U	3
*koro-	3
*melh3-	3
*pelh2-	3
*pol[unclear-glyph-U	3
CRHC-	3
F8FF	3
LEW	3
OHG	3
PIE	3
*([unclear-glyph-U	2
*-g[unclear-glyph-U	2
*-l[unclear-glyph-U	2
*ar[unclear-glyph-U	2
*C[unclear-glyph-U	2
*Cl	2
*gh[unclear-glyph-U	2
*me[unclear-glyph-U	2
*melh3/2-	2
*mol.d[unclear-glyph-U	2
*p[unclear-glyph-U	2
*pul[unclear-glyph-U	2
*solH[unclear-glyph-U	2
0010]elh3-	2
0013]h1-s	2
AND	2
EDHIL	2
G.-J	2
H.C-	2
h1-[unclear-glyph-U	2
h1-tes	2
h1-tó-	2
h2-to-	2
h2-tó-	2
h3-to-	2
KGP	2
†pultus	2
*-amo-	1
*-amon-	1
*-C/a-mo	1
*-eh1-	1
*-lH[unclear-glyph-U	1
*ad-(Ê)lăto-/(Ê)lato-	1
*ad-polto-	1
*am-pel-n-ă-tod	1
*amb(i)-polto-	1
*ampelnatod	1
*ari[unclear-glyph-U	1
*bhelg-os	1
*bhlegos	1
*bhleh1-[unclear-glyph-U	1
*bhleh2-	1
*bhleh2-to-	1
*bhleh3-os-	1
*bhleh3-ro-	1
*bhleh3[unclear-glyph-U	1
*bhlHgro-	1
*bhlo-[unclear-glyph-U	1
*bho[unclear-glyph-U	1
*blancus	1
*blando-[unclear-glyph-U	1
*blo[unclear-glyph-U	1
*Cel-to-	1
*Colto-	1
*dhegh[unclear-glyph-U	1
*dhelh	1
*dhogh[unclear-glyph-U	1
*dhoh2-[unclear-glyph-U	1
*fal-i-	1
*falwa-	1
*fla-[unclear-glyph-U	1
*fol[unclear-glyph-U	1
*folg[unclear-glyph-U	1
*folgu-	1
*folto-	1
*fulg-[unclear-glyph-U	1
*g[unclear-glyph-U	1
*ghlh2dhro-	1
*ghreh1[unclear-glyph-U	1
*gwh	1
*h2[unclear-glyph-U	1
*h2ed-pl	1
*h2m	1
*h2mbhi-k[unclear-glyph-U	1
*h2ner-	1
*h2ul-n-eh1-	1
*hell[unclear-glyph-U	1
*Hopi	1
*hul[unclear-glyph-U	1
*kapVt-lo-	1
*kar([unclear-glyph-U	1
*keh2ud-	1
*kel(H)-dh-	1
*kel-dh-	1
*kel-n-h-	1
*kel-n-H-	1
*kera[unclear-glyph-U	1
*kleh2[unclear-glyph-U	1
*klh1dh-ti-	1
*klHuo-	1
*kom-	1
*koro-[unclear-glyph-U	1
*koro-poti-([unclear-glyph-U	1
*kuno-[unclear-glyph-U	1
*le[unclear-glyph-U	1
*malto-	1
*med-	1
*med-amo-	1
*melH	1
*men-mon-	1
*mlato-	1
*mlHnd-	1
*mol-to-	1
*mol.[unclear-glyph-U	1
*mol.di-	1
*mol.l[unclear-glyph-U	1
*moldu-	1
*molHó-	1
*molont-	1
*molto(n)-	1
*mut-(s)lo-	1
*mut-ro-	1
*mutur-	1
*peh3-tlo-	1
*plato-	1
*pleh2g-eh2.2	1
*pleh2k-	1
*plh2-n-g-	1
*po[unclear-glyph-U	1
*pol(H)[unclear-glyph-U	1
*poli-[unclear-glyph-U	1
*polto-	1
*pramo-	1
*put-(s)lo-	1
*s(o)lHe[unclear-glyph-U	1
*ser[unclear-glyph-U	1
*sol(H)-dhh1o-	1
*sol(H)[unclear-glyph-U	1
*sol(H)no-	1
*solHu-	1
*sollo-	1
*taupa	1
*telh	1
*telh2-[unclear-glyph-U	1
*tep-s-ro-	1
*tl	1
*ulk[unclear-glyph-U	1
*Êlama	1
-Vð.[unclear-glyph-U	1
/h1/	1
/h2/	1
/h3/	1
000F]h1[unclear-glyph-U	1
000F]h2(d)mo-	1
000F]h3mo-	1
0010]elh1-mi	1
0010]elh1-ti	1
0010]elh1etod	1
0010]h2-ós	1
0010]leh1-	1
0010]leh1no-	1
0010]ol(H)-neh2-mon	1
0011]enh1o-	1
0011]h2-[unclear-glyph-U	1
0011]nh1-	1
0011]onh1o-	1
0013]h1-e[unclear-glyph-U	1
0013]h1-t(i)s	1
0013]h1-t-	1
0013]h1-to-	1
<f>	1
<g>	1
<u>/<O>	1
<uv>	1
<v>	1
CELTIC	1
CONNECTIONS	1
CONTEXT	1
CRHCC-	1
EDPC	1
ETYMOLOGICAL	1
FFI2012-30657	1
H-eh2	1
H-em-eh2	1
H-meh2	1
H-mn-ih2	1
h1)-ti-	1
h1)-tu-	1
h1)-tó-	1
h1-	1
h1-mos	1
h1-mV-	1
h1-to-	1
h1-é/ónt-i	1
h1[unclear-glyph-U	1
h2-dheh1-	1
h2-mo-	1
h3-	1
h3-eto-	1
h3-V-	1
h3/2-e-tod	1
h3/2-tó-	1
HV-	1
IBS	1
ITALIC	1
K.-H	1
K.0.7	1
LARYNGEALS	1
LEIA	1
LEIA-B	1
NEW	1
P.-Y	1
PROTO-ITALIC	1
R.S.P	1
teh2	1
THE	1
UCLA	1
V.I.P	1
žel	1
†falvus	1
†hulvus	1
†lamus/[unclear-glyph-U	1
†latis	1
†mlatus	1
†mollus	1
†molnus	1
†pallus	1
†pollus	1
†quolitus	1
†volemnus	1
†volit	1
†voltigenes	1
†vultus	1
