form	count
IAFC	16
WOU	15
*-ns	13
ESVC	11
III	9
LIV	9
*-nts	8
ιαf	8
<ss>	7
AGINE	7
ASVM	7
TARINCRIS	7
*-ns-	6
*-rVz-	6
ASO	6
*-nt-s	5
*-ntst-	5
*-ās	5
<z>	5
<ζ>	5
DTB	5
FERET	5
IOVES	5
IOVIA	5
*-r.s-	4
*-rVs-	4
*-Vn.sV-	4
*mēnes-	4
-ās	4
<h>	4
<ns>	4
<ι>	4
BABV	4
CIL	4
EDHIL	4
EDLIL	4
IOVIAS	4
i̯-	4
PACRSI	4
PATRES	4
POLEENIS	4
*-(n)θ	3
*-nVz-	3
*-n̥s	3
*-rs-	3
*-rz-	3
*neer	3
*prāzā	3
/gu̯h/	3
/oi̯/	3
/s̪/	3
<S>	3
<sst>	3
<zs>	3
<ś>	3
>>	3
ASIGNAS	3
MESENE	3
MINSTREIS	3
PIE	3
ānsa	3
κλοπουστ	3
σπαράσιον	3
*(s)per-	2
*(s)pr̥H-ghh1u-	2
*-ens	2
*-gh-	2
*-ghu̯-	2
*-ons	2
*-r-n̥s	2
*-rru̯-	2
*-rs	2
*-rts-	2
*-ru̯-	2
*-ts-	2
*-u̯o-	2
*-u̯r̥tsto-	2
*-VnsV-	2
*-Vnts	2
*-Vr.s-	2
*-VtstV-	2
*-āfs	2
*-ē-nt-s	2
*dheu̯gh-	2
*ei̯so-	2
*ei̯ā(n)s	2
*ekso-	2
*h1i̯-ent-s	2
*keres-ii̯o-	2
*kers-	2
*manu-	2
*meh1n-s-és	2
*meh1n-ōs	2
*ministero-	2
*mēns-	2
*parsā	2
*sper(H)-	2
*sprău̯o-	2
*spr̥H-u̯o-	2
*ten-	2
*torsā	2
*u̯	2
*u̯l̥H-n̥t-	2
-)f/βr-	2
-)θ/ðr-	2
-i̯-	2
-rf/β-	2
-ti̯-	2
-ēnsis	2
-īf	2
-ōs	2
-ūf	2
-άσιο-	2
/θ/	2
<I>	2
<NS>	2
<paplam	2
<s>	2
<Z>	2
<í>	2
<σ>	2
<σσ>	2
<σσκ>	2
<σστ>	2
CEREI	2
CERIE	2
DESTRE	2
EITVAM	2
ERIHONT	2
fendō	2
FERTV	2
IAFC/ιαf	2
IBS	2
iēns	2
n̥	2
OCRES	2
ons-ei̯e-	2
ONSE	2
PEAI	2
pār	2
pārus	2
quīnī	2
REGEN[EI	2
scandō	2
s̪	2
TARIN/CRIS	2
TARINCRIIS	2
TOTAI	2
TOVTAI	2
trāns	2
UCLA	2
u̯	2
ειοκ	2
ζωFηι	2
κωσ(τ)ιτ	2
πρέσβυς	2
ἰών	2
*(s)ker-	1
*(s)parazo-	1
*(s)per(H)om70	1
*(s)perH-	1
*(s)por(H)-	1
*(s)por(H)-ghh1u̯-o-	1
*(s)pr̥(H)-ghh1u̯-o/-eh2	1
*(s)pr̥(H)-ghh1u̯o-	1
*(s)pr̥H-gu̯h2u-	1
*(s)pērHo-	1
*-(i)i̯o-	1
*-(t)i̯-ō	1
*-(V)ns	1
*-(V)nts	1
*-(V)s̪	1
*-(V)θ39	1
*-[unclear-glyph-U	1
*-dz-	1
*-eh1	1
*-ent-s	1
*-er-es	1
*-fos	1
*-fs	1
*-gene	1
*-genez̞ei̯	1
*-i-ns	1
*-id-(i)i̯o-	1
*-ii̯o-	1
*-ii̯os	1
*-ins	1
*-k-s	1
*-ks-	1
*-l̥/r̥H-n̥-	1
*-mes	1
*-n.s-	1
*-n/rtst-	1
*-nfs	1
*-ngu̯-	1
*-ns(-	1
*-ns.C-	1
*-nss	1
*-ns̪-	1
*-nts-	1
*-nVs	1
*-nVs-	1
*-nx.n-	1
*-nx.t-	1
*-n̥s(-	1
*-n̥t-ii̯o-	1
*-om	1
*-ps-	1
*-r	1
*-r(e)fs	1
*-r(V)s-	1
*-r.s/z-	1
*-r.z-	1
*-rf-	1
*-rfs	1
*-rghu̯-	1
*-rs̪-	1
*-rtss-	1
*-rtst-	1
*-rVs	1
*-rθ-	1
*-segn-	1
*-skansso-	1
*-sn-	1
*-sr-	1
*-s̪	1
*-tii̯V-	1
*-ti̯-	1
*-ti̯V-	1
*-tst-	1
*-tst-19	1
*-tV-	1
*-uns	1
*-u̯-	1
*-V	1
*-V(:)nts	1
*-V/V͂θ-	1
*-Vn.s-	1
*-Vn/rtstV-	1
*-Vns	1
*-VnsC-	1
*-Vnt-s	1
*-Vntst-	1
*-VntsV-	1
*-Vr	1
*-Vr.sV-	1
*-Vrr	1
*-VrrV-	1
*-VrrV-80	1
*-Vrs	1
*-VrsV-	1
*-VrVs	1
*-VrzV-	1
*-Vs	1
*-VsnV-	1
*-Vss	1
*-VsV-	1
*-Vs̪/	1
*-VzV-	1
*-V͂ss	1
*-V͂s̪-	1
*-V͂ts	1
*-Vθ	1
*-āns	1
*-ē	1
*-īf	1
*-īns	1
*-īs	1
*-ō-ns	1
*-ōm	1
*-ōno-	1
*-ōns	1
*-ōs	1
*-ọ̄fs	1
*-ǵenh1-es-ei̯	1
*-θ/-ss	1
*ad-to-	1
*ad-tu-m	1
*ads	1
*akso-	1
*an-anslo-	1
*an-sek-eto-	1
*anaslo-	1
*antstōr-	1
*asum	1
*atVs	1
*au̯f	1
*bheh2-	1
*bheresi	1
*bheu̯g-	1
