form	count
<S>	51
CIL	35
<SS>	29
<z>	25
<Z>	23
-ti̯-	19
K.1.1	19
<s>	15
K.1.3	13
/s̪/	10
CONTAIZA	10
MLH	10
<D>	7
<E>	7
LIV	7
<TI>	6
VXSEISVS	6
XIII	6
-nti̯-	5
<ti>	5
AISAE	5
BVGANSONIS	5
CLOVSOCVM	5
DERCINOASSEDENSIBVS	5
H(IC	5
MEZVTVS	5
NISSICVM	5
RIG	5
TELASSICVS	5
-(i)i̯o-	4
/s̪:/	4
<EI>	4
<I>	4
ANNEZA	4
CAIZITA	4
CIRB	4
CONTAITA	4
K.6.1	4
NES	4
OHG	4
VSSEITIO	4
*-tst-	3
*telh2-	3
*uper	3
-Vti̯-	3
/θ/	3
<I	3
<NS>	3
<T>	3
<ta>	3
<TS>	3
ARBAIZA	3
BESSVCA	3
BRASACA	3
CABINT	3
CAECILI	3
CAECILIA	3
E(ST	3
ENIOROSEI	3
F(ILIA	3
F(ILIVS	3
III	3
K.3.3	3
PRESSVS	3
S(ITVS	3
SECOVESO	3
SEGOSS(VS	3
SEGOSSOQVM	3
VASCASVS	3
VSSVEITIO	3
z̪	3
*-ntst-	2
*kaχto-	2
*kw-	2
*nanti-	2
*nent-	2
*niti̯o-	2
*nī-	2
*poro-	2
*sosi̯o	2
*spe	2
*tl̥h2-ént-	2
-d̥	2
-ei̯t-	2
-eχt-	2
-rð-	2
-ð	2
-θ	2
/ei̯/	2
/θ:/	2
<<	2
<AE>	2
<B>	2
<DD>	2
<DS>	2
<IZ>	2
<ko>	2
<nz>	2
<P>	2
<QV>	2
<ð>	2
AEMILIA	2
ALBANVS	2
AN(NORVM	2
ANNESVS	2
ANNETIAE	2
BB.III	2
BB.IV	2
CLOVTIVS	2
CONTAITIA	2
COSSOVQVM	2
EDCS-	2
EDPC	2
ELANDVS	2
ERS	2
F(ILIAE	2
Harðarson	2
I>	2
IRMN	2
K.0.14	2
L(EVIS	2
LEIOSS(A)E	2
LESSO	2
LVRAEZI	2
NARISST	2
NEDDAMON	2
NEZVTVS	2
NISSIC[VM	2
OBIDDVS	2
OBIDOQ(VM	2
S(IT	2
S(ITA	2
SEGONTIVS	2
SERBVS	2
