form	count
<h>	24
*u̯	18
THE	16
<.i.>	14
AGENT	13
NOUNS	13
VENETIC	12
-TŌR-	11
PNN	10
REVISITED	10
BLANCA	9
CIL	9
<v>	7
<ś>	7
faxō	7
<vh>	6
IBS	6
e.ś	4
LIV	4
WOU	4
*kau̯	3
*tn̥	3
<.i.v>	3
<h4>	3
<i>	3
<X>	3
*-eh1-	2
*-nt	2
*-oi̯	2
*-t	2
*de	2
*di̯aritōr	2
*domātos	2
*dōnāsant	2
*fa-k-to	2
*faxī	2
*h2n̥	2
*molteu̯	2
*rejht-	2
*rejçt-	2
*rext-	2
*reçt-	2
*sai̯to-	2
*sank-to-	2
*sanx-to-	2
-i̯t-	2
-TŌR	2
-tōr-	2
-āti-	2
<.g.t>	2
<g>	2
<h1>	2
AND	2
DENTAL	2
EDLIL	2
sanciō	2
sānus	2
śa.i.nate.i	2
νεμέτωρ	2
*(h3)lemH-eh1-	1
*(u̯	1
*-ant	1
*-bhos	1
*-d(h)t-	1
*-dht-	1
*-ed	1
*-etó-	1
*-ond	1
*-p(V)s-	1
*-ss-	1
*-ti̯-	1
*-tst-	1
*-tt-	1
*-u-bhos	1
*-ōs	1
*ad-	1
*ad-(s)ti-sth2-e-ti	1
*ai̯dh-tu-	1
*ai̯es-no-	1
*antsto-	1
*antstor-	1
*antstōr-	1
*ati-	1
*aǵetōd	1
*bheront-	1
*bhidh-teu̯	1
*bhuh2-i̯e/o-	1
*d(e)h2-ni-	1
*deh3-ti-	1
*dei̯k	1
*demh̥2-tor-	1
*demător-	1
*dhēketōd	1
*dh̥3-tó-	1
*dom-e-to-	1
*domh2-ei̯e/o-	1
*domă-	1
*domător-	1
*domătos	1
*déh3-tōr	1
*dōnā-s-to	1
*dōnā-s-ō	1
*dōtīd	1
*eges-no-	1
*eges-to-	1
*eges-tās	1
*egesto-tās	1
*Egetōr	1
*egē-	1
*egĕ-	1
*egĕ-to-	1
*ei̯-oi̯	1
*eǵhs	1
*fak-s-to	1
*fak-so/e-	1
*faksonti	1
*fato	1
*frōt-āi̯	1
*fug-tōr-	1
*fung-tōr-	1
*funxtōr-	1
*fīi̯ānti	1
*fīni/īsant	1
*fūxto-	1
*gu̯ē/en-ed	1
*h1ludhe/o-	1
*h2r-(e)i-	1
*h3r̥ǵ-tó-	1
*in-gnāros	1
*kagh-tó-	1
*kap-tó-	1
*keh2u-dhh1-	1
*kom-dhh1-tu-	1
*kon-snou̯	1
*ks-	1
*ku̯ink-no-	1
*ku̯o-i̯	1
*ku̯oi̯-	1
*ku̯oi̯-ei̯	1
*ku̯oi̯-s-om	1
*ku̯oi̯i̯o	1
*ku̯oi̯i̯os	1
*ku̯osi̯o(s	1
*ku̯u-dhe	1
*ku̯ōi̯s	1
*las-	1
*las-ni-	1
*legh-tu-ro-	1
*lemeto-	1
*ml̥h3-teu̯	1
*ml̥h3-ti-	1
*ml̥h3-tó-	1
*molto-	1
*neme-	1
*nemh1-	1
*rap/b-teu̯	1
*regō	1
*rei̯t-	1
*rekt-	1
*rekto-	1
*Ressūn-iko-	1
*rextos	1
*sai̯no-	1
*sank-no-	1
*sanx-no-	1
*sek	1
*selbho-	1
*seçto-	1
*sh2nk-	1
*sln̥	1
*sl̥Hg-tó-	1
*so	1
*sāhno-	1
*sāhto-	1
*sāno-	1
*sāno-.12	1
*sāto-	1
*sāxno-	1
*sāxto-	1
*ta(n)knont-	1
*tai̯nont-	1
*tanssōr-(i)i̯ā	1
*tend-tor-	1
*tend-tr-ī	1
*ti̯-	1
*to-	1
*tod	1
*toi̯-	1
*trii̯omo-	1
*trā-tōr-	1
*tr̥	1
*ts-	1
*uktos	1
*vīlis	1
-(i)i̯o-	1
-<bos>	1
-<hos>	1
-e-i̯e/o-	1
-ei̯	1
-ei̯e/o-	1
-eƀos	1
-i̯-	1
-K-TŌR	1
-ku̯t-	1
-oi̯	1
-r.i̯-	1
-tōr	1
-Vi̯-	1
-ī	1
-ī-t	1
-īt-).8	1
-ει	1
-οδ	1
/ei̯	1
/u̯	1
<.k.t>	1
<ae>	1
<ai>	1
<c>	1
<d>	1
<e.a.>	1
<f1>	1
<f2>	1
<f3>	1
<f4>/<h5>	1
<g.s>	1
<h2>	1
<h3>	1
<ht>	1
<hv>	1
<leme>	1
<s>.15	1
<ss>-	1
<ts>	1
<tś>	1
<v>-	1
<vh>/<hv>	1
>>	1
a.n.śore.s	1
ABBREVIATIONS	1
AGAIN	1
ai̯/	1
amassō	1
APPENDIX	1
arātor	1
ASNSP	1
captiō	1
CFC	1
claudō	1
CLUSTER	1
Cl̥HC-	1
CONTACT	1
CRAIBL	1
CUP	1
Cōnsus	1
cōnūbium	1
cūdō	1
d-tōr-	1
decimō	1
dheh1-tor-	1
dhh1-to-	1
dixō	1
diē	1
domātor	1
domātus	1
dē-	1
dīcam	1
dīxerō	1
dīxō	1
dōnāre	1
e)l(H)-dhh1-	1
EDR	1
egestās	1
egeō	1
egēnus	1
ei̯tōr-(i)i̯os	1
ENDING	1
erdh-ei̯o-	1
excūsor	1
eś	1
FFI2012-30657	1
fēcerō	1
fīnīre	1
fūxtōr-	1
h1/2-	1
h1ǵ-	1
habeō	1
i-bhu/ū-	1
III	1
INDIGENOUS	1
INSCRIPTIONS	1
INTRODUCTION.1	1
ITALIC	1
iƀu̯	1
i̯e/o-	1
JIES	1
JRAI	1
L.1	1
lascīvus	1
MINECO	1
mulcāre	1
m̥Ho-	1
m̥t-(H)o-	1
OCS	1
OHG	1
oi̯	1
ORCID	1
ort-āi̯	1
PIE	1
PIT	1
plaudō	1
PRESERVATION	1
QUAESTIO	1
quīntus	1
quīnī	1
quīs	1
rag-teu̯	1
REFERENCES	1
rei̯-	1
RILD	1
ROOTS	1
RPA	1
rītus	1
r̥	1
seh2	1
SOUNDS	1
ssōr	1
SUFFIX	1
su̯	1
sānāre	1
sānātiō	1
taceō	1
ti̯ā	1
tondeō	1
TPS	1
tōnsor	1
tōnstrix	1
tōnsus	1
tōr-	1
UCLA	1
uśedika/vsedica	1
u̯	1
vagāri	1
vehō	1
vellō	1
verrēs	1
VEXATA	1
vibhú/ū-	1
vēnit	1
vīderunt	1
vīdī.25	1
ZCP	1
ð-	1
ð/β-ii̯o-	1
þei̯-	1
ējljis	1
ēlis	1
īgnārus	1
ītōr-(i)i̯os	1
śa.i.nati.m	1
śainatim	1
śatrubhyas	1
śikos	1
ślaks	1
śup[i]io.i	1
̣.u.te.i	1
̣ati	1
̣ṇá-	1
αναfακετ	1
β-	1
βλῶσις	1
εἶδον	1
ματρεβο	1
νήριτος	1
ποικίλος	1
φέρων	1
ἀρι-δείκετος	1
ἀριθμός	1
ἔθετο	1
ἕκτος	1
ἱππεύς	1
ὄρπετον	1
†<.e.kvobo.s.>	1
†<mo.l.tobo.s.>	1
†lematōr	1
†ἔχθος	1
