form	count
*u[unclear-glyph-U	28
CIL	22
*[unclear-glyph-U	16
*h1leu[unclear-glyph-U	16
PNN	13
*klou[unclear-glyph-U	9
OFTVRIES	9
OFATORIO	7
*klóu[unclear-glyph-U	6
*m[unclear-glyph-U	6
<h>	6
*h3eku[unclear-glyph-U	5
*leu[unclear-glyph-U	5
*teu[unclear-glyph-U	5
*tl[unclear-glyph-U	5
*-[unclear-glyph-U	4
*f[unclear-glyph-U	4
*oku[unclear-glyph-U	4
*opi-f[unclear-glyph-U	4
<f>	4
III	4
PIE	4
*-dhl[unclear-glyph-U	3
*bheu[unclear-glyph-U	3
*fou[unclear-glyph-U	3
*h1lou[unclear-glyph-U	3
*nov[unclear-glyph-U	3
*of-f[unclear-glyph-U	3
*off[unclear-glyph-U	3
*opi-	3
*s[unclear-glyph-U	3
<b>	3
<d>	3
<r>	3
VLATVCIA	3
*-ei[unclear-glyph-U	2
*-eros	2
*-r[unclear-glyph-U	2
*bhou[unclear-glyph-U	2
*d[unclear-glyph-U	2
*dheh1-	2
*dhh[unclear-glyph-U	2
*dii[unclear-glyph-U	2
*folgont-	2
*folgu[unclear-glyph-U	2
*h1i-t[unclear-glyph-U	2
*h2r[unclear-glyph-U	2
*ksneu[unclear-glyph-U	2
*med-	2
*med-ii[unclear-glyph-U	2
*medhi[unclear-glyph-U	2
*n[unclear-glyph-U	2
*of[unclear-glyph-U	2
*oft[unclear-glyph-U	2
*ollo-le/ou[unclear-glyph-U	2
*terH-mn[unclear-glyph-U	2
000E]μ[unclear-glyph-U	2
<.g.>	2
<.i.>	2
<C>	2
<g>	2
<h1>	2
<s>	2
<vh>	2
>>	2
ANDARTAE	2
BRIGDINAI	2
CLEVVONI	2
COMAFTAS	2
DIE	2
DNN	2
FLATVCIAS	2
FOVGONTAI	2
FRIVI	2
OHG	2
STAHV	2
μ[unclear-glyph-U	2
†clov[unclear-glyph-U	2
†f[unclear-glyph-U	2
†l[unclear-glyph-U	2
†te.u.tasa.n	2
*([unclear-glyph-U	1
*(H)u[unclear-glyph-U	1
*(h1)u[unclear-glyph-U	1
*(s)ne/ou[unclear-glyph-U	1
*(s)tH[unclear-glyph-U	1
*(s)u[unclear-glyph-U	1
*(s)up-ero-	1
*-bhos	1
*-C.i[unclear-glyph-U	1
*-Ci.i[unclear-glyph-U	1
