form	count
CIL	21
*dhh̥	18
*dheh1-es-	9
HOSPOTIS	9
*ku̯	7
*leu̯	7
FASANA	7
*bhou̯	6
n̥	6
*bheu̯	5
OCS	5
STANONCIA	5
*dheh1s-	4
-ii̯	4
FASENAE	4
MARIDORPA	4
NEVNTII	4
NIL	4
OHG	4
PROMVS	4
Repanšek	4
Šašel-Kos	4
*(H)neu̯	3
*dorku̯	3
*h2e	3
*mo/eh2-ro-	3
*u̯	3
<CI>	3
EDCS	3
EDH	3
fēriae	3
fēstus	3
IEW	3
LIV	3
NEVNA	3
NOVENTI	3
PIE	3
PROVIA	3
r̥	3
θεός	3
*-eh2-no-	2
*bhu̯	2
*de	2
*dheh1-s-	2
*du̯	2
*eku̯	2
*fou̯	2
*fēs-	2
*fēsnā	2
*ghosti-	2
*gu̯	2
*h1ro/eu̯	2
*lúk-s-no-	2
*mo/eh2-ri-	2
*neu̯	2
*prō-u̯	2
*pr̥	2
*R(ø)-S(é)-D-(s	2
*stVne/o-	2
-eh2	2
/ae̯	2
/ti̯/	2
<TI>	2
AN(NORVM	2
BAVANVS	2
dik͑	2
EDR	2
eh2-	2
ei̯	2
fērālis	2
h2-	2
HOSPOLIS	2
L(VCI	2
MLG	2
m̥	2
no.u̯	2
nou̯	2
OPLINOCVS	2
PRAMIANIVS	2
PROMA	2
PROMO	2
PROVIO	2
taś	2
ā-	2
θθ	2
ἄκρος	2
*-eh1e-	1
*-eh1s-	1
*-ii̯	1
*-R̥	1
*-ān-ii̯	1
*-ō	1
*agro-ku̯	1
*bheh2u̯	1
*bho/eu̯	1
*bhuh1-	1
*bhuh2-	1
*bou̯	1
*d(h)aH-as-	1
*d(h)eH-s-	1
*daHas-	1
*danonti	1
*deh3-es-no-	1
*deh3-no-	1
*dekant-āsii̯	1
*dekVmo-	1
*dh(h1)sh2-ó-	1
*dh(h1)sh2í-	1
*dhaHas-	1
*dheh1-	1
*dheh1-es-i	1
*dheh1-es-neh2	1
*dheh1-es-to-	1
*dheh1-s-no-	1
*dheh1-s-o-	1
*dheh1s-es.4	1
*dheh1s-neh2	1
*dheh1s-no-	1
*dheh1s-o-	1
*dheh1s-ó-	1
*dhes-	1
*dhh1-	1
*dhh1s-éh2	1
*dhh1s-ó-	1
*dhéh1sh2o-	1
*dhēs-es	1
*dh̥	1
*dórku̯	1
*eni-genā	1
*framaz	1
*frawan-	1
*frōwōn	1
*furmaz	1
*fēs-nā	1
*gospod	1
*h1eni-ǵenh̥	1
*h1rudh-s-ó-	1
*h1su-d(h)eH-és-	1
*h2ei̯	1
*h2o/e	1
*hos(ti)-pot(i)-	1
*hospos	1
*Jocidus	1
*korku̯	1
*korp-ii̯	1
*luk-s-ó-	1
*meh1-	1
