form	count
*dh[unclear-glyph-U	27
*d[unclear-glyph-U	25
*l[unclear-glyph-U	17
EDLIL	12
CIL	11
*u[unclear-glyph-U	9
*deh2-	8
*dl[unclear-glyph-U	7
EDPG	6
IBS	6
III	6
*leh2-	5
*st[unclear-glyph-U	5
DLL	5
LEW	5
OCS	5
PIE	5
*[unclear-glyph-U	4
*de[unclear-glyph-U	4
EDBIL	4
*dak-i[unclear-glyph-U	3
*deh2i-t-	3
*deu[unclear-glyph-U	3
*dm[unclear-glyph-U	3
*la-	3
*lau[unclear-glyph-U	3
*lm[unclear-glyph-U	3
*lou[unclear-glyph-U	3
*sl[unclear-glyph-U	3
0003]h2-	3
0007]μ[unclear-glyph-U	3
VAS	3
WOU	3
†l[unclear-glyph-U	3
*CeH-	2
*d(e)h3-k-	2
*da-	2
*da-to-	2
*dai[unclear-glyph-U	2
*dak-	2
*dapp/b[unclear-glyph-U	2
*dau[unclear-glyph-U	2
*deh1k-	2
*deh2-mn	2
*deh2-nu-	2
*deh2i-	2
*deh2i-tor-	2
*deh2i[unclear-glyph-U	2
*deh2p-	2
*deh3-	2
*deh3u-sth2-	2
*dh2p-no-	2
*f[unclear-glyph-U	2
*fakond	2
*gu[unclear-glyph-U	2
*lamjan	2
*lap-no-	2
*lap[unclear-glyph-U	2
*las-	2
*leh2-meh2	2
*lem(H)-	2
*leu[unclear-glyph-U	2
*lH[unclear-glyph-U	2
*lo-	2
*loku-	2
*luh3-to-	2
0001]μ[unclear-glyph-U	2
0001]ς	2
0006]μ[unclear-glyph-U	2
0007]h1ghh1ó-	2
ANGOM	2
DIVMPAIS	2
ENOS	2
LAMATICOM	2
LASES	2
MHG	2
†f[unclear-glyph-U	2
*(e)sm[unclear-glyph-U	1
*(e)som-	1
*(H)lm[unclear-glyph-U	1
*(H)lomi[unclear-glyph-U	1
*(s)leh2id(h)-	1
*(s)lh2ei[unclear-glyph-U	1
*(s)teh2-k-	1
*(s/u[unclear-glyph-U	1
*-(i)i[unclear-glyph-U	1
*-(o/e)t-	1
*-d(h3)-	1
*-dh2-es-m[unclear-glyph-U	1
*-dh[unclear-glyph-U	1
*-Hi-	1
*-Hu-	1
*-lou[unclear-glyph-U	1
*-m[unclear-glyph-U	1
*-ter/-tor	1
*af-l[unclear-glyph-U	1
*anter-	1
*au	1
*C.CC	1
*CH.CC	1
*CH[unclear-glyph-U	1
*d(e)h2-	1
*d(e)h2-ni-	1
*d(e)h2/1-	1
*d(e)h2/1s-n[unclear-glyph-U	1
*d(h)eh2bh-	1
*d(i)nau[unclear-glyph-U	1
*d-	1
*da[unclear-glyph-U	1
*dabarna-	1
*daHas-	1
*dakont	1
*dala[unclear-glyph-U	1
*dam-	1
*Danu-	1
*dap-	1
*dap-na	1
*dap-no-	1
*dapnom	1
*dat-os	1
*deh1k-eh2	1
*deh1k-on-	1
*deh1k-u[unclear-glyph-U	1
*deh2-(i)-	1
*deh2-es-	1
*deh2-es-ós	1
*deh2-lo-	1
*deh2-m(n)-ó-	1
*deh2-mo-	1
*deh2-nu-s	1
*deh2-os	1
*deh2-és-	1
*deh2i-dhh1-e/o-	1
*deh2i-u[unclear-glyph-U	1
*deh2i-ur	1
*deh2s-s	1
*deh2u-dh(h1)-s	1
*deh2u-i[unclear-glyph-U	1
*deh2u-no-	1
*deh2u-sth2-	1
*deh2u[unclear-glyph-U	1
*deh3-ni-s	1
*deh3u-	1
*deh3u[unclear-glyph-U	1
*delh1-	1
*demh2-	1
*den[unclear-glyph-U	1
*dens-	1
*dens-es-	1
*dep-	1
*dh2e[unclear-glyph-U	1
*dh2ei[unclear-glyph-U	1
*dh2p-s-(i)ko-	1
*dh2p-s-tó-	1
*dh2s-os	1
*dh2s-pleh1-t-	1
*dh3-nei[unclear-glyph-U	1
*dh3-to	1
*dh3eu[unclear-glyph-U	1
*dh3uu[unclear-glyph-U	1
*dH[unclear-glyph-U	1
*dhaHas-	1
*dhe/on-	1
*dhebh-	1
*dheh1-	1
*dheh2bh-	1
*dhh1s-	1
*dhobh-nh2-	1
*dhreu[unclear-glyph-U	1
*dHV-	1
*di-da-	1
*di-de-	1
*di-de-ti	1
*dih2-u[unclear-glyph-U	1
*diuh2r-e[unclear-glyph-U	1
*dl	1
*dloh1n[unclear-glyph-U	1
*dlongho-	1
*dlónh1gh-	1
*dns-	1
*dns-pleh1-t-	1
*do-	1
*doh2i-t-/	1
*dou[unclear-glyph-U	1
*dra[unclear-glyph-U	1
*duu[unclear-glyph-U	1
*déh2i-t-o-	1
*fak-	1
*fak-i[unclear-glyph-U	1
*fax[unclear-glyph-U	1
*frVu[unclear-glyph-U	1
*gheh1-	1
*h1ei[unclear-glyph-U	1
*h1su-	1
*h1u[unclear-glyph-U	1
*h3lem(H)-	1
*h3lomH-io-	1
*hem[unclear-glyph-U	1
*i[unclear-glyph-U	1
*inter-lic[unclear-glyph-U	1
*kon-lau[unclear-glyph-U	1
*la[unclear-glyph-U	1
*laever	1
*Lai[unclear-glyph-U	1
*lai[unclear-glyph-U	1
*lak-i[unclear-glyph-U	1
*lak-ni-	1
*lak-s-	1
*laku-s	1
*laku[unclear-glyph-U	1
*lam-i[unclear-glyph-U	1
*lam[unclear-glyph-U	1
*lank-ni-	1
*lap-	1
*lapid-	1
*lapos	1
*latera	1
*latesa	1
*latou[unclear-glyph-U	1
*latu	1
*le/oh2u-no-	1
*leh1-	1
*leh2k-	1
*leh2p-	1
*leh2u-	1
*leh2u-to-	1
*leh3u-	1
*lep-	1
*lh2u-tlo-	1
*lh2u-to-	1
*lom(H)o-	1
*lop-i-	1
*lump[unclear-glyph-U	1
*léh2u-to-	1
*m[unclear-glyph-U	1
*ne-ku[unclear-glyph-U	1
*nemh1-	1
*slh[unclear-glyph-U	1
