category	form	line	pdf_page	source_page	context
slash_phonemic	/t:/	103	pdf-010	viii	5.1 Typical lenition paths of long /t:/                        page 84
bracket_phonetic	[ta]	104	pdf-010	viii	5.2 Gestural score of the syllable [ta]                        86
bracket_phonetic	[tha]	105	pdf-010	viii	5.3 Gestural score of the syllable [tha]                        86
slash_phonemic	/kt/	125	pdf-011	ix	5.4 Latin /kt/, /gn/ (= [ŋn]) in Romanian                        88
slash_phonemic	/gn/	125	pdf-011	ix	5.4 Latin /kt/, /gn/ (= [ŋn]) in Romanian                        88
bracket_phonetic	[ŋn]	125	pdf-011	ix	5.4 Latin /kt/, /gn/ (= [ŋn]) in Romanian                        88
reconstructed_star	*w	129	pdf-011	ix	5.8 The loss of *w in Attic Greek                        94
reconstructed_star	*s	130	pdf-011	ix	5.9 Inherited *s and *r in Latin                        96
reconstructed_star	*r	130	pdf-011	ix	5.9 Inherited *s and *r in Latin                        96
slash_phonemic	/θ/	131	pdf-011	ix	5.10 Secondary split of /θ/ in late Middle English                   98
bracket_phonetic	[ss]	132	pdf-011	ix	5.11 Counterfeeding of rhotacism and [ss] →[s] in Classical Latin    99
bracket_phonetic	[s]	132	pdf-011	ix	5.11 Counterfeeding of rhotacism and [ss] →[s] in Classical Latin    99
slash_phonemic	/-li-/	135	pdf-011	ix	6.1 Latin /-li-/, /-āli-/, default realizations                       112
slash_phonemic	/-āli-/	135	pdf-011	ix	6.1 Latin /-li-/, /-āli-/, default realizations                       112
slash_phonemic	/o/	141	pdf-011	ix	6.6 Umlaut and /o/-lowering in Schaffhausen                    124
slash_phonemic	/o:/	150	pdf-011	ix	6.14 /o:/-raising in Menomini                        131
reconstructed_star	*s	213	pdf-013	xi	10.5 Inherited *s and *r in Latin and Sanskrit                     237
reconstructed_star	*r	213	pdf-013	xi	10.5 Inherited *s and *r in Latin and Sanskrit                     237
reconstructed_star	*kn-	214	pdf-013	xi	10.6 Inherited *kn- in English and German                       238
slash_phonemic	/f/	220	pdf-013	xi	11.2 The six words in which English initial /f/ matches Tocharian
slash_phonemic	/p/	221	pdf-013	xi	B /p/                        271
slash_phonemic	/∼lang22/	286	pdf-018	2	> † www-users.york.ac.uk/∼lang22/YcoeHome1.htm
bracket_phonetic	[ʧ]	322	pdf-021	5	Algonkianists, like most other specialists in Native American languages, use orthographies that record surface contrasts. č is [ʧ] and š is [ʃ]; long vowels are represented either with a following colon (or raised dot) or by doubling the vowel; the latter is possible only in languages in which seque
bracket_phonetic	[ʃ]	322	pdf-021	5	Algonkianists, like most other specialists in Native American languages, use orthographies that record surface contrasts. č is [ʧ] and š is [ʃ]; long vowels are represented either with a following colon (or raised dot) or by doubling the vowel; the latter is possible only in languages in which seque
reconstructed_star	*ḱ	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*ǵ	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*ǵʰ	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*ḱ	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*ǵ	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*ǵh	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*k	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*g	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*gʰ	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*kʷ	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*gʷ	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*gʷʰ	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*h₁	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*h₂	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*h₃	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*m̥	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*n̥	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*l̥	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*r̥	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
reconstructed_star	*y	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
slash_phonemic	/k/	326	pdf-021	5	The pronunciation of Classical Latin is recoverable in great detail; see Sturtevant 1940 and Allen 1978 for extensive discussion. The conventional spelling of Latin represents the phonemic contrasts of the language well. Note that long vowels are marked with a macron, c is always /k/, v is /w/, qu i
slash_phonemic	/w/	326	pdf-021	5	The pronunciation of Classical Latin is recoverable in great detail; see Sturtevant 1940 and Allen 1978 for extensive discussion. The conventional spelling of Latin represents the phonemic contrasts of the language well. Note that long vowels are marked with a macron, c is always /k/, v is /w/, qu i
slash_phonemic	/kʷ/	326	pdf-021	5	The pronunciation of Classical Latin is recoverable in great detail; see Sturtevant 1940 and Allen 1978 for extensive discussion. The conventional spelling of Latin represents the phonemic contrasts of the language well. Note that long vowels are marked with a macron, c is always /k/, v is /w/, qu i
slash_phonemic	/kw/	326	pdf-021	5	The pronunciation of Classical Latin is recoverable in great detail; see Sturtevant 1940 and Allen 1978 for extensive discussion. The conventional spelling of Latin represents the phonemic contrasts of the language well. Note that long vowels are marked with a macron, c is always /k/, v is /w/, qu i
slash_phonemic	/g/	326	pdf-021	5	The pronunciation of Classical Latin is recoverable in great detail; see Sturtevant 1940 and Allen 1978 for extensive discussion. The conventional spelling of Latin represents the phonemic contrasts of the language well. Note that long vowels are marked with a macron, c is always /k/, v is /w/, qu i
bracket_phonetic	[ŋ]	326	pdf-021	5	The pronunciation of Classical Latin is recoverable in great detail; see Sturtevant 1940 and Allen 1978 for extensive discussion. The conventional spelling of Latin represents the phonemic contrasts of the language well. Note that long vowels are marked with a macron, c is always /k/, v is /w/, qu i
slash_phonemic	/k/	330	pdf-022	6	Standardized spelling of the medieval languages of western Europe tends to follow that of Latin (marking long vowels with a macron, for example). In Old English (OE) y has its IPA value, þ and ð spell dental fricatives, and /k/ is normally spelled c. In linguistic discussions of OE ċ indicates a voi
bracket_phonetic	[ʧ]	330	pdf-022	6	Standardized spelling of the medieval languages of western Europe tends to follow that of Latin (marking long vowels with a macron, for example). In Old English (OE) y has its IPA value, þ and ð spell dental fricatives, and /k/ is normally spelled c. In linguistic discussions of OE ċ indicates a voi
bracket_phonetic	[ɔ]	330	pdf-022	6	Standardized spelling of the medieval languages of western Europe tends to follow that of Latin (marking long vowels with a macron, for example). In Old English (OE) y has its IPA value, þ and ð spell dental fricatives, and /k/ is normally spelled c. In linguistic discussions of OE ċ indicates a voi
slash_phonemic	/s/	332	pdf-022	6	Oscan, the ancient Italic language of the Samnites, was written in three alphabets. In representing Oscan forms the Greek alphabet is not transliterated; the Latin alphabet is transliterated in italics; the native alphabet is transliterated in boldface. The difference in the typeface of transcriptio
bracket_phonetic	[ts]	332	pdf-022	6	Oscan, the ancient Italic language of the Samnites, was written in three alphabets. In representing Oscan forms the Greek alphabet is not transliterated; the Latin alphabet is transliterated in italics; the native alphabet is transliterated in boldface. The difference in the typeface of transcriptio
slash_phonemic	/lingua/	338	pdf-022	6	> † www.eva.mpg.de/lingua/resources/glossing-rules.php
slash_phonemic	/stæk/	392	pdf-027	11	Much more puzzling, at first glance, is a universal fact about the organization of speech sounds. Speech gestures are made in a particular order, but they overlap extensively; for instance, in the English word stack /stæk/ the tongue is already preparing to articulate the final /k/ as the vowel /æ/ 
slash_phonemic	/k/	392	pdf-027	11	Much more puzzling, at first glance, is a universal fact about the organization of speech sounds. Speech gestures are made in a particular order, but they overlap extensively; for instance, in the English word stack /stæk/ the tongue is already preparing to articulate the final /k/ as the vowel /æ/ 
slash_phonemic	/æ/	392	pdf-027	11	Much more puzzling, at first glance, is a universal fact about the organization of speech sounds. Speech gestures are made in a particular order, but they overlap extensively; for instance, in the English word stack /stæk/ the tongue is already preparing to articulate the final /k/ as the vowel /æ/ 
slash_phonemic	/t/	392	pdf-027	11	Much more puzzling, at first glance, is a universal fact about the organization of speech sounds. Speech gestures are made in a particular order, but they overlap extensively; for instance, in the English word stack /stæk/ the tongue is already preparing to articulate the final /k/ as the vowel /æ/ 
slash_phonemic	/stɪk/	392	pdf-027	11	Much more puzzling, at first glance, is a universal fact about the organization of speech sounds. Speech gestures are made in a particular order, but they overlap extensively; for instance, in the English word stack /stæk/ the tongue is already preparing to articulate the final /k/ as the vowel /æ/ 
slash_phonemic	/st/	392	pdf-027	11	Much more puzzling, at first glance, is a universal fact about the organization of speech sounds. Speech gestures are made in a particular order, but they overlap extensively; for instance, in the English word stack /stæk/ the tongue is already preparing to articulate the final /k/ as the vowel /æ/ 
slash_phonemic	/s/	392	pdf-027	11	Much more puzzling, at first glance, is a universal fact about the organization of speech sounds. Speech gestures are made in a particular order, but they overlap extensively; for instance, in the English word stack /stæk/ the tongue is already preparing to articulate the final /k/ as the vowel /æ/ 
slash_phonemic	/əs/	392	pdf-027	11	Much more puzzling, at first glance, is a universal fact about the organization of speech sounds. Speech gestures are made in a particular order, but they overlap extensively; for instance, in the English word stack /stæk/ the tongue is already preparing to articulate the final /k/ as the vowel /æ/ 
bracket_phonetic	[Perlmutter 1991: 69]	396	pdf-028	12	[Perlmutter 1991: 69], evidently because the use of two hands and the face in talking provides many more opportunities for simultaneous gestures. That fact alone might lead us to suspect that all linguistic sequencing constraints are at bottom biological, though much more research into human percept
slash_phonemic	/stæk/	398	pdf-028	12	Any account of the segmentalization of human speech must begin with an explanation of how we perceive a sequence of discrete units in what is demonstrably an unsegmented stretch of sound waves. Though no hypothesis seems to be so well articulated yet that it can meet all objections (see Klatt 1989, 
slash_phonemic	/s/	398	pdf-028	12	Any account of the segmentalization of human speech must begin with an explanation of how we perceive a sequence of discrete units in what is demonstrably an unsegmented stretch of sound waves. Though no hypothesis seems to be so well articulated yet that it can meet all objections (see Klatt 1989, 
slash_phonemic	/t/	398	pdf-028	12	Any account of the segmentalization of human speech must begin with an explanation of how we perceive a sequence of discrete units in what is demonstrably an unsegmented stretch of sound waves. Though no hypothesis seems to be so well articulated yet that it can meet all objections (see Klatt 1989, 
slash_phonemic	/k/	398	pdf-028	12	Any account of the segmentalization of human speech must begin with an explanation of how we perceive a sequence of discrete units in what is demonstrably an unsegmented stretch of sound waves. Though no hypothesis seems to be so well articulated yet that it can meet all objections (see Klatt 1989, 
slash_phonemic	/s/	416	pdf-029	13	Even more puzzling is the fact that human languages organize phonological segments into larger structures; that is, spoken human languages organize the consonants and vowels of an utterance into syllables. In the middle of the twentieth century a great deal of effort was expended in an attempt to fi
slash_phonemic	/nɛkst/	416	pdf-029	13	Even more puzzling is the fact that human languages organize phonological segments into larger structures; that is, spoken human languages organize the consonants and vowels of an utterance into syllables. In the middle of the twentieth century a great deal of effort was expended in an attempt to fi
slash_phonemic	/ɪ/	416	pdf-029	13	Even more puzzling is the fact that human languages organize phonological segments into larger structures; that is, spoken human languages organize the consonants and vowels of an utterance into syllables. In the middle of the twentieth century a great deal of effort was expended in an attempt to fi
slash_phonemic	/l/	416	pdf-029	13	Even more puzzling is the fact that human languages organize phonological segments into larger structures; that is, spoken human languages organize the consonants and vowels of an utterance into syllables. In the middle of the twentieth century a great deal of effort was expended in an attempt to fi
slash_phonemic	/s/	422	pdf-030	14	they must reflect a universal constraint on spoken language, which is very likely to be (ultimately) biological; but the nature of that constraint is not yet clear.1 Further investigation only deepens the mystery. Every language constrains the structure of its syllables in stringent ways, but though
slash_phonemic	/r/	422	pdf-030	14	they must reflect a universal constraint on spoken language, which is very likely to be (ultimately) biological; but the nature of that constraint is not yet clear.1 Further investigation only deepens the mystery. Every language constrains the structure of its syllables in stringent ways, but though
slash_phonemic	/l/	422	pdf-030	14	they must reflect a universal constraint on spoken language, which is very likely to be (ultimately) biological; but the nature of that constraint is not yet clear.1 Further investigation only deepens the mystery. Every language constrains the structure of its syllables in stringent ways, but though
slash_phonemic	/w/	422	pdf-030	14	they must reflect a universal constraint on spoken language, which is very likely to be (ultimately) biological; but the nature of that constraint is not yet clear.1 Further investigation only deepens the mystery. Every language constrains the structure of its syllables in stringent ways, but though
slash_phonemic	/j/	422	pdf-030	14	they must reflect a universal constraint on spoken language, which is very likely to be (ultimately) biological; but the nature of that constraint is not yet clear.1 Further investigation only deepens the mystery. Every language constrains the structure of its syllables in stringent ways, but though
slash_phonemic	/ɬ/	426	pdf-030	14	‘when I was inside, the rain started to really pour’ (Nater 1984: 5; note that /ɬ/ is an obstruent, and that both /l/’s are syllabic sonorants in this sentence.)
reconstructed_star	*John	444	pdf-031	15	John gave his brother the books. *John gave his brother with the books. [uninterpretable]
bracket_phonetic	[uninterpretable]	444	pdf-031	15	John gave his brother the books. *John gave his brother with the books. [uninterpretable]
reconstructed_star	*John	453	pdf-032	16	John handed the guard the revolver. *John handed the guard with the revolver. [uninterpretable]
bracket_phonetic	[uninterpretable]	453	pdf-032	16	John handed the guard the revolver. *John handed the guard with the revolver. [uninterpretable]
bracket_phonetic	[someone]	459	pdf-032	16	Looking at the histories of these words does not help much. Give, though its shape in modern English is etymologically Norse, represents in its usage an inherited verb which already appeared in both of its modern constructions in early Middle English (though not in Old English; see Mitchell 1985: 51
bracket_phonetic	[another]	459	pdf-032	16	Looking at the histories of these words does not help much. Give, though its shape in modern English is etymologically Norse, represents in its usage an inherited verb which already appeared in both of its modern constructions in early Middle English (though not in Old English; see Mitchell 1985: 51
bracket_phonetic	[OED]	459	pdf-032	16	Looking at the histories of these words does not help much. Give, though its shape in modern English is etymologically Norse, represents in its usage an inherited verb which already appeared in both of its modern constructions in early Middle English (though not in Old English; see Mitchell 1985: 51
bracket_phonetic	[uninterpretable]	475	pdf-033	17	Caesar-acc platter-abl give-1pl [uninterpretable]
reconstructed_star	*Caesar-em	495	pdf-033	17	b. *Caesar-em lanc-e    da-mus.
reconstructed_star	*Mē	497	pdf-033	17	b. *Mē   ist-ō    trāde-0./
bracket_phonetic	[pp. 460–1]	508	pdf-034	18	But maybe this is still no surprise; after all, both English and Latin are Indo- European languages, and though their prehistories were largely separate, speakers of English have been learning Latin and borrowing Latin words for well over a thousand years. It’s at least imaginable that structures we
bracket_phonetic	[intended: ‘The zebras gave the fox the trap.’]	514	pdf-034	18	[intended: ‘The zebras gave the fox the trap.’]
bracket_phonetic	[intended: ‘The zebras handed the girl the crowbar.’]	518	pdf-034	18	[intended: ‘The zebras handed the girl the crowbar.’]
reconstructed_star	*M-bidzi	527	pdf-034	18	c. *M-bidzi  zi-na-pats-ir-a        n-khandwe m-sampha.
bracket_phonetic	[3.3]	658	pdf-039	23	Don’t say me that. [3.3] Button me the rest. [3.4] Ross is gonna break into the TV and is gonna spend us money. [4.0] You finished me lots of rings. [4.11] Clearly all these children are generalizing “dative shift” patterns: they have extended the patterns of occurrence of English give (see above) a
bracket_phonetic	[3.4]	658	pdf-039	23	Don’t say me that. [3.3] Button me the rest. [3.4] Ross is gonna break into the TV and is gonna spend us money. [4.0] You finished me lots of rings. [4.11] Clearly all these children are generalizing “dative shift” patterns: they have extended the patterns of occurrence of English give (see above) a
bracket_phonetic	[4.0]	658	pdf-039	23	Don’t say me that. [3.3] Button me the rest. [3.4] Ross is gonna break into the TV and is gonna spend us money. [4.0] You finished me lots of rings. [4.11] Clearly all these children are generalizing “dative shift” patterns: they have extended the patterns of occurrence of English give (see above) a
bracket_phonetic	[4.11]	658	pdf-039	23	Don’t say me that. [3.3] Button me the rest. [3.4] Ross is gonna break into the TV and is gonna spend us money. [4.0] You finished me lots of rings. [4.11] Clearly all these children are generalizing “dative shift” patterns: they have extended the patterns of occurrence of English give (see above) a
bracket_phonetic	[2.4]	661	pdf-039	23	(15)      Then put her some more. [2.4]
reconstructed_star	*hōc	704	pdf-042	26	3. The Latin construction exemplified by quā dē causā, literally ‘which for reason’ (meaning ‘for which reason’) is not a counterexample to the generalization that prepositions are not inserted into objects by default. The crucial detail is that the preposition must follow exactly one coherent const
bracket_phonetic	[-θ]	748	pdf-046	30	A simple example will illustrate the problem. In all dialects of Old English (OE; i.e. English before the Norman Conquest) the 3sg. and all the forms of the plural ended in -þ (pronounced [-θ]) in the present indicative of most verbs. In late tenth-century interlinear glosses written in the Northumb
reconstructed_star	*I	781	pdf-048	32	(3)       *I used to think that show was boring, but anymore I kind of like it.
bracket_phonetic	[s, z, ʃ, ʒ, ʧ]	800	pdf-050	34	Children invariably acquire the inflectional system(s) of their native language(s) by about the age of 5 (though individual inflectional irregularities may not be mastered until later in childhood; see e.g. the papers in Slobin 1985). That is true even if the inflectional morphology of the language 
bracket_phonetic	[ʤ]	800	pdf-050	34	Children invariably acquire the inflectional system(s) of their native language(s) by about the age of 5 (though individual inflectional irregularities may not be mastered until later in childhood; see e.g. the papers in Slobin 1985). That is true even if the inflectional morphology of the language 
bracket_phonetic	[s]	800	pdf-050	34	Children invariably acquire the inflectional system(s) of their native language(s) by about the age of 5 (though individual inflectional irregularities may not be mastered until later in childhood; see e.g. the papers in Slobin 1985). That is true even if the inflectional morphology of the language 
slash_phonemic	/x/	828	pdf-052	36	It is not too difficult for a monolingual native speaker of English to learn to pronounce the name Bach with a final velar fricative [x], even though that consonant is not systematically used in English. An idealized analysis of the contrastive sounds of that speaker’s English might suggest that it 
slash_phonemic	/bɑx/	828	pdf-052	36	It is not too difficult for a monolingual native speaker of English to learn to pronounce the name Bach with a final velar fricative [x], even though that consonant is not systematically used in English. An idealized analysis of the contrastive sounds of that speaker’s English might suggest that it 
slash_phonemic	/bɑk/	828	pdf-052	36	It is not too difficult for a monolingual native speaker of English to learn to pronounce the name Bach with a final velar fricative [x], even though that consonant is not systematically used in English. An idealized analysis of the contrastive sounds of that speaker’s English might suggest that it 
slash_phonemic	/k/	828	pdf-052	36	It is not too difficult for a monolingual native speaker of English to learn to pronounce the name Bach with a final velar fricative [x], even though that consonant is not systematically used in English. An idealized analysis of the contrastive sounds of that speaker’s English might suggest that it 
bracket_phonetic	[x]	828	pdf-052	36	It is not too difficult for a monolingual native speaker of English to learn to pronounce the name Bach with a final velar fricative [x], even though that consonant is not systematically used in English. An idealized analysis of the contrastive sounds of that speaker’s English might suggest that it 
bracket_phonetic	[bɑk]	828	pdf-052	36	It is not too difficult for a monolingual native speaker of English to learn to pronounce the name Bach with a final velar fricative [x], even though that consonant is not systematically used in English. An idealized analysis of the contrastive sounds of that speaker’s English might suggest that it 
