figure_id	caption	line	pdf_page	source_page
5.1	Typical lenition paths of long /t:/	1558	pdf-100	84
5.2	Gestural score of the syllable [ta]	1607	pdf-102	86
5.3	Gestural score of the syllable [tʰa]	1613	pdf-102	86
6.1	First assimilation of Old English gædeling	2047	pdf-122	106
6.2	Second assimilation of Old English gædeling	2053	pdf-122	106
6.1	(with features not relevant to the rule omitted, and vowel height repre-	2059	pdf-122	106
6.2	.	2065	pdf-122	106
6.3	Second compensatory lengthening in Ancient Greek	2125	pdf-125	109
6.4	Early southern Middle English vowels	2372	pdf-136	120
7.1	Syntactic structure of the word arrivals	3158	pdf-175	159
8.1	Ionic dialect ‘say’ before reanalysis	3344	pdf-185	169
8.2	Ionic dialect ‘say’ after reanalysis	3348	pdf-185	169
8.3	Morphological structure of menness in the dialect of the Orrmulum	3436	pdf-192	176
