table_id	caption	line	pdf_page	source_page
5.1	Latin stressed ē in open syllables in French	1481	pdf-097	81
5.2	Latin stressed ē before nasals in French	1516	pdf-098	82
5.3	Lenition of Latin voiceless stops in Spanish	1572	pdf-101	85
5.4	Latin /kt/, /gn/ (= [ŋn]) in Romanian	1635	pdf-104	88
5.5	The English Great Vowel Shift	1699	pdf-107	91
5.6	Part of the shortening rule in late Middle English	1722	pdf-108	92
5.7	Palatalization in two Tocharian B verb paradigms	1754	pdf-109	93
5.8	The loss of *w in Attic Greek	1775	pdf-110	94
5.9	Inherited *s and *r in Latin	1833	pdf-112	96
5.10	Secondary split of /θ/ in late Middle English	1880	pdf-114	98
5.11	Counterfeeding of rhotacism and [ss] →[s] in Classical Latin	1905	pdf-115	99
5.12	Word-final devoicing in Middle Dutch	1929	pdf-116	100
5.13	Further word-final devoicing in Modern Dutch	1945	pdf-116	100
6.1	Latin /-li-/, /-āli-/, default realizations	2173	pdf-128	112
6.2	Latin /-li-/, /-āli-/ with dissimilation	2197	pdf-129	113
6.3	Latin /-āli-/, dissimilation blocked	2209	pdf-129	113
6.4	Mediopassive perfect forms of six Ancient Greek verbs	2251	pdf-132	116
6.5	Vowel length alternations in thirteenth-century Midlands Middle English	2428	pdf-138	122
6.6	Umlaut and /o/-lowering in Schaffhausen	2459	pdf-140	124
6.7	/o/-lowering and umlaut in Kesswil	2469	pdf-140	124
6.8	Derivation of tœttərlə in Kesswil ‘be afraid’	2485	pdf-141	125
6.9	Sound-change outcomes of inherited back round vowels in Kesswil	2494	pdf-141	125
6.10	Devoicing and g-loss in northern Germany	2527	pdf-143	127
6.11	g-loss and devoicing in southern Germany	2538	pdf-143	127
6.12	Assibilation in Proto-Baltic Finnic	2573	pdf-145	129
6.13	3sg. simple past tense forms in Finnish	2583	pdf-145	129
6.14	/o:/-raising in Menomini	2660	pdf-147	131
6.15	Alternating and non-alternating labiodental fricatives in Old English	2720	pdf-150	134
6.16	Some Maori verbs and their derivatives	2960	pdf-162	146
7.1	Attic Greek mediopassive verb endings	3178	pdf-177	161
8.1	Typical Old English examples of i-umlaut	3500	pdf-196	180
8.2	1pl. and 3pl. forms of an Old High German verb	3560	pdf-198	182
8.3	1pl. and 3pl. forms of a Middle High German verb	3568	pdf-198	182
8.4	Classes of non-neuter nominals with nom.–acc. pl. syncretism in Attic Greek	3608	pdf-199	183
8.5	Actual and expected nom. and acc. pl. endings of the Attic Greek classes of nominals with nom.–acc. pl. syncretism	3618	pdf-199	183
8.6	Partial paradigm of a Latin third-conjugation verb	3644	pdf-200	184
8.7	Thematic present indicative and subjunctive of an Ancient Greek verb	3692	pdf-201	185
8.8	The development of some gen. sg. and abl. sg. endings in Italic	3710	pdf-202	186
8.9	Present indicative passive paradigms of ‘call’	3761	pdf-204	188
8.10	Present and past indicative paradigms in some West Germanic languages	3782	pdf-205	189
8.11	Inherited pl. verb endings in northern West Germanic	3806	pdf-206	190
8.12	Partial PIE paradigm of the determiner ‘that’	3827	pdf-207	191
8.13	Partial PGmc. paradigm of the determiner ‘that’	3843	pdf-208	192
8.14	Some suppletive verbs in Attic Greek	3879	pdf-210	194
8.15	‘Say’ in Attic Greek	3890	pdf-210	194
8.16	‘Go’ in Latin and three of its descendants	3906	pdf-211	195
8.17	Partial paradigms of some Russian nouns	3955	pdf-214	198
8.18	Partial paradigms of some noun phrases in Tocharian B	3971	pdf-215	199
8.19	Partial paradigms of some noun phrases in Romanian	3981	pdf-215	199
8.20	Nascent stem classes of nouns in early Italic	4005	pdf-217	201
8.21	Case mergers in some daughters of PIE	4125	pdf-223	207
9.1	Position of the verb in three Ancient Greek texts	4283	pdf-231	215
9.2	Position of auton in Herodotos and Luke	4319	pdf-232	216
9.3	Clitic adjunction in Homer, Herodotos, and the New Testament	4360	pdf-233	217
9.4	Underlying verb and object order in Homer, Herodotos, and Luke	4370	pdf-233	217
9.5	Estimated distribution of verb-final and verb-medial clauses in Herodotos compared with observed distribution assuming 62 percent verb-final tokens	4403	pdf-234	218
9.6	Expected development of Old Irish verbs with suffixed object agreement markers	4481	pdf-237	221
9.7	Increase of periphrastic do in clauses of different types	4561	pdf-239	223
9.8	Slope of the logistic for the categories in Table 9.7	4589	pdf-240	224
9.9	Position of never	4618	pdf-241	225
9.10	do-periphrasis in unemphatic affirmative declarative clauses (Kroch’s analysis)	4631	pdf-241	225
9.10	(cited after Kroch’s Table 8, which provides additional information).	4650	pdf-241	225
9.11	do-periphrasis in unemphatic affirmative declarative clauses (Warner’s analysis)	4665	pdf-242	226
10.1	Some Fox and Shawnee cognates	4768	pdf-249	233
10.2	Sibilant merger in Cree	4797	pdf-250	234
10.3	Some English and German cognates, first set	4834	pdf-251	235
10.4	Some English and German cognates, second set	4881	pdf-252	236
10.5	Inherited *s and *r in Latin and Sanskrit	4914	pdf-253	237
10.6	Inherited *kn- in English and German	4959	pdf-254	238
10.7	Reconstructing the secondary split of Old English þ in Modern English	4977	pdf-254	238
10.8	Cognates in two Mánśi dialects	5010	pdf-255	239
10.8 (cont.)		5064	pdf-256	240
10.9	Phonemes of Proto-Mánśi	5363	pdf-266	250
11.1	Comparative wordlist of some Indo-European languages	5784	pdf-283	267
11.1 (cont.)		5839	pdf-284	268
11.1 (cont.)		5892	pdf-285	269
11.2	The six words in which English initial /f/ matches Toch. B /p/	5950	pdf-287	271
11.3	Distribution of chance matches of 10 x and 12 y in a list of 108	5976	pdf-288	272
11.4	Distribution of chance matches of 4 x and 5 y in a list of 35	5996	pdf-289	273
11.5	Distribution of chance matches of 7 x and 8 y in a list of 102	6012	pdf-290	274
11.6	Subject person-and-number markers in Central Sierra Miwok and PIE	6072	pdf-295	279
