section,subsection,group,entry,page_refs,notes,raw_entry,source_line_start,source_line_end
I. Protoforms,A. Proto-Indo-European,,*-a (voc. sg.),24,24,*-a (voc. sg.) 24,37,37
I. Protoforms,A. Proto-Indo-European,,*ád,23 fn. 14; 55; 46; 118; 168,"23 fn. 14, 55 with fn. 46, 118, 168","*ád 23 fn. 14, 55 with fn. 46, 118, 168",38,38
I. Protoforms,A. Proto-Indo-European,,[*agʷésih₂ ~ *agusyáh₂-],302,302,[*agʷésih₂ ~ *agusyáh₂-] 302,39,39
I. Protoforms,A. Proto-Indo-European,,"[*aǵslā, *aǵslām]",243,243,"[*aǵslā, *aǵslām] 243",40,40
I. Protoforms,A. Proto-Indo-European,,*-ah₂,24; 26; 73; 77; 92; 189; 200; 221; 247; 299,"24, 26, 73, 77, 92, 189, 200, 221, 247, 299","*-ah₂ 24, 26, 73, 77, 92, 189, 200, 221, 247, 299",41,42
I. Protoforms,A. Proto-Indo-European,,*-áh₂ (allative),50,50,*-áh₂ (allative) 50,43,43
I. Protoforms,A. Proto-Indo-European,,[*-ah₂] (neut. nom.-acc. pl.),55; 196; 225,"55, 196, 225","[*-ah₂] (neut. nom.-acc. pl.) 55, 196, 225",44,45
I. Protoforms,A. Proto-Indo-European,,*-ah₂ (*-oh₂?) (thematic allative),51,51,*-ah₂ (*-oh₂?) (thematic allative) 51,46,46
I. Protoforms,A. Proto-Indo-European,,*-(a)h₂- (factitive),31; 34; 200 fn. 43,"31, 34, 200 fn. 43","*-(a)h₂- (factitive) 31, 34, 200 fn. 43",47,47
I. Protoforms,A. Proto-Indo-European,,*-ah₂as (nom. pl.),91; 172,"91, 172","*-ah₂as (nom. pl.) 91, 172",48,48
I. Protoforms,A. Proto-Indo-European,,"*-ah₂ay (dat. sg.), *-ah₂i (loc. sg.)",225,225,"*-ah₂ay (dat. sg.), *-ah₂i (loc. sg.) 225",49,49
I. Protoforms,A. Proto-Indo-European,,*-ah₂ih₁ (du.),63,63,*-ah₂ih₁ (du.) 63,50,50
I. Protoforms,A. Proto-Indo-European,,[*-ah₂yé-] (denominative),31,31,[*-ah₂yé-] (denominative) 31,51,51
I. Protoforms,A. Proto-Indo-European,,[*ákʷah₂],116; 130,"116, 130","[*ákʷah₂] 116, 130",52,52
I. Protoforms,A. Proto-Indo-European,,*albʰós,12,12,*albʰós 12,53,53
I. Protoforms,A. Proto-Indo-European,,[*alk-],116,116,[*alk-] 116,54,54
I. Protoforms,A. Proto-Indo-European,,*ályos,11; 12; 89; 116; 143; 150; 155; 69,"11, 12, 89, 116, 143, 150, 155; *ályod 69; *ánteros 116, 150","*ályos 11, 12, 89, 116, 143, 150, 155; *ályod 69; *ánteros 116, 150",55,56
I. Protoforms,A. Proto-Indo-European,,*apo,125; 141,"125, 141","*apo 125, 141",57,57
I. Protoforms,A. Proto-Indo-European,,*ar-,12; 178 fn. 32,"12, 178 fn. 32","*ar- 12, 178 fn. 32",58,58
I. Protoforms,A. Proto-Indo-European,,[*átnos],137,137,[*átnos] 137,59,59
I. Protoforms,A. Proto-Indo-European,,*átta,12; 20; 89; 118 fn. 15; 170,"12, 20, 89, 118 fn. 15, 170","*átta 12, 20, 89, 118 fn. 15, 170",60,60
I. Protoforms,A. Proto-Indo-European,,*awl-,12,12,*awl- 12,61,61
I. Protoforms,A. Proto-Indo-European,,*ay- ‘be hot’,12,12,*ay- ‘be hot’ 12,62,62
I. Protoforms,A. Proto-Indo-European,,*ay- ‘give’,12,12,*ay- ‘give’ 12,63,63
I. Protoforms,A. Proto-Indo-European,,*aydʰ-,12,12,*aydʰ- 12,64,64
I. Protoforms,A. Proto-Indo-European,,*áyeri,159,159,*áyeri 159,65,65
I. Protoforms,A. Proto-Indo-European,,*áyos ~ *áyes-,159; 311,"159, 311; *áys, *h₂áys 311","*áyos ~ *áyes- 159, 311; *áys, *h₂áys 311",66,66
I. Protoforms,A. Proto-Indo-European,,fn.,32,32,fn. 32,67,67
I. Protoforms,A. Proto-Indo-European,,[*-ā-] (optative),38,38,[*-ā-] (optative) 38,68,68
I. Protoforms,A. Proto-Indo-European,,"*-ām, *-ās",92,92,"*-ām, *-ās 92",69,69
I. Protoforms,A. Proto-Indo-European,,*bʰágos,12,12,*bʰágos 12,70,70
I. Protoforms,A. Proto-Indo-European,,*bʰāǵʰus (*-ah₂-?),91; 120; 172,"91, 120, 172","*bʰāǵʰus (*-ah₂-?) 91, 120, 172",71,71
I. Protoforms,A. Proto-Indo-European,,*bʰeg-,103; 209; 143; 174; 181,"103 *bʰendʰ-: [*bʰebʰóndʰ- ~ *bʰebʰn̥dʰ-́ ] 209; [*bʰebʰóndʰe] 143, 174, 181; [*bʰéndʰe] 143, 174","*bʰeg- 103 *bʰendʰ-: [*bʰebʰóndʰ- ~ *bʰebʰn̥dʰ-́ ] 209; [*bʰebʰóndʰe] 143, 174, 181; [*bʰéndʰe] 143, 174",72,75
I. Protoforms,A. Proto-Indo-European,,*bʰer-,34; 47 (parad.); 72; 212; 33; 37; 152; 141; 169; 120; 206; 161; 167; 95 fn. 7,"34, 47 (parad.) 72; [*bʰebʰór- ~ *bʰebʰr-́ ~ *bʰebʰr̥-́] 212; *bʰére/ o- 33, 37; *bʰéresi 152; *bʰérete 141, 169; *bʰéreti 120, 152; *bʰérē/ō-, *bʰéroy(h₁)- 37; *bʰérontu (*-ow?) 206; *bʰérowos 161; *bʰéroyd, *bʰéroyh₁end 167; [*bʰḗrst] 95 fn. 7","*bʰer- 34, 47 (parad.) 72; [*bʰebʰór- ~ *bʰebʰr-́ ~ *bʰebʰr̥-́] 212; *bʰére/ o- 33, 37; *bʰéresi 152; *bʰérete 141, 169; *bʰéreti 120, 152; *bʰérē/ō-, *bʰéroy(h₁)- 37; *bʰérontu (*-ow?) 206; *bʰérowos 161; *bʰéroyd, *bʰéroyh₁end 167; [*bʰḗrst] 95 fn. 7",76,84
I. Protoforms,A. Proto-Indo-European,,*bʰoréyeti,28; 34,"28, 34","*bʰoréyeti 28, 34",85,85
I. Protoforms,A. Proto-Indo-European,,*bʰr̥nós,188; 211,"188, 211","*bʰr̥nós 188, 211",86,86
I. Protoforms,A. Proto-Indo-European,,*bʰr̥yé- ~ *bʰr̥yó-,144,144,*bʰr̥yé- ~ *bʰr̥yó- 144,87,87
I. Protoforms,A. Proto-Indo-European,,*bʰewdʰ-,22,22,*bʰewdʰ- 22,89,89
I. Protoforms,A. Proto-Indo-European,,"*bʰudʰnós, *bʰudʰstós",188,188,"*bʰudʰnós, *bʰudʰstós 188",90,90
I. Protoforms,A. Proto-Indo-European,,"*bʰewg-, *bʰugáh₂",74,74,"*bʰewg-, *bʰugáh₂ 74",91,91
