entry_number,first_author_or_label,year,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,reference
1,Adams,1997,331,331,342,342,"Adams, D. Q. (ed.) (1997). Festschrift for Eric P. Hamp. Washington, D.C.: Institute for the Study of Man."
2,Agbayani,2010,331,331,342,342,"Agbayani, B., and Golston, C. (2010). ‘Phonological movement in Classical Greek’, Language 86: 133–67."
3,Anthony,2007,331,331,342,342,"Anthony, D. (2007). The horse, the wheel, and language. Princeton: Princeton University Press."
4,Anthony,2015,331,331,342,342,"Anthony, D. and Ringe, D. (2015). ‘The Indo-European homeland from linguistic and archaeological perspectives’, Annual Review of Linguistics 1: 199–219."
5,Antonsen,1975,331,331,342,342,"Antonsen, E. (1975). A concise grammar of the Older Runic inscriptions. Tübingen: Niemeyer."
6,Aronoff,1994,331,331,342,342,"Aronoff, M. (1994). Morphology by itself. Cambridge, Mass.: MIT Press."
7,Austin,1946,331,331,342,342,"Austin, W. (1946). ‘A corollary to the Germanic Verschärfung’, Language 22: 109–11."
8,Bammesberger,1976,331,331,342,342,"Bammesberger, A. (1976). ‘Altenglisch sneowan/snowan und gotisch sniwan’, Zeitschrift für vergleichende Sprachforschung 90: 258–61."
9,Bammesberger,1980,331,331,342,342,"Bammesberger, A. (1980). ‘Das Präteritalparadigma einiger “reduplizierender” Verben im Urgermanischen’, in Mayrhofer et al. (edd.) 1980: 1–21."
10,Bammesberger,1981,331,331,342,342,"Bammesberger, A. (1981). ‘Two notes on the present optative in Germanic’, General Linguistics 21: 79–84."
11,Bammesberger,1986,331,331,342,342,"Bammesberger, A. (1986). Der Aufbau des germanischen Verbalsystems. Heidelberg: Winter."
12,Bammesberger,1988,331,331,342,342,"Bammesberger, A. (ed.) (1988). Die Laryngaltheorie und die Rekonstruktion des indogermanischen Laut- und Formensystems. Heidelberg: Winter."
13,Bammesberger,1990,331,331,342,342,"Bammesberger, A. (1990). Die Morphologie des urgermanischen Nomens. Heidelberg: Winter."
14,Bammesberger,2000,331,331,342,342,"Bammesberger, A. (2000). ‘Altenglisch earð/eart “(thou) art” und Johannes Schmidts Beitrag zur Erklärung des Verbum substantivum im Germanischen’, in Ofitsch, M., and Zinko, C. (edd.), 125 Jahre Indogermanistik in Graz (Graz: Leykam) 11–19."
15,Barber,2013,331,331,342,342,"Barber, P. (2013). Sievers’ law and the history of semivowel syllabicity in Indo-European and Ancient Greek. Oxford: Oxford University Press."
16,Bazell,1937,331,331,342,342,"Bazell, C. E. (1937). ‘IE final unaccented ē in Germanic’, Journal of English and Germanic Philology 36: 1–9."
17,Beekes,1969,331,331,342,342,"Beekes, R. S. P. (1969). The development of the Proto-Indo-European laryngeals in Greek. The Hague: Mouton."
18,Beekes,1972,331,331,342,342,"Beekes, R. S. P. (1972). ‘H₂O’, Die Sprache 18: 117–31."
19,Beekes,2011,331,331,342,342,"Beekes, R. S. P. (2011). Comparative Indo-European linguistics: an introduction. 2nd ed. Amsterdam: Benjamins."
20,Bennett,1960,331,331,342,342,"Bennett, W. H. (1960). The Gothic commentary on the gospel of John. New York: Modern Language Association of America."
21,Bennett,1962,331,331,342,342,"Bennett, W. H. (1962). ‘The parent suffix in Germanic weak verbs of class III’, Language 38: 135–41."
22,Bennett,1978,331,331,342,342,"Bennett, W. H. (1978). ‘The Germanic reflex of Indo-European /ə/ in originally medial syllables’, in Jazayery, M. A., Polomé, E., and Winter, W. (edd.), Linguistic and literary studies in honor of Archibald A. Hill. III: Historical and comparative linguistics (The Hague: Mouton) 13–8."
23,Benveniste,1949,332,332,343,343,"Benveniste, É. (1949). ‘Sur quelques développements du parfait indo-européen’, Archivum Linguisticum 1: 16–22."
24,Benveniste,1951,332,332,343,343,"Benveniste, É. (1951). ‘Prétérit et optatif en indo-européen, Bulletin de la Société de Linguistique de Paris 47: 11–20."
25,Bernhardsson,2001,332,332,343,343,"Bernhardsson, H. (2001). Verner’s Law in Gothic. Ph.D. dissertation, Cornell."
26,Birkmann,1987,332,332,343,343,"Birkmann, T. (1987). Präteritopräsentia. Tübingen: Niemeyer."
27,Björkman,1900,332,332,343,343,"Björkman, E. (1900). Scandinavian loan-words in Middle English. Halle: Niemeyer."
28,Bloomfield,1911,332,332,343,343,"Bloomfield, L. (1911). Review of Wood, F. A. (1905), Indo-European ax: axi: axu. A study in ablaut and word-formation (Strassburg: Dissertation), Journal of English and Germanic Philology 10: 628–31."
29,Bloomfield,1933,332,332,343,343,"Bloomfield, L. (1933). Language. Chicago: University of Chicago Press."
30,Blust,1974,332,332,343,343,"Blust, R. (1974). ‘A double counter-universal in Kelabit’, University of Hawaii Working Papers in Linguistics 5: 49–56."
31,Braune,2004,332,332,343,343,"Braune, W., and Heidermanns, F. (2004). Gotische Grammatik. 20th edn. Tübingen: Niemeyer."
32,Braune,2004,332,332,343,343,"Braune, W., and Reiffenstein, I. (2004). Althochdeutsche Grammatik I. Laut- und Formenlehre. 15th edn. Tübingen: Niemeyer."
33,Brixhe,2004,332,332,343,343,"Brixhe, C. (2004). ‘Phrygian’, in Woodard, R. D. (ed.), The Cambridge encyclopaedia of the world’s ancient languages (Cambridge: Cambridge University Press) 777–88."
34,Brugmann,1897,332,332,343,343,"Brugmann, K. (1897). Grundriß der vergleichenden Grammatik der indogermanischen Sprachen, Vol. I, 2nd ed. Straßburg: Trübner."
35,Brugmann,1906,332,332,343,343,"Brugmann, K. (1906). Grundriß der vergleichenden Grammatik der indogermanischen Sprachen, Vol. II, Part 1, 2nd ed. Straßburg: Trübner."
36,Brugmann,1911,332,332,343,343,"Brugmann, K. (1911). Grundriß der vergleichenden Grammatik der indogermanischen Sprachen, Vol. II, Part 2, 2nd ed. Straßburg: Trübner."
37,Brunner,1965,332,332,343,343,"Brunner, K. (1965). Altenglische Grammatik, 3rd ed. Tübingen: Niemeyer."
38,Byrd,2015,332,332,343,343,"Byrd, A. M. (2015). The Indo-European syllable. Leiden: Brill."
39,Campbell,1962,332,332,343,343,"Campbell, A. (1962). Old English grammar. Revised ed. Oxford: Oxford University Press."
40,Cardona,1960,332,332,343,343,"Cardona, G. (1960). The Indo-European thematic aorists. Ph.D. dissertation, Yale."
41,Cardona,1965,332,332,343,343,"Cardona, G. (1965). ‘Vedic imperatives in -si’, Language 41: 1–18."
42,Carstairs,1987,332,332,343,343,"Carstairs, A. (1987). Allomorphy in inflection. London: Croom Helm."
43,Carstairs-McCarthy,1991,332,332,343,343,"Carstairs-McCarthy, A. (1991). ‘Inflection classes: two questions with one answer’, in Plank, F. (ed.), Paradigms: the economy of inflection (Berlin: Mouton de Gruyter) 213–53."
44,Cercignani,1984,332,332,343,343,"Cercignani, F. (1984). ‘The enfants terribles of Gothic “breaking”: hiri, aiþþau, etc.’, Journal of Indo-European Studies 12: 315–44."
