pdf_page	form	source
101	∗stáh₂t	visual-text-xml
101	ástʰāt	visual-text-xml
101	ἔστᾱ	visual-text-xml
101	ἔστη	visual-text-xml
101	∗bʰah₂ti	visual-text-xml
101	bʰāti	visual-text-xml
101	fātur	visual-text-xml
101	φᾱτι	visual-text-xml
101	φησι	visual-text-xml
101	∗bʰoh₂náh₂	visual-text-xml
101	φωνα	visual-text-xml
101	φωνή	visual-text-xml
101	∗swáh₂dus	visual-text-xml
101	svādús	visual-text-xml
101	δύς	visual-text-xml
101	ἡδύς	visual-text-xml
101	∗bʰāǵʰus	visual-text-xml
101	∗-ah₂-?	visual-text-xml
101	bāhús	visual-text-xml
101	πᾶχυς	visual-text-xml
101	πῆχυς	visual-text-xml
101	mōr	visual-text-xml
101	ἆμαρ	visual-text-xml
101	ἦμαρ	visual-text-xml
101	∗ǵnóh₃t	visual-text-xml
101	nōvit	visual-text-xml
101	ἔγνω	visual-text-xml
101	∗dédoh₃ti	visual-text-xml
101	dádāti	visual-text-xml
101	δίδωτι	visual-text-xml
101	δίδωσι	visual-text-xml
101	∗h₂áḱmō	visual-text-xml
101	á´smā	visual-text-xml
101	ἄκμων	visual-text-xml
101	∗ǵénh₁tōr	visual-text-xml
101	γενέτωρ	visual-text-xml
101	∗h₁ludʰéd	visual-text-xml
101	∗é	visual-text-xml
101	h₁ludʰed	visual-text-xml
101	ἤλυθε	visual-text-xml
101	∗-óHom	visual-text-xml
101	∗H	visual-text-xml
101	∗h₂	visual-text-xml
101	-ām	visual-text-xml
101	∗-ǫ˭	visual-text-xml
101	-ῶν	visual-text-xml
101	ah₂-stem	visual-text-xml
101	∗-ah₂-ay	visual-text-xml
101	-ᾱι	visual-text-xml
101	-ηι	visual-text-xml
101	∗-o-ey	visual-text-xml
101	-āi	visual-text-xml
101	-ωι	visual-text-xml
101	h₁est	visual-text-xml
101	ἦς	visual-text-xml
101	h₂aǵed	visual-text-xml
101	ἆγε	visual-text-xml
101	ἦγε	visual-text-xml
102	∗pléh₁-isto-	visual-text-xml
102	∗pleh₁-	visual-text-xml
102	πλήρης	visual-text-xml
102	implēre	visual-text-xml
102	πλεῖστος	visual-text-xml
102	∗stah₂urós	visual-text-xml
102	σταυρ´ος	visual-text-xml
102	∗stah₂-	visual-text-xml
102	∗V(H)u	visual-text-xml
102	∗h₂	visual-text-xml
102	∗o	visual-text-xml
102	∗i	visual-text-xml
102	∗poh₂imḗn	visual-text-xml
102	∗faimnijōn-	visual-text-xml
102	ποιμήν	visual-text-xml
102	∗pah₂i-	visual-text-xml
102	∗/-e-/	visual-text-xml
102	κρατερος´	visual-text-xml
102	ὄνυξ	visual-text-xml
102	∗h₃n-	visual-text-xml
102	∗/	visual-text-xml
102	e-h₃	visual-text-xml
102	∗-oh₃-	visual-text-xml
102	∗-ō-	visual-text-xml
102	κρατερ	visual-text-xml
102	ωνυχες.´	visual-text-xml
102	κρατερ-	visual-text-xml
102	´ωνυχες	visual-text-xml
103	πρ´οσωπον	visual-text-xml
103	ἐπ	visual-text-xml
103	ωνυμος´	visual-text-xml
103	προς´	visual-text-xml
103	ἐπί	visual-text-xml
103	χρῡσήορος	visual-text-xml
103	ἀγήνωρ	visual-text-xml
103	στρατηγ´ος	visual-text-xml
103	Ἱππημολγοί	visual-text-xml
103	τετρᾱ́	visual-text-xml
103	ορος	visual-text-xml
103	Πεισήνωρ	visual-text-xml
103	γαμψ	visual-text-xml
103	ωνυχες,´	visual-text-xml
103	οὐδεν´οσωρος	visual-text-xml
103	∗i	visual-text-xml
103	∗h₁yeh₁-	visual-text-xml
103	yaṣ	visual-text-xml
103	∗h₁´-hı	visual-text-xml
103	₁yeh₁-ti	visual-text-xml
103	∗῎ῑjητι	visual-text-xml
103	῞ῑησι	visual-text-xml
103	ἡκ-	visual-text-xml
103	ἑ-	visual-text-xml
103	∗h₁	visual-text-xml
103	∗nı´-h₁ih₁k-ah₂	visual-text-xml
103	νί̄κᾱ	visual-text-xml
103	νῑ́κη	visual-text-xml
103	∗-k-	visual-text-xml
103	∗h₁ey-	visual-text-xml
103	∗é	visual-text-xml
103	h₁yend	visual-text-xml
103	∗h₁ité	visual-text-xml
103	itʰá	visual-text-xml
103	ἴτε	visual-text-xml
103	εἶσι	visual-text-xml
104	∗i	visual-text-xml
104	ἰαύɛ¯ν	visual-text-xml
104	∗h₂	visual-text-xml
104	ιχανάᾱι	visual-text-xml
104	ιhate	visual-text-xml
104	Gāthā-Avestan	visual-text-xml
104	iziiā	visual-text-xml
104	∗Hi-Hǵʰ-	visual-text-xml
104	∗Hi-Hiǵʰ-	visual-text-xml
104	∗h₁	visual-text-xml
104	χήν	visual-text-xml
104	ἰθαρ	visual-text-xml
104	ωτεροι´	visual-text-xml
104	αἴθɛ¯ν	visual-text-xml
104	∗h	visual-text-xml
104	∗i-	visual-text-xml
104	āri	visual-text-xml
104	∗áy-or	visual-text-xml
104	∗i-néw-ti	visual-text-xml
104	ιος´	visual-text-xml
104	∗ἰhϝος,´	visual-text-xml
104	ṣus	visual-text-xml
104	λʋ	visual-text-xml
104	ἱερος´	visual-text-xml
104	iṣirás	visual-text-xml
104	ἱαρος,´	visual-text-xml
104	ἶρος	visual-text-xml
104	∗(H)eys-	visual-text-xml
104	οἴᾱξ	visual-text-xml
104	īṣa	visual-text-xml
104	∗h₂i	visual-text-xml
104	ἱμάντ-	visual-text-xml
104	ἱμάς	visual-text-xml
104	∗sh₂i-	visual-text-xml
104	ishāi	visual-text-xml
104	syáti)—unless	visual-text-xml
104	∗u	visual-text-xml
104	∗h₁wéru-	visual-text-xml
104	∗h₁uréw-	visual-text-xml
104	∗h₁urús	visual-text-xml
104	urús	visual-text-xml
104	εὐρύς	visual-text-xml
104	∗h₁wer-	visual-text-xml
104	várīyān	visual-text-xml
104	váriṣṭʰas	visual-text-xml
104	∗h₂udáh₂	visual-text-xml
104	αὐδή	visual-text-xml
104	∗h₂wed-	visual-text-xml
104	vádati	visual-text-xml
105	ἰαύɛ¯ν	visual-text-xml
105	∗h₂´-hı	visual-text-xml
105	₂us-e/o-	visual-text-xml
105	∗h₂	visual-text-xml
105	∗a	visual-text-xml
105	ἰ-	visual-text-xml
105	∗h₂us-	visual-text-xml
105	αὐh-	visual-text-xml
105	∗h₂u̯	visual-text-xml
105	∗Hu-	visual-text-xml
105	Vὐ-	visual-text-xml
105	∗/Hew-/	visual-text-xml
105	uṣā́	visual-text-xml
105	∗h₂usṓs	visual-text-xml
105	∗awsṓs	visual-text-xml
105	∗ἀϝh	visual-text-xml
105	ως´	visual-text-xml
105	∗hαϝh	visual-text-xml
105	∗hαϝϝ	visual-text-xml
105	αὔως	visual-text-xml
105	ἄϝϝως	visual-text-xml
105	ᾱ̔	visual-text-xml
105	´ως	visual-text-xml
105	∗ἡ	visual-text-xml
105	∗ἑ	visual-text-xml
105	ἕως	visual-text-xml
105	ō-vowel	visual-text-xml
105	∗h₂áwsōs	visual-text-xml
105	λειμ	visual-text-xml
105	ων´	visual-text-xml
105	∗h₂aw-	visual-text-xml
105	∗h₂u-	visual-text-xml
105	ἀέξειν	visual-text-xml
105	∗h₂weg-s-	visual-text-xml
105	ἀϝεξ-	visual-text-xml
105	vakṣáyati	visual-text-xml
106	αὔξɛ¯ν	visual-text-xml
106	αὐξάνɛ¯ν	visual-text-xml
106	∗h₂ug-s-	visual-text-xml
106	∗h₂weg-	visual-text-xml
106	ójas	visual-text-xml
106	∗h₂áwg-es-	visual-text-xml
106	ugrás	visual-text-xml
106	∗h₂ug-rós	visual-text-xml
106	αὔξειν	visual-text-xml
106	∗h₂áwg-s-.³	visual-text-xml
106	∗Hu-	visual-text-xml
106	Vυ-	visual-text-xml
106	∗u	visual-text-xml
106	gʷráh	visual-text-xml
106	~₂	visual-text-xml
106	rʷ	visual-text-xml
106	h₂áw-	visual-text-xml
106	gʷr	visual-text-xml
106	h₂ús	visual-text-xml
106	gurús	visual-text-xml
106	kaúrus	visual-text-xml
106	βαρύς	visual-text-xml
106	∗pláth₂u-	visual-text-xml
106	∗plth₂áw-	visual-text-xml
106	∗plth	visual-text-xml
106	ús₂	visual-text-xml
