category_type	code	label	definition
typological	RT	root isogloss	Uniquely shared roots attested in Celtic and Germanic with dissimilar suffixes or nonidentical ablaut patterns.
typological	MO	morphological isogloss	Uniquely shared formations whose roots are identifiable through cognates in at least one other Indo-European branch.
typological	SM	semantic isogloss	Formations found in at least one other Indo-European branch, but with a uniquely shared meaning in Celtic and Germanic.
typological	LX	lexical isogloss	Uniquely shared but otherwise etymologically isolated lexemes with no demonstrable derivational structure.
interpretive	IE	Indo-Europeanism	Etymologically nonisolated, but derivationally isolated isogloss.
interpretive	IE(?)	possible Indo-Europeanism / semantic isolation	Derivationally nonisolated, but semantically isolated isogloss.
interpretive	IE?	uncertain Indo-Europeanism	Etymologically isolated isogloss that does not violate PIE phonotactics.
interpretive	L	undefined loan	Loanword that may belong to a more specific loan category but cannot be assigned securely.
interpretive	3L	third-party loan	Loanword from an unknown source, e.g. substrate word or Wanderwort.
interpretive	ML	mutual loan	Loanword originating in Celtic or Germanic where direction of borrowing cannot be established.
interpretive	CGL	Celtic-to-Germanic loan	Loanword direction interpreted as Celtic to Germanic.
interpretive	GCL	Germanic-to-Celtic loan	Loanword direction interpreted as Germanic to Celtic.
