headword	status	pc_form	pg_form	references	isogloss_typology	interpretation	interpretation_category	stratum	notes	page_anchor
AXE	compelling	*beiatli- (OIr. bíail, W bwyall, MCo. boell, MB bouhazl ‘axe’	*bīþla- (ON bíldr ‘knife for bloodletting’, MDu. bijl, OHG bīhal ‘axe’)	EDPG 66, Ko9	SM	IE(?) (0)	IE(?)	0	An instrumental noun to the PIE verbal root *bʰeiH- ‘to strike’, cf. OIr. benaid ‘to strike, hit’, MB benaff ‘to cut’ < *bʰi-neH-, OCS biti ‘to beat’, Icel. bjá ‘to fight, struggle’ < *bʰ(e)iH-. This formation is rather trivial and shared with Slavic *bidlo ‘hammer, pole’, which makes the isogloss formally nonexclusive, but the specific meaning ‘knife, axe’ is uniquely CG. Borrowing between the branches can be excluded given the vocalization of the laryngeal in C as opposed to G.	page:21
BADGER	compelling	*tazgo-, *tasko- (MIr. PN Tadg (king with badger as totem), Gaul. PN Tascos, Fr. dial. taisse, Sp. tejón ‘badger’)	*þahsu- (MDu. das, MHG dahs ‘badger’)	EDPC 372, EDPG 531	LX	3L (I-II)	3L	I-II	A CG *tasC- may be reconstructed; the multiple reflexes of medial consonant cluster in *-sk-/-zg-/-ks- may point to a substrate borrowing; a dissimilation against the initial *t- in Goidelic proposed by EDPC is ad hoc.	page:21
BADGER(HOUND)	compelling	*brokko- (MIr. brocc, W broch, MB broc’h, OCo. broch ‘badger’)	*brakkan- (OHG bracko ‘hound’)	IEW 108-109, EDPC 80, EDPG 74	LX	CGL (III)	CGL	III	The n-stem in Germanic may be understood as an agent suffix, so the original meaning in Germanic appears to have been ‘badger-er, badger-hound’, which is paralleled by German Dachshund, lit. ‘badger-dog’. If the Germanic word was borrowed from Celtic, it may have happened after the major consonant shifts, but before the change *o > *a.	page:21
BOY	compelling	*magu- (OIr. mug ‘slave, servant’, W meu-dwy ‘hermit < servant of God’, MCorn. maw ‘lad’, B mau ‘happy, active’)	*magu- (Go. magus ‘boy’, OE magu ‘child, son’)	L259, Kr135–136, Boutkan 2003, EDPC 274, H39, EDPG 347, Panaino 2016, Ko13	MO	GCL (III)	GCL	III	A Celto-Germanic *magʰ-u- may be reconstructed. Prim. Ir. MAQQI, OIr. macc ‘son, boy’ and W, B, Co. map, mab ‘son’ may be related, although the root-final consonant differs; they project back to PC *makkʷo- and *makʷo-/*maggʷo-, respectively. The combination of matching semantics and differing root-final consonants might be indicative of borrowing from a substrate language. However, in view of PG *mag-aþi- ‘girl’ (Go. magaþs, OE mæg(e)ð, OHG magad) the u-stem appears to have been created in G, and therefore native in this branch. OIr. maccdacht ‘young full-grown’, OCo. mahtheid ‘virgo’, W machdaith, B matez ‘servant-girl’ are unrelated; the OIr. consists of macc ‘son, boy’ derived with adjectivalizing -dae and the abstract suffix -acht, while the Brittonic forms are rather compounds of PC *makko- ‘surety’ and *tixtā ‘(female) who travels’, cf. OIr. techt ‘messenger’. The Av. hapax maɣava- ‘unmarried’ is corrupt.	page:21
BREAST(PLATE)	compelling	*brunnio- (OIr. bruinne ‘breast’, W brynn ‘hill’)	*brunjōn- (Go. brunjo ‘breastplate’, ON brynja, OE byrne, OS brunnia, OHG brunja ‘coat of mail’)	L264, EDPG 80	MO	CGL (III)	CGL	III	The Celtic is from PIE *bʰrus-n-io- and borrowing into Germanic must follow PIE *-sn- > -nn- in Celtic. Internally in Celtic, it is derived from PC *brusū > OIr. brú, gen.sg. *brus-n-os > *brunnos > OIr. bronn ‘belly, womb’. For the mismatch between C -nn- and Germanic -n-, cf. PC *grannoand PG *granō-.	page:21
BREECHES	compelling	*brākā (Gallo-Lat. brācae, brācēs, Gallo-Gr. pl. βράκας ‘trousers, breeches’)	*brōk- (ON brōk ‘leg of a pair of breeches’, pl. brœkr ‘breeches’, OE brōc ‘behind, breech’, OFri. brēk OHG bruoh ‘trousers’)	L264, Kr141, Pl284, Schm143, Stifter 2009 275-277, Kroonen 2012, EDPG 74	LX	L (III)	L	III	The consonantism suggests borrowing after Grimm’s law, although the direction of the borrowing is difficult to establish. Early loanwords are sometimes borrowed as root nouns in G, which may tip the balance in favor of a C origin. The word is unattested in Insular Celtic, however.	page:22
BRISTLE	compelling	*granno- (MIr. grenn, MW grann ‘beard, chin, cheek’, Provençal gren ‘mustache’ < Gaul.)	*granō- (Go. (Isidor, Origines XIX.23.7) granos ‘?’, ON grǫn ‘hair of the beard; spruce’, OE granu ‘mustache’, OHG grana ‘hair of the beard’)	IEW 440, H91	LX	CGL (III)	CGL	III	An almost complete formal and semantic match. Celtic and Germanic only differ in the length of the nasal, which could be a feature of borrowing, cf. PC *brunnio- >> PG *brunjō-‘breast plate’ after the C change *-sn- > *-nn- and the PG sound shifts.	page:22
CLOVER	compelling	*semmVr- (OIr. semar ‘clover, shamrock’)	*smēran- (Icel. smári ‘clover’), *smērjōn- (Icel., Far. smæra, Nw., Da. smære, Sw. dial. smäre ‘clover’)	Schrijver 1997, 304, EDPG 457	LX	3L (I)	3L	I	A single CG proto-form cannot be reconstructed, but the precise semantic match and the identical consonantal skeleton nevertheless make a connection compelling. The variation in vowel placement between Celtic *sVm- and Germanic *smV-r requires an explanation. In Proto-Indo-European terms a doublet can be reconstructed as *semh1-r- vs *smeh1-r-, but the implied Schwebeablaut remains problematic, which makes this isogloss a candidate for a shared loan from a third language. A root *smh1r bears a remarkable resemblance to Georgian sam-q’ura, which synchronically can be analyzed as a compound of sam ‘three’ + q’ur ‘ear, handle’ (cf. Lat. trifolium ‘three-leaf’). This resemblance, however, may be coincidental.	page:22
COAL	compelling	*goulo- (MIr. gúal ‘coal’)	*kula- (ON kol, OE col, OHG kol ‘coal’)	L252, EDPC 165, H93, EDPG 309, Stifter 2018, Ko8	SM	IE(?) (0)	IE(?)	0	Both the C and G formations can be related to the PIE root *ǵuelH- ‘to burn’, cf. Skt jválati ‘burns’, but they uniquely show the meaning ‘coal’. The Celtic vocalism is unexpected, but may represent a secondary full grade. Stifter, on the other hand, suggests a reduplicated formation PC *guglo- or *goglo- from the root *gʰleh3- ‘to glow’, which is incompatible with PG *kula-.	page:22
COPSE	compelling	*kʷresti(o)- (W prys(g) ‘copse, grove’ (>> ScG preas ‘bush, shrub, thicket’))	*h(w)ursti- (OE hyrst, OS hyrst, OHG hurst ‘crest, copse’)	IEW 633, EDPC 181	LX	3L (I-II)	3L	I-II	A CG *kʷr(e)sti- may be posited. If the PSl. *xvorstъ, OCS xvrastĳe, Ru. xvórost ‘brushwood, bush’ is somehow connected, it would be a non-Indo-European loanword with a wider distribution than just Celtic and Germanic. A further connection may exist within Celtic: PC *kʷrenno- < *kʷres-no-(?), cf. Gaul. prenne, OIr. crann, W, B prenn, Co. pren ‘tree, wood’.	page:22
