author	year	entry_text	pdf_page
Adams, Douglas Q.	1985a	Sanskritρύπιση, Latin ^pubes, and related words. Die Sprache 31, 1-16.	708
	1985b	Latin mas and masturbari. Glotta 63,241-247,	708
		1997	708
Adams, J.N.		1992 The origin and meaning of Lat. veterimts, veterinarius. ZF 97, 70-95.	708
Adiego Lajara, Ignacio-Javier		2001 Osco TRIBUF PLIFRIKS. Glotta 77, 1-6.	708
Adrados, Francisco		2007 Must we again postulate a unitary and uniform Indo-European? IF 112, 1-25.	708
Andre, Jacques		1984 Lat vesica. Revue de Thilologie, de Litterature et d'Histoire Anciennes 58, 175-179.	708
Bader, Fran^oise		1962	708
La formation des composes nominaux du latin. Paris: Belles Lettres.		1983	708
Hommages a Jean Cousin: rencontres avec VAntiquite classique, ed. L.		Lerat, Paris: Les Belles Lettres, 27-60,	708
Baldi, Philip		1999	708
Balles, Irene		1999 Lateinisch sanguis £Blut\ In: Eichner / Luschutzky 1999,3-17.	708
Bammesberger, Alfred		1980 Zur Bildungsweise des indogermanischen Kausativs. ZVS 94,4-9.	708
		1990 Lateinisch finis und urgerrnanisch *baina-. HS 103,264-268.	708
		2003 Review of: Hill 2003. HS 116,314-317.	708
Bartalucci, Aldo		1963	708
I desiderativi in -esso. Rendiconti Accademia dei Lincei. Scienze morali,		storiche efilologiche 18,345-372.	708
Bartholomae, Christian		1904	708
Barton, Charles		1987 Greek ΕϋΡΩ, Latin sew, Armenian yerum. AJPh 108, 672-674.	708
Beckwith, Miles		2005 Volscian sistiatiens and the Oscan -«- perfect. //5118, 145459.	709
Beekes, Robert		1969	709
Hague - Paris: Mouton.		1972 H2o. Die Sprache 18,117-131.	709
		1975	709
Two notes on PIE stems in dentals. In: Flexion und Wortbildimg: Akten der		Fochtagung der indogermanischen Gesellschaft Regensburg, 9-14 September 1973, ed. H. Rix, Wiesbaden: Reichert, 9-14.	709
		1976 Uncle and Nephew, J1ES 4,43-63.	709
		1984 PIE'sun'. MSS, 43 5-8.	709
	1987a	The PIE words for 'name' and 4me\ Die Sprache 33, 1-6.	709
	1987b	On Indo-European 'wine*. MSS 48, 21-26.	709
		1989 Review of: Nussbaum 1986. Kratylos 34, 55-59.	709
		1990 Bloem en blad. In: 700 jaar etymologisch woordenboek van het Nederlands. 's-Gravenhage, 1990, eds. A. Moerdijk, W. Pijnenburg and P. van Sterkenburg, 375-382.	709
		1992 Widow. HS105, 17M87.	709
		1994 cRight', 'left' and 'naked' in Proto-Indo-European. Orbis 37, 87-96.	709
		1995	709
Comparative Indo-European Linguistics. Amsterdam - Philadelphia: Benjamins.		1996 Ancient European loanwords. HS 109, 215-236.	709
		1998 The origin of Lat aqua, and of *teuta 'people'. JIES 26,459-466.	709
		1999 The Greek word for 'lead', MSS 59, 7-14.	709
		2003 Historical Phonology of Classical Armenian. In: Kortlandt 2003, 133-211.	709
		2004	709
Armenian giser and the Indo-European word for 'evening'. In: Hyllested et		al. 2004, 59-62.	709
		fthc:	709
Benedetti, Marina		1988	709
Benediktsson, Hreinn		1960 The vowel syncope in Oscan-Umbrian. NTS 19, 157-295.	709
Benveniste, Emile		1931 Trois etymologies latines. BSL 32, 68-85.	709
		1951	709
Sur Thistoire du mot latin negotium. Annali della Scuola Normale		Superiore di Pisa. Lettere, storia efilosofia, Serie II - Vol. 20,21-25.	709
		1962	709
Hittite et indo-europeen: etudes comparatives. Paris: Maisonneuve.		1969 'Le vocabulaire des institutions indo-europeennes. Two volumes. Paris: Les editions de minuit	709
Berenguer Sanchez, Jose and Eugenio Lujan Martinez		2004	709
La nueva inscripcion falisca de Cavios Frenaios. Zeitschrift fur		Papyrologie undEpigraphik 149, 213-226.	709
Bettini, Maurizio		2000 The origin of Latin mustela. Glotta 76, 1-19.	710
Biville, Frederique		1990	710
Les emprunts du latin au grec. Approche phonetique. Tome I: Introduction et		consonantisme, Tome II: Vocalistne et conclusions. Louvain - Paris: Peeters.	710
Boutkan, Dirk and Sjoerd Siebinga		2005	710
Boutkan, Dirk and Maarten Kossmann		1999 Some Berber parallels of European substratum words. JIES 27, 87-100.	710
Bracchi, Remo		1999	710
"Turdus e i suoi corrispondenti: Tuccello ""che cova nel fango inaridito""."		Athenaeum 87, 79-92.	710
Brachet, Jean-Paul		1999 Latin proelium: poetique et etymologic HS 112,286-298.	710
Breal, Maurice		1894	710
Etymologies latines et grecques. Memoires de la Societe de Linguistique de		Paris 8,45-52 [8. La preposition AB devenue AF et A, p. 48-49]	710
Breyer, Gertraud		1993	710
Etruskisches Sprachgut im Lateinischen unter Ausschluss des spezifisch		onomastischen Bereichs = Orientalia Lovaniensia Analecta 53- Leuven:	710
Briquel, Dominique		1999	710
Les emprunts du latin a Petrusque: Tapproche de la question chez les		auteurs anciens. Studi Etruschi 63,291-313.	710
Campanile, Enrico		1969	710
Studia classica et orientalia Antonino Pagliaro oblata, vol. I, eds. V.		Abaev et aL, 293-322.	710
Chanut, Pierre-Yves		"1980 Les ""tesca"" du capitole. Revue de Philologie 54,295-304."	710
Cheung, J.		2002	710
Reichert		2007	710
