entry_id	pdf_page_start	entry_heading	field	flags	sample
1	33	O. aapam [acc.sg.], aapas [gen.sg. or acc.pl.]	proto_italic	contains-greek	*φα- [f.].
1	33	O. aapam [acc.sg.], aapas [gen.sg. or acc.pl.]	pie	contains-laryngeal	*h₂ep-s [nom.sg.], *h₂ep-, *h₂p- * water' [f.]. [
1	33	O. aapam [acc.sg.], aapas [gen.sg. or acc.pl.]	ie_cognates	contains-laryngeal	Skt. ap-/ap- ' water' [f.], dvipa- 'island' [n./m.] < *dui-Hpa- 'having water on two sides', A v. ap-/ap- [f.] 'water', YAv. duuaepa- [m.] 'island', OP op- [f.] 'water' < Ilr. *Hap-, *Hap-; OPr. ape, Lith. iipe [f.], Latv. upe 'river, brook'; ToAB ap [f.] 'water, river, stream5. In theory, O. -p- could correspond with -qu- in Lat. aqua 'water'; but in view of long initial /a-/ in Oscan, it seems p
2	34	ab, abs, as-, ā-, af-, au-	proto_italic	contains-greek	*ap(V), *aps 'away, off. *ap would have been replaced by *aps only in front of dentals. It is therefore conceivable that a- in front of voiced labials goes back to s-less *ab-. The variants af* and au- suggest that this *ab- underwent a dissimilatory lenition to *αβ- before the labial consonant, with subsequent simplification of the consonants and vowel lengthening. The variant au- is usually rega
2	34	ab, abs, as-, ā-, af-, au-	pie	contains-greek;contains-laryngeal	*h₂ep-. */?^w 'away, off. However, preverbial au- replaces ah- 'away' only before two verbs i n / . Usually, it is said that *aw- was retained for the purpose of avoiding confusion between ad- and ab~ in front of/, but this is more than questionable: ah- and au- would have coexisted for a while with the same meaning, and au- would have been lost without a trace except in front off-. The complement
2	34	ab, abs, as-, ā-, af-, au-	ie_cognates	contains-greek	Skt. άρα 'away, off, apa- 'without', Av. apa-, OP apa- 'away, from' Gr. άπό, απο 'far (from), away (from)', αψ 'back, again', Latv. ap 'beneath', Go. af, af- 'from, since'. Latin ab and af-go back to an s-less preform. Ab is explained by Leumann 1977 from voicing in front of a voiced stop, e.g. in abdere, obducere, sub divo. The original locus of af was in front of /- and v- followed by a back-vow
4	34	Abella	pie	contains-laryngeal	*h₂b-e/ol- would yield Abella by regular phonetic development. The name of the 'apple tree' can be reconstructed as *h₂(e)b-oLn- on the basis of Celtic and BSL cognates, but the outcome of
5	35	abies, -etis	proto_italic	contains-greek	*abiSts (nom,sg,), *abiet- (obi,), Lat, abies resembles Gr, αβιν (acc.sg.) 'fir-tree' (Hsch,) < *abi-. For the formation, compare Lat. paries 'wall' and Lat. aries 'ram\ The fact that *abi- is confined to the Mediterranean, and the extreme rareness of the phoneme *fc in PIE, point to a non-Indo-European origin. Moreover, it is uncertain that δβιν is Greek.
6	35	aboleō	italic_cognates	contains-laryngeal	maybe U. holtu ' ? ' (cursing an enemy while praying) [3s.ipv.II], if from *olatod< *h₃elhrtod.
6	35	aboleō	pie	contains-laryngeal	*h₃olhi-eie- 'to bring down'
