index_section,index_term,page_refs,pdf_page,printed_page,raw_chunk,flags
Latvian,.,1,737,,.1,
Latin,abl,947,739,725,abl947,
Latin,abarcere,51,739,725,abarcere 51,
Latin,abdicare,169,739,725,abdicare 169,
Latin,abdomen,20,739,725,abdomen 20,
Latin,abducere,181,739,725,abducere 181,
Latin,Abella,20,739,725,Abella 20,
Latin,abellanus,20,739,725,abellanus 20,
Latin,aberrare,194,739,725,aberrare 194,
Latin,abesse,599,739,725,abesse 599,
Latin,abhibere,277,739,725,abhibere 277,
Latin,abhorrere,290,739,725,abhorrere 290,
Latin,abicere,293,739,725,abicere 293,
Latin,abiectum,293,739,725,abiectum 293,
Latin,abies,20,739,725,abies 20,
Latin,abigere,30,739,725,abigere 30,
Latin,abire,191,739,725,abire 191,
Latin,abitio,191,739,725,abitio 191,
Latin,abitus,191,739,725,abitus 191,
Latin,abiugare,314,739,725,abiugare314,
Latin,abiurare,316,739,725,abiurare316,
Latin,ablaqueare,327,739,725,ablaqueare 327,
Latin,ablegare,337,739,725,ablegare 337,
Latin,ablegmina,332,739,725,ablegmina 332,
Latin,abluere,330,739,725,abluere 330,
Latin,ablm,330,739,725,ablm330,
Latin,ablutum,330,739,725,ablutum 330,
Latin,abluvium,330,739,725,abluvium 330,
Latin,abnuere,419,739,725,abnuere419,
Latin,abnuere,419,739,725,abnuere419,
Latin,abnutare,419,739,725,abnutare419,
Latin,aboleS,21,739,725,aboleS21,ocr-risk
Latin,aborigines,434,739,725,aborigines 434,
Latin,aborin,434,739,725,aborin434,
Latin,aborTscere,434,739,725,aborTscere 434,
Latin,abortare,434,739,725,abortare 434,
Latin,abortio,434,739,725,abortio 434,
Latin,abortus,434,739,725,abortus 434,
Latin,abradere,512,739,725,abradere512,
Latin,abripere,513,739,725,abripere513,
Latin,aWodere,526,739,725,aWodere 526,
Latin,abrogate,526,739,725,abrogate 526,
Latin,abrumpere,529,739,725,abrumpere 529,
Latin,dere,103,739,725,dere 103,
Latin,idere,79,739,725,idere 79,
