entry_id	pdf_page_start	printed_page_start	entry_heading	latin_headword	entry_text	glosses	grammar	dating	derivatives	proto_italic	italic_cognates	pie	ie_cognates	bibliography	verification_flags	needs_page_image_verification	collation_priority	eleventh_pass_status
1	33	17 -->	O. aapam [acc.sg.], aapas [gen.sg. or acc.pl.]	aapam	O. aapam [acc.sg.], aapas [gen.sg. or acc.pl.] 'water', 'water basin' vel sim. (inscriptions on water-basins).	water; water basin	acc.sg.; gen.sg. or acc.pl.	inscriptions on water-basins		*φα- [f.].		*h₂ep-s [nom.sg.], *h₂ep-, *h₂p- * water' [f.]. [	Skt. ap-/ap- ' water' [f.], dvipa- 'island' [n./m.] < *dui-Hpa- 'having water on two sides', A v. ap-/ap- [f.] 'water', YAv. duuaepa- [m.] 'island', OP op- [f.] 'water' < Ilr. *Hap-, *Hap-; OPr. ape, Lith. iipe [f.], Latv. upe 'river, brook'; ToAB ap [f.] 'water, river, stream5. In theory, O. -p- could correspond with -qu- in Lat. aqua 'water'; but in view of long initial /a-/ in Oscan, it seems preferable to derive it from *h₂ep- 'water' as attested in Ilr., Baltic and Tocharian.	IEW 1135f.t EIEC 636, Untermann 2000: 42f. → amnis	proto_italic:greek;pie:laryngeal;ie_cognates:laryngeal	yes	2-medium	carried-forward-worklist
2	34	20	ab, abs, as-, ā-, af-, au-	ab	ab, abs, as-, ā-, af-, au- 'from; off, away' [prep.; prev.] (Elog.Scip., Naev.-l·) In compounds: ab- before vowels, h-, voiced dentals (Ϊ-, dr, /-, «-, r-) and s- (pronounced ap-s-); a- before voiced labials (e.g. amoved, afluo, avello, abito); abs- before voiceless stops: aspello, asportare^ aspernarT, abstined, abstuti, abstraho, abs te, abscedo; au- only in aufero 'to carry away' (Pl.+), aufugio 'to run away5 (Pl.+). The distribution of the simplex ab, abs, a follows the same rules as above, except that abs is rare, and we usually find a in front of stops and s.	from; off, away; to carry away	prep.; prev.	Elog.Scip., Naev.-l·; Ϊ-, dr, /-, «-, r-; pronounced ap-s-; e.g. amoved, afluo, avello, abito; Pl.+; Pl.+		*ap(V), *aps 'away, off. *ap would have been replaced by *aps only in front of dentals. It is therefore conceivable that a- in front of voiced labials goes back to s-less *ab-. The variants af* and au- suggest that this *ab- underwent a dissimilatory lenition to *αβ- before the labial consonant, with subsequent simplification of the consonants and vowel lengthening. The variant au- is usually regarded as identical with the first element au- in aut and autem from	U, ap-ehtre 'from outside'. Pael. O. af- 'away, off in cp. (uncertain).	*h₂ep-. */?^w 'away, off. However, preverbial au- replaces ah- 'away' only before two verbs i n / . Usually, it is said that *aw- was retained for the purpose of avoiding confusion between ad- and ab~ in front of/, but this is more than questionable: ah- and au- would have coexisted for a while with the same meaning, and au- would have been lost without a trace except in front off-. The complementary distribution is conspicuous, and suggests that au- developed out of ab-. In view of Vine's demonstration that qfwas probably pronounced as [ap], it is likely that au- was the regular outcome of [ap] in front off-. The explanation of au- as regular from *ab goes back at least to Breal 1894, Younger formations such as ά-fin and α-fore to abesse form no counter-argument, since a- was productive in front of labials.	Skt. άρα 'away, off, apa- 'without', Av. apa-, OP apa- 'away, from' Gr. άπό, απο 'far (from), away (from)', αψ 'back, again', Latv. ap 'beneath', Go. af, af- 'from, since'. Latin ab and af-go back to an s-less preform. Ab is explained by Leumann 1977 from voicing in front of a voiced stop, e.g. in abdere, obducere, sub divo. The original locus of af was in front of /- and v- followed by a back-vowel; this implies that the bilabial stop was assimilated to the following labial(ized) continuant, and qfwas probably pronounced as [ap]; thus Vine 1993: 188. By the time of Cicero, qfwas considered to be archaic, and used only sporadically in account books. The form abs is probably a Latin or Italic creation on the model of ec vs. ex; it might also be compared with Gr. δψ. Its occurrence in front of pj,c is understandable, but not its occurrence (surfacing as a-) in front of voiced labials as opposed to ab- before voiced dentals. It is unlikely that	WH I: If, 79, EM 1f., 55, IEW 53f„ 72f, Leumann 1940: 8, 1977: 157f,, 561, Schrijver 1991: 46,122, Vine 1993: 175-189, Untermann 2000: 56f„ de Vaan fthc. → aperio, apex, po	proto_italic:greek;pie:greek;pie:laryngeal;ie_cognates:greek;pie:may-include-discussion;ie_cognates:may-include-discussion	yes	2-medium	carried-forward-worklist
3	34	20	abdomen, -inis	abdomen	abdomen, -inis 'the fat lower part of the belly, paunch, abdomen' [n, ri\ (Pl.+; originally said of pigs) It has been suggested that abdomen derives from the verb abdere 'to conceal' as *ap- ctohi-mn, since abdomen would originally mean 'hidden part'. The latter assumption is unfounded, however. The Germanic cognates which are adduced by WH (OHG intuoma, MLG ingedome 'intestines; furniture*) may rather have been derived from the verb 'to do' within Germanic, Thus, the origin of abdomen remains unclear,	the fat lower part of the belly, paunch, abdomen; to conceal; hidden part; intestines; furniture*) may rather have been derived from the verb		Pl.+; originally said of pigs; OHG intuoma, MLG ingedome 'intestines; furniture*						WH I: 3, EM 3, IEW 235ff, Leumann 1977: 370, Schrijver 1991: 147,		no	4-unflagged	not-flagged-by-worklist
4	34	20	Abella	Abella	Abella 'Town in Campania (near Nola)' [f, a] (Verg>)	Town in Campania (near Nola)	f, a	near Nola; Verg>	abellanus [adj,] in nux abellanus 'hazelnut' (Cato+),	*-//?- in Oscan is unknown,	O. abellanus 'inhabitants of Abella\ [adj, nom,pl,m,]. According to Virgil, the town of Abella abounded in fruit-trees (apple, nuts), EM and WH agree on the fact that Abella contains the 'apple' etymon, but this is very uncertain. It is a place-name, and its original meaning is unknown. The town was also known for other fruits than apples: nux abellanus 'hazelnut' (lit. 'nut from Abella'), Furthermore, it is uncertain how	*h₂b-e/ol- would yield Abella by regular phonetic development. The name of the 'apple tree' can be reconstructed as *h₂(e)b-oLn- on the basis of Celtic and BSL cognates, but the outcome of		WH I: 3, EM 3, IEW lf„ Hamp 1988: 158,	pie:laryngeal;pie:may-include-discussion	yes	2-medium	carried-forward-worklist
5	35	21	abies, -etis	abies	abies, -etis 'fir-tree' [f, /] (Pl.+)	fir-tree	f, /	Pl.+		*abiSts (nom,sg,), *abiet- (obi,), Lat, abies resembles Gr, αβιν (acc.sg.) 'fir-tree' (Hsch,) < *abi-. For the formation, compare Lat. paries 'wall' and Lat. aries 'ram\ The fact that *abi- is confined to the Mediterranean, and the extreme rareness of the phoneme *fc in PIE, point to a non-Indo-European origin. Moreover, it is uncertain that δβιν is Greek.				WH I: 4, EM 3, IEW If.	proto_italic:greek	yes	3-low	carried-forward-worklist
6	35	21	aboleō	aboleō	aboleo 'to destroy; banish; abolish* [v. 11; pf. abolevi, ppp. aboliturn] (Col.+)		v. 11; pf. abolevi, ppp. aboliturn	Col.+		*<?/-£-.	maybe U. holtu ' ? ' (cursing an enemy while praying) [3s.ipv.II], if from *olatod< *h₃elhrtod.	*h₃olhi-eie- 'to bring down'	see s.v. delere. WH and EM wonder whether aboleō might have been formed as antonym to adoleō 4 to grow up\ LIV assumes an origin as a causative *h₃olhreie- to the root of Gr. ολλυμι. This seems more likely to me. As Praust 2005 and Neri 2007: 31-33 have independently concluded, Latin aboleō and Gr. απόλλυμι may reflect the PIE combination *po + *h₃lh r with replacement of the preverb *po- by *h₁ep(o)-.	WH I: 4, EM 3f., IEW 26f., 777, Untermann 2000: 328, Meiser 2003: 139, LIV *h₃elh r . → deled	italic_cognates:laryngeal;pie:laryngeal;ie_cognates:greek;ie_cognates:laryngeal;bibliography:laryngeal;ie_cognates:may-include-discussion	yes	1-high	carried-forward-worklist
7	35	21	accipiter, -tris	accipiter	accipiter, -tris 'hawk' [m. (f. Lucr.) /?] (Pl.+)	hawk	m. (f. Lucr.) /?	f. Lucr.; Pl.+		*aku-petri- 'having swift/pointed wings'. It is generally assumed that accipiter contains acu- <		*HHku- 'swift' and -piter < *petro- or *petri- 'wing'; compare Gr. ώκύπτερος 'with swift wings* < *He/oHku-ptero-, ώκυπέτης and Skt. asu-patvan- 'flying swiftly', all of which are used as epithets to birds of prey. Initial ace- would be due to association with the verb Lat. accipere, whence also Lat. acceptor (Lucil.+) 'falcon'. Alternatively, accipitei could contain acu- 'sharp' and reflect a cp. 'with pointed wings*.		WH I: 6, EM 5, IEW 18ff., Beekes 1972: 126, → acu-, ocior,penna	pie:greek;pie:laryngeal	yes	2-medium	carried-forward-worklist
8	35	21	aceō	aceō	aceO 'to be acid, sour* [v. II] (Cato+)		v. II	Cato+	acetum 'sour wine, vinegar* (Pl.+), acetabulum 'vinegar container (Cato+); acidus 'acid, sour* (Pl.+); acor [m.] 'acid' (Col.+); acies [f.] 'sharp edge (Pl.+).	*akeje/o~.		*h₂ek-eh r 'to be sharp'	see s.v. acu-. The Latin verb has been derived from the PIE nominal root; its derivatives in Latin belong to a productive Latin system of derivation. The meaning and later attestation of acor suggest that it was derived from aced.	WH I: 6, EM 5f., IEW 18ff. → acer^ acu-, acusy occa, ocris	pie:laryngeal;ie_cognates:may-include-discussion	yes	2-medium	carried-forward-worklist
9	36	22	acer,-eris	acer	acer,-eris 'maple-tree' [n. r] (Ov.+)	maple-tree	n. r	Ov.+	acernus 'made of maple* (Verg.+).	*ak-er~.			OHG ahorn [m.] < PGm. *axurna-, ODan. cer, NHG Acher (dial. 'maple-tree* < PGm. *α/*>α→ The Latin tree can be connected with PGm. *axi/ur-, but further connections are uncertain. In Greek, we find tree-names with a similar form in άκαστος 'maple' (Hsch.) (from *δκαρ-στος?) and Gr, ακαρνα 'laurel-tree' (Hsch.)- This may well be a non-PIE tree name which was borrowed into Greek and Latin.	WH I: 6, EM 6, IEW 18ff,	ie_cognates:greek;ie_cognates:may-include-discussion	yes	2-medium	carried-forward-worklist
10	36	22	acer, -is, -e	acer	acer, -is, -e 'sharp' [adj. i] (Naev.+; acer [nom.sg.f.] Naev^ acris [nom.sg.m.] Enn.)	sharp	adj. i; nom.sg.f.; nom.sg.m.	Naev.+; acer [nom.sg.f.] Naev^ acris [nom.sg.m.] Enn.	acrimdma 'sharpness* (Naev.+); acritas 'force' (Ace); acritudo 'harshness* (Acc.+); acrufolius 'tree with prickly leaves, holly' (Cato).	*akri- 'sharp'.	O. akrid [ablsg.] 'sharply'.	*h₂ek-ro- 'sharp'.	Gr. άκρος 'highest, outermost', OLith, astras, Lith. astrits, Latv. ass, OCS ostrb, Ru. ostryj 'sharp' < BSL *asro-. As against the PIE o-stem, the /-stem of Latin may have been caused by analogy with the noun ocris and the adj. medi-ocris. Long a is unexplained, especially since the other derivatives of the root *h₂e£> in Latin all have short a-- Schrijver 1991: 134 suggests that *akris was made to the adj. *akro- 'sharp' (as in acerbus) on the model of sacer 'holy> versus sacris (PL, Cato) 'holy'.	WH I: 7, EM 5f., IEW 18ft:, Untermann 2000: 77. → aceo, occa, ocris	pie:laryngeal;ie_cognates:greek;ie_cognates:laryngeal;ie_cognates:may-include-discussion	yes	2-medium	carried-forward-worklist
