abbreviation	expansion	pdf_page
CGL		707
CIL		707
EIEC		707
EM		707
EWAia		707
IEW		707
LEIA		707
LIV		707
OLD		707
Paul, ex F.		707
TLL		707
WH		707
Corpus Glossariorum Latinorum		707
Corpus Inscriptionum Latinarum		707
Mallory-Adams 1997		707
Ernout-Meillet 1979		707
Mayrhofer 1986-2002		707
Pokorny 1959		707
Lexique Etymologique du VieiUlrlandais		707
Lexikon der indogermanischen Verben, 2, Auflage		707
Oxford Latin Dictionary		707
Paulus Diaconus: Excerpta ex Ubris Pompeii Festi de significatione		707
verborum		707
'■■ ·		707
■·		707
Thesaurus Linguae Latinae		707
■		707
Walde-Hoffinann 1930-1954		707
*		707
ABAG = Amsterdamer Beitrdge zur alteren GermanistiL·		707
AJPh = American Journal of Philology.		707
BSL = Bulletin de la Societe de Linguistique.		707
ECIEC — East Coast Indo-European Conference.		707
HS = Historische Sprachforschung.		707
HSCP = Harvard Studies in Classical Philology.		707
IBS = Innsbrucker Beitrdge zur Sprachwissenschafi.		707
IF = Indogermanische Forschungen.		707
IJDLLR = International Journal ofDiachronic Linguistics and, Linguistic Reconstruction.		707
JIES = Journal of Indo-European Studies.		707
MSS = Miinchener Studien zur Sprachwissenschqft.		707
NOWELE = North-Western European Language Evolution.		707
NTS = Norsk Tidsskrififor Sprogvidenskap.		707
ITS = Transactions of the Philological Society.		707
ZVS - Zeitschrifi fur Vergleichende Sprachforschung.		707
