table_number,table_title,formation,semantic_group,branch_or_language,form,gloss,entry,note
1,The root formation *dheh1-,*dheh1-,put,Hittite,tē-zi,speaks,Hit. tē-zi ‘speaks’,
1,The root formation *dheh1-,*dheh1-,put,Indo-Iranian,*dhaH-,aorist,IIr. aor. *dhaH-,
1,The root formation *dheh1-,*dheh1-,put,Greek,θηκε,put,Gr. θηκε,
1,The root formation *dheh1-,*dheh1-,put,Armenian,ed,he put,Arm. aor. ed ‘he put’,aorist
1,The root formation *dheh1-,*dheh1-,suck,Sanskrit,dhā́tave,to drink,Skt. dhā́tave ‘to drink’,
1,The root formation *dheh1-,*dheh1-,suck,Sanskrit,°dhā́-,sucking,Skt. °dhā́- ‘sucking’,
1,The root formation *dheh1-,*dheh1-,suck,Greek,θήσατο,sucked; made suck,"Gr. θήσατο ‘sucked’, ‘made suck’",
1,The root formation *dheh1-,*dheh1-,suck,Armenian,diem,suck,?Arm. diem ‘suck’,uncertain
1,The root formation *dheh1-,*dheh1-,suck,Latin,fēmina; fētus; fēcundus,lactate,"Lat. fēmina, fētus, fēcundus ‘lactate’",
1,The root formation *dheh1-,*dheh1-,suck,Germanic,*dēan,make suck,Gmc. *dēan ‘make suck’,
1,The root formation *dheh1-,*dheh1-,suck,Slavic,děti; děva,children; girl,"Slav. děti ‘children’, děva ‘girl’",
1,The root formation *dheh1-,*dheh1-,suck,Latvian,dêt,suck,Latv. dêt ‘suck’,
2,"Reduplicated *dhé-dhh1-, *dhi-dhéh1-",*dhé-dhh1-; *dhi-dhéh1-,put,Sanskrit; Old Avestan,dádhāti; dadāiti,put,"Skt. dádhāti, OAv. dadāiti",
2,"Reduplicated *dhé-dhh1-, *dhi-dhéh1-",*dhé-dhh1-; *dhi-dhéh1-,put,Greek,τιθήμι,put,Gr. τιθήμι,
2,"Reduplicated *dhé-dhh1-, *dhi-dhéh1-",*dhé-dhh1-; *dhi-dhéh1-,put,Latin; Oscan,-dō; -dere; -ffed,put; has erected,"Lat. -dō, -dere, O. -ffed",
2,"Reduplicated *dhé-dhh1-, *dhi-dhéh1-",*dhé-dhh1-; *dhi-dhéh1-,put,Lithuanian,dė́ti,lay; put,Lith. dė́ti,
2,"Reduplicated *dhé-dhh1-, *dhi-dhéh1-",*dhé-dhh1-; *dhi-dhéh1-,put,Old Church Slavic,děti,do; say,OCS děti,
2,"Reduplicated *dhé-dhh1-, *dhi-dhéh1-",*dhé-dhh1-; *dhi-dhéh1-,put,Tocharian,tā-,put,Toch. tā-,
