bib_id,cite_key,section,pdf_page_start,pdf_page_end,abbreviation,authors_raw,year,title,publication_or_container,urls,doi,pages,type_guess,parse_confidence,raw_reference
B0001,edil,electronic,433,433,EDIL,eDIL,2019,"An Electronic Dictionary of the Irish Language, based on the Contributions to a Dictionary of the Irish Language (Dublin: Royal Irish Academy, 1913-1976) (www.dil.ie)",,www.dil.ie,,,reference_work_or_database,medium,"[EDIL] eDIL. 2019. An Electronic Dictionary of the Irish Language, based on the Contributions to a Dictionary of the Irish Language (Dublin: Royal Irish Academy, 1913-1976) (www.dil.ie)."
B0002,ediana,electronic,433,433,eDiAna,Digital Philological-Etymological Dictionary of the Minor Ancient Anatolian Corpus Languages,,(https://www.ediana.gwi.uni-muenchen.de/index.php),,https://www.ediana.gwi.uni-muenchen.de/index.php,,,reference_work_or_database,low,[eDiAna] Digital Philological-Etymological Dictionary of the Minor Ancient Anatolian Corpus Languages. (https://www.ediana.gwi.uni-muenchen.de/index.php).
B0003,gpc,electronic,433,433,GPC,Geiriadur Prifysgol Cymru,,(https://welsh-dictionary.ac.uk/gpc/gpc.html),,https://welsh-dictionary.ac.uk/gpc/gpc.html,,,reference_work_or_database,low,[GPC] Geiriadur Prifysgol Cymru. (https://welsh-dictionary.ac.uk/gpc/gpc.html).
B0004,lkz,electronic,433,433,LKŽ,Lietuvių Kalbos Žodynas,,(http://www.lkz.lt/),,http://www.lkz.lt/,,,reference_work_or_database,low,[LKŽ] Lietuvių Kalbos Žodynas. (http://www.lkz.lt/).
B0005,navigais,electronic,433,433,NavigAIS,"Digital Database of Jaberg, K., Jakob Jud, and Paul Scheuermeier",1928,Sprach- und Sachatlas Italiens und der Südschweiz,(https://navigais-web.pd.istc.cnr.it/),https://navigais-web.pd.istc.cnr.it/,,,reference_work_or_database,medium,"[NavigAIS] Digital Database of Jaberg, K., Jakob Jud, and Paul Scheuermeier. 1928. Sprach- und Sachatlas Italiens und der Südschweiz. (https://navigais-web.pd.istc.cnr.it/)"
B0006,oed,electronic,433,433,OED,Oxford English Dictionary Online,,Oxford University Press,(https://www.oed.com/).,https://www.oed.com/,,,reference_work_or_database,low,[OED] Oxford English Dictionary Online. Oxford University Press. (https://www.oed.com/).
B0007,psd,electronic,433,433,PSD,The Pennsylvania Sumerian Dictionary. Completed,2006,(http://psd.museum.upenn.edu/nepsd-frame.html),,http://psd.museum.upenn.edu/nepsd-frame.html,,,reference_work_or_database,medium,[PSD] The Pennsylvania Sumerian Dictionary. Completed 2006. (http://psd.museum.upenn.edu/nepsd-frame.html).
B0008,tll,electronic,433,433,TLL,Thesaurus Linguae Latinae,,(https://tll.degruyter.com/),,https://tll.degruyter.com/,,,reference_work_or_database,low,[TLL] Thesaurus Linguae Latinae. (https://tll.degruyter.com/).
B0009,note-1852-1874,note,433,433,,Note on the journal KZ: This is the journal titled from,1852-1874,"Zeitschrift für vergleichende Sprachforschung auf dem Gebiete des Deutschen, Griechischen und Lateinischen, from 1877-1967 as Zeitschrift für vergleichende Sprachforschung auf dem Gebiete der Indogermanischen Sprachen, from 1968-1987 as Zeitschrift für vergleichende Sprachforschung, and from 1988 until now as Historische Sprachforschung",,,,,book_or_monograph,medium,"Note on the journal KZ: This is the journal titled from 1852-1874 Zeitschrift für vergleichende Sprachforschung auf dem Gebiete des Deutschen, Griechischen und Lateinischen, from 1877-1967 as Zeitschrift für vergleichende Sprachforschung auf dem Gebiete der Indogermanischen Sprachen, from 1968-1987 as Zeitschrift für vergleichende Sprachforschung, and from 1988 until now as Historische Sprachforschung."
B0010,abaev-1958-99,print,433,433,,"Abaev, Vasily I",1958-99,Istoriko-etimologicheskij slovar’ osetinskogo jazyka [Historical-Etymological Dictionary of the Ossetian language],Moscow/Leningrad: Russian Academy of Science.,,,,book_or_monograph,medium,"Abaev, Vasily I. 1958-99. Istoriko-etimologicheskij slovar’ osetinskogo jazyka [Historical-Etymological Dictionary of the Ossetian language]. Moscow/Leningrad: Russian Academy of Science."
