lookup_candidate_pass7	normalized_candidate_pass7	confidence_pass7	greek_nonlatin_class_pass7
(*	(*	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
(*1C	(*1C	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
(*äpyOfEV	(*äpyOfEV	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
*	*	medium-repaired	
*	*	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
"*!("")ōin"	"*!("")ōin"	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
"*!("")ūin"	"*!("")ūin"	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*!.Jed-	*!.Jed-	low	
*!.led-	*!.led-	low	
*!.ledor	*!.ledor	low	
*!IiH-ro-	*!IiH-ro-	low	
*!JTCS-	*!JTCS-	low	
*!cyon-	*!cyon-	low	
*!dey-men-	*!dey-men-	low	
*!dey-mo/en-	*!dey-mo/en-	low	
*!dey-mon-	?*!dey-mon-	low	
*!dey-mp-to-	*!dey-mp-to-	low	
*!diy-tor-	*!diy-tor-	low	
*!du-ti-	*!du-ti-	low	
*!du-tu-	*!du-tu-	low	
*!led-t5n-s	*!led-t5n-s	low	
*!lers-	*!lers-	low	
*!lers-isthp-	*!lers-isthp-	low	
*!lers-no-	(*!lers-no-	low	
*!lers-o-	?*!lers-o-	low	
*!loo-r(heth	*!loo-r(heth	low	
*!oJon-	*!oJon-	low	
*!oJtX.n	*!oJtX.n)	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*!qh/-os-von	*!qh/-os-von	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
"*""Erhebung"	"*""Erhebung"	source-layer	
"*""h₂f.1k-"	"*""h₂f.1k-"	medium-repaired	
*#0-	*#0-	low	
*#p-	*#p-	low	
*$Ok-dn-	*$Ok-dn-	low	
*$tlirto-	?*$tlirto-	low	
*&:ydv	*&:ydv	source-layer	
*(-)!deloy-tu-	*(-)!deloy-tu-	low	
*(-)!du-tir-	*(-)!du-tir-	low	
*(-)/du-t-jo-	*(-)/du-t-jo-	source-layer	
*(-)11-0-	*(-)11-0-	source-layer	
*(-)Ji](II-tó-	*(-)Ji](II-tó-	low	
*(-)MlJr6-	*(-)MlJr6-	low	
*(-)STCu̯-et-	*(-)STCu̯-et-	low	
*(-)anpa-	*(-)anpa-	source-layer	
*(-)bhrgʰ..oIahr	*(-)bhrgʰ..oIahr	medium-repaired	
*(-)bu-tahr	*(-)bu-tahr	source-layer	
*(-)bʰahrnu-	*(-)bʰahrnu-	medium-repaired	
*(-)bʰcr-(i)jo-	*(-)bʰcr-(i)jo-	medium-repaired	
*(-)bʰei̯dʰ-es-S	*(-)bʰei̯dʰ-es-S	low	
*(-)bʰer-o-	*(-)bʰer-o-	medium-repaired	
*(-)bʰer-tahr	*(-)bʰer-tahr	medium-repaired	
*(-)bʰergʰ..es-	*(-)bʰergʰ..es-	medium-repaired	
*(-)bʰeydʰ_es	*(-)bʰeydʰ_es	medium-repaired	
*(-)bʰir-men	*(-)bʰir-men	medium-repaired	
*(-)bʰir-men-to-	*(-)bʰir-men-to-	medium-repaired	
*(-)bʰir-tor-	*(-)bʰir-tor-	medium-repaired	
