work	dir	file	section	pages	title	tags	quality
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-front-matter.md	front-matter	i-xxv	Front matter, abbreviations, preface, introduction	PIE-phonology|Tocharian|sound-change-chronology|PIE-reconstruction	OCR-scanned
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-ch1.md	Ch1	1-6	Chapter 1. Proto-Indo-European	PIE-phonology|PIE-reconstruction|PIE-inflection	OCR-scanned
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-ch2.md	Ch2	7-38	Chapter 2. The development of laryngeals in Tocharian	laryngeals|Tocharian|sound-changes|sound-change-chronology	OCR-scanned
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-ch3.md	Ch3	39-50	Chapter 3. Early changes of stops	stops|Tocharian|sound-changes|sound-change-chronology	OCR-scanned
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-ch4.md	Ch4	51-66	Chapter 4. PIE *y and *w, and related matters	sonorants|stops|Tocharian|sound-changes|sound-change-chronology	OCR-scanned
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-ch5.md	Ch5	67-88	Chapter 5. Syllabic resonants, consonant clusters, and Auslautgesetze	syllabic-resonants|sonorants|Tocharian|sound-changes|sound-change-chronology	OCR-scanned
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-ch6.md	Ch6	89-100	Chapter 6. Early shifts of back vowels	ablaut|Tocharian|sound-changes|sound-change-chronology	OCR-scanned
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-ch7.md	Ch7	101-118	Chapter 7. Palatalization	stops|Tocharian|sound-changes|sound-change-chronology	OCR-scanned
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-ch8.md	Ch8	119-140	Chapter 8. Restructuring of the vowel system	ablaut|Tocharian|sound-changes|sound-change-chronology	OCR-scanned
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-ch9.md	Ch9	141-154	Chapter 9. Further restructuring of the consonant system	stops|sonorants|fricatives|Tocharian|sound-changes|sound-change-chronology	OCR-scanned
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-ch10.md	Ch10	155-168	Chapter 10. Late sound changes	Tocharian|sound-changes|sound-change-chronology	OCR-scanned
R1996	ringe-1996-chronology-sound-changes-tocharian	ringe-1996-chronology-sound-changes-tocharian-index.md	index	181-203	PIE, PT, TA, and TB indexes	Tocharian|PIE-reconstruction	OCR-scanned
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-introduction.md	intro	1-6	Introduction	historical-linguistics-theory	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-ch1.md	Ch1	7-27	Chapter 1. The nature of human language and language variation	historical-linguistics-theory	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-ch2.md	Ch2	28-44	Chapter 2. Language replication and language change	historical-linguistics-theory|sound-changes|borrowing	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-ch3.md	Ch3	45-58	Chapter 3. Language change in the speech community	historical-linguistics-theory|dialect-geography|borrowing	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-ch4.md	Ch4	59-77	Chapter 4. Language contact as a source of change	borrowing|dialect-geography|historical-linguistics-theory	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-ch5.md	Ch5	78-104	Chapter 5. Sound change	sound-changes|PIE-phonology|historical-linguistics-theory	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-ch6.md	Ch6	105-151	Chapter 6. The evolution of phonological rules	sound-changes|PIE-phonology|historical-linguistics-theory	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-ch7.md	Ch7	152-166	Chapter 7. Morphology	noun-inflection|verb-inflection|derivational-morphology	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-ch8.md	Ch8	167-211	Chapter 8. Morphological change	noun-inflection|verb-inflection|derivational-morphology|historical-linguistics-theory	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-ch9.md	Ch9	212-227	Chapter 9. Syntactic change	syntax|historical-linguistics-theory	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-ch10.md	Ch10	228-255	Chapter 10. Reconstruction	comparative-reconstruction|PIE-reconstruction|historical-linguistics-theory	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-ch11.md	Ch11	256-280	Chapter 11. Beyond comparative reconstruction: subgrouping and 'long-distance' relationships	subgrouping|phylogeny|cladistics|comparative-reconstruction|historical-linguistics-theory	born-digital
R2013	ringe-2013-historical-linguistics	ringe-2013-historical-linguistics-appendix.md	appendix	281-290	Appendix. Recovering the pronunciation of dead languages: types of evidence	historical-linguistics-theory|comparative-reconstruction	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch1.md	Ch1	1-4	Chapter 1. Introduction	PIE-reconstruction|Proto-Germanic|historical-linguistics-theory	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch2-sec2-1.md	§2.1	5-7	§2.1 Introduction [PIE survey]	PIE-reconstruction	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch2-sec2-2.md	§2.2	8-24	§2.2 PIE phonology	PIE-phonology|laryngeals|syllabic-resonants|labiovelars|stops|sonorants|accent|ablaut	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch2-sec2-3-1.md	§2.3.1	25-28	§2.3.1 PIE inflectional categories	PIE-inflection|noun-inflection|verb-inflection	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch2-sec2-3-2.md	§2.3.2	29	§2.3.2 Formal expression of inflectional categories	PIE-inflection|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch2-sec2-3-3.md	§2.3.3	30-48	§2.3.3 PIE verb inflection	PIE-inflection|verb-inflection|thematic-stems|athematic-stems|perfect|aorist|nasal-infix|personal-endings|mood|aspect	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch2-sec2-3-4.md	§2.3.4	49-62	§2.3.4 PIE noun inflection	PIE-inflection|noun-inflection|o-stem|s-stem|root-nouns|athematic-nouns|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch2-sec2-3-5.md	§2.3.5	63-64	§2.3.5 PIE adjective inflection	PIE-inflection|adjective-inflection|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch2-sec2-3-6.md	§2.3.6	65-71	§2.3.6 The inflection of other PIE nominals	PIE-inflection|pronouns|numerals|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch2-sec2-4.md	§2.4	72-76	§2.4 PIE derivational morphology	PIE-inflection|derivational-morphology|word-formation	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch2-sec2-5.md	§2.5	77-82	§2.5 PIE syntax	PIE-syntax|syntax	born-digital
