entry_id	gh_lemma_1_orth	gh_lemma_1_ipa	gh_lemma_1_ipa_test	gh_lemma_2_orth	gh_lemma_2_ipa	gh_lemma_2_ipa_test	gloss	gloss_register_note	pos	pos_subtype	nom_stem_class	noun_gender	verb_thematicity	verb_stem_type	lemma_1_pre_root	lemma_1_pre_root_status	lemma_1_pre_ety	lemma_1_pre_ipa	lemma_2_pre_ety	lemma_2_pre_ipa	lemma_3_pre_ety	lemma_3_pre_ipa	entry_status	entry_formation_type	entry_historical_type	entry_source(s)	source_notes	note	cog_Celtic	cog_Germanic	cog_Italic	cog_Greek	cog_Sanskrit	cog_Baltic	cog_Slavic	cog_Armenian	cog_Albanian	cog_Anatolian	cog_Tocharian	key_forms	derived_forms	compounds	semantic_field	semantic_subfield	register	synonyms	antonyms	example_sentences	cross_references	lit_mountain	lit_ring	lit_schleicher	lit_strasbourg	swadesh_207	sound_changes	r0-1	r0-2	r0-3	r0-4	r1-1	r1-2	r1-3	r1-4	r1-5	r1-6	r1-7	r1-8	r1-9	r1-10	r1-11	r2-1	r2-2	r2-3	r2-4	r2-5	verb_derivation
10026	selkos	sel.kos	untested	seklozio	sel.ko.z͡jo	untested	seal		noun		o	m			sel								draft																																																					
10044	léigeti	ˈlei̯.ɡe.ti	untested			untested	to tie		verb				thematic	root	leig		leig-e-ti						draft	simplex	inherited		verb; *bʰendʰ- or *ney-																											1																						
10375	néptī	ˈnep.tiː	untested	neptiiā́s	nep.ti.ˈjaːs	untested	niece; younger female relative		noun		ī/iā	f			nept		néptih₂						canon		inherited				*nefti-	*nefti-	Lat. nepos												Kinship	Extended kin																																
10395	vā́tā	ˈwaː.taː	untested	vā́tās	ˈwaː.taːs	untested	"lyric, quote"		noun		ā	f			weh₂		wéh₂teh₂						hold		inherited																		Speech and language	Language																																
10878	akuménezos	a.ku.ˈme.ne.zos	untested	akuménezozío	a.ku.ˈme.ne.zo.z͡jo	untested	"personal epithet, lit. 'sharp mind / sharp thought'"		noun (name)		o	m											draft	compound	innovation																		Names	Personal names																																
10888	óklos	ˈo.klom	untested	óklozio	ˈo.klo.z͡jo	untested	eye	dialectal	noun		o	m			h₃ekʷ								draft	derivation	innovation																		The body	Head and face																																
10895	aɣús	aɣ.ˈus	untested	aɣú	aɣ.ˈu	untested	anxious		adj		u				h₂egʰ		h₂egʰús						canon	simplex	innovation																		Emotions and values	Affect																																
10967	gvamtís	gʷam.ˈtis	untested	gvámtis	gʷam.ˈte͡js	untested	"step, act, action"		noun		i	f			gʷem		gʷémtis						canon		inherited																		Motion	Locomotion																																
11006	lóuksnā	ˈlo͡wks.naː	untested	lóuksnās	ˈlo͡wks.naːs	untested	moon		noun		ā	f			lewk		lóuksneh₂						canon		inherited																		Time	Celestial time										moon																						
11111	nóman	ˈno.man	untested	naméns	na.ˈmens	untested	name		noun		man/mén-	n			h₃neh₃mn̥	review_zero_grade_or_stem	h₃nh₃émn̥						canon		inherited				*anman	*namon-	Lat. nomen												Speech and language	Naming										name									1	1		1		1			1					
11463	véi	ˈwe͡j	untested			untested	1.pl pronoun		pronoun														draft		inherited																		Quantity	Pronouns										we																						
11524	akús	ak.ˈus	untested	akú	ak.ˈu	untested	sharp		adj		u				h₂eḱ		h₂éḱus						canon	simplex	inherited																		Basic actions and technology	Tools										sharp																						
11696	véiks	ˈwe͡jks	untested	vikés	wi.ˈkes	untested	"village, household"		noun		root noun	f			weyḱ		wéyḱs						hold		inherited																		The house	Dwelling																																
11753	ókviios	ˈo.kʷi.jos	untested	ókviiozio	ˈo.kʷi.jo.z͡jo	untested	eye	dialectal	noun		o	m			h₃ekʷ								draft	derivation	innovation																		The body	Head and face																																
11853	anðér	an.ˈðer	untested	—	—	untested	under		adp		indecl				Hn̥dʰer	review_zero_grade_or_stem	Hn̥dʰér						canon	simplex	inherited					*under-													Spatial relations	Adpositions							1																									
12715	mā́kos	ˈmaː.kos	untested	mā́kezos	ˈmaː.ke.zos	untested	length		noun		s	n			meh₂ḱ		méh₂ḱos						canon		inherited																		Spatial relations	Shape and dimension																																
12988	vezurégus	we.zu.ˈre.gus	untested	vezurégous	we.zu.ˈre.go͡ws	untested	personal epithet lit. 'good rule'		noun (name)		u	m											draft	compound	innovation																		Names	Personal names																																
13062	ðéɣveti	ˈðe.ɣʷe.ti	untested	ðéɣvonti	ˈðe.ɣʷon.ti	untested	"to burn, blaze, consume with fire"		verb				thematic	root	dʰegʷʰ		dʰégʷʰeti		*dʰégʷʰ-o-nti				canon	simplex	inherited		thematic root present; core fire verb — what Agnis inherently does; participle ðeɣvónts; epithet candidates ðeɣvóntios (solemn) / ðeɣvontiskos (folk diminutive)		*degWi-		Lat. febris 'fever'										ðoɣvéieti		Basic actions and technology	Fire-making					óngvan; ógnos; pū́r; ðoɣvéieti					to burn																			1	1		
13258	skṓī	ˈskoːɪ	untested	skiiā́s	ski.ˈjaːs	untested	"feminine personification of night; shadowy apparition, wisp; shadow"	religious	noun		ī/iā	f			sḱeh₃		sḱeh₃ih₂		sḱh₃yéh₂				canon	simplex	innovation				*skilto-														Time	Supernatural							1																									
13582	pṓts	ˈpoːts	untested	pedés	pe.ˈdes	untested	foot		noun		root noun	m			ped								hold	simplex	inherited																		The body	Limbs and extremities										foot																						
13620	éti	ˈe.ti	untested			untested	"and, also, furthermore"		conj		indecl				h₁et		h₁éti						canon		inherited		"independent coordinating conjunction; h₁ drops word-initially (H-B4); cf. Latin et (only other western branch with a clear reflex of *h₁eti as conjunction); enclitic *-kve (< *-kʷe) also in system, visible in nékve (#411) ""not; nor"""																Speech and language	Function words				"montaβis eti kalniβis ""by mountains and hills"" (Mountain Text)"	nékve					and	h₁ drops word-initially																					
13685	véikos	ˈwe͡j.kos	untested	véikezos	ˈwej.ke.zos	untested	settlement		noun		s	n			weyḱ			wéy.ḱos					canon		inherited																		The house	Dwelling																																
13699	áu	ˈa͡w	untested			untested	or; else; alternatively		conj														draft	simplex	inherited																		Speech and language	Function words																																
13918	noβā	no.βaː	untested	noβās	no.βaːs	untested	nave (of a wheel)		noun		ā	f					h₃nobʰeh₂		h₃nobʰeh₂s				draft	simplex	inherited					*nabja-													Basic actions and technology	Tools																																
14056	vezuɣoizós	we.zu.ɣo͡j.ˈzos	untested	vezuɣoizozío	we.zu.ɣo͡j.zo.ˈz͡jo	untested	personal epithet lit. 'good spear'		noun (name)		o	m											draft	compound	innovation																		Names	Personal names																																
14219	káput	ˈka.put	untested	kapvéts	ka.ˈpwets	untested	head		noun		ut/wet-	n			kap		káput		kapwéts				hold		inherited																		The body	Head and face										1																						
14287	válnā	ˈwal.naː	untested	válnās	ˈwal.naːs	untested	wool		noun		ā	f			h₂wl̥h₁n	review_zero_grade_or_stem	h₂wĺ̥h₁neh₂						canon		inherited																		Clothing and grooming	Textiles																																
14334	sáiklom	ˈsaj.klom	untested	saiklozio	saɪ.klo.z͡jo	untested	lifetime		noun		o	n			sh₂ey		sh₂eytlom						canon		inherited																		Time	Periods																																
14377	térman	ˈter.man	untested	tarméns	tar.ˈmens	untested	"boundary, limit, end; boundary marker"		noun		man/mén-	n			terh₁			ˈter.man					canon		inherited																		Spatial relations	Boundaries																																
14395	pórkos	ˈpor.kos	untested	porkozio	por.ko.z͡jo	untested	pig		noun		o	m			perk		porkos						canon		inherited																		Animals	Domestic animals																																
14435	rogéieti	ro.ˈge.je.ti	untested	rogéionti	ro.ˈge.jon.ti	untested	"to straighten, make straight, cause to straighten"		verb				thematic	*-éye/o-	h₃reǵ		h₃roǵéyeti		h₃roǵéyonti				draft	simplex	inherited																		Spatial relations	Position					régeti; rektós; regús																											causative
14503	kvetwarɣimós	kʷe.twar.ɣi.ˈmos	untested	kvetwarɣimozio	kʷe.twar.ɣi.mo.z͡jo	untested	four year old (lit. three winter)		adj		o/ā						kʷetwr̥ǵʰimos		kʷetwr̥ǵʰimosyo				draft	analogy	innovation																		Quantity	Age reckoning																																
15138	vódar	ˈwo.dar	untested	udéns	u.ˈdens	untested	water		noun		r/n	n			wed		wódr̥	wó.dr̥					draft		inherited				*uden-sk-yo-		Lat. unda 'wave'; Umbr. utur												The physical world	Water																																
15139	rḗks	ˈreːks	untested	regés	re.ˈges	untested	king		noun		root noun	m			h₃reǵ		h₃rḗǵs						canon		inherited					*rik-	Lat. rex m. 'id.'. Also												Social and political relations	Rulers and rank							1					1						1				1										
15155	katugantós	ka.tu.gan.ˈtos	untested	katugantózío	ka.tu.gan.ˈto.z͡jo	untested	"personal name, lit. 'battle-born; warrior name'"		noun (name)		o	m											draft	compound	innovation																		Names	Personal names																																
15307	sūl	ˈsuːl	untested	suns	suns	untested	sun		noun		r/n	n					suh₂l	ˈsuʕl	suh₂ns				draft	derivation	innovation																		The physical world	Celestial bodies																																
15323	anɣús	an.ˈɣus	untested	anɣú	an.ˈɣu	untested	narrow		adj		u				h₂enǵʰ		h₂n̥ǵʰús						canon	simplex	inherited																		Spatial relations	Shape and dimension										narrow																						
15455	targā́	tar.ˈgaː	untested	targā́s	tar.ˈgaːs	untested	stony ground		noun		ā	f			terg or terǵ		tr̥géh₂		tr̥géh₂s				draft	derivation	loan																		The physical world	Landscape					targóm; palzóm; palzā́																											
15674	penkveɣimonóman	pen.kʷe.ɣi.mo.ˈno.man	untested	penktonoméns	penk.to.no.ˈmens	untested	fifth-year name; personal name given after five years or winters old (lit. fifth-winter name)		noun		man/mén-	n											draft	compound	innovation		"penktó- 'fifth' (ordinal of penkve, not yet in lexicon) + nóman 'name'; the principal personal name, chosen by parents with input from family and household; reflects child's personality, appearance, or significant early-life events; also called koimonóman; carried through life"	"penktó- 'fifth' (ordinal of penkve, not yet in lexicon) + nóman 'name'; the principal personal name, chosen by parents with input from family and household; reflects child's personality, appearance, or significant early-life events; also called koimonóman; carried through life"															Social organization	Name types					nóman; pénkve; koimonóman; βornóman																											
15714	klounís	klow.ˈnis	untested	klounéis	klo͡j.ˈne͡js	untested	buttock		noun		i	mf			ḱlown		ḱlównis						canon		inherited																		The body	Torso and trunk																																
15769	wérteti	ˈwer.te.ti	untested			untested	to turn		verb				thematic	root	wert		wert-e-ti						draft	simplex	inherited		verb; *kʷel- — cf. kvéklos																											1																						
15787	ɣoizorḗks	ɣo͡j.zo.ˈreːks	untested	ɣoizoregés	ɣo͡j.zo.re.ˈges	untested	royal epithet lit. spear-king		noun (name)		root noun	m											draft	compound	innovation																		Names	Royal epithets																																
